LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752789134.729002,101848.000,14610,1,BV,1,100,3.96
1752789139.728018,106847.000,15446,1,BV,1,100,3.96
1752789144.728033,111847.000,16302,1,BV,1,100,3.96
1752789149.727049,116846.000,17142,1,BV,1,100,3.97
1752789154.727064,121846.000,17958,1,BV,1,100,3.96
1752789159.726080,126845.000,18822,1,BV,1,100,3.97
1752789164.726095,131845.000,19668,1,BV,1,100,3.96
1752789169.725111,136844.000,20510,1,BV,1,100,3.96
1752789174.725127,141844.000,21356,1,BV,1,100,3.97
1752789179.724142,146843.000,22218,1,BV,1,100,3.97
1752789184.724158,151843.000,23063,1,BV,1,100,3.97
1752789189.723173,156842.000,23913,1,BV,1,100,3.97
1752789194.723189,161842.000,24761,1,BV,1,100,3.97
1752789199.722205,166841.000,25619,1,BV,1,100,3.97
1752789204.722220,171841.000,26471,1,BV,1,100,3.97
1752789209.721236,176840.000,27316,1,BV,1,100,3.97
1752789214.721251,181840.000,28151,1,BV,1,100,3.97
1752789219.720267,186839.000,28990,1,BV,1,100,3.97
1752789224.720283,191839.000,29829,1,BV,1,100,3.97
1752789229.719298,196838.000,30653,1,BV,1,100,3.97
1752789234.719314,201838.000,31523,1,BV,1,100,3.97
1752789239.718329,206837.000,32368,1,BV,1,100,3.97
1752789244.718345,211837.000,33205,1,BV,1,100,3.97
1752789249.717361,216836.000,34057,1,BV,1,100,3.98
1752789254.717376,221836.000,34905,1,BV,1,100,3.98
1752789259.716392,226835.000,35748,1,BV,1,100,3.98
1752789264.716407,231835.000,36583,1,BV,1,100,3.98
1752789269.715423,236834.000,37427,1,BV,1,100,3.98
1752789274.715438,241834.000,38277,1,BV,1,100,3.98
1752789279.714454,246833.000,39123,1,BV,1,100,3.98
1752789284.714470,251833.000,39974,1,BV,1,100,3.98
1752789289.713485,256832.000,40828,1,BV,1,100,3.98
1752789294.713501,261832.000,41665,1,BV,1,100,3.98
1752789299.712516,266831.000,42512,1,BV,1,100,3.98
1752789304.712532,271831.000,43365,1,BV,1,100,3.98
1752789309.711548,276830.000,44216,1,BV,1,100,3.98
1752789314.711563,281830.000,45064,1,BV,1,100,3.98
1752789319.710579,286829.000,45913,1,BV,1,100,3.98
1752789324.710594,291829.000,46748,1,BV,1,100,3.98
1752789329.709610,296828.000,47598,1,BV,1,100,3.98
1752789334.709626,301828.000,48448,1,BV,1,100,3.98
1752789339.708641,306827.000,49294,1,BV,1,100,3.99
1752789344.708657,311827.000,50147,1,BV,1,100,3.99
1752789349.707672,316826.000,50783,1,BV,1,100,3.98
1752789354.707688,321826.000,51634,1,BV,1,100,3.99
