LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752789131.629992,98749.000,14079,1,EL,1,100,8547.799805
1752789131.695992,98815.000,14084,1,EL,1,100,8488.000000
1752789131.762493,98881.500,14106,2,EL,1,100,8483.200195
1752789131.828993,98948.000,14106,2,EL,1,100,8469.599609
1752789131.895993,99015.000,14122,1,EL,1,100,8393.599609
1752789131.962493,99081.500,14137,2,EL,1,100,8302.799805
1752789132.028994,99148.000,14137,2,EL,1,100,8251.200195
1752789132.095994,99215.000,14156,1,EL,1,100,9342.799805
1752789132.162494,99281.500,14173,2,EL,1,100,17565.000000
1752789132.228994,99348.000,14173,2,EL,1,100,20228.599609
1752789132.295994,99415.000,14189,1,EL,1,100,12055.799805
1752789132.362495,99481.500,14207,2,EL,1,100,8691.799805
1752789132.428995,99548.000,14207,2,EL,1,100,8298.799805
1752789132.495995,99615.000,14228,1,EL,1,100,8077.799805
1752789132.562495,99681.500,14245,2,EL,1,100,7830.000000
1752789132.628995,99748.000,14245,2,EL,1,100,7688.399902
1752789132.695996,99815.000,14261,1,EL,1,100,7684.200195
1752789132.762496,99881.500,14279,2,EL,1,100,7715.000000
1752789132.828996,99948.000,14279,2,EL,1,100,7757.000000
1752789132.895996,100015.000,14295,1,EL,1,100,7692.399902
1752789132.962496,100081.500,14312,2,EL,1,100,7655.799805
1752789133.028997,100148.000,14312,2,EL,1,100,7690.000000
1752789133.095997,100215.000,14331,1,EL,1,100,7721.799805
1752789133.162497,100281.500,14347,2,EL,1,100,7713.799805
1752789133.228997,100348.000,14347,2,EL,1,100,7618.399902
1752789133.295997,100415.000,14362,1,EL,1,100,7577.399902
1752789133.362498,100481.500,14380,2,EL,1,100,7509.000000
1752789133.428998,100548.000,14380,2,EL,1,100,7411.799805
1752789133.495998,100615.000,14396,1,EL,1,100,7341.000000
1752789133.562498,100681.500,14412,2,EL,1,100,7286.000000
1752789133.628999,100748.000,14412,2,EL,1,100,7245.000000
1752789133.695999,100815.000,14430,2,EL,1,100,7208.200195
1752789133.762999,100882.000,14430,2,EL,1,100,7178.200195
1752789133.828999,100948.000,14447,1,EL,1,100,7149.000000
1752789133.895999,101015.000,14463,2,EL,1,100,7115.399902
1752789133.963000,101082.000,14463,2,EL,1,100,7088.200195
1752789134.029000,101148.000,14480,1,EL,1,100,7051.600098
1752789134.096000,101215.000,14495,2,EL,1,100,7000.399902
1752789134.163000,101282.000,14495,2,EL,1,100,6956.600098
1752789134.229000,101348.000,14512,1,EL,1,100,6905.799805
1752789134.296001,101415.000,14530,2,EL,1,100,6859.600098
1752789134.363001,101482.000,14530,2,EL,1,100,6819.399902
