LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752789131.630992,98750.000,14077,4,EM,1,100,RS
1752789131.630992,98750.000,14077,4,EM,1,100,RB
1752789131.630992,98750.000,14077,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789131.630992,98750.000,14077,4,EM,1,100,PS
1752789131.681242,98800.250,14096,4,EM,1,100,RS
1752789131.731493,98850.500,14096,4,EM,1,100,RB
1752789131.781743,98900.750,14096,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789131.831993,98951.000,14096,4,EM,1,100,PS
1752789131.882243,99001.250,14132,4,EM,1,100,RS
1752789131.932493,99051.500,14132,4,EM,1,100,RB
1752789131.982743,99101.750,14132,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789132.032994,99152.000,14132,4,EM,1,100,PS
1752789132.083244,99202.250,14168,4,EM,1,100,RS
1752789132.133494,99252.500,14168,4,EM,1,100,RB
1752789132.183744,99302.750,14168,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789132.233994,99353.000,14168,4,EM,1,100,PS
1752789132.284244,99403.250,14199,4,EM,1,100,RS
1752789132.334494,99453.500,14199,4,EM,1,100,RB
1752789132.384745,99503.750,14199,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789132.434995,99554.000,14199,4,EM,1,100,PS
1752789132.485995,99605.000,14240,4,EM,1,100,RS
1752789132.536995,99656.000,14240,4,EM,1,100,RB
1752789132.587995,99707.000,14240,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789132.638995,99758.000,14240,4,EM,1,100,PS
1752789132.689246,99808.250,14271,4,EM,1,100,RS
1752789132.739496,99858.500,14271,4,EM,1,100,RB
1752789132.789746,99908.750,14271,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789132.839996,99959.000,14271,4,EM,1,100,PS
1752789132.892246,100011.250,14307,4,EM,1,100,RS
1752789132.944496,100063.500,14307,4,EM,1,100,RB
1752789132.996747,100115.750,14307,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789133.048997,100168.000,14307,4,EM,1,100,PS
1752789133.099247,100218.250,14342,4,EM,1,100,RS
1752789133.149497,100268.500,14342,4,EM,1,100,RB
1752789133.199747,100318.750,14342,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789133.249997,100369.000,14342,4,EM,1,100,PS
1752789133.300247,100419.250,14374,4,EM,1,100,RS
1752789133.350498,100469.500,14374,4,EM,1,100,RB
1752789133.400748,100519.750,14374,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789133.450998,100570.000,14374,4,EM,1,100,PS
1752789133.501248,100620.250,14407,4,EM,1,100,RS
1752789133.551498,100670.500,14407,4,EM,1,100,RB
1752789133.601748,100720.750,14407,4,EM,1,100,2025-07-17_17-52-10-833046.csv
1752789133.651999,100771.000,14407,4,EM,1,100,PS
1752789133.702249,100821.250,14442,4,EM,1,100,RS
