LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1752789131.723993,98843.000,14095,3,MZ,1,100,50
1752789131.723993,98843.000,14095,3,MZ,1,100,50
1752789131.723993,98843.000,14095,3,MZ,1,100,52
1752789131.763993,98883.000,14117,2,MZ,1,100,50
1752789131.803993,98923.000,14117,2,MZ,1,100,52
1752789131.843993,98963.000,14131,3,MZ,1,100,52
1752789131.883993,99003.000,14131,3,MZ,1,100,50
1752789131.923993,99043.000,14131,3,MZ,1,100,51
1752789131.963993,99083.000,14148,3,MZ,1,100,51
1752789132.003993,99123.000,14148,3,MZ,1,100,51
1752789132.043994,99163.000,14148,3,MZ,1,100,51
1752789132.083994,99203.000,14167,2,MZ,1,100,50
1752789132.123994,99243.000,14167,2,MZ,1,100,51
1752789132.163994,99283.000,14184,3,MZ,1,100,51
1752789132.203994,99323.000,14184,3,MZ,1,100,52
1752789132.243994,99363.000,14184,3,MZ,1,100,52
1752789132.283994,99403.000,14198,2,MZ,1,100,51
1752789132.323994,99443.000,14198,2,MZ,1,100,52
1752789132.363995,99483.000,14218,3,MZ,1,100,50
1752789132.403995,99523.000,14218,3,MZ,1,100,52
1752789132.443995,99563.000,14218,3,MZ,1,100,51
1752789132.483995,99603.000,14239,2,MZ,1,100,50
1752789132.523995,99643.000,14239,2,MZ,1,100,50
1752789132.563995,99683.000,14256,3,MZ,1,100,51
1752789132.603995,99723.000,14256,3,MZ,1,100,51
1752789132.643995,99763.000,14256,3,MZ,1,100,52
1752789132.683996,99803.000,14270,2,MZ,1,100,52
1752789132.723996,99843.000,14270,2,MZ,1,100,52
1752789132.763996,99883.000,14290,3,MZ,1,100,52
1752789132.803996,99923.000,14290,3,MZ,1,100,52
1752789132.843996,99963.000,14290,3,MZ,1,100,51
1752789132.883996,100003.000,14306,2,MZ,1,100,53
1752789132.923996,100043.000,14306,2,MZ,1,100,51
1752789132.963996,100083.000,14323,3,MZ,1,100,52
1752789133.003997,100123.000,14323,3,MZ,1,100,52
1752789133.043997,100163.000,14323,3,MZ,1,100,52
1752789133.083997,100203.000,14341,2,MZ,1,100,52
1752789133.123997,100243.000,14341,2,MZ,1,100,51
1752789133.163997,100283.000,14357,3,MZ,1,100,52
1752789133.203997,100323.000,14357,3,MZ,1,100,51
1752789133.243997,100363.000,14357,3,MZ,1,100,51
1752789133.283997,100403.000,14373,2,MZ,1,100,51
1752789133.323998,100443.000,14373,2,MZ,1,100,51
1752789133.363998,100483.000,14391,3,MZ,1,100,52
1752789133.403998,100523.000,14391,3,MZ,1,100,52
1752789133.443998,100563.000,14391,3,MZ,1,100,50
1752789133.479331,100598.333,14406,3,MZ,1,100,52
1752789133.514665,100633.667,14406,3,MZ,1,100,51
1752789133.549998,100669.000,14406,3,MZ,1,100,51
1752789133.589998,100709.000,14422,2,MZ,1,100,51
1752789133.629999,100749.000,14422,2,MZ,1,100,51
1752789133.669999,100789.000,14441,3,MZ,1,100,51
1752789133.709999,100829.000,14441,3,MZ,1,100,52
1752789133.749999,100869.000,14441,3,MZ,1,100,52
1752789133.789999,100909.000,14458,2,MZ,1,100,51
1752789133.829999,100949.000,14458,2,MZ,1,100,51
1752789133.869999,100989.000,14474,3,MZ,1,100,52
1752789133.909999,101029.000,14474,3,MZ,1,100,53
1752789133.950000,101069.000,14474,3,MZ,1,100,52
1752789133.990000,101109.000,14489,2,MZ,1,100,51
1752789134.030000,101149.000,14489,2,MZ,1,100,51
1752789134.070000,101189.000,14506,3,MZ,1,100,51
1752789134.110000,101229.000,14506,3,MZ,1,100,51
1752789134.150000,101269.000,14506,3,MZ,1,100,52
1752789134.190000,101309.000,14523,3,MZ,1,100,52
1752789134.230000,101349.000,14523,3,MZ,1,100,52
1752789134.270001,101389.000,14523,3,MZ,1,100,51
1752789134.310001,101429.000,14541,2,MZ,1,100,50
1752789134.350001,101469.000,14541,2,MZ,1,100,52
1752789134.390001,101509.000,14557,3,MZ,1,100,51
1752789134.430001,101549.000,14557,3,MZ,1,100,51
1752789134.470001,101589.000,14557,3,MZ,1,100,52
1752789134.510001,101629.000,14573,2,MZ,1,100,51
1752789134.550001,101669.000,14573,2,MZ,1,100,50
1752789134.590002,101709.000,14590,3,MZ,1,100,51
1752789134.630002,101749.000,14590,3,MZ,1,100,51
1752789134.670002,101789.000,14590,3,MZ,1,100,52
1752789134.710002,101829.000,14609,2,MZ,1,100,51
1752789134.750002,101869.000,14609,2,MZ,1,100,51
1752789134.790002,101909.000,14626,3,MZ,1,100,52
1752789134.830002,101949.000,14626,3,MZ,1,100,50
1752789134.870002,101989.000,14626,3,MZ,1,100,52
1752789134.910003,102029.000,14644,2,MZ,1,100,52
1752789134.950003,102069.000,14644,2,MZ,1,100,52
1752789134.990003,102109.000,14661,3,MZ,1,100,50
1752789135.030003,102149.000,14661,3,MZ,1,100,52
1752789135.070003,102189.000,14661,3,MZ,1,100,52
1752789135.110003,102229.000,14678,2,MZ,1,100,52
1752789135.150003,102269.000,14678,2,MZ,1,100,51
1752789135.190003,102309.000,14693,3,MZ,1,100,51
1752789135.230004,102349.000,14693,3,MZ,1,100,51
1752789135.270004,102389.000,14693,3,MZ,1,100,52
1752789135.310004,102429.000,14709,2,MZ,1,100,52
1752789135.350004,102469.000,14709,2,MZ,1,100,51
1752789135.390004,102509.000,14727,3,MZ,1,100,52
1752789135.430004,102549.000,14727,3,MZ,1,100,51
1752789135.470004,102589.000,14727,3,MZ,1,100,52
1752789135.510004,102629.000,14745,3,MZ,1,100,52
1752789135.550005,102669.000,14745,3,MZ,1,100,51
1752789135.590005,102709.000,14745,3,MZ,1,100,52
1752789135.630005,102749.000,14763,2,MZ,1,100,51
1752789135.670005,102789.000,14763,2,MZ,1,100,52
1752789135.710005,102829.000,14779,3,MZ,1,100,52
1752789135.750005,102869.000,14779,3,MZ,1,100,51
1752789135.790005,102909.000,14779,3,MZ,1,100,52
1752789135.830005,102949.000,14796,2,MZ,1,100,53
1752789135.870006,102989.000,14796,2,MZ,1,100,50
1752789135.910006,103029.000,14812,3,MZ,1,100,51
1752789135.950006,103069.000,14812,3,MZ,1,100,52
1752789135.990006,103109.000,14812,3,MZ,1,100,51
1752789136.030006,103149.000,14830,2,MZ,1,100,52
1752789136.070006,103189.000,14830,2,MZ,1,100,52
1752789136.110006,103229.000,14846,3,MZ,1,100,52
1752789136.150006,103269.000,14846,3,MZ,1,100,51
1752789136.190007,103309.000,14846,3,MZ,1,100,52
1752789136.230007,103349.000,14863,2,MZ,1,100,52
1752789136.270007,103389.000,14863,2,MZ,1,100,52
1752789136.310007,103429.000,14879,3,MZ,1,100,52
1752789136.350007,103469.000,14879,3,MZ,1,100,52
1752789136.390007,103509.000,14879,3,MZ,1,100,52
1752789136.430007,103549.000,14899,2,MZ,1,100,50
1752789136.470007,103589.000,14899,2,MZ,1,100,52
1752789136.510008,103629.000,14913,3,MZ,1,100,52
1752789136.550008,103669.000,14913,3,MZ,1,100,53
1752789136.590008,103709.000,14913,3,MZ,1,100,52
1752789136.630008,103749.000,14930,3,MZ,1,100,52
1752789136.670008,103789.000,14930,3,MZ,1,100,52
1752789136.710008,103829.000,14930,3,MZ,1,100,52
1752789136.750008,103869.000,14949,2,MZ,1,100,53
1752789136.790008,103909.000,14949,2,MZ,1,100,53
1752789136.830008,103949.000,14966,3,MZ,1,100,52
1752789136.870009,103989.000,14966,3,MZ,1,100,52
1752789136.910009,104029.000,14966,3,MZ,1,100,52
1752789136.950009,104069.000,14980,2,MZ,1,100,52
1752789136.990009,104109.000,14980,2,MZ,1,100,50
1752789137.025676,104144.667,15000,3,MZ,1,100,52
1752789137.061343,104180.333,15000,3,MZ,1,100,52
1752789137.097009,104216.000,15000,3,MZ,1,100,52
1752789137.137009,104256.000,15016,3,MZ,1,100,52
1752789137.177010,104296.000,15016,3,MZ,1,100,53
1752789137.217010,104336.000,15016,3,MZ,1,100,52
1752789137.257010,104376.000,15033,2,MZ,1,100,52
1752789137.297010,104416.000,15033,2,MZ,1,100,53
1752789137.337010,104456.000,15047,3,MZ,1,100,52
1752789137.377010,104496.000,15047,3,MZ,1,100,52
1752789137.417010,104536.000,15047,3,MZ,1,100,52
1752789137.457010,104576.000,15067,2,MZ,1,100,52
1752789137.497011,104616.000,15067,2,MZ,1,100,52
1752789137.537011,104656.000,15083,3,MZ,1,100,52
1752789137.577011,104696.000,15083,3,MZ,1,100,52
1752789137.617011,104736.000,15083,3,MZ,1,100,53
1752789137.657011,104776.000,15105,2,MZ,1,100,52
1752789137.697011,104816.000,15105,2,MZ,1,100,54
1752789137.737011,104856.000,15121,3,MZ,1,100,53
1752789137.777011,104896.000,15121,3,MZ,1,100,54
1752789137.817012,104936.000,15121,3,MZ,1,100,52
1752789137.857012,104976.000,15139,2,MZ,1,100,52
1752789137.897012,105016.000,15139,2,MZ,1,100,53
1752789137.937012,105056.000,15157,3,MZ,1,100,52
1752789137.977012,105096.000,15157,3,MZ,1,100,52
1752789138.017012,105136.000,15157,3,MZ,1,100,53
1752789138.057012,105176.000,15175,2,MZ,1,100,52
1752789138.097012,105216.000,15175,2,MZ,1,100,53
1752789138.137013,105256.000,15191,3,MZ,1,100,52
1752789138.177013,105296.000,15191,3,MZ,1,100,52
1752789138.217013,105336.000,15191,3,MZ,1,100,53
1752789138.257013,105376.000,15206,2,MZ,1,100,52
1752789138.297013,105416.000,15206,2,MZ,1,100,52
1752789138.337013,105456.000,15223,3,MZ,1,100,53
1752789138.377013,105496.000,15223,3,MZ,1,100,54
1752789138.417013,105536.000,15223,3,MZ,1,100,53
1752789138.457014,105576.000,15240,2,MZ,1,100,52
1752789138.497014,105616.000,15240,2,MZ,1,100,53
1752789138.537014,105656.000,15258,3,MZ,1,100,54
1752789138.577014,105696.000,15258,3,MZ,1,100,53
1752789138.617014,105736.000,15258,3,MZ,1,100,53
1752789138.657014,105776.000,15273,3,MZ,1,100,53
1752789138.697014,105816.000,15273,3,MZ,1,100,52
1752789138.737014,105856.000,15273,3,MZ,1,100,54
1752789138.777015,105896.000,15290,2,MZ,1,100,52
1752789138.817015,105936.000,15290,2,MZ,1,100,52
1752789138.857015,105976.000,15307,3,MZ,1,100,52
1752789138.897015,106016.000,15307,3,MZ,1,100,53
1752789138.937015,106056.000,15307,3,MZ,1,100,53
1752789138.977015,106096.000,15325,2,MZ,1,100,53
1752789139.017015,106136.000,15325,2,MZ,1,100,54
1752789139.057015,106176.000,15341,3,MZ,1,100,52
1752789139.097016,106216.000,15341,3,MZ,1,100,53
1752789139.137016,106256.000,15341,3,MZ,1,100,52
1752789139.177016,106296.000,15359,2,MZ,1,100,52
1752789139.217016,106336.000,15359,2,MZ,1,100,53
1752789139.257016,106376.000,15376,3,MZ,1,100,52
1752789139.297016,106416.000,15376,3,MZ,1,100,52
1752789139.337016,106456.000,15376,3,MZ,1,100,53
1752789139.377016,106496.000,15393,2,MZ,1,100,52
1752789139.417017,106536.000,15393,2,MZ,1,100,54
1752789139.457017,106576.000,15410,3,MZ,1,100,53
1752789139.497017,106616.000,15410,3,MZ,1,100,51
1752789139.537017,106656.000,15410,3,MZ,1,100,53
1752789139.577017,106696.000,15426,2,MZ,1,100,53
1752789139.617017,106736.000,15426,2,MZ,1,100,52
1752789139.657017,106776.000,15445,3,MZ,1,100,52
1752789139.697017,106816.000,15445,3,MZ,1,100,53
1752789139.737018,106856.000,15445,3,MZ,1,100,54
1752789139.777018,106896.000,15464,2,MZ,1,100,52
1752789139.817018,106936.000,15464,2,MZ,1,100,54
1752789139.857018,106976.000,15479,3,MZ,1,100,52
1752789139.897018,107016.000,15479,3,MZ,1,100,52
