LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752789131.723993,98843.000,14081,3,PR,1,100,57775
1752789131.723993,98843.000,14081,3,PR,1,100,57785
1752789131.723993,98843.000,14081,3,PR,1,100,57782
1752789131.763993,98883.000,14103,2,PR,1,100,57782
1752789131.803993,98923.000,14103,2,PR,1,100,57778
1752789131.843993,98963.000,14119,3,PR,1,100,57784
1752789131.883993,99003.000,14119,3,PR,1,100,57798
1752789131.923993,99043.000,14119,3,PR,1,100,57797
1752789131.963993,99083.000,14134,2,PR,1,100,57813
1752789132.003993,99123.000,14134,2,PR,1,100,57816
1752789132.043994,99163.000,14153,3,PR,1,100,57806
1752789132.083994,99203.000,14153,3,PR,1,100,57821
1752789132.123994,99243.000,14153,3,PR,1,100,57805
1752789132.163994,99283.000,14170,3,PR,1,100,57797
1752789132.203994,99323.000,14170,3,PR,1,100,57803
1752789132.243994,99363.000,14170,3,PR,1,100,57800
1752789132.283994,99403.000,14186,2,PR,1,100,57791
1752789132.323994,99443.000,14186,2,PR,1,100,57814
1752789132.363995,99483.000,14204,3,PR,1,100,57819
1752789132.403995,99523.000,14204,3,PR,1,100,57806
1752789132.443995,99563.000,14204,3,PR,1,100,57800
1752789132.483995,99603.000,14225,2,PR,1,100,57823
1752789132.523995,99643.000,14225,2,PR,1,100,57831
1752789132.563995,99683.000,14242,3,PR,1,100,57834
1752789132.603995,99723.000,14242,3,PR,1,100,57848
1752789132.643995,99763.000,14242,3,PR,1,100,57857
1752789132.683996,99803.000,14258,2,PR,1,100,57857
1752789132.723996,99843.000,14258,2,PR,1,100,57864
1752789132.763996,99883.000,14276,3,PR,1,100,57847
1752789132.803996,99923.000,14276,3,PR,1,100,57833
1752789132.843996,99963.000,14276,3,PR,1,100,57838
1752789132.883996,100003.000,14292,2,PR,1,100,57814
1752789132.923996,100043.000,14292,2,PR,1,100,57824
1752789132.963996,100083.000,14309,3,PR,1,100,57854
1752789133.003997,100123.000,14309,3,PR,1,100,57852
1752789133.043997,100163.000,14309,3,PR,1,100,57858
1752789133.083997,100203.000,14328,2,PR,1,100,57859
1752789133.123997,100243.000,14328,2,PR,1,100,57849
1752789133.163997,100283.000,14344,3,PR,1,100,57875
1752789133.203997,100323.000,14344,3,PR,1,100,57898
1752789133.243997,100363.000,14344,3,PR,1,100,57912
1752789133.283997,100403.000,14359,2,PR,1,100,57903
1752789133.323998,100443.000,14359,2,PR,1,100,57914
1752789133.363998,100483.000,14377,3,PR,1,100,57901
1752789133.403998,100523.000,14377,3,PR,1,100,57918
1752789133.443998,100563.000,14377,3,PR,1,100,57901
1752789133.483998,100603.000,14393,2,PR,1,100,57891
1752789133.523998,100643.000,14393,2,PR,1,100,57893
1752789133.563998,100683.000,14409,3,PR,1,100,57902
1752789133.603998,100723.000,14409,3,PR,1,100,57899
1752789133.643999,100763.000,14409,3,PR,1,100,57903
1752789133.683999,100803.000,14427,3,PR,1,100,57906
1752789133.723999,100843.000,14427,3,PR,1,100,57903
1752789133.763999,100883.000,14427,3,PR,1,100,57913
1752789133.803999,100923.000,14444,2,PR,1,100,57919
1752789133.843999,100963.000,14444,2,PR,1,100,57915
1752789133.883999,101003.000,14460,3,PR,1,100,57927
1752789133.923999,101043.000,14460,3,PR,1,100,57923
1752789133.964000,101083.000,14460,3,PR,1,100,57928
1752789134.004000,101123.000,14477,2,PR,1,100,57918
1752789134.044000,101163.000,14477,2,PR,1,100,57898
1752789134.084000,101203.000,14492,3,PR,1,100,57911
1752789134.124000,101243.000,14492,3,PR,1,100,57918
1752789134.164000,101283.000,14492,3,PR,1,100,57932
1752789134.204000,101323.000,14509,2,PR,1,100,57920
1752789134.244000,101363.000,14509,2,PR,1,100,57924
1752789134.284001,101403.000,14527,3,PR,1,100,57910
1752789134.324001,101443.000,14527,3,PR,1,100,57925
1752789134.364001,101483.000,14527,3,PR,1,100,57932
1752789134.404001,101523.000,14545,2,PR,1,100,57921
1752789134.444001,101563.000,14545,2,PR,1,100,57939
1752789134.484001,101603.000,14559,3,PR,1,100,57941
1752789134.524001,101643.000,14559,3,PR,1,100,57949
1752789134.564001,101683.000,14559,3,PR,1,100,57934
1752789134.604002,101723.000,14576,2,PR,1,100,57917
1752789134.644002,101763.000,14576,2,PR,1,100,57930
1752789134.684002,101803.000,14595,3,PR,1,100,57929
1752789134.724002,101843.000,14595,3,PR,1,100,57915
1752789134.764002,101883.000,14595,3,PR,1,100,57917
1752789134.804002,101923.000,14614,2,PR,1,100,57938
1752789134.844002,101963.000,14614,2,PR,1,100,57939
1752789134.884002,102003.000,14630,3,PR,1,100,57938
1752789134.924003,102043.000,14630,3,PR,1,100,57924
1752789134.964003,102083.000,14630,3,PR,1,100,57953
1752789135.004003,102123.000,14647,2,PR,1,100,57940
1752789135.044003,102163.000,14647,2,PR,1,100,57957
1752789135.088336,102207.333,14664,3,PR,1,100,57952
1752789135.132670,102251.667,14664,3,PR,1,100,57974
1752789135.177003,102296.000,14664,3,PR,1,100,57971
1752789135.217003,102336.000,14681,2,PR,1,100,57938
1752789135.257004,102376.000,14681,2,PR,1,100,57913
1752789135.297004,102416.000,14695,3,PR,1,100,57927
1752789135.337004,102456.000,14695,3,PR,1,100,57940
1752789135.377004,102496.000,14695,3,PR,1,100,57932
1752789135.417004,102536.000,14713,2,PR,1,100,57945
1752789135.457004,102576.000,14713,2,PR,1,100,57936
1752789135.497004,102616.000,14731,3,PR,1,100,57928
1752789135.537004,102656.000,14731,3,PR,1,100,57929
1752789135.577005,102696.000,14731,3,PR,1,100,57945
1752789135.617005,102736.000,14750,2,PR,1,100,57939
1752789135.657005,102776.000,14750,2,PR,1,100,57937
1752789135.697005,102816.000,14766,3,PR,1,100,57952
1752789135.737005,102856.000,14766,3,PR,1,100,57960
1752789135.777005,102896.000,14766,3,PR,1,100,57962
1752789135.817005,102936.000,14782,2,PR,1,100,57936
1752789135.857005,102976.000,14782,2,PR,1,100,57916
1752789135.897006,103016.000,14798,3,PR,1,100,57908
1752789135.937006,103056.000,14798,3,PR,1,100,57919
1752789135.977006,103096.000,14798,3,PR,1,100,57921
1752789136.017006,103136.000,14816,3,PR,1,100,57916
1752789136.057006,103176.000,14816,3,PR,1,100,57928
1752789136.097006,103216.000,14816,3,PR,1,100,57938
1752789136.137006,103256.000,14834,2,PR,1,100,57925
1752789136.177006,103296.000,14834,2,PR,1,100,57923
1752789136.217007,103336.000,14849,3,PR,1,100,57931
1752789136.257007,103376.000,14849,3,PR,1,100,57960
1752789136.297007,103416.000,14849,3,PR,1,100,57940
1752789136.337007,103456.000,14865,2,PR,1,100,57956
1752789136.377007,103496.000,14865,2,PR,1,100,57963
1752789136.417007,103536.000,14885,3,PR,1,100,57948
1752789136.457007,103576.000,14885,3,PR,1,100,57930
1752789136.497007,103616.000,14885,3,PR,1,100,57922
1752789136.537008,103656.000,14901,2,PR,1,100,57928
1752789136.577008,103696.000,14901,2,PR,1,100,57910
1752789136.617008,103736.000,14916,3,PR,1,100,57926
1752789136.657008,103776.000,14916,3,PR,1,100,57937
1752789136.697008,103816.000,14916,3,PR,1,100,57931
1752789136.737008,103856.000,14935,2,PR,1,100,57939
1752789136.777008,103896.000,14935,2,PR,1,100,57935
1752789136.817008,103936.000,14952,3,PR,1,100,57941
1752789136.857009,103976.000,14952,3,PR,1,100,57954
1752789136.897009,104016.000,14952,3,PR,1,100,57959
1752789136.937009,104056.000,14968,2,PR,1,100,57952
1752789136.977009,104096.000,14968,2,PR,1,100,57961
1752789137.017009,104136.000,14986,3,PR,1,100,57969
1752789137.057009,104176.000,14986,3,PR,1,100,57954
1752789137.097009,104216.000,14986,3,PR,1,100,57928
1752789137.137009,104256.000,15002,2,PR,1,100,57938
1752789137.177010,104296.000,15002,2,PR,1,100,57956
1752789137.217010,104336.000,15019,3,PR,1,100,57937
1752789137.257010,104376.000,15019,3,PR,1,100,57950
1752789137.297010,104416.000,15019,3,PR,1,100,57953
1752789137.337010,104456.000,15035,3,PR,1,100,57945
1752789137.377010,104496.000,15035,3,PR,1,100,57944
1752789137.417010,104536.000,15035,3,PR,1,100,57944
1752789137.457010,104576.000,15053,2,PR,1,100,57967
1752789137.497011,104616.000,15053,2,PR,1,100,57952
1752789137.537011,104656.000,15069,3,PR,1,100,57970
1752789137.577011,104696.000,15069,3,PR,1,100,57983
1752789137.617011,104736.000,15069,3,PR,1,100,57979
1752789137.657011,104776.000,15091,2,PR,1,100,57974
1752789137.697011,104816.000,15091,2,PR,1,100,57964
1752789137.737011,104856.000,15108,3,PR,1,100,57953
1752789137.777011,104896.000,15108,3,PR,1,100,57967
1752789137.817012,104936.000,15108,3,PR,1,100,57946
1752789137.857012,104976.000,15126,2,PR,1,100,57961
1752789137.897012,105016.000,15126,2,PR,1,100,57965
1752789137.937012,105056.000,15143,3,PR,1,100,57963
1752789137.977012,105096.000,15143,3,PR,1,100,57958
1752789138.017012,105136.000,15143,3,PR,1,100,57956
1752789138.057012,105176.000,15161,2,PR,1,100,57963
1752789138.097012,105216.000,15161,2,PR,1,100,57995
1752789138.137013,105256.000,15177,3,PR,1,100,57977
1752789138.177013,105296.000,15177,3,PR,1,100,57997
1752789138.217013,105336.000,15177,3,PR,1,100,58000
1752789138.257013,105376.000,15194,2,PR,1,100,57985
1752789138.297013,105416.000,15194,2,PR,1,100,57976
1752789138.337013,105456.000,15209,3,PR,1,100,57965
1752789138.377013,105496.000,15209,3,PR,1,100,57976
1752789138.417013,105536.000,15209,3,PR,1,100,57964
1752789138.457014,105576.000,15226,2,PR,1,100,57978
1752789138.497014,105616.000,15226,2,PR,1,100,57992
1752789138.537014,105656.000,15244,3,PR,1,100,57996
1752789138.577014,105696.000,15244,3,PR,1,100,57990
1752789138.617014,105736.000,15244,3,PR,1,100,57985
1752789138.657014,105776.000,15261,3,PR,1,100,57989
1752789138.697014,105816.000,15261,3,PR,1,100,58000
1752789138.737014,105856.000,15261,3,PR,1,100,58008
1752789138.777015,105896.000,15276,2,PR,1,100,57994
1752789138.817015,105936.000,15276,2,PR,1,100,57994
1752789138.857015,105976.000,15293,3,PR,1,100,57984
1752789138.897015,106016.000,15293,3,PR,1,100,57977
1752789138.937015,106056.000,15293,3,PR,1,100,57958
1752789138.977015,106096.000,15311,2,PR,1,100,57959
1752789139.017015,106136.000,15311,2,PR,1,100,57990
1752789139.057015,106176.000,15329,3,PR,1,100,57976
1752789139.097016,106216.000,15329,3,PR,1,100,57993
1752789139.137016,106256.000,15329,3,PR,1,100,57978
1752789139.177016,106296.000,15345,2,PR,1,100,57999
1752789139.217016,106336.000,15345,2,PR,1,100,57982
1752789139.257016,106376.000,15362,3,PR,1,100,57996
1752789139.297016,106416.000,15362,3,PR,1,100,58006
1752789139.337016,106456.000,15362,3,PR,1,100,57994
1752789139.377016,106496.000,15379,2,PR,1,100,57989
1752789139.417017,106536.000,15379,2,PR,1,100,57994
1752789139.457017,106576.000,15398,3,PR,1,100,57987
1752789139.497017,106616.000,15398,3,PR,1,100,57978
1752789139.537017,106656.000,15398,3,PR,1,100,57980
1752789139.577017,106696.000,15412,2,PR,1,100,57979
1752789139.617017,106736.000,15412,2,PR,1,100,58000
1752789139.657017,106776.000,15431,3,PR,1,100,57999
1752789139.697017,106816.000,15431,3,PR,1,100,58000
1752789139.737018,106856.000,15431,3,PR,1,100,58001
1752789139.777018,106896.000,15450,2,PR,1,100,58010
1752789139.817018,106936.000,15450,2,PR,1,100,58007
1752789139.857018,106976.000,15467,3,PR,1,100,57999
1752789139.897018,107016.000,15467,3,PR,1,100,57999
1752789139.937018,107056.000,15467,3,PR,1,100,58014
1752789139.983518,107102.500,15483,2,PR,1,100,58005
1752789140.030018,107149.000,15483,2,PR,1,100,58015
1752789140.070019,107189.000,15501,3,PR,1,100,58019
1752789140.110019,107229.000,15501,3,PR,1,100,57996
1752789140.150019,107269.000,15501,3,PR,1,100,57990
1752789140.190019,107309.000,15517,2,PR,1,100,57991
1752789140.230019,107349.000,15517,2,PR,1,100,57990
1752789140.270019,107389.000,15534,3,PR,1,100,57991
1752789140.310019,107429.000,15534,3,PR,1,100,58006
1752789140.350019,107469.000,15534,3,PR,1,100,58002
1752789140.390020,107509.000,15554,2,PR,1,100,58008
1752789140.430020,107549.000,15554,2,PR,1,100,57998
1752789140.470020,107589.000,15570,3,PR,1,100,58013
1752789140.510020,107629.000,15570,3,PR,1,100,58020
1752789140.550020,107669.000,15570,3,PR,1,100,58037
1752789140.590020,107709.000,15586,2,PR,1,100,58026
1752789140.630020,107749.000,15586,2,PR,1,100,58024
1752789140.670020,107789.000,15604,3,PR,1,100,58037
1752789140.710021,107829.000,15604,3,PR,1,100,58035
1752789140.750021,107869.000,15604,3,PR,1,100,58018
1752789140.790021,107909.000,15620,2,PR,1,100,58009
1752789140.830021,107949.000,15620,2,PR,1,100,58021
1752789140.870021,107989.000,15637,3,PR,1,100,58018
1752789140.910021,108029.000,15637,3,PR,1,100,58023
1752789140.950021,108069.000,15637,3,PR,1,100,58021
1752789140.990021,108109.000,15655,3,PR,1,100,58030
1752789141.030022,108149.000,15655,3,PR,1,100,58019
1752789141.070022,108189.000,15655,3,PR,1,100,58034
1752789141.110022,108229.000,15673,2,PR,1,100,58023
1752789141.150022,108269.000,15673,2,PR,1,100,58037
1752789141.190022,108309.000,15689,3,PR,1,100,58038
1752789141.230022,108349.000,15689,3,PR,1,100,58039
1752789141.270022,108389.000,15689,3,PR,1,100,58047
1752789141.310022,108429.000,15704,2,PR,1,100,58060
1752789141.350023,108469.000,15704,2,PR,1,100,58046
1752789141.390023,108509.000,15721,3,PR,1,100,58020
1752789141.430023,108549.000,15721,3,PR,1,100,58024
1752789141.470023,108589.000,15721,3,PR,1,100,58036
1752789141.510023,108629.000,15738,2,PR,1,100,58028
1752789141.550023,108669.000,15738,2,PR,1,100,58035
1752789141.590023,108709.000,15754,3,PR,1,100,58045
1752789141.630023,108749.000,15754,3,PR,1,100,58040
1752789141.670024,108789.000,15754,3,PR,1,100,58037
1752789141.710024,108829.000,15774,2,PR,1,100,58034
1752789141.750024,108869.000,15774,2,PR,1,100,58041
1752789141.790024,108909.000,15790,3,PR,1,100,58045
1752789141.830024,108949.000,15790,3,PR,1,100,58056
1752789141.870024,108989.000,15790,3,PR,1,100,58048
1752789141.910024,109029.000,15807,2,PR,1,100,58052
1752789141.950024,109069.000,15807,2,PR,1,100,58048
1752789141.990025,109109.000,15823,3,PR,1,100,58032
1752789142.030025,109149.000,15823,3,PR,1,100,58015
1752789142.070025,109189.000,15823,3,PR,1,100,58025
1752789142.110025,109229.000,15841,2,PR,1,100,58039
1752789142.150025,109269.000,15841,2,PR,1,100,58040
1752789142.190025,109309.000,15859,3,PR,1,100,58049
1752789142.230025,109349.000,15859,3,PR,1,100,58058
1752789142.270025,109389.000,15859,3,PR,1,100,58054
1752789142.310026,109429.000,15878,2,PR,1,100,58046
1752789142.350026,109469.000,15878,2,PR,1,100,58050
1752789142.390026,109509.000,15895,3,PR,1,100,58072
1752789142.430026,109549.000,15895,3,PR,1,100,58059
1752789142.470026,109589.000,15895,3,PR,1,100,58055
1752789142.510026,109629.000,15910,3,PR,1,100,58053
1752789142.550026,109669.000,15910,3,PR,1,100,58047
1752789142.590026,109709.000,15910,3,PR,1,100,58037
1752789142.630027,109749.000,15926,2,PR,1,100,58033
1752789142.670027,109789.000,15926,2,PR,1,100,58036
1752789142.710027,109829.000,15949,3,PR,1,100,58025
1752789142.750027,109869.000,15949,3,PR,1,100,58036
1752789142.790027,109909.000,15949,3,PR,1,100,58041
1752789142.830027,109949.000,15965,2,PR,1,100,58029
1752789142.870027,109989.000,15965,2,PR,1,100,58036
1752789142.910027,110029.000,15985,3,PR,1,100,58043
1752789142.950028,110069.000,15985,3,PR,1,100,58034
1752789142.990028,110109.000,15985,3,PR,1,100,58027
1752789143.030028,110149.000,16001,2,PR,1,100,58036
1752789143.070028,110189.000,16001,2,PR,1,100,58042
1752789143.110028,110229.000,16018,3,PR,1,100,58021
1752789143.150028,110269.000,16018,3,PR,1,100,58022
1752789143.190028,110309.000,16018,3,PR,1,100,58025
1752789143.230028,110349.000,16034,2,PR,1,100,58011
1752789143.270029,110389.000,16034,2,PR,1,100,58017
1752789143.310029,110429.000,16051,3,PR,1,100,58031
1752789143.350029,110469.000,16051,3,PR,1,100,58029
1752789143.390029,110509.000,16051,3,PR,1,100,58022
1752789143.430029,110549.000,16068,2,PR,1,100,58035
1752789143.470029,110589.000,16068,2,PR,1,100,58037
1752789143.510029,110629.000,16085,3,PR,1,100,58037
1752789143.550029,110669.000,16085,3,PR,1,100,58046
1752789143.590030,110709.000,16085,3,PR,1,100,58043
1752789143.630030,110749.000,16101,2,PR,1,100,58026
1752789143.670030,110789.000,16101,2,PR,1,100,58024
1752789143.710030,110829.000,16119,3,PR,1,100,58037
1752789143.750030,110869.000,16119,3,PR,1,100,58036
1752789143.790030,110909.000,16119,3,PR,1,100,58029
1752789143.830030,110949.000,16135,2,PR,1,100,58041
1752789143.870030,110989.000,16135,2,PR,1,100,58029
1752789143.910031,111029.000,16154,3,PR,1,100,58036
1752789143.950031,111069.000,16154,3,PR,1,100,58055
1752789143.990031,111109.000,16154,3,PR,1,100,58056
1752789144.030031,111149.000,16171,3,PR,1,100,58005
1752789144.070031,111189.000,16171,3,PR,1,100,58059
1752789144.110031,111229.000,16171,3,PR,1,100,58064
1752789144.150031,111269.000,16188,2,PR,1,100,58063
1752789144.190031,111309.000,16188,2,PR,1,100,58055
1752789144.230032,111349.000,16202,3,PR,1,100,58061
1752789144.270032,111389.000,16202,3,PR,1,100,58052
1752789144.310032,111429.000,16202,3,PR,1,100,58031
1752789144.350032,111469.000,16219,2,PR,1,100,58034
1752789144.390032,111509.000,16219,2,PR,1,100,58024
1752789144.430032,111549.000,16236,3,PR,1,100,58028
1752789144.470032,111589.000,16236,3,PR,1,100,58039
1752789144.510032,111629.000,16236,3,PR,1,100,58034
1752789144.550033,111669.000,16253,2,PR,1,100,58039
1752789144.590033,111709.000,16253,2,PR,1,100,58046
1752789144.630033,111749.000,16269,3,PR,1,100,58035
1752789144.670033,111789.000,16269,3,PR,1,100,58038
1752789144.710033,111829.000,16269,3,PR,1,100,58049
1752789144.750033,111869.000,16287,2,PR,1,100,58049
1752789144.790033,111909.000,16287,2,PR,1,100,58050
1752789144.830033,111949.000,16307,3,PR,1,100,58037
1752789144.870034,111989.000,16307,3,PR,1,100,58047
1752789144.910034,112029.000,16307,3,PR,1,100,58031
1752789144.956534,112075.500,16324,2,PR,1,100,58030
1752789145.003034,112122.000,16324,2,PR,1,100,58029
1752789145.043034,112162.000,16339,3,PR,1,100,58029
1752789145.083034,112202.000,16339,3,PR,1,100,58023
1752789145.123034,112242.000,16339,3,PR,1,100,58027
1752789145.163034,112282.000,16356,2,PR,1,100,58026
1752789145.203035,112322.000,16356,2,PR,1,100,58038
1752789145.243035,112362.000,16374,3,PR,1,100,58039
