LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752789132.519995,99639.000,14221,2,RD,1,100,TL
1752789132.519995,99639.000,14221,2,RD,1,100,TU
1752789135.090503,102209.500,15086,2,RD,1,100,TL
1752789137.661011,104780.000,15086,2,RD,1,100,TU
1752789140.214019,107333.000,15944,2,RD,1,100,TL
1752789142.767027,109886.000,15944,2,RD,1,100,TU
1752789145.334035,112453.000,16816,2,RD,1,100,TL
1752789147.901043,115020.000,16816,2,RD,1,100,TU
1752789150.455051,117574.000,17671,2,RD,1,100,TL
1752789153.009059,120128.000,17671,2,RD,1,100,TU
1752789155.572567,122691.500,18528,2,RD,1,100,TL
1752789158.136075,125255.000,18528,2,RD,1,100,TU
1752789160.687083,127806.000,19393,2,RD,1,100,TL
1752789163.238091,130357.000,19393,2,RD,1,100,TU
1752789165.807099,132926.000,20264,2,RD,1,100,TL
1752789168.376107,135495.000,20264,2,RD,1,100,TU
1752789170.929615,138048.500,21127,2,RD,1,100,TL
1752789173.483123,140602.000,21127,2,RD,1,100,TU
1752789176.053131,143172.000,22011,2,RD,1,100,TL
1752789178.623139,145742.000,22011,2,RD,1,100,TU
1752789181.178647,148297.500,22871,2,RD,1,100,TL
1752789183.734155,150853.000,22871,2,RD,1,100,TU
1752789186.287663,153406.500,23734,2,RD,1,100,TL
1752789188.841171,155960.000,23734,2,RD,1,100,TU
1752789191.401179,158520.000,24618,2,RD,1,100,TL
1752789193.961187,161080.000,24618,2,RD,1,100,TU
1752789196.515695,163634.500,25481,2,RD,1,100,TL
1752789199.070203,166189.000,25481,2,RD,1,100,TU
1752789201.643711,168762.500,26365,2,RD,1,100,TL
1752789204.217219,171336.000,26365,2,RD,1,100,TU
1752789206.770727,173889.500,27227,2,RD,1,100,TL
1752789209.324235,176443.000,27227,2,RD,1,100,TU
1752789211.897243,179016.000,28095,2,RD,1,100,TL
1752789214.470251,181589.000,28095,2,RD,1,100,TU
1752789217.023259,184142.000,28952,2,RD,1,100,TL
1752789219.576267,186695.000,28952,2,RD,1,100,TU
1752789222.135274,189254.000,29808,2,RD,1,100,TL
1752789224.694282,191813.000,29808,2,RD,1,100,TU
1752789227.247290,194366.000,30658,2,RD,1,100,TL
1752789229.800298,196919.000,30658,2,RD,1,100,TU
1752789232.368806,199487.500,31544,2,RD,1,100,TL
1752789234.937314,202056.000,31544,2,RD,1,100,TU
1752789237.493322,204612.000,32407,2,RD,1,100,TL
1752789240.049330,207168.000,32407,2,RD,1,100,TU
1752789242.616338,209735.000,33281,2,RD,1,100,TL
1752789245.183346,212302.000,33281,2,RD,1,100,TU
1752789247.743354,214862.000,34146,2,RD,1,100,TL
1752789250.303362,217422.000,34146,2,RD,1,100,TU
1752789252.862870,219981.500,35011,2,RD,1,100,TL
1752789255.422378,222541.000,35011,2,RD,1,100,TU
1752789257.990386,225109.000,35873,2,RD,1,100,TL
1752789260.558394,227677.000,35873,2,RD,1,100,TU
1752789263.111902,230230.500,36740,2,RD,1,100,TL
1752789265.665410,232784.000,36740,2,RD,1,100,TU
1752789268.224418,235343.000,37601,2,RD,1,100,TL
1752789270.783426,237902.000,37601,2,RD,1,100,TU
1752789273.343434,240462.000,38467,2,RD,1,100,TL
1752789275.903442,243022.000,38467,2,RD,1,100,TU
1752789278.461450,245580.000,39330,2,RD,1,100,TL
1752789281.019458,248138.000,39330,2,RD,1,100,TU
1752789283.580966,250699.500,40206,2,RD,1,100,TL
1752789286.142474,253261.000,40206,2,RD,1,100,TU
1752789288.702482,255821.000,41073,2,RD,1,100,TL
1752789291.262490,258381.000,41073,2,RD,1,100,TU
1752789293.816998,260935.500,41942,2,RD,1,100,TL
1752789296.371506,263490.000,41942,2,RD,1,100,TU
1752789298.934514,266053.000,42806,2,RD,1,100,TL
1752789301.497522,268616.000,42806,2,RD,1,100,TU
1752789304.061030,271179.500,43677,2,RD,1,100,TL
1752789306.624538,273743.000,43677,2,RD,1,100,TU
1752789309.182046,276300.500,44546,2,RD,1,100,TL
1752789311.739554,278858.000,44546,2,RD,1,100,TU
1752789314.297062,281415.500,45414,2,RD,1,100,TL
1752789316.854570,283973.000,45414,2,RD,1,100,TU
1752789319.416578,286535.000,46281,2,RD,1,100,TL
1752789321.978586,289097.000,46281,2,RD,1,100,TU
1752789324.538094,291656.500,47146,2,RD,1,100,TL
1752789327.097602,294216.000,47146,2,RD,1,100,TU
1752789329.661610,296780.000,48014,2,RD,1,100,TL
1752789332.225618,299344.000,48014,2,RD,1,100,TU
