LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752789130.962990,98082,14100,1,SR,1,100,0.733333
1752789131.962993,99082,14150,1,SR,1,100,0.066667
1752789132.495995,99615,14274,1,SR,1,100,0.266667
1752789134.629002,101748,14592,1,SR,1,100,0.066667
1752789135.363004,102482,14729,1,SR,1,100,0.066667
1752789135.696005,102815,14882,1,SR,1,100,0.666667
1752789136.630008,103749,14983,1,SR,1,100,0.333333
1752789137.762011,104881,15124,1,SR,1,100,0.066667
1752789138.229013,105348,15309,1,SR,1,100,0.733333
1752789139.363016,106482,15396,1,SR,1,100,0.066667
1752789139.829018,106948,15481,1,SR,1,100,0.133333
1752789140.095019,107214,15551,1,SR,1,100,0.266667
1752789140.629020,107748,15635,1,SR,1,100,0.266667
1752789141.296022,108415,15771,1,SR,1,100,0.333333
1752789142.028025,109147,15839,1,SR,1,100,0.066667
1752789142.229025,109348,15876,1,SR,1,100,0.066667
1752789142.828027,109947,15983,1,SR,1,100,0.066667
1752789143.162028,110281,16133,1,SR,1,100,0.666667
1752789144.229032,111348,16305,1,SR,1,100,0.533333
1752789144.895034,112014,16407,1,SR,1,100,0.533333
1752789145.962037,113081,16526,1,SR,1,100,0.133333
1752789146.228038,113347,16578,1,SR,1,100,0.200000
1752789146.562039,113681,16696,1,SR,1,100,0.533333
1752789147.495042,114614,16836,1,SR,1,100,0.466667
1752789148.228044,115347,16988,1,SR,1,100,0.666667
1752789149.428048,116547,17108,1,SR,1,100,0.133333
1752789149.828049,116947,17262,1,SR,1,100,0.600000
1752789150.561051,117680,17347,1,SR,1,100,0.466667
1752789151.294054,118413,17517,1,SR,1,100,0.666667
1752789152.094056,119213,17551,1,SR,1,100,0.133333
1752789152.628058,119747,17775,1,SR,1,100,0.933333
1752789153.961062,121080,17964,1,SR,1,100,0.800000
1752789155.427066,122546,18250,1,SR,1,100,1.000000
1752789156.560070,123679,18317,1,SR,1,100,0.266667
1752789156.960071,124079,18354,1,SR,1,100,0.066667
1752789157.294072,124413,18424,1,SR,1,100,0.133333
1752789157.694074,124813,18509,1,SR,1,100,0.266667
1752789158.227075,125346,18583,1,SR,1,100,0.133333
1752789158.760077,125879,18653,1,SR,1,100,0.066667
1752789159.493079,126612,18789,1,SR,1,100,0.133333
1752789159.760080,126879,18825,1,SR,1,100,0.066667
1752789160.360082,127479,18962,1,SR,1,100,0.200000
1752789160.693083,127812,19030,1,SR,1,100,0.333333
1752789161.293085,128412,19115,1,SR,1,100,0.266667
1752789161.693086,128812,19169,1,SR,1,100,0.133333
1752789161.960087,129079,19222,1,SR,1,100,0.133333
1752789162.360088,129479,19289,1,SR,1,100,0.133333
1752789163.026090,130145,19430,1,SR,1,100,0.333333
1752789163.626092,130745,19480,1,SR,1,100,0.066667
1752789164.226094,131345,19600,1,SR,1,100,0.133333
1752789164.760096,131879,19721,1,SR,1,100,0.266667
1752789165.293097,132412,19789,1,SR,1,100,0.200000
1752789165.893099,133012,19892,1,SR,1,100,0.200000
1752789166.359101,133478,20077,1,SR,1,100,0.866667
1752789167.627105,134746,20181,1,SR,1,100,0.133333
1752789168.160106,135279,20268,1,SR,1,100,0.133333
1752789168.426107,135545,20306,1,SR,1,100,0.133333
1752789168.692108,135811,20392,1,SR,1,100,0.333333
1752789169.292110,136411,20474,1,SR,1,100,0.266667
1752789169.960112,137079,20562,1,SR,1,100,0.066667
1752789170.559114,137678,20665,1,SR,1,100,0.133333
1752789171.093115,138212,20766,1,SR,1,100,0.200000
1752789171.693117,138812,20904,1,SR,1,100,0.400000
1752789172.359119,139478,20988,1,SR,1,100,0.200000
1752789172.692120,139811,21041,1,SR,1,100,0.200000
1752789173.026121,140145,21093,1,SR,1,100,0.200000
1752789173.359122,140478,21132,1,SR,1,100,0.066667
1752789173.559123,140678,21201,1,SR,1,100,0.200000
1752789173.892124,141011,21236,1,SR,1,100,0.066667
1752789174.092125,141211,21273,1,SR,1,100,0.133333
1752789174.492126,141611,21340,1,SR,1,100,0.066667
1752789174.692127,141811,21379,1,SR,1,100,0.133333
1752789175.092128,142211,21465,1,SR,1,100,0.266667
1752789175.625129,142744,21533,1,SR,1,100,0.133333
1752789176.159131,143278,21633,1,SR,1,100,0.133333
1752789176.425132,143544,21671,1,SR,1,100,0.066667
1752789176.759133,143878,21738,1,SR,1,100,0.133333
1752789177.425135,144544,21824,1,SR,1,100,0.066667
1752789177.892137,145011,21925,1,SR,1,100,0.200000
1752789178.492138,145611,22032,1,SR,1,100,0.133333
1752789179.025140,146144,22137,1,SR,1,100,0.266667
1752789179.558142,146677,22222,1,SR,1,100,0.266667
1752789180.091143,147210,22343,1,SR,1,100,0.400000
1752789181.159147,148278,22509,1,SR,1,100,0.400000
1752789181.824149,148943,22578,1,SR,1,100,0.066667
1752789182.291150,149410,22683,1,SR,1,100,0.200000
1752789182.758152,149877,22786,1,SR,1,100,0.400000
1752789183.292153,150411,22837,1,SR,1,100,0.200000
1752789183.624154,150743,22877,1,SR,1,100,0.066667
1752789184.492157,151611,23045,1,SR,1,100,0.200000
1752789185.092159,152211,23149,1,SR,1,100,0.133333
1752789185.491160,152610,23202,1,SR,1,100,0.066667
1752789185.691161,152810,23255,1,SR,1,100,0.200000
1752789186.157162,153276,23305,1,SR,1,100,0.066667
1752789186.357163,153476,23341,1,SR,1,100,0.066667
1752789186.691164,153810,23441,1,SR,1,100,0.266667
1752789187.225166,154344,23496,1,SR,1,100,0.066667
1752789187.824168,154943,23597,1,SR,1,100,0.066667
1752789188.024168,155143,23666,1,SR,1,100,0.333333
1752789188.624170,155743,23740,1,SR,1,100,0.066667
1752789188.824171,155943,23776,1,SR,1,100,0.066667
1752789189.024171,156143,23826,1,SR,1,100,0.266667
1752789189.557173,156676,23895,1,SR,1,100,0.066667
1752789190.291175,157410,24034,1,SR,1,100,0.200000
1752789190.757177,157876,24118,1,SR,1,100,0.200000
1752789191.357179,158476,24188,1,SR,1,100,0.066667
1752789191.957180,159076,24290,1,SR,1,100,0.066667
1752789192.290181,159409,24391,1,SR,1,100,0.333333
1752789192.890183,160009,24460,1,SR,1,100,0.066667
1752789193.090184,160209,24496,1,SR,1,100,0.066667
1752789193.290185,160409,24532,1,SR,1,100,0.066667
1752789193.624186,160743,24584,1,SR,1,100,0.133333
1752789194.023187,161142,24658,1,SR,1,100,0.066667
1752789194.223187,161342,24691,1,SR,1,100,0.133333
1752789194.490188,161609,24729,1,SR,1,100,0.066667
1752789194.823189,161942,24798,1,SR,1,100,0.133333
1752789195.223191,162342,24867,1,SR,1,100,0.066667
1752789195.423191,162542,24936,1,SR,1,100,0.266667
1752789196.090193,163209,25004,1,SR,1,100,0.066667
1752789196.556195,163675,25124,1,SR,1,100,0.333333
1752789197.156197,164275,25207,1,SR,1,100,0.200000
1752789197.623198,164742,25294,1,SR,1,100,0.200000
1752789198.224200,165343,25411,1,SR,1,100,0.400000
1752789199.023202,166142,25553,1,SR,1,100,0.400000
1752789199.689205,166808,25624,1,SR,1,100,0.066667
1752789200.156206,167275,25726,1,SR,1,100,0.200000
1752789200.489207,167608,25762,1,SR,1,100,0.133333
1752789200.889208,168008,25815,1,SR,1,100,0.066667
1752789201.489210,168608,25914,1,SR,1,100,0.066667
1752789201.689211,168808,25952,1,SR,1,100,0.066667
1752789201.889211,169008,26037,1,SR,1,100,0.333333
1752789202.623214,169742,26138,1,SR,1,100,0.266667
1752789203.156215,170275,26205,1,SR,1,100,0.066667
1752789203.356216,170475,26243,1,SR,1,100,0.066667
1752789203.556217,170675,26276,1,SR,1,100,0.133333
1752789203.822217,170941,26345,1,SR,1,100,0.200000
1752789204.156218,171275,26435,1,SR,1,100,0.400000
1752789204.956221,172075,26558,1,SR,1,100,0.333333
1752789205.423222,172542,26609,1,SR,1,100,0.133333
1752789205.689223,172808,26645,1,SR,1,100,0.066667
1752789206.023224,173142,26712,1,SR,1,100,0.200000
1752789206.489226,173608,26781,1,SR,1,100,0.066667
1752789207.089228,174208,26884,1,SR,1,100,0.066667
1752789207.289228,174408,26970,1,SR,1,100,0.466667
1752789207.889230,175008,27003,1,SR,1,100,0.066667
1752789208.089231,175208,27106,1,SR,1,100,0.466667
1752789208.822233,175941,27175,1,SR,1,100,0.133333
1752789209.222234,176341,27247,1,SR,1,100,0.066667
1752789210.755239,177874,27502,1,SR,1,100,0.066667
1752789210.955240,178074,27570,1,SR,1,100,0.333333
1752789212.222244,179341,27756,1,SR,1,100,0.200000
1752789212.555245,179674,27808,1,SR,1,100,0.133333
1752789212.955246,180074,27925,1,SR,1,100,0.400000
1752789214.155250,181274,28101,1,SR,1,100,0.266667
1752789214.555251,181674,28136,1,SR,1,100,0.066667
1752789214.755251,181874,28189,1,SR,1,100,0.133333
1752789215.421254,182540,28290,1,SR,1,100,0.066667
1752789215.755255,182874,28360,1,SR,1,100,0.200000
1752789216.621257,183740,28577,1,SR,1,100,0.600000
1752789217.354260,184473,28613,1,SR,1,100,0.133333
1752789218.421263,185540,28798,1,SR,1,100,0.200000
1752789218.887264,186006,28901,1,SR,1,100,0.266667
1752789219.287266,186406,28957,1,SR,1,100,0.266667
1752789220.487269,187606,29126,1,SR,1,100,0.133333
1752789220.754270,187873,29193,1,SR,1,100,0.266667
1752789221.421272,188540,29296,1,SR,1,100,0.200000
1752789221.887274,189006,29382,1,SR,1,100,0.200000
1752789222.354275,189473,29548,1,SR,1,100,0.733333
1752789223.220278,190339,29585,1,SR,1,100,0.066667
1752789224.220281,191339,29737,1,SR,1,100,0.066667
1752789224.420282,191539,29882,1,SR,1,100,0.600000
