LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752789131.703993,98823.000,14086,1,TH,1,100,35.521
1752789131.837993,98957.000,14108,1,TH,1,100,35.410
1752789131.970993,99090.000,14139,1,TH,1,100,35.417
1752789132.103994,99223.000,14158,1,TH,1,100,35.390
1752789132.237994,99357.000,14175,1,TH,1,100,35.390
1752789132.370995,99490.000,14209,1,TH,1,100,35.466
1752789132.503995,99623.000,14230,1,TH,1,100,35.466
1752789132.636995,99756.000,14247,1,TH,1,100,35.405
1752789132.770996,99890.000,14281,1,TH,1,100,35.405
1752789132.903996,100023.000,14297,1,TH,1,100,35.501
1752789133.036997,100156.000,14314,1,TH,1,100,35.508
1752789133.170997,100290.000,14348,1,TH,1,100,35.473
1752789133.303998,100423.000,14364,1,TH,1,100,35.473
1752789133.436998,100556.000,14382,1,TH,1,100,35.493
1752789133.570998,100690.000,14413,1,TH,1,100,35.493
1752789133.703999,100823.000,14432,1,TH,1,100,35.359
1752789133.836999,100956.000,14449,1,TH,1,100,35.366
1752789133.971000,101090.000,14465,1,TH,1,100,35.485
1752789134.104000,101223.000,14497,1,TH,1,100,35.485
1752789134.237000,101356.000,14514,1,TH,1,100,35.485
1752789134.371001,101490.000,14532,1,TH,1,100,35.485
1752789134.504001,101623.000,14564,1,TH,1,100,35.462
1752789134.637002,101756.000,14581,1,TH,1,100,35.469
1752789134.771002,101890.000,14600,1,TH,1,100,35.504
1752789134.904002,102023.000,14635,1,TH,1,100,35.504
1752789135.037003,102156.000,14652,1,TH,1,100,35.466
1752789135.171003,102290.000,14669,1,TH,1,100,35.474
1752789135.304004,102423.000,14700,1,TH,1,100,35.528
1752789135.437004,102556.000,14718,1,TH,1,100,35.528
1752789135.571005,102690.000,14736,1,TH,1,100,35.545
1752789135.704005,102823.000,14770,1,TH,1,100,35.545
1752789135.837005,102956.000,14787,1,TH,1,100,35.474
1752789135.970006,103089.000,14803,1,TH,1,100,35.481
1752789136.104006,103223.000,14821,1,TH,1,100,35.468
1752789136.237007,103356.000,14854,1,TH,1,100,35.468
1752789136.370007,103489.000,14870,1,TH,1,100,35.500
1752789136.504007,103623.000,14890,1,TH,1,100,35.500
1752789136.637008,103756.000,14921,1,TH,1,100,35.520
1752789136.770008,103889.000,14940,1,TH,1,100,35.527
1752789136.904009,104023.000,14957,1,TH,1,100,35.568
1752789137.037009,104156.000,14991,1,TH,1,100,35.568
1752789137.170010,104289.000,15007,1,TH,1,100,35.514
1752789137.304010,104423.000,15024,1,TH,1,100,35.514
1752789137.437010,104556.000,15058,1,TH,1,100,35.521
1752789137.570011,104689.000,15074,1,TH,1,100,35.521
1752789137.704011,104823.000,15096,1,TH,1,100,35.472
1752789137.837012,104956.000,15130,1,TH,1,100,35.479
1752789137.970012,105089.000,15148,1,TH,1,100,35.504
1752789138.104012,105223.000,15166,1,TH,1,100,35.504
1752789138.237013,105356.000,15182,1,TH,1,100,35.580
1752789138.370013,105489.000,15214,1,TH,1,100,35.580
1752789138.504014,105623.000,15231,1,TH,1,100,35.624
1752789138.637014,105756.000,15249,1,TH,1,100,35.631
1752789138.770015,105889.000,15281,1,TH,1,100,35.589
1752789138.904015,106023.000,15298,1,TH,1,100,35.589
1752789139.037015,106156.000,15316,1,TH,1,100,35.594
1752789139.170016,106289.000,15350,1,TH,1,100,35.594
1752789139.304016,106423.000,15367,1,TH,1,100,35.584
1752789139.437017,106556.000,15384,1,TH,1,100,35.584
1752789139.570017,106689.000,15417,1,TH,1,100,35.567
1752789139.703017,106822.000,15436,1,TH,1,100,35.574
1752789139.837018,106956.000,15455,1,TH,1,100,35.658
1752789139.970018,107089.000,15488,1,TH,1,100,35.658
1752789140.104019,107223.000,15506,1,TH,1,100,35.500
1752789140.237019,107356.000,15522,1,TH,1,100,35.500
1752789140.370020,107489.000,15558,1,TH,1,100,35.610
1752789140.503020,107622.000,15575,1,TH,1,100,35.618
1752789140.637020,107756.000,15591,1,TH,1,100,35.511
1752789140.770021,107889.000,15609,1,TH,1,100,35.511
1752789140.903021,108022.000,15642,1,TH,1,100,35.580
