RD,TS_received,TS_sent,AK,RoundTrip,
99639,99650,2025-07-17_17-52-12-525999,99651,11,
104780,104791,2025-07-17_17-52-17-663942,104792,11,
109886,109897,2025-07-17_17-52-22-774076,109898,11,
115020,115070,2025-07-17_17-52-27-904195,115071,50,
120128,125248,2025-07-17_17-52-33-020629,125249,5120,
125255,125263,2025-07-17_17-52-38-140827,125264,8,
130357,130368,2025-07-17_17-52-43-245252,130369,11,
135495,135521,2025-07-17_17-52-48-381195,135522,26,
140602,140614,2025-07-17_17-52-53-487887,140615,12,
145742,145755,2025-07-17_17-52-58-628684,145756,13,
150853,150866,2025-07-17_17-53-03-744150,150868,13,
155960,155972,2025-07-17_17-53-08-848319,155973,12,
161080,161107,2025-07-17_17-53-13-977070,161108,27,
166189,166198,2025-07-17_17-53-19-073463,166199,9,
171336,171345,2025-07-17_17-53-24-221948,171346,9,
176443,176451,2025-07-17_17-53-29-327652,176452,8,
181589,181602,2025-07-17_17-53-34-480070,181603,13,
186695,191809,2025-07-17_17-53-39-588910,191810,5114,
191813,191835,2025-07-17_17-53-44-701490,191836,22,
196919,196928,2025-07-17_17-53-49-804426,196929,9,
202056,202075,2025-07-17_17-53-54-949800,202076,19,
207168,212295,2025-07-17_17-54-00-054238,212300,5127,
212302,212312,2025-07-17_17-54-05-186834,212313,10,
217422,217433,2025-07-17_17-54-10-307527,217434,11,
222541,222566,2025-07-17_17-54-15-430402,222568,25,
227677,227704,2025-07-17_17-54-20-565062,227705,27,
232784,232793,2025-07-17_17-54-25-670205,232796,9,
237902,237912,2025-07-17_17-54-30-788597,237913,10,
243022,243030,2025-07-17_17-54-35-906301,243031,8,
248138,248150,2025-07-17_17-54-41-022914,248151,12,
253261,253291,2025-07-17_17-54-46-157111,253294,30,
258381,258390,2025-07-17_17-54-51-267074,258391,9,
263490,263497,2025-07-17_17-54-56-375006,263499,7,
268616,268628,2025-07-17_17-55-01-503922,268629,12,
273743,273760,2025-07-17_17-55-06-633170,273761,17,
278858,278880,2025-07-17_17-55-11-744250,278881,22,
283973,284016,2025-07-17_17-55-16-862222,284017,43,
289097,289106,2025-07-17_17-55-21-983768,289107,9,
294216,294239,2025-07-17_17-55-27-111235,294240,23,
299344,299353,2025-07-17_17-55-32-229681,299357,9,
304468,304478,2025-07-17_17-55-37-353265,304479,10,
309585,309605,2025-07-17_17-55-42-470795,309606,20,
314709,314743,2025-07-17_17-55-47-595704,314744,34,
319838,319878,2025-07-17_17-55-52-731162,319879,40,
324964,324975,2025-07-17_17-55-57-851172,324976,11,
330079,330089,2025-07-17_17-56-02-966779,330090,10,
