LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
-8.239997558519242e-06,-7.599108859523301e-05,-1.0071108127079073e-05,-0.0003286843470564897,0.0
-1.098666341135899e-05,0.0006903286843470564,-1.3733329264198735e-05,0.0007782219916379283,0.008
-8.239997558519242e-06,0.0002948088015381328,3.6622211371196626e-06,0.0001702932828760643,0.016
-1.6479995117038484e-05,0.0008212530899990843,1.0071108127079073e-05,0.0009082308420056764,0.024
-2.838221381267739e-05,0.0005685598315378277,9.155552842799156e-06,0.0002838221381267739,0.032
-3.295999023407697e-05,0.0008130130924405651,1.0071108127079073e-05,0.0004925687429425947,0.04
-3.204443494979705e-05,1.098666341135899e-05,1.922666096987823e-05,-0.0008679464094973601,0.048
-3.1128879665517136e-05,0.0007022309030426953,2.2888882106997894e-05,0.0001272621845149083,0.056
-3.1128879665517136e-05,0.00026734214300973535,1.1902218695638903e-05,-0.0008212530899990843,0.064
-3.845332193975646e-05,0.0005264442884609515,9.155552842799156e-06,-0.0006097598193304238,0.072
-4.0284432508316294e-05,0.0006820886867885371,1.8311105685598313e-06,-0.00040650654622028255,0.08
-3.47911008026368e-05,0.001345866267891476,-3.936887722403637e-05,0.00033143101290932945,0.088
-2.6551103244117554e-05,0.0017999816888943144,-8.514664143803215e-05,0.0007223731192968534,0.096
-2.4719992675557722e-05,0.0018842127750480664,-8.789330729087191e-05,0.0008294930875576036,0.104
-2.105777153843806e-05,0.001942808313241981,-9.247108371227149e-05,0.0008862575151829584,0.112
-2.0142216254158147e-05,0.0018512527848139895,-9.247108371227149e-05,0.0006765953550828578,0.12
-2.105777153843806e-05,0.001748710592974639,-8.514664143803215e-05,0.000510879848628193,0.128
-2.2888882106997894e-05,0.0016022217474898524,-7.873775444807274e-05,0.00028931546983245333,0.136
-2.105777153843806e-05,0.0016214484084597306,-7.965330973235266e-05,0.00028931546983245333,0.144
-1.922666096987823e-05,0.0016260261848811302,-8.056886501663259e-05,0.00026093325601977594,0.152
-1.8311105685598312e-05,0.0015564439832758566,-8.056886501663259e-05,9.613330484939114e-05,0.16
-1.8311105685598312e-05,0.001475875118259224,-7.415997802667316e-05,-4.8524430066835536e-05,0.168
-1.922666096987823e-05,0.0013733329264198734,-7.049775688955351e-05,-0.00022614215521713917,0.176
-1.8311105685598312e-05,0.0013577684865871149,-6.95822016052736e-05,-0.0002865688039796136,0.184
-1.6479995117038484e-05,0.001335795159764397,-6.95822016052736e-05,-0.0003643910031434064,0.192
-1.5564439832758568e-05,0.0012762840662862024,-6.866664632099367e-05,-0.0005081331827753533,0.2
-1.5564439832758568e-05,0.0012103640858180484,-6.500442518387402e-05,-0.0006454664754173405,0.208
-1.5564439832758568e-05,0.0011307107760856958,-6.134220404675436e-05,-0.0008011108737449262,0.216
-1.464888454847865e-05,0.0010986663411358987,-5.9511093478194525e-05,-0.0008999908444471572,0.224
-1.3733329264198735e-05,0.0010611285744804222,-5.85955381939146e-05,-0.0010071108127079071,0.232
-1.281777397991882e-05,0.0010107730338450268,-5.767998290963469e-05,-0.0011407818842127748,0.24
-1.281777397991882e-05,0.0009503463850825525,-5.401776177251503e-05,-0.0012771996215704823,0.248
-1.281777397991882e-05,0.0008880886257515183,-5.127109591967528e-05,-0.001421857356486709,0.256
-1.098666341135899e-05,0.0008423108615375224,-4.9439985351115445e-05,-0.0015500350962858972,0.264
-1.098666341135899e-05,0.0008011108737449262,-4.8524430066835536e-05,-0.0016763817255165256,0.272
-9.155552842799156e-06,0.0007544175542466505,-4.577776421399579e-05,-0.0018045594653157138,0.28
-9.155552842799156e-06,0.0007022309030426953,-4.394665364543596e-05,-0.0019400616473891413,0.288
-8.239997558519242e-06,0.0006463820307016204,-4.119998779259621e-05,-0.0020810571611682483,0.296
-8.239997558519242e-06,0.0005951109347819452,-3.936887722403637e-05,-0.002236701559495834,0.304
-6.40888698995941e-06,0.0005484176152836695,-3.7537766655476546e-05,-0.002380443739127781,0.312
-6.40888698995941e-06,0.0005127109591967528,-3.6622211371196624e-05,-0.00249946592608417,0.32
-5.493331705679495e-06,0.0004614398632770775,-3.387554551835688e-05,-0.002634968108157597,0.328
-4.577776421399578e-06,0.0004147465437788018,-3.1128879665517136e-05,-0.002769554734946745,0.336
-3.6622211371196626e-06,0.0003506576738792077,-2.92977690969573e-05,-0.0029627368999298074,0.344
-2.7466658528397473e-06,0.00030854213080233156,-2.838221381267739e-05,-0.003120212408825953,0.352
-1.8311105685598313e-06,0.00027924436170537426,-2.563554795983764e-05,-0.0032264168218024227,0.36
-1.8311105685598313e-06,0.00023529770805993833,-2.3804437391277807e-05,-0.0033555101168858906,0.368
0.0,0.00019409772026734214,-2.105777153843806e-05,-0.0034809411908322393,0.376
0.0,0.00011535996581926937,-1.922666096987823e-05,-0.0037290566728720967,0.384
9.155552842799157e-07,7.049775688955351e-05,-1.73955504013184e-05,-0.0039075899533066805,0.392
9.155552842799157e-07,6.317331461531417e-05,-1.5564439832758568e-05,-0.003981749931333353,0.4
2.7466658528397473e-06,1.922666096987823e-05,-1.3733329264198735e-05,-0.004098025452436903,0.408
3.6622211371196626e-06,-5.493331705679495e-06,-1.098666341135899e-05,-0.004198736533707693,0.416
4.577776421399578e-06,-0.0001226844080935087,-8.239997558519242e-06,-0.004545731986449781,0.424
5.493331705679495e-06,-0.0001583910641804254,-7.324442274239325e-06,-0.004749900814844202,0.432
6.40888698995941e-06,-0.00014099551377910703,-5.493331705679495e-06,-0.004766380809961241,0.44
7.324442274239325e-06,-0.00017303994872890408,-3.6622211371196626e-06,-0.004845118564409313,0.448
9.155552842799156e-06,-0.0001858577227088229,0.0,-0.004900051881466109,0.456
1.0071108127079073e-05,-0.0003634754478591265,9.155552842799157e-07,-0.00542374950407422,0.464
1.098666341135899e-05,-0.0003973509933774834,1.8311105685598313e-06,-0.005670949430829798,0.472
1.1902218695638903e-05,-0.0003231910153508102,3.6622211371196626e-06,-0.005575731681264687,0.48
1.281777397991882e-05,-0.000346995452742088,5.493331705679495e-06,-0.005578478347117527,0.488
1.464888454847865e-05,-0.0003231910153508102,1.098666341135899e-05,-0.00553453169347209,0.496
1.6479995117038484e-05,-0.0006317331461531419,1.281777397991882e-05,-0.006395153660695211,0.504
1.6479995117038484e-05,-0.0006454664754173405,1.098666341135899e-05,-0.006706442457350382,0.512
1.8311105685598312e-05,-0.00048707541123691513,1.3733329264198735e-05,-0.00641346476638081,0.52
1.73955504013184e-05,-0.00047700430310983606,1.464888454847865e-05,-0.006253242591631824,0.528
1.8311105685598312e-05,-0.0004330576494644001,1.098666341135899e-05,-0.006020691549424726,0.536
1.922666096987823e-05,-0.0009723197119052705,1.098666341135899e-05,-0.00738120670186468,0.544
1.73955504013184e-05,-0.001118808557390057,1.098666341135899e-05,-0.008005615405743583,0.552
1.922666096987823e-05,-0.0011087374492629778,1.464888454847865e-05,-0.007854548783837397,0.56
1.6479995117038484e-05,-0.0009924619281594287,8.239997558519242e-06,-0.0071715445417645796,0.568
1.281777397991882e-05,-0.00043671987060151977,-8.239997558519242e-06,-0.005500656147953734,0.576
8.239997558519242e-06,0.0018860438856166263,-9.155552842799156e-06,0.002160710470900601,0.584
1.3733329264198735e-05,0.002971892452772606,4.577776421399578e-06,0.007543259987182226,0.592
1.8311105685598313e-06,0.0020261238441114534,9.155552842799157e-07,0.007294228949858088,0.6
1.0071108127079073e-05,0.002627643665883358,8.239997558519242e-06,0.008830530716879788,0.608
6.40888698995941e-06,0.0016434217352824486,1.5564439832758568e-05,0.0076183355204931785,0.616
1.098666341135899e-05,0.0017853328043458355,1.73955504013184e-05,0.007443464461195714,0.624
1.098666341135899e-05,0.0008020264290292061,1.464888454847865e-05,0.0053651539658803055,0.632
2.105777153843806e-05,0.001672719504379406,1.8311105685598313e-06,0.0069563890499588,0.64
2.3804437391277807e-05,0.0009283730582598346,-4.577776421399578e-06,0.005772576067384869,0.648
3.204443494979705e-05,0.0015326395458845788,3.6622211371196626e-06,0.006982024597918637,0.656
2.6551103244117554e-05,0.0006500442518387401,-9.155552842799156e-06,0.005120700704977568,0.664
3.387554551835688e-05,0.0009695730460524307,-1.8311105685598313e-06,0.005548265022736289,0.672
2.6551103244117554e-05,0.0007461775566881312,-9.155552842799157e-07,0.004930265205847346,0.68
1.6479995117038484e-05,0.000891750846888638,1.464888454847865e-05,0.005360576189458907,0.688
7.324442274239325e-06,0.000878933072908719,1.0071108127079073e-05,0.005020905178991058,0.696
8.239997558519242e-06,0.0006500442518387401,2.4719992675557722e-05,0.0045869319742423776,0.704
-6.40888698995941e-06,0.0008386486404004027,3.1128879665517136e-05,0.0043333231604968415,0.712
-9.155552842799157e-07,0.0006271553697317423,3.47911008026368e-05,0.004030274361400189,0.72
0.0,0.001064790795617542,2.92977690969573e-05,0.004385509811700796,0.728
0.0,0.000575884273812067,2.746665852839747e-05,0.0037180700094607377,0.736
-5.493331705679495e-06,0.0011004974517044585,3.6622211371196624e-05,0.004130069887386699,0.744
0.0,0.0004385509811700796,1.73955504013184e-05,0.0029554124576555677,0.752
3.6622211371196626e-06,0.0012149418622394482,2.6551103244117554e-05,0.003929563280129398,0.76
-4.577776421399578e-06,0.0003625598925748466,3.0213324381237217e-05,0.0026184881130405587,0.768
4.577776421399578e-06,0.001204870754112369,3.845332193975646e-05,0.0038142033143101287,0.776
1.0071108127079073e-05,0.0002453688161870174,2.4719992675557722e-05,0.0022110660115359964,0.784
1.1902218695638903e-05,0.001139866328928495,3.295999023407697e-05,0.003497421185949278,0.792
3.6622211371196626e-06,0.00021240882595294043,2.3804437391277807e-05,0.0019620349742118593,0.8
1.73955504013184e-05,0.0011087374492629778,2.563554795983764e-05,0.0033399456770531323,0.808
1.0071108127079073e-05,0.0002343821527756584,2.3804437391277807e-05,0.0017642750328073975,0.816
1.922666096987823e-05,0.0010309152500991852,3.1128879665517136e-05,0.002976470229194006,0.824
1.8311105685598312e-05,0.0002398754844813379,1.922666096987823e-05,0.0014813684499649037,0.832
2.6551103244117554e-05,0.0009265419476912746,2.2888882106997894e-05,0.0026294747764519177,0.84
2.6551103244117554e-05,0.0002957243568224128,1.8311105685598312e-05,0.001391644032105472,0.848
3.295999023407697e-05,0.0008258308664204839,1.3733329264198735e-05,0.002346568193609424,0.856
2.92977690969573e-05,0.0003863643299661244,2.3804437391277807e-05,0.0013623462630085144,0.864
3.7537766655476546e-05,0.0006720175786614582,2.105777153843806e-05,0.0020215460676900536,0.872
3.295999023407697e-05,0.0004394665364543595,2.3804437391277807e-05,0.0014081240272225105,0.88
