LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752778621.828858,499021.000,13967,2,RD,1,100,TL
1752778621.828858,499021.000,13967,2,RD,1,100,TU
1752778624.382372,501574.500,14824,2,RD,1,100,TL
1752778626.935886,504128.000,14824,2,RD,1,100,TU
1752778629.489400,506681.500,15674,2,RD,1,100,TL
1752778632.042913,509235.000,15674,2,RD,1,100,TU
1752778634.606427,511798.500,16549,2,RD,1,100,TL
1752778637.169941,514362.000,16549,2,RD,1,100,TU
1752778639.725955,516918.000,17409,2,RD,1,100,TL
1752778642.281969,519474.000,17409,2,RD,1,100,TU
1752778644.834982,522027.000,18253,2,RD,1,100,TL
1752778647.387996,524580.000,18253,2,RD,1,100,TU
1752778649.948010,527140.000,19134,2,RD,1,100,TL
1752778652.508024,529700.000,19134,2,RD,1,100,TU
1752778655.062037,532254.000,19995,2,RD,1,100,TL
1752778657.616051,534808.000,19995,2,RD,1,100,TU
1752778660.172065,537364.000,20853,2,RD,1,100,TL
1752778662.728079,539920.000,20853,2,RD,1,100,TU
1752778665.293592,542485.500,21720,2,RD,1,100,TL
1752778667.859106,545051.000,21720,2,RD,1,100,TU
1752778670.412120,547604.000,22576,2,RD,1,100,TL
1752778672.965134,550157.000,22576,2,RD,1,100,TU
1752778675.537148,552729.000,23450,2,RD,1,100,TL
1752778678.109161,555301.000,23450,2,RD,1,100,TU
1752778680.663175,557855.000,24313,2,RD,1,100,TL
1752778683.217189,560409.000,24313,2,RD,1,100,TU
1752778685.773703,562965.500,25172,2,RD,1,100,TL
1752778688.330216,565522.000,25172,2,RD,1,100,TU
1752778690.898730,568090.500,26044,2,RD,1,100,TL
1752778693.467244,570659.000,26044,2,RD,1,100,TU
1752778696.021258,573213.000,26916,2,RD,1,100,TL
1752778698.575272,575767.000,26916,2,RD,1,100,TU
1752778701.147285,578339.000,27794,2,RD,1,100,TL
1752778703.719299,580911.000,27794,2,RD,1,100,TU
1752778706.273313,583465.000,28663,2,RD,1,100,TL
1752778708.827327,586019.000,28663,2,RD,1,100,TU
1752778711.398341,588590.000,29545,2,RD,1,100,TL
1752778713.969354,591161.000,29545,2,RD,1,100,TU
1752778716.522368,593714.000,30407,2,RD,1,100,TL
1752778719.075382,596267.000,30407,2,RD,1,100,TU
1752778721.650896,598842.500,31276,2,RD,1,100,TL
1752778724.226410,601418.000,31276,2,RD,1,100,TU
1752778726.782423,603974.000,32069,2,RD,1,100,TL
1752778729.338437,606530.000,32069,2,RD,1,100,TU
1752778731.892451,609084.000,32906,2,RD,1,100,TL
1752778734.446465,611638.000,32906,2,RD,1,100,TU
1752778737.006478,614198.000,33747,2,RD,1,100,TL
1752778739.566492,616758.000,33747,2,RD,1,100,TU
1752778742.126506,619318.000,34589,2,RD,1,100,TL
1752778744.686520,621878.000,34589,2,RD,1,100,TU
1752778747.243034,624434.500,35426,2,RD,1,100,TL
1752778749.799547,626991.000,35426,2,RD,1,100,TU
1752778752.362561,629554.000,36264,2,RD,1,100,TL
1752778754.925575,632117.000,36264,2,RD,1,100,TU
1752778757.485589,634677.000,37104,2,RD,1,100,TL
1752778760.045602,637237.000,37104,2,RD,1,100,TU
1752778762.601616,639793.000,37949,2,RD,1,100,TL
1752778765.157630,642349.000,37949,2,RD,1,100,TU
1752778767.719644,644911.000,38789,2,RD,1,100,TL
1752778770.281658,647473.000,38789,2,RD,1,100,TU
1752778772.837171,650028.500,39628,2,RD,1,100,TL
1752778775.392685,652584.000,39628,2,RD,1,100,TU
1752778777.953699,655145.000,40468,2,RD,1,100,TL
1752778780.514713,657706.000,40468,2,RD,1,100,TU
1752778783.077226,660268.500,41312,2,RD,1,100,TL
1752778785.639740,662831.000,41312,2,RD,1,100,TU
1752778788.197254,665388.500,42153,2,RD,1,100,TL
1752778790.754768,667946.000,42153,2,RD,1,100,TU
1752778793.316782,670508.000,42992,2,RD,1,100,TL
1752778795.878795,673070.000,42992,2,RD,1,100,TU
1752778798.440309,675631.500,43834,2,RD,1,100,TL
1752778801.001823,678193.000,43834,2,RD,1,100,TU
1752778803.557837,680749.000,44671,2,RD,1,100,TL
1752778806.113850,683305.000,44671,2,RD,1,100,TU
1752778808.682364,685873.500,45508,2,RD,1,100,TL
1752778811.250878,688442.000,45508,2,RD,1,100,TU
1752778813.807392,690998.500,46352,2,RD,1,100,TL
1752778816.363906,693555.000,46352,2,RD,1,100,TU
1752778818.924919,696116.000,47191,2,RD,1,100,TL
1752778821.485933,698677.000,47191,2,RD,1,100,TU
1752778824.050947,701242.000,48033,2,RD,1,100,TL
1752778826.615961,703807.000,48033,2,RD,1,100,TU
1752778829.173475,706364.500,48872,2,RD,1,100,TL
1752778831.730988,708922.000,48872,2,RD,1,100,TU
1752778834.293502,711484.500,49711,2,RD,1,100,TL
1752778836.856016,714047.000,49711,2,RD,1,100,TU
1752778839.414530,716605.500,50550,2,RD,1,100,TL
1752778841.973044,719164.000,50550,2,RD,1,100,TU
1752778844.531557,721722.500,51389,2,RD,1,100,TL
1752778847.090071,724281.000,51389,2,RD,1,100,TU
1752778849.657585,726848.500,52228,2,RD,1,100,TL
1752778852.225099,729416.000,52228,2,RD,1,100,TU
1752778854.783612,731974.500,53068,2,RD,1,100,TL
1752778857.342126,734533.000,53068,2,RD,1,100,TU
1752778859.910140,737101.000,53907,2,RD,1,100,TL
1752778862.478154,739669.000,53907,2,RD,1,100,TU
1752778865.036168,742227.000,54746,2,RD,1,100,TL
1752778867.594181,744785.000,54746,2,RD,1,100,TU
1752778870.155695,747346.500,55586,2,RD,1,100,TL
1752778872.717209,749908.000,55586,2,RD,1,100,TU
1752778875.276723,752467.500,56428,2,RD,1,100,TL
1752778877.836237,755027.000,56428,2,RD,1,100,TU
1752778880.394250,757585.000,57268,2,RD,1,100,TL
1752778882.952264,760143.000,57268,2,RD,1,100,TU
1752778885.514278,762705.000,58109,2,RD,1,100,TL
1752778888.076292,765267.000,58109,2,RD,1,100,TU
1752778890.630305,767821.000,58944,2,RD,1,100,TL
1752778893.184319,770375.000,58944,2,RD,1,100,TU
1752778895.750833,772941.500,59784,2,RD,1,100,TL
1752778898.317347,775508.000,59784,2,RD,1,100,TU
1752778900.877861,778068.500,60621,2,RD,1,100,TL
1752778903.438374,780629.000,60621,2,RD,1,100,TU
1752778906.004388,783195.000,61462,2,RD,1,100,TL
1752778908.570402,785761.000,61462,2,RD,1,100,TU
