LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752778619.586846,496779.000,13606,1,SF,1,100,65.3263
1752778619.986849,497179.000,13662,1,SF,1,100,64.5706
1752778620.253850,497446.000,13712,1,SF,1,100,63.8236
1752778620.586852,497779.000,13765,1,SF,1,100,65.1675
1752778620.919854,498112.000,13815,1,SF,1,100,66.4959
1752778621.319856,498512.000,13882,1,SF,1,100,65.7267
1752778621.586857,498779.000,13933,1,SF,1,100,64.9664
1752778621.919859,499112.000,13974,1,SF,1,100,66.2971
1752778622.319861,499512.000,14039,1,SF,1,100,65.5302
1752778622.586863,499779.000,14092,1,SF,1,100,66.8544
1752778622.919864,500112.000,14140,1,SF,1,100,66.0810
1752778623.319866,500512.000,14209,1,SF,1,100,67.3988
1752778623.586868,500779.000,14260,1,SF,1,100,66.6191
1752778623.919870,501112.000,14310,1,SF,1,100,65.8485
1752778624.252871,501445.000,14361,1,SF,1,100,67.1690
1752778624.652874,501845.000,14432,1,SF,1,100,68.4742
1752778624.919875,502112.000,14482,1,SF,1,100,67.6821
1752778625.252877,502445.000,14535,1,SF,1,100,68.9814
1752778625.652879,502845.000,14600,1,SF,1,100,68.1834
1752778625.919880,503112.000,14652,1,SF,1,100,69.4769
1752778626.252882,503445.000,14704,1,SF,1,100,70.7555
1752778626.585884,503778.000,14757,1,SF,1,100,72.0192
1752778626.985886,504178.000,14827,1,SF,1,100,71.1861
1752778627.252888,504445.000,14882,1,SF,1,100,74.5271
1752778627.585889,504778.000,14930,1,SF,1,100,73.6650
1752778627.985892,505178.000,14997,1,SF,1,100,72.8128
1752778628.252893,505445.000,15050,1,SF,1,100,74.0528
1752778628.585895,505778.000,15102,1,SF,1,100,75.2784
1752778628.918897,506111.000,15151,1,SF,1,100,74.4076
1752778629.318899,506511.000,15218,1,SF,1,100,73.5468
1752778629.585900,506778.000,15268,1,SF,1,100,72.6960
1752778629.918902,507111.000,15321,1,SF,1,100,73.9373
1752778630.318904,507511.000,15386,1,SF,1,100,73.0820
1752778630.585906,507778.000,15436,1,SF,1,100,72.2366
1752778630.918907,508111.000,15486,1,SF,1,100,71.4009
1752778631.318910,508511.000,15553,1,SF,1,100,70.5750
1752778631.651911,508844.000,15602,1,SF,1,100,69.7586
1752778631.918913,509111.000,15655,1,SF,1,100,71.0338
1752778632.251915,509444.000,15708,1,SF,1,100,70.2121
1752778632.651917,509844.000,15777,1,SF,1,100,71.4822
1752778632.918918,510111.000,15832,1,SF,1,100,72.7375
1752778633.251920,510444.000,15882,1,SF,1,100,73.9783
1752778633.651922,510844.000,15951,1,SF,1,100,75.2048
1752778633.984924,511177.000,16000,1,SF,1,100,74.3348
1752778634.251925,511444.000,16056,1,SF,1,100,77.6394
1752778634.584927,511777.000,16105,1,SF,1,100,76.7413
1752778634.984929,512177.000,16174,1,SF,1,100,75.8535
1752778635.251931,512444.000,16224,1,SF,1,100,77.0583
1752778635.584932,512777.000,16278,1,SF,1,100,78.2491
1752778635.918934,513111.000,16329,1,SF,1,100,79.4262
1752778636.318936,513511.000,16398,1,SF,1,100,80.5896
1752778636.584938,513777.000,16447,1,SF,1,100,79.6574
1752778636.918940,514111.000,16497,1,SF,1,100,78.7359
1752778637.317942,514510.000,16571,1,SF,1,100,79.9073
1752778637.584943,514777.000,16622,1,SF,1,100,78.9829
1752778637.917945,515110.000,16674,1,SF,1,100,80.1515
1752778638.251947,515444.000,16723,1,SF,1,100,79.2243
1752778638.651949,515844.000,16792,1,SF,1,100,80.3901
1752778638.917950,516110.000,16844,1,SF,1,100,81.5424
1752778639.251952,516444.000,16895,1,SF,1,100,80.5991
1752778639.651954,516844.000,16962,1,SF,1,100,79.6667
1752778639.917956,517110.000,17014,1,SF,1,100,80.8274
1752778640.251958,517444.000,17067,1,SF,1,100,81.9746
1752778640.584959,517777.000,17119,1,SF,1,100,83.1086
1752778640.984962,518177.000,17186,1,SF,1,100,84.2294
1752778641.251963,518444.000,17239,1,SF,1,100,85.3373
1752778641.584965,518777.000,17287,1,SF,1,100,84.3501
1752778641.984967,519177.000,17356,1,SF,1,100,85.4566
1752778642.317969,519510.000,17412,1,SF,1,100,84.4680
1752778642.584970,519777.000,17460,1,SF,1,100,83.4909
1752778642.917972,520110.000,17511,1,SF,1,100,82.5251
1752778643.317974,520510.000,17576,1,SF,1,100,81.5704
1752778643.584976,520777.000,17628,1,SF,1,100,80.6268
1752778643.917977,521110.000,17677,1,SF,1,100,79.6941
1752778644.317979,521510.000,17744,1,SF,1,100,78.7722
1752778644.650981,521843.000,17796,1,SF,1,100,77.8610
1752778644.917983,522110.000,17847,1,SF,1,100,76.9603
1752778645.250985,522443.000,17897,1,SF,1,100,78.1522
1752778645.650987,522843.000,17964,1,SF,1,100,79.3304
1752778645.917988,523110.000,18015,1,SF,1,100,78.4127
1752778646.250990,523443.000,18064,1,SF,1,100,77.5056
1752778646.650992,523843.000,18131,1,SF,1,100,76.6090
1752778646.983994,524176.000,18183,1,SF,1,100,77.8051
1752778647.250995,524443.000,18233,1,SF,1,100,76.9050
1752778647.583997,524776.000,18289,1,SF,1,100,78.0976
1752778647.983999,525176.000,18356,1,SF,1,100,77.1942
1752778648.251001,525443.000,18408,1,SF,1,100,78.3835
1752778648.584002,525776.000,18461,1,SF,1,100,79.5590
1752778648.917004,526109.000,18509,1,SF,1,100,78.6386
1752778649.317006,526509.000,18578,1,SF,1,100,79.8112
1752778649.584008,526776.000,18633,1,SF,1,100,83.0524
1752778649.917010,527109.000,18687,1,SF,1,100,84.1739
1752778650.317012,527509.000,18754,1,SF,1,100,83.2002
1752778650.584013,527776.000,18805,1,SF,1,100,84.3200
1752778650.917015,528109.000,18858,1,SF,1,100,85.4268
1752778651.250017,528442.000,18910,1,SF,1,100,86.5208
1752778651.650019,528842.000,18979,1,SF,1,100,87.6022
1752778651.917020,529109.000,19027,1,SF,1,100,86.5888
1752778652.250022,529442.000,19080,1,SF,1,100,89.7517
1752778652.650024,529842.000,19152,1,SF,1,100,88.7134
1752778652.917026,530109.000,19204,1,SF,1,100,89.7694
1752778653.250028,530442.000,19257,1,SF,1,100,90.8132
1752778653.584029,530776.000,19307,1,SF,1,100,91.8449
1752778653.983032,531175.000,19376,1,SF,1,100,92.8647
1752778654.250033,531442.000,19429,1,SF,1,100,93.8727
1752778654.583035,531775.000,19481,1,SF,1,100,94.8690
1752778654.983037,532175.000,19548,1,SF,1,100,93.7716
1752778655.250038,532442.000,19601,1,SF,1,100,94.7691
1752778655.583040,532775.000,19653,1,SF,1,100,95.7550
1752778655.917042,533109.000,19704,1,SF,1,100,94.6473
1752778656.317044,533509.000,19771,1,SF,1,100,95.6347
1752778656.583046,533775.000,19823,1,SF,1,100,96.6106
1752778656.917047,534109.000,19874,1,SF,1,100,97.5753
1752778657.316049,534508.000,19942,1,SF,1,100,96.4465
1752778657.650051,534842.000,19998,1,SF,1,100,97.4131
1752778657.916053,535108.000,20049,1,SF,1,100,96.2862
1752778658.250054,535442.000,20099,1,SF,1,100,97.2546
1752778658.650057,535842.000,20168,1,SF,1,100,98.2118
1752778658.916058,536108.000,20219,1,SF,1,100,97.0757
1752778659.250060,536442.000,20273,1,SF,1,100,100.1172
1752778659.650062,536842.000,20342,1,SF,1,100,101.0413
1752778659.983064,537175.000,20393,1,SF,1,100,99.8725
1752778660.250065,537442.000,20445,1,SF,1,100,100.7994
1752778660.583067,537775.000,20498,1,SF,1,100,101.7156
1752778660.983069,538175.000,20563,1,SF,1,100,100.5389
1752778661.249071,538441.000,20613,1,SF,1,100,99.3759
1752778661.583072,538775.000,20664,1,SF,1,100,98.2263
1752778661.916074,539108.000,20716,1,SF,1,100,99.1722
1752778662.316076,539508.000,20781,1,SF,1,100,98.0250
1752778662.583078,539775.000,20834,1,SF,1,100,98.9733
1752778662.916080,540108.000,20873,1,SF,1,100,99.9106
1752778663.316082,540508.000,20943,1,SF,1,100,100.8371
1752778663.649084,540841.000,20995,1,SF,1,100,101.7529
1752778663.916085,541108.000,21047,1,SF,1,100,102.6580
1752778664.249087,541441.000,21098,1,SF,1,100,103.5527
1752778664.649089,541841.000,21167,1,SF,1,100,102.3548
1752778664.916090,542108.000,21219,1,SF,1,100,103.2530
