LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752778619.661847,496854.000,13618,1,TH,1,100,34.128
1752778619.794847,496987.000,13637,1,TH,1,100,34.073
1752778619.927848,497120.000,13669,1,TH,1,100,34.080
1752778620.061849,497254.000,13685,1,TH,1,100,34.005
1752778620.194850,497387.000,13702,1,TH,1,100,34.005
1752778620.327850,497520.000,13736,1,TH,1,100,34.000
1752778620.460851,497653.000,13754,1,TH,1,100,34.000
1752778620.594852,497787.000,13772,1,TH,1,100,33.975
1752778620.727852,497920.000,13788,1,TH,1,100,33.983
1752778620.861853,498054.000,13822,1,TH,1,100,34.030
1752778620.994854,498187.000,13839,1,TH,1,100,34.030
1752778621.127855,498320.000,13857,1,TH,1,100,34.105
1752778621.261855,498454.000,13889,1,TH,1,100,34.105
1752778621.394856,498587.000,13906,1,TH,1,100,34.059
1752778621.527857,498720.000,13922,1,TH,1,100,34.059
1752778621.660858,498853.000,13954,1,TH,1,100,34.097
1752778621.794358,498986.500,13981,2,TH,1,100,34.104
1752778621.927859,499120.000,13981,2,TH,1,100,34.026
1752778622.060860,499253.000,14012,1,TH,1,100,34.026
1752778622.194860,499387.000,14029,1,TH,1,100,34.031
1752778622.327861,499520.000,14046,1,TH,1,100,34.031
1752778622.460862,499653.000,14081,1,TH,1,100,34.056
1752778622.594863,499787.000,14099,1,TH,1,100,34.056
1752778622.727863,499920.000,14115,1,TH,1,100,34.036
1752778622.860864,500053.000,14147,1,TH,1,100,34.043
1752778622.994865,500187.000,14164,1,TH,1,100,34.053
1752778623.127865,500320.000,14182,1,TH,1,100,34.053
1752778623.260866,500453.000,14216,1,TH,1,100,34.115
1752778623.394867,500587.000,14233,1,TH,1,100,34.115
1752778623.527868,500720.000,14249,1,TH,1,100,34.057
1752778623.660868,500853.000,14281,1,TH,1,100,34.065
1752778623.793869,500986.000,14298,1,TH,1,100,34.040
1752778623.927870,501120.000,14317,1,TH,1,100,34.040
1752778624.060870,501253.000,14350,1,TH,1,100,34.174
1752778624.194871,501387.000,14368,1,TH,1,100,34.174
1752778624.327872,501520.000,14384,1,TH,1,100,34.070
1752778624.460873,501653.000,14403,1,TH,1,100,34.070
1752778624.593873,501786.000,14439,1,TH,1,100,34.085
1752778624.727874,501920.000,14455,1,TH,1,100,34.085
1752778624.860875,502053.000,14472,1,TH,1,100,34.077
1752778624.993875,502186.000,14504,1,TH,1,100,34.084
1752778625.127876,502320.000,14522,1,TH,1,100,34.059
1752778625.260877,502453.000,14542,1,TH,1,100,34.059
1752778625.393878,502586.000,14573,1,TH,1,100,34.041
1752778625.527878,502720.000,14589,1,TH,1,100,34.041
1752778625.660879,502853.000,14609,1,TH,1,100,34.161
1752778625.793880,502986.000,14642,1,TH,1,100,34.168
1752778625.927880,503120.000,14659,1,TH,1,100,34.163
1752778626.060881,503253.000,14676,1,TH,1,100,34.163
1752778626.193882,503386.000,14710,1,TH,1,100,34.090
1752778626.327883,503520.000,14728,1,TH,1,100,34.090
1752778626.460883,503653.000,14747,1,TH,1,100,34.050
1752778626.593884,503786.000,14764,1,TH,1,100,34.050
1752778626.727885,503920.000,14795,1,TH,1,100,34.204
1752778626.860886,504053.000,14812,1,TH,1,100,34.211
1752778626.993886,504186.000,14834,1,TH,1,100,34.159
1752778627.126887,504319.000,14867,1,TH,1,100,34.159
1752778627.260888,504453.000,14889,1,TH,1,100,34.144
1752778627.393888,504586.000,14905,1,TH,1,100,34.144
1752778627.526889,504719.000,14937,1,TH,1,100,34.082
1752778627.660890,504853.000,14954,1,TH,1,100,34.089
1752778627.793891,504986.000,14970,1,TH,1,100,34.119
1752778627.926891,505119.000,15004,1,TH,1,100,34.119
1752778628.060892,505253.000,15023,1,TH,1,100,34.151
1752778628.193893,505386.000,15039,1,TH,1,100,34.151
1752778628.326893,505519.000,15071,1,TH,1,100,34.203
1752778628.460894,505653.000,15088,1,TH,1,100,34.203
1752778628.593895,505786.000,15109,1,TH,1,100,34.126
1752778628.726896,505919.000,15140,1,TH,1,100,34.133
1752778628.860896,506053.000,15158,1,TH,1,100,34.132
1752778628.993897,506186.000,15174,1,TH,1,100,34.132
1752778629.126898,506319.000,15193,1,TH,1,100,34.165
1752778629.260898,506453.000,15225,1,TH,1,100,34.165
1752778629.393899,506586.000,15241,1,TH,1,100,34.170
1752778629.526900,506719.000,15258,1,TH,1,100,34.177
1752778629.660901,506853.000,15292,1,TH,1,100,34.187
1752778629.793901,506986.000,15310,1,TH,1,100,34.187
1752778629.926902,507119.000,15328,1,TH,1,100,34.274
1752778630.060903,507253.000,15359,1,TH,1,100,34.274
1752778630.193903,507386.000,15375,1,TH,1,100,34.154
1752778630.326904,507519.000,15393,1,TH,1,100,34.161
1752778630.460905,507653.000,15426,1,TH,1,100,34.276
1752778630.593906,507786.000,15443,1,TH,1,100,34.276
1752778630.726906,507919.000,15460,1,TH,1,100,34.159
1752778630.859907,508052.000,15492,1,TH,1,100,34.159
1752778630.993908,508186.000,15508,1,TH,1,100,34.169
1752778631.126908,508319.000,15527,1,TH,1,100,34.176
1752778631.259909,508452.000,15559,1,TH,1,100,34.288
1752778631.393910,508586.000,15575,1,TH,1,100,34.288
1752778631.526911,508719.000,15592,1,TH,1,100,34.198
1752778631.659911,508852.000,15609,1,TH,1,100,34.198
1752778631.793912,508986.000,15644,1,TH,1,100,34.238
1752778631.926913,509119.000,15662,1,TH,1,100,34.238
1752778632.059913,509252.000,15683,1,TH,1,100,34.243
1752778632.193914,509386.000,15715,1,TH,1,100,34.250
1752778632.326915,509519.000,15732,1,TH,1,100,34.277
1752778632.459916,509652.000,15748,1,TH,1,100,34.277
1752778632.593916,509786.000,15784,1,TH,1,100,34.245
1752778632.726917,509919.000,15801,1,TH,1,100,34.245
1752778632.859918,510052.000,15817,1,TH,1,100,34.137
1752778632.993919,510186.000,15853,1,TH,1,100,34.137
1752778633.126919,510319.000,15870,1,TH,1,100,34.174
1752778633.259920,510452.000,15889,1,TH,1,100,34.181
1752778633.393921,510586.000,15922,1,TH,1,100,34.253
1752778633.526921,510719.000,15939,1,TH,1,100,34.253
1752778633.659922,510852.000,15958,1,TH,1,100,34.173
1752778633.793923,510986.000,15975,1,TH,1,100,34.174
1752778633.926924,511119.000,16009,1,TH,1,100,34.265
1752778634.059924,511252.000,16025,1,TH,1,100,34.273
1752778634.192925,511385.000,16042,1,TH,1,100,34.261
1752778634.326926,511519.000,16078,1,TH,1,100,34.261
