LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752778621.823858,499016.000,13965,1,TL,1,100,2025-07-17_14-56-56-782633
1752778621.921859,499114.000,13968,1,TL,1,100,2025-07-17_14-57-01-835269
1752778626.934886,504127.000,14822,1,TL,1,100,2025-07-17_14-57-01-958249
1752778626.947886,504140.000,14825,1,TL,1,100,2025-07-17_14-57-06-942438
1752778632.041913,509234.000,15672,1,TL,1,100,2025-07-17_14-57-07-024598
1752778632.055913,509248.000,15675,1,TL,1,100,2025-07-17_14-57-12-049036
1752778637.167941,514360.000,16547,1,TL,1,100,2025-07-17_14-57-12-085440
1752778637.188941,514381.000,16550,1,TL,1,100,2025-07-17_14-57-17-181273
1752778642.279969,519472.000,17407,1,TL,1,100,2025-07-17_14-57-17-257811
1752778642.293969,519486.000,17410,1,TL,1,100,2025-07-17_14-57-22-287753
1752778647.385996,524578.000,18251,1,TL,1,100,2025-07-17_14-57-22-345742
1752778647.399996,524592.000,18254,1,TL,1,100,2025-07-17_14-57-27-392092
1752778652.506024,529698.000,19132,1,TL,1,100,2025-07-17_14-57-27-422921
1752778652.520024,529712.000,19135,1,TL,1,100,2025-07-17_14-57-32-516534
1752778657.614051,534806.000,19993,1,TL,1,100,2025-07-17_14-57-32-588000
1752778657.630051,534822.000,19996,1,TL,1,100,2025-07-17_14-57-37-621998
1752778662.726079,539918.000,20851,1,TL,1,100,2025-07-17_14-57-37-679286
1752778667.855106,545047.000,21716,1,TL,1,100,2025-07-17_14-57-42-739567
1752778667.857106,545049.000,21718,1,TL,1,100,2025-07-17_14-57-42-890151
1752778667.879106,545071.000,21721,1,TL,1,100,2025-07-17_14-57-47-864923
1752778672.963134,550155.000,22574,1,TL,1,100,2025-07-17_14-57-47-930665
1752778672.976134,550168.000,22577,1,TL,1,100,2025-07-17_14-57-52-969223
1752778678.107161,555299.000,23448,1,TL,1,100,2025-07-17_14-57-53-011182
1752778678.131162,555323.000,23451,1,TL,1,100,2025-07-17_14-57-58-113466
1752778683.215189,560407.000,24311,1,TL,1,100,2025-07-17_14-57-58-183419
1752778683.241189,560433.000,24314,1,TL,1,100,2025-07-17_14-58-03-227478
1752778688.324216,565516.000,25170,1,TL,1,100,2025-07-17_14-58-03-275779
1752778688.345216,565537.000,25173,1,TL,1,100,2025-07-17_14-58-08-338073
1752778693.465244,570657.000,26042,1,TL,1,100,2025-07-17_14-58-08-368069
1752778693.478244,570670.000,26045,1,TL,1,100,2025-07-17_14-58-13-471511
1752778698.574272,575766.000,26914,1,TL,1,100,2025-07-17_14-58-13-543259
1752778698.590272,575782.000,26917,1,TL,1,100,2025-07-17_14-58-18-580014
1752778703.718299,580910.000,27792,1,TL,1,100,2025-07-17_14-58-18-618607
1752778703.728299,580920.000,27795,1,TL,1,100,2025-07-17_14-58-23-723829
1752778708.826327,586018.000,28661,1,TL,1,100,2025-07-17_14-58-23-801221
1752778708.860327,586052.000,28664,1,TL,1,100,2025-07-17_14-58-28-839173
1752778713.967354,591159.000,29543,1,TL,1,100,2025-07-17_14-58-28-883544
1752778713.995355,591187.000,29546,1,TL,1,100,2025-07-17_14-58-33-972989
1752778719.073382,596265.000,30405,1,TL,1,100,2025-07-17_14-58-34-046562
1752778719.085382,596277.000,30408,1,TL,1,100,2025-07-17_14-58-39-079251
1752778724.225410,601417.000,31274,1,TL,1,100,2025-07-17_14-58-39-129791
1752778724.279410,601471.000,31277,1,TL,1,100,2025-07-17_14-58-44-232468
1752778729.333437,606525.000,32067,1,TL,1,100,2025-07-17_14-58-44-305043
1752778729.352437,606544.000,32070,1,TL,1,100,2025-07-17_14-58-49-346131
1752778734.441465,611633.000,32904,1,TL,1,100,2025-07-17_14-58-49-385383
1752778734.458465,611650.000,32907,1,TL,1,100,2025-07-17_14-58-54-453013
1752778739.565492,616757.000,33745,1,TL,1,100,2025-07-17_14-58-54-591114
1752778739.582492,616774.000,33748,1,TL,1,100,2025-07-17_14-58-59-570823
