LF-FpZ,OTE_L-FpZ,RF-FpZ,OTE_R-FpZ,Time
0.0,-0.000617999816888943,0.0,-0.000661946470534379,0.0
5.493331705679495e-06,-0.001715750602740562,-2.7466658528397473e-06,-0.0011004974517044585,0.008
8.239997558519242e-06,-0.0007571642200994902,9.155552842799157e-07,-0.0006527909176915799,0.016
1.0071108127079073e-05,-0.0019043549913022248,-1.8311105685598313e-06,-0.0012598040711691639,0.024
2.7466658528397473e-06,-0.000748924222540971,0.0,-0.0005566576128421888,0.032
1.098666341135899e-05,-0.0026367992187261574,-1.281777397991882e-05,-0.001783501693777276,0.04
5.493331705679495e-06,-0.0005520798364207892,-5.493331705679495e-06,-0.0004211554307687612,0.048
1.0071108127079073e-05,-0.0020801416058839686,-8.239997558519242e-06,-0.001119724112674337,0.056
1.0071108127079073e-05,-0.0015875728629413737,-6.40888698995941e-06,-0.0008102664265877253,0.064
-1.098666341135899e-05,-0.00130466628009888,1.8311105685598312e-05,-0.0005822931608020263,0.072
-3.845332193975646e-05,-3.204443494979705e-05,5.035554063539536e-05,0.00026367992187261574,0.08
-4.211554307687612e-05,-0.00021790215765861995,5.401776177251503e-05,6.866664632099367e-05,0.088
-4.211554307687612e-05,-0.0002453688161870174,5.310220648823511e-05,5.676442762535478e-05,0.096
-4.577776421399579e-05,-5.493331705679494e-05,5.85955381939146e-05,0.00011535996581926937,0.104
-4.0284432508316294e-05,-0.00043671987060151977,5.218665120395519e-05,-9.430219428083131e-05,0.112
-3.5706656086916715e-05,-0.0005630664998321482,4.8524430066835536e-05,-0.0002526932584612567,0.12
-3.6622211371196624e-05,-0.0005951109347819452,4.9439985351115445e-05,-0.00027558214056825465,0.128
-3.6622211371196624e-05,-0.0007892086550492873,4.8524430066835536e-05,-0.00046510208441419716,0.136
-3.845332193975646e-05,-0.0006060975981933041,5.035554063539536e-05,-0.0003378398998992889,0.144
-3.47911008026368e-05,-0.0010043641468550676,4.760887478255561e-05,-0.0006445509201330607,0.152
-3.204443494979705e-05,-0.0009768974883266701,4.4862208929715866e-05,-0.0006234931485946226,0.16
-3.204443494979705e-05,-0.0012085329752494888,4.4862208929715866e-05,-0.000846888637958922,0.168
-3.1128879665517136e-05,-0.0012140263069551683,4.394665364543596e-05,-0.0008386486404004027,0.176
-3.204443494979705e-05,-0.001326639606921598,4.4862208929715866e-05,-0.0009787285988952297,0.184
-2.92977690969573e-05,-0.0014401684621723075,4.211554307687612e-05,-0.0010281685842463452,0.192
-2.746665852839747e-05,-0.0016397595141453291,4.0284432508316294e-05,-0.0012314218573564867,0.2
-2.6551103244117554e-05,-0.0016718039490951262,4.0284432508316294e-05,-0.0012442396313364053,0.208
-2.6551103244117554e-05,-0.0018970305490279853,3.936887722403637e-05,-0.0014630573442793054,0.216
-2.563554795983764e-05,-0.0018494216742454296,3.936887722403637e-05,-0.0014090395825067904,0.224
-2.3804437391277807e-05,-0.0021396526993621634,3.7537766655476546e-05,-0.001663563951536607,0.232
-2.2888882106997894e-05,-0.0021323282570879236,3.6622211371196624e-05,-0.0016388439588610492,0.24
-2.197332682271798e-05,-0.0024033326212347787,3.5706656086916715e-05,-0.0019043549913022248,0.248
-2.105777153843806e-05,-0.002407910397656178,3.47911008026368e-05,-0.0018860438856166263,0.256
-2.0142216254158147e-05,-0.0026248970000305183,3.47911008026368e-05,-0.002093874935148167,0.264
-1.922666096987823e-05,-0.0026541947691274756,3.295999023407697e-05,-0.0020819727164525285,0.272
-1.73955504013184e-05,-0.0029004791405987727,3.295999023407697e-05,-0.002316354869228187,0.28
-1.6479995117038484e-05,-0.002946256904812769,3.1128879665517136e-05,-0.0023456526383251438,0.288
-1.5564439832758568e-05,-0.003210852381969664,3.1128879665517136e-05,-0.002597430341502121,0.296
-1.464888454847865e-05,-0.0031870479445783866,3.0213324381237217e-05,-0.0025370036927396464,0.304
-1.3733329264198735e-05,-0.003460798974578081,2.92977690969573e-05,-0.0027851191747795038,0.312
-1.281777397991882e-05,-0.003451643421735282,2.838221381267739e-05,-0.0027411725211340674,0.32
-1.1902218695638903e-05,-0.00379772331919309,2.838221381267739e-05,-0.003095492416150395,0.328
-1.098666341135899e-05,-0.00380138554033021,2.6551103244117554e-05,-0.0030661946470534377,0.336
-1.0071108127079073e-05,-0.004052247688222907,2.6551103244117554e-05,-0.003281350138859218,0.344
-9.155552842799156e-06,-0.004033021027253029,2.563554795983764e-05,-0.003215430158391064,0.352
-8.239997558519242e-06,-0.004303109836115603,2.4719992675557722e-05,-0.0034598834192938015,0.36
-7.324442274239325e-06,-0.0044267097994933925,2.3804437391277807e-05,-0.003594470046082949,0.368
-6.40888698995941e-06,-0.0047242652668843645,2.3804437391277807e-05,-0.0038718832972197636,0.376
-4.577776421399578e-06,-0.00467299417096469,2.2888882106997894e-05,-0.0037437055574205754,0.384
-3.6622211371196626e-06,-0.004918362987151707,2.197332682271798e-05,-0.0039515366069521165,0.392
