LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752172667.492822,273033.000,43319,2,AK,1,100,42563
1752172667.492822,273033.000,43319,2,AK,1,100,RD
1752172667.497322,273037.500,43322,2,AK,1,100,43320
1752172667.501822,273042.000,43322,2,AK,1,100,RD
1752172670.054343,275594.500,44184,2,AK,1,100,43320
1752172672.606863,278147.000,44184,2,AK,1,100,RD
1752172672.619363,278159.500,44187,2,AK,1,100,44185
1752172672.631864,278172.000,44187,2,AK,1,100,RD
1752172675.178384,280718.500,45037,2,AK,1,100,44185
1752172677.724905,283265.000,45037,2,AK,1,100,RD
1752172677.730405,283270.500,45040,2,AK,1,100,45038
1752172677.735905,283276.000,45040,2,AK,1,100,RD
1752172680.286426,285826.500,45904,2,AK,1,100,45038
1752172682.836947,288377.000,45904,2,AK,1,100,RD
1752172682.842447,288382.500,45907,2,AK,1,100,45905
1752172682.847947,288388.000,45907,2,AK,1,100,RD
1752172685.402967,290943.000,46775,2,AK,1,100,45905
1752172687.957988,293498.000,46775,2,AK,1,100,RD
1752172687.963488,293503.500,46778,2,AK,1,100,46776
1752172687.968988,293509.000,46778,2,AK,1,100,RD
1752172690.528509,296068.500,47649,2,AK,1,100,46776
1752172693.088030,298628.000,47649,2,AK,1,100,RD
1752172693.094030,298634.000,47652,2,AK,1,100,47650
1752172693.100030,298640.000,47652,2,AK,1,100,RD
1752172695.648051,301188.000,48516,2,AK,1,100,47650
1752172698.196071,303736.000,48516,2,AK,1,100,RD
1752172698.206572,303746.500,48519,2,AK,1,100,48517
1752172698.217072,303757.000,48519,2,AK,1,100,RD
1752172700.764092,306304.000,49379,2,AK,1,100,48517
1752172703.311113,308851.000,49379,2,AK,1,100,RD
1752172703.332613,308872.500,49382,2,AK,1,100,49380
1752172703.354113,308894.000,49382,2,AK,1,100,RD
1752172705.888634,311428.500,50243,2,AK,1,100,49380
1752172708.423155,313963.000,50243,2,AK,1,100,RD
1752172708.428655,313968.500,50246,2,AK,1,100,50244
1752172708.434155,313974.000,50246,2,AK,1,100,RD
1752172710.991676,316531.500,51110,2,AK,1,100,50244
1752172713.549196,319089.000,51110,2,AK,1,100,RD
1752172713.557196,319097.000,51113,2,AK,1,100,51111
1752172713.565196,319105.000,51113,2,AK,1,100,RD
1752172716.116717,321656.500,51977,2,AK,1,100,51111
1752172718.668238,324208.000,51977,2,AK,1,100,RD
1752172718.674738,324214.500,51980,2,AK,1,100,51978
1752172718.681238,324221.000,51980,2,AK,1,100,RD
1752172721.234759,326774.500,52845,2,AK,1,100,51978
1752172723.788280,329328.000,52845,2,AK,1,100,RD
1752172723.796780,329336.500,52848,2,AK,1,100,52846
1752172723.805280,329345.000,52848,2,AK,1,100,RD
1752172726.356801,331896.500,53710,2,AK,1,100,52846
1752172728.908321,334448.000,53710,2,AK,1,100,RD
1752172728.927821,334467.500,53713,2,AK,1,100,53711
1752172728.947322,334487.000,53713,2,AK,1,100,RD
1752172731.489342,337029.000,54567,2,AK,1,100,53711
1752172734.031363,339571.000,54567,2,AK,1,100,RD
1752172734.037363,339577.000,54570,2,AK,1,100,54568
1752172734.043363,339583.000,54570,2,AK,1,100,RD
1752172736.595384,342135.000,55425,2,AK,1,100,54568
1752172739.147405,344687.000,55425,2,AK,1,100,RD
1752172741.709425,347249.000,56263,2,AK,1,100,55426
1752172744.271446,349811.000,56263,2,AK,1,100,RD
1752172744.272446,349812.000,56265,2,AK,1,100,55426
1752172744.273446,349813.000,56265,2,AK,1,100,RD
1752172744.282446,349822.000,56268,2,AK,1,100,56266
1752172744.291446,349831.000,56268,2,AK,1,100,RD
1752172746.839967,352379.500,57104,2,AK,1,100,56266
1752172749.388488,354928.000,57104,2,AK,1,100,RD
1752172749.394488,354934.000,57107,2,AK,1,100,57105
1752172749.400488,354940.000,57107,2,AK,1,100,RD
1752172751.948509,357488.000,57883,2,AK,1,100,57105
1752172754.496529,360036.000,57883,2,AK,1,100,RD
1752172754.501029,360040.500,57886,2,AK,1,100,57884
1752172754.505529,360045.000,57886,2,AK,1,100,RD
1752172757.058550,362598.000,58726,2,AK,1,100,57884
1752172759.611571,365151.000,58726,2,AK,1,100,RD
1752172762.165592,367705.000,59567,2,AK,1,100,58727
1752172764.719613,370259.000,59567,2,AK,1,100,RD
1752172764.720613,370260.000,59569,2,AK,1,100,58727
1752172764.721613,370261.000,59569,2,AK,1,100,RD
1752172764.726613,370266.000,59572,2,AK,1,100,59570
1752172764.731613,370271.000,59572,2,AK,1,100,RD
1752172767.288133,372827.500,60419,2,AK,1,100,59570
1752172769.844654,375384.000,60419,2,AK,1,100,RD
1752172769.850154,375389.500,60422,2,AK,1,100,60420
1752172769.855654,375395.000,60422,2,AK,1,100,RD
1752172772.406175,377945.500,61262,2,AK,1,100,60420
1752172774.956696,380496.000,61262,2,AK,1,100,RD
1752172774.971696,380511.000,61265,2,AK,1,100,61263
1752172774.986696,380526.000,61265,2,AK,1,100,RD
1752172777.525717,383065.000,62111,2,AK,1,100,61263
1752172780.064737,385604.000,62111,2,AK,1,100,RD
1752172780.070737,385610.000,62114,2,AK,1,100,62112
1752172780.076737,385616.000,62114,2,AK,1,100,RD
1752172782.628758,388168.000,62959,2,AK,1,100,62112
1752172785.180779,390720.000,62959,2,AK,1,100,RD
1752172785.188279,390727.500,62962,2,AK,1,100,62960
1752172785.195779,390735.000,62962,2,AK,1,100,RD
1752172787.748300,393287.500,63799,2,AK,1,100,62960
1752172790.300821,395840.000,63799,2,AK,1,100,RD
1752172790.307821,395847.000,63802,2,AK,1,100,63800
1752172790.314821,395854.000,63802,2,AK,1,100,RD
1752172792.867841,398407.000,64639,2,AK,1,100,63800
1752172795.420862,400960.000,64639,2,AK,1,100,RD
1752172795.430862,400970.000,64642,2,AK,1,100,64640
1752172795.440862,400980.000,64642,2,AK,1,100,RD
1752172797.991883,403531.000,65482,2,AK,1,100,64640
1752172800.542904,406082.000,65482,2,AK,1,100,RD
1752172800.560904,406100.000,65485,2,AK,1,100,65483
1752172800.578904,406118.000,65485,2,AK,1,100,RD
1752172803.116425,408655.500,791,2,AK,1,100,65483
1752172805.653945,411193.000,791,2,AK,1,100,RD
1752172805.665946,411205.000,794,2,AK,1,100,792
1752172805.677946,411217.000,794,2,AK,1,100,RD
1752172808.220966,413760.000,1632,2,AK,1,100,792
1752172810.763987,416303.000,1632,2,AK,1,100,RD
1752172810.813487,416352.500,1635,2,AK,1,100,1633
1752172810.862988,416402.000,1635,2,AK,1,100,RD
1752172813.368508,418907.500,2475,2,AK,1,100,1633
1752172815.874029,421413.000,2475,2,AK,1,100,RD
1752172818.428049,423967.000,3312,2,AK,1,100,2476
1752172820.982070,426521.000,3312,2,AK,1,100,RD
1752172820.983070,426522.000,3314,2,AK,1,100,2476
