LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1752172663.910793,269451,42728,1,BI,1,100,560
1752172664.470797,270011,42812,1,BI,1,100,560
1752172665.083802,270624,42912,1,BI,1,100,600
1752172665.643807,271184,43013,1,BI,1,100,560
1752172666.203811,271744,43098,1,BI,1,100,560
1752172666.763816,272304,43199,1,BI,1,100,560
1752172667.323820,272864,43282,1,BI,1,100,560
1752172667.923825,273464,43388,1,BI,1,100,600
1752172668.443829,273984,43473,1,BI,1,100,520
1752172669.003834,274544,43556,1,BI,1,100,560
1752172669.576839,275117,43659,1,BI,1,100,560
1752172670.096843,275637,43747,1,BI,1,100,520
1752172670.656847,276197,43853,1,BI,1,100,560
1752172671.216852,276757,43940,1,BI,1,100,560
1752172671.816857,277357,44047,1,BI,1,100,600
1752172672.296861,277837,44133,1,BI,1,100,480
1752172672.896866,278437,44223,1,BI,1,100,600
1752172673.496871,279037,44322,1,BI,1,100,600
1752172674.029875,279570,44405,1,BI,1,100,520
1752172674.549879,280090,44510,1,BI,1,100,520
1752172675.069883,280610,44597,1,BI,1,100,520
1752172675.629888,281170,44680,1,BI,1,100,560
1752172676.189892,281730,44783,1,BI,1,100,560
1752172676.749897,282290,44869,1,BI,1,100,560
1752172677.269901,282810,44955,1,BI,1,100,520
1752172677.828906,283369,45042,1,BI,1,100,560
1752172678.402910,283943,45148,1,BI,1,100,560
1752172678.962915,284503,45251,1,BI,1,100,560
1752172679.522920,285063,45339,1,BI,1,100,560
1752172680.082924,285623,45440,1,BI,1,100,560
1752172680.682929,286223,45542,1,BI,1,100,600
1752172681.242934,286783,45627,1,BI,1,100,560
1752172681.761938,287302,45714,1,BI,1,100,520
1752172682.361943,287902,45817,1,BI,1,100,600
1752172682.935947,288476,45909,1,BI,1,100,560
1752172683.535952,289076,46012,1,BI,1,100,600
1752172684.135957,289676,46115,1,BI,1,100,600
1752172684.695962,290236,46217,1,BI,1,100,560
1752172685.294967,290835,46320,1,BI,1,100,600
1752172685.894971,291435,46423,1,BI,1,100,600
1752172686.534977,292075,46528,1,BI,1,100,640
1752172687.134981,292675,46635,1,BI,1,100,600
1752172687.747986,293288,46740,1,BI,1,100,600
1752172688.388992,293929,46848,1,BI,1,100,640
1752172689.027997,294568,46952,1,BI,1,100,640
1752172689.668002,295208,47057,1,BI,1,100,640
1752172690.228007,295768,47160,1,BI,1,100,560
1752172690.828012,296368,47263,1,BI,1,100,600
1752172691.428016,296968,47368,1,BI,1,100,600
1752172692.041021,297581,47472,1,BI,1,100,600
1752172692.601026,298141,47560,1,BI,1,100,560
1752172693.161030,298701,47654,1,BI,1,100,560
1752172693.761035,299301,47755,1,BI,1,100,600
1752172694.361040,299901,47859,1,BI,1,100,600
1752172694.961045,300501,47962,1,BI,1,100,600
1752172695.601050,301141,48065,1,BI,1,100,640
1752172696.161055,301701,48168,1,BI,1,100,560
1752172696.814060,302354,48273,1,BI,1,100,640
1752172697.414065,302954,48375,1,BI,1,100,600
1752172698.054070,303594,48478,1,BI,1,100,640
1752172698.654075,304194,48590,1,BI,1,100,600
1752172699.214080,304754,48674,1,BI,1,100,560
1752172699.814085,305354,48777,1,BI,1,100,600
1752172700.414089,305954,48879,1,BI,1,100,600
1752172701.027094,306567,48984,1,BI,1,100,600
1752172701.627099,307167,49087,1,BI,1,100,600
1752172702.187104,307727,49192,1,BI,1,100,560
1752172702.827109,308367,49292,1,BI,1,100,640
1752172703.467114,309007,49401,1,BI,1,100,640
1752172704.107120,309647,49505,1,BI,1,100,640
1752172704.707124,310247,49610,1,BI,1,100,600
1752172705.267129,310807,49713,1,BI,1,100,560
1752172705.960135,311500,49816,1,BI,1,100,680
1752172706.600140,312140,49938,1,BI,1,100,640
1752172707.200145,312740,50039,1,BI,1,100,600
1752172707.800150,313340,50140,1,BI,1,100,600
1752172708.440155,313980,50248,1,BI,1,100,640
1752172709.080160,314620,50353,1,BI,1,100,640
1752172709.720165,315260,50453,1,BI,1,100,640
1752172710.293170,315833,50558,1,BI,1,100,560
1752172710.933175,316473,50659,1,BI,1,100,640
1752172711.573180,317113,50768,1,BI,1,100,640
1752172712.213185,317753,50887,1,BI,1,100,640
1752172712.813190,318353,50988,1,BI,1,100,600
1752172713.373195,318913,51076,1,BI,1,100,560
1752172714.013200,319553,51182,1,BI,1,100,640
1752172714.586205,320126,51287,1,BI,1,100,560
1752172715.226210,320766,51390,1,BI,1,100,640
1752172715.786215,321326,51473,1,BI,1,100,560
1752172716.386219,321926,51578,1,BI,1,100,600
1752172717.026225,322566,51700,1,BI,1,100,640
1752172717.666230,323206,51805,1,BI,1,100,640
1752172718.345235,323885,51924,1,BI,1,100,680
1752172718.905240,324445,52016,1,BI,1,100,560
1752172719.599246,325139,52137,1,BI,1,100,680
1752172720.199250,325739,52240,1,BI,1,100,600
1752172720.879256,326419,52343,1,BI,1,100,680
1752172721.478261,327018,52450,1,BI,1,100,600
1752172722.078266,327618,52552,1,BI,1,100,600
1752172722.638270,328178,52656,1,BI,1,100,560
1752172723.278275,328818,52758,1,BI,1,100,640
1752172723.891280,329431,52850,1,BI,1,100,600
1752172724.491285,330031,52951,1,BI,1,100,600
1752172725.012290,330552,53036,1,BI,1,100,520
1752172725.651295,331191,53156,1,BI,1,100,640
1752172726.291300,331831,53257,1,BI,1,100,640
1752172726.931305,332471,53364,1,BI,1,100,640
1752172727.531310,333071,53469,1,BI,1,100,600
1752172728.144315,333684,53572,1,BI,1,100,600
1752172728.824321,334364,53690,1,BI,1,100,680
1752172729.424325,334964,53782,1,BI,1,100,600
1752172730.104331,335644,53899,1,BI,1,100,680
1752172730.704336,336244,54002,1,BI,1,100,600
1752172731.224340,336764,54085,1,BI,1,100,520
1752172731.864345,337404,54206,1,BI,1,100,640
1752172732.504351,338044,54309,1,BI,1,100,640
1752172733.077355,338617,54412,1,BI,1,100,560
1752172733.597359,339137,54496,1,BI,1,100,520
1752172734.237365,339777,54589,1,BI,1,100,640
1752172734.877370,340417,54707,1,BI,1,100,640
1752172735.517375,341057,54812,1,BI,1,100,640
1752172736.117380,341657,54913,1,BI,1,100,600
1752172736.717385,342257,55019,1,BI,1,100,600
1752172737.330390,342870,55118,1,BI,1,100,600
1752172737.930395,343470,55221,1,BI,1,100,600
1752172738.490399,344030,55305,1,BI,1,100,560
1752172739.010403,344550,55405,1,BI,1,100,520
1752172739.730409,345270,55509,1,BI,1,100,720
1752172740.410415,345950,55628,1,BI,1,100,680
1752172741.010420,346550,55726,1,BI,1,100,600
1752172741.663425,347203,55829,1,BI,1,100,640
1752172742.343431,347883,55944,1,BI,1,100,680
1752172742.943435,348483,56045,1,BI,1,100,600
1752172743.623441,349163,56144,1,BI,1,100,680
1752172744.183445,349723,56245,1,BI,1,100,560
1752172744.743450,350283,56335,1,BI,1,100,560
1752172745.303455,350843,56435,1,BI,1,100,560
1752172745.823459,351363,56518,1,BI,1,100,520
1752172746.436464,351976,56621,1,BI,1,100,600
1752172747.116469,352656,56719,1,BI,1,100,680
1752172747.796475,353336,56838,1,BI,1,100,680
1752172748.436480,353976,56936,1,BI,1,100,640
1752172749.116486,354656,57054,1,BI,1,100,680
