LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752172666.341812,271882.000,43149,1,B%,1,100,23
1752172671.341853,276882.000,43978,1,B%,1,100,23
1752172676.340894,281881.000,44817,1,B%,1,100,23
1752172681.340934,286881.000,45663,1,B%,1,100,23
1752172686.339975,291880.000,46512,1,B%,1,100,23
1752172691.340016,296880.000,47366,1,B%,1,100,24
1752172696.339056,301879.000,48221,1,B%,1,100,23
1752172701.339097,306879.000,49054,1,B%,1,100,24
1752172706.338138,311878.000,49901,1,B%,1,100,23
1752172711.338178,316878.000,50750,1,B%,1,100,24
1752172716.337219,321877.000,51598,1,B%,1,100,24
1752172721.337260,326877.000,52449,1,B%,1,100,23
1752172726.336300,331876.000,53295,1,B%,1,100,23
1752172731.336341,336876.000,54120,1,B%,1,100,24
1752172736.335382,341875.000,54968,1,B%,1,100,23
1752172741.335422,346875.000,55794,1,B%,1,100,24
1752172746.334463,351874.000,56620,1,B%,1,100,24
1752172751.334504,356874.000,57442,1,B%,1,100,24
1752172756.333544,361873.000,58207,1,B%,1,100,24
1752172761.333585,366873.000,59013,1,B%,1,100,24
1752172766.332626,371872.000,59841,1,B%,1,100,24
1752172771.332666,376872.000,60677,1,B%,1,100,24
1752172776.331707,381871.000,61503,1,B%,1,100,24
1752172781.331748,386871.000,62340,1,B%,1,100,24
1752172786.330788,391870.000,63165,1,B%,1,100,24
1752172791.330829,396870.000,63989,1,B%,1,100,24
1752172796.329870,401869.000,64795,1,B%,1,100,24
1752172801.329910,406869.000,85,1,B%,1,100,24
1752172806.328951,411868.000,912,1,B%,1,100,24
1752172811.328992,416868.000,1738,1,B%,1,100,25
1752172816.328032,421867.000,2562,1,B%,1,100,25
1752172821.328073,426867.000,3386,1,B%,1,100,25
1752172826.327114,431866.000,4228,1,B%,1,100,25
1752172831.327154,436866.000,5050,1,B%,1,100,25
1752172836.326195,441865.000,5877,1,B%,1,100,25
1752172841.326236,446865.000,6695,1,B%,1,100,25
1752172846.325276,451864.000,7516,1,B%,1,100,25
1752172851.325317,456864.000,8357,1,B%,1,100,25
1752172856.324358,461863.000,9197,1,B%,1,100,25
1752172861.324398,466863.000,10021,1,B%,1,100,25
1752172866.323439,471862.000,10844,1,B%,1,100,25
1752172871.323480,476862.000,11669,1,B%,1,100,25
1752172876.322520,481861.000,12509,1,B%,1,100,25
1752172881.322561,486861.000,13317,1,B%,1,100,25
1752172886.321602,491860.000,14159,1,B%,1,100,25
1752172891.321642,496860.000,14983,1,B%,1,100,25
1752172896.320683,501859.000,15808,1,B%,1,100,25
1752172901.320724,506859.000,16630,1,B%,1,100,26
1752172906.319764,511858.000,17439,1,B%,1,100,25
1752172911.319805,516858.000,18281,1,B%,1,100,26
1752172916.318846,521857.000,19107,1,B%,1,100,26
1752172921.318886,526857.000,19931,1,B%,1,100,26
1752172926.317927,531856.000,20773,1,B%,1,100,25
