LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1752172663.775791,269316.000,42710,1,EL,1,100,-15387.000000
1752172663.842792,269383.000,42715,1,EL,1,100,-15368.200195
1752172663.909293,269449.500,42734,2,EL,1,100,-15353.799805
1752172663.975793,269516.000,42734,2,EL,1,100,-15347.000000
1752172664.042794,269583.000,42751,1,EL,1,100,-15345.000000
1752172664.109294,269649.500,42766,2,EL,1,100,-15369.400391
1752172664.175795,269716.000,42766,2,EL,1,100,-15447.000000
1752172664.242795,269783.000,42782,1,EL,1,100,-15535.200195
1752172664.309296,269849.500,42800,2,EL,1,100,-15604.000000
1752172664.375796,269916.000,42800,2,EL,1,100,-15644.400391
1752172664.442797,269983.000,42818,1,EL,1,100,-15777.200195
1752172664.509297,270049.500,42834,2,EL,1,100,-15891.200195
1752172664.575798,270116.000,42834,2,EL,1,100,-15907.000000
1752172664.642799,270183.000,42849,1,EL,1,100,-15961.000000
1752172664.709299,270249.500,42869,2,EL,1,100,-15973.200195
1752172664.775800,270316.000,42869,2,EL,1,100,-15957.799805
1752172664.842300,270382.500,42885,2,EL,1,100,-15954.799805
1752172664.908801,270449.000,42885,2,EL,1,100,-15954.400391
1752172664.975801,270516.000,42902,1,EL,1,100,-15957.000000
1752172665.042302,270582.500,42919,2,EL,1,100,-15965.400391
1752172665.108802,270649.000,42919,2,EL,1,100,-15968.599609
1752172665.175803,270716.000,42936,1,EL,1,100,-15969.599609
1752172665.242303,270782.500,42952,2,EL,1,100,-15973.799805
1752172665.308804,270849.000,42952,2,EL,1,100,-15975.000000
1752172665.375804,270916.000,42970,1,EL,1,100,-15975.599609
1752172665.442305,270982.500,42984,2,EL,1,100,-15978.000000
1752172665.508806,271049.000,42984,2,EL,1,100,-15981.599609
1752172665.575806,271116.000,43001,1,EL,1,100,-15983.400391
1752172665.642307,271182.500,43020,2,EL,1,100,-15986.400391
1752172665.708807,271249.000,43020,2,EL,1,100,-15987.799805
1752172665.775808,271316.000,43037,1,EL,1,100,-15989.599609
1752172665.842308,271382.500,43051,2,EL,1,100,-15992.599609
1752172665.908809,271449.000,43051,2,EL,1,100,-15995.000000
1752172665.975809,271516.000,43068,1,EL,1,100,-15996.799805
1752172666.042310,271582.500,43085,2,EL,1,100,-15993.799805
1752172666.108810,271649.000,43085,2,EL,1,100,-15992.200195
1752172666.175811,271716.000,43104,1,EL,1,100,-15992.799805
1752172666.242312,271782.500,43118,2,EL,1,100,-15996.000000
1752172666.308812,271849.000,43118,2,EL,1,100,-15998.599609
1752172666.375813,271916.000,43136,1,EL,1,100,-16003.799805
1752172666.442313,271982.500,43154,2,EL,1,100,-16007.599609
1752172666.508814,272049.000,43154,2,EL,1,100,-16008.200195
1752172666.575814,272116.000,43171,1,EL,1,100,-16009.200195
1752172666.642315,272182.500,43186,2,EL,1,100,-16013.200195
1752172666.708815,272249.000,43186,2,EL,1,100,-16007.799805
1752172666.775816,272316.000,43205,1,EL,1,100,-16014.000000
1752172666.842316,272382.500,43221,2,EL,1,100,-16016.400391
1752172666.908817,272449.000,43221,2,EL,1,100,-16014.400391
1752172666.975818,272516.000,43238,1,EL,1,100,-16016.400391
1752172667.042318,272582.500,43254,2,EL,1,100,-16022.000000
1752172667.108819,272649.000,43254,2,EL,1,100,-16021.400391
1752172667.175819,272716.000,43270,1,EL,1,100,-16024.200195
1752172667.242320,272782.500,43288,2,EL,1,100,-16026.599609
1752172667.308820,272849.000,43288,2,EL,1,100,-16026.400391
1752172667.375821,272916.000,43306,2,EL,1,100,-16026.799805
1752172667.442821,272983.000,43306,2,EL,1,100,-16026.200195
1752172667.509322,273049.500,43327,2,EL,1,100,-16028.000000
1752172667.575822,273116.000,43327,2,EL,1,100,-16030.400391
1752172667.642823,273183.000,43344,1,EL,1,100,-16032.799805
1752172667.709323,273249.500,43359,2,EL,1,100,-16034.599609
1752172667.775824,273316.000,43359,2,EL,1,100,-16037.200195
1752172667.842825,273383.000,43376,1,EL,1,100,-16036.799805
1752172667.909325,273449.500,43394,2,EL,1,100,-16037.200195
1752172667.975826,273516.000,43394,2,EL,1,100,-16039.200195
1752172668.042826,273583.000,43412,1,EL,1,100,-16041.200195
1752172668.109327,273649.500,43427,2,EL,1,100,-16040.599609
1752172668.175827,273716.000,43427,2,EL,1,100,-16042.599609
1752172668.241828,273782.000,43443,1,EL,1,100,-16044.200195
1752172668.308828,273849.000,43460,2,EL,1,100,-16045.200195
1752172668.375829,273916.000,43460,2,EL,1,100,-16047.599609
1752172668.442329,273982.500,43479,2,EL,1,100,-16049.599609
1752172668.508830,274049.000,43479,2,EL,1,100,-16049.200195
1752172668.575831,274116.000,43495,1,EL,1,100,-16051.000000
1752172668.642331,274182.500,43511,2,EL,1,100,-16051.400391
