LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752172663.793792,269334.000,42705,4,EM,1,100,RS
1752172663.793792,269334.000,42705,4,EM,1,100,RB
1752172663.793792,269334.000,42705,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172663.793792,269334.000,42705,4,EM,1,100,PS
1752172663.844292,269384.500,42727,4,EM,1,100,RS
1752172663.894792,269435.000,42727,4,EM,1,100,RB
1752172663.945293,269485.500,42727,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172663.995793,269536.000,42727,4,EM,1,100,PS
1752172664.045794,269586.000,42761,4,EM,1,100,RS
1752172664.095794,269636.000,42761,4,EM,1,100,RB
1752172664.145794,269686.000,42761,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172664.195795,269736.000,42761,4,EM,1,100,PS
1752172664.246045,269786.250,42794,4,EM,1,100,RS
1752172664.296296,269836.500,42794,4,EM,1,100,RB
1752172664.346546,269886.750,42794,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172664.396797,269937.000,42794,4,EM,1,100,PS
1752172664.447047,269987.250,42829,4,EM,1,100,RS
1752172664.497297,270037.500,42829,4,EM,1,100,RB
1752172664.547548,270087.750,42829,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172664.597798,270138.000,42829,4,EM,1,100,PS
1752172664.648049,270188.250,42861,4,EM,1,100,RS
1752172664.698299,270238.500,42861,4,EM,1,100,RB
1752172664.748549,270288.750,42861,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172664.798800,270339.000,42861,4,EM,1,100,PS
1752172664.849050,270389.250,42897,4,EM,1,100,RS
1752172664.899301,270439.500,42897,4,EM,1,100,RB
1752172664.949551,270489.750,42897,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172664.999801,270540.000,42897,4,EM,1,100,PS
1752172665.050052,270590.250,42931,4,EM,1,100,RS
1752172665.100302,270640.500,42931,4,EM,1,100,RB
1752172665.150553,270690.750,42931,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172665.200803,270741.000,42931,4,EM,1,100,PS
1752172665.251803,270792.000,42964,4,EM,1,100,RS
1752172665.302804,270843.000,42964,4,EM,1,100,RB
1752172665.353804,270894.000,42964,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172665.404805,270945.000,42964,4,EM,1,100,PS
1752172665.455055,270995.250,42996,4,EM,1,100,RS
1752172665.505306,271045.500,42996,4,EM,1,100,RB
1752172665.555556,271095.750,42996,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172665.605806,271146.000,42996,4,EM,1,100,PS
1752172665.656057,271196.250,43032,4,EM,1,100,RS
1752172665.706307,271246.500,43032,4,EM,1,100,RB
1752172665.756558,271296.750,43032,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172665.806808,271347.000,43032,4,EM,1,100,PS
1752172665.857058,271397.250,43063,4,EM,1,100,RS
1752172665.907309,271447.500,43063,4,EM,1,100,RB
1752172665.957559,271497.750,43063,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172666.007810,271548.000,43063,4,EM,1,100,PS
1752172666.058060,271598.250,43097,4,EM,1,100,RS
1752172666.108310,271648.500,43097,4,EM,1,100,RB
1752172666.158561,271698.750,43097,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172666.208811,271749.000,43097,4,EM,1,100,PS
1752172666.259062,271799.250,43130,4,EM,1,100,RS
1752172666.309312,271849.500,43130,4,EM,1,100,RB
1752172666.359562,271899.750,43130,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172666.409813,271950.000,43130,4,EM,1,100,PS
1752172666.460063,272000.250,43166,4,EM,1,100,RS
1752172666.510314,272050.500,43166,4,EM,1,100,RB
1752172666.560564,272100.750,43166,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172666.610815,272151.000,43166,4,EM,1,100,PS
1752172666.661065,272201.250,43198,4,EM,1,100,RS
1752172666.711315,272251.500,43198,4,EM,1,100,RB
1752172666.761566,272301.750,43198,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172666.811816,272352.000,43198,4,EM,1,100,PS
1752172666.862067,272402.250,43233,4,EM,1,100,RS
1752172666.912317,272452.500,43233,4,EM,1,100,RB
1752172666.962567,272502.750,43233,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172667.012818,272553.000,43233,4,EM,1,100,PS
1752172667.063068,272603.250,43265,4,EM,1,100,RS
1752172667.113319,272653.500,43265,4,EM,1,100,RB
1752172667.163569,272703.750,43265,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172667.213819,272754.000,43265,4,EM,1,100,PS
1752172667.264570,272804.750,43300,4,EM,1,100,RS
1752172667.315320,272855.500,43300,4,EM,1,100,RB
1752172667.366071,272906.250,43300,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172667.416821,272957.000,43300,4,EM,1,100,PS
1752172667.472072,273012.250,43339,4,EM,1,100,RS
1752172667.527322,273067.500,43339,4,EM,1,100,RB
1752172667.582572,273122.750,43339,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172667.637823,273178.000,43339,4,EM,1,100,PS
1752172667.688073,273228.250,43371,4,EM,1,100,RS
1752172667.738324,273278.500,43371,4,EM,1,100,RB
1752172667.788574,273328.750,43371,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172667.838825,273379.000,43371,4,EM,1,100,PS
1752172667.891075,273431.250,43406,4,EM,1,100,RS
1752172667.943325,273483.500,43406,4,EM,1,100,RB
1752172667.995576,273535.750,43406,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172668.047826,273588.000,43406,4,EM,1,100,PS
1752172668.099077,273639.250,43438,4,EM,1,100,RS
1752172668.150327,273690.500,43438,4,EM,1,100,RB
1752172668.201577,273741.750,43438,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172668.252828,273793.000,43438,4,EM,1,100,PS
1752172668.302828,273843.000,43472,4,EM,1,100,RS
1752172668.352829,273893.000,43472,4,EM,1,100,RB
1752172668.402829,273943.000,43472,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172668.452830,273993.000,43472,4,EM,1,100,PS
1752172668.504330,274044.500,43505,4,EM,1,100,RS
1752172668.555830,274096.000,43505,4,EM,1,100,RB
1752172668.607331,274147.500,43505,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172668.658831,274199.000,43505,4,EM,1,100,PS
1752172668.709082,274249.250,43539,4,EM,1,100,RS
1752172668.759332,274299.500,43539,4,EM,1,100,RB
1752172668.809582,274349.750,43539,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172668.859833,274400.000,43539,4,EM,1,100,PS
1752172668.910333,274450.500,43574,4,EM,1,100,RS
1752172668.960834,274501.000,43574,4,EM,1,100,RB
1752172669.011334,274551.500,43574,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172669.061834,274602.000,43574,4,EM,1,100,PS
1752172669.112085,274652.250,43608,4,EM,1,100,RS
1752172669.162335,274702.500,43608,4,EM,1,100,RB
1752172669.212586,274752.750,43608,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172669.262836,274803.000,43608,4,EM,1,100,PS
1752172669.313087,274853.250,43640,4,EM,1,100,RS
1752172669.363337,274903.500,43640,4,EM,1,100,RB
1752172669.413587,274953.750,43640,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172669.463838,275004.000,43640,4,EM,1,100,PS
1752172669.514088,275054.250,43677,4,EM,1,100,RS
1752172669.564339,275104.500,43677,4,EM,1,100,RB
1752172669.614589,275154.750,43677,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172669.664839,275205.000,43677,4,EM,1,100,PS
1752172669.717340,275257.500,43711,4,EM,1,100,RS
1752172669.769840,275310.000,43711,4,EM,1,100,RB
1752172669.822341,275362.500,43711,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172669.874841,275415.000,43711,4,EM,1,100,PS
1752172669.924841,275465.000,43746,4,EM,1,100,RS
1752172669.974842,275515.000,43746,4,EM,1,100,RB
1752172670.024842,275565.000,43746,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172670.074843,275615.000,43746,4,EM,1,100,PS
1752172670.125093,275665.250,43783,4,EM,1,100,RS
1752172670.175344,275715.500,43783,4,EM,1,100,RB
1752172670.225594,275765.750,43783,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172670.275844,275816.000,43783,4,EM,1,100,PS
1752172670.326095,275866.250,43818,4,EM,1,100,RS
1752172670.376345,275916.500,43818,4,EM,1,100,RB
1752172670.426596,275966.750,43818,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172670.476846,276017.000,43818,4,EM,1,100,PS
1752172670.527096,276067.250,43852,4,EM,1,100,RS
1752172670.577347,276117.500,43852,4,EM,1,100,RB
1752172670.627597,276167.750,43852,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172670.677848,276218.000,43852,4,EM,1,100,PS
1752172670.729348,276269.500,43889,4,EM,1,100,RS
1752172670.780848,276321.000,43889,4,EM,1,100,RB
1752172670.832349,276372.500,43889,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172670.883849,276424.000,43889,4,EM,1,100,PS
1752172670.934600,276474.750,43925,4,EM,1,100,RS
1752172670.985350,276525.500,43925,4,EM,1,100,RB
1752172671.036101,276576.250,43925,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172671.086851,276627.000,43925,4,EM,1,100,PS
1752172671.137351,276677.500,43960,4,EM,1,100,RS
1752172671.187852,276728.000,43960,4,EM,1,100,RB
1752172671.238352,276778.500,43960,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172671.288853,276829.000,43960,4,EM,1,100,PS
1752172671.339103,276879.250,43996,4,EM,1,100,RS
1752172671.389353,276929.500,43996,4,EM,1,100,RB
1752172671.439604,276979.750,43996,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172671.489854,277030.000,43996,4,EM,1,100,PS
1752172671.540105,277080.250,44029,4,EM,1,100,RS
1752172671.590355,277130.500,44029,4,EM,1,100,RB
1752172671.640605,277180.750,44029,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172671.690856,277231.000,44029,4,EM,1,100,PS
1752172671.741606,277281.750,44065,4,EM,1,100,RS
1752172671.792357,277332.500,44065,4,EM,1,100,RB
1752172671.843107,277383.250,44065,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172671.893858,277434.000,44065,4,EM,1,100,PS
1752172671.943858,277484.000,44099,4,EM,1,100,RS
1752172671.993858,277534.000,44099,4,EM,1,100,RB
1752172672.043859,277584.000,44099,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172672.093859,277634.000,44099,4,EM,1,100,PS
1752172672.144860,277685.000,44132,4,EM,1,100,RS
1752172672.195860,277736.000,44132,4,EM,1,100,RB
1752172672.246860,277787.000,44132,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172672.297861,277838.000,44132,4,EM,1,100,PS
1752172672.348611,277888.750,44166,4,EM,1,100,RS
1752172672.399362,277939.500,44166,4,EM,1,100,RB
1752172672.450112,277990.250,44166,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172672.500862,278041.000,44166,4,EM,1,100,PS
1752172672.553113,278093.250,44188,4,EM,1,100,RS
1752172672.605363,278145.500,44188,4,EM,1,100,RB
1752172672.657614,278197.750,44188,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172672.709864,278250.000,44188,4,EM,1,100,PS
1752172672.760115,278300.250,44222,4,EM,1,100,RS
1752172672.810365,278350.500,44222,4,EM,1,100,RB
1752172672.860615,278400.750,44222,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172672.910866,278451.000,44222,4,EM,1,100,PS
1752172672.961116,278501.250,44255,4,EM,1,100,RS
1752172673.011367,278551.500,44255,4,EM,1,100,RB
1752172673.061617,278601.750,44255,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172673.111867,278652.000,44255,4,EM,1,100,PS
1752172673.162118,278702.250,44289,4,EM,1,100,RS
1752172673.212368,278752.500,44289,4,EM,1,100,RB
1752172673.262619,278802.750,44289,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172673.312869,278853.000,44289,4,EM,1,100,PS
1752172673.363119,278903.250,44321,4,EM,1,100,RS
1752172673.413370,278953.500,44321,4,EM,1,100,RB
1752172673.463620,279003.750,44321,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172673.513871,279054.000,44321,4,EM,1,100,PS
1752172673.565121,279105.250,44356,4,EM,1,100,RS
1752172673.616372,279156.500,44356,4,EM,1,100,RB
1752172673.667622,279207.750,44356,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172673.718872,279259.000,44356,4,EM,1,100,PS
1752172673.769123,279309.250,44388,4,EM,1,100,RS
1752172673.819373,279359.500,44388,4,EM,1,100,RB
1752172673.869624,279409.750,44388,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172673.919874,279460.000,44388,4,EM,1,100,PS
1752172673.970874,279511.000,44425,4,EM,1,100,RS
1752172674.021875,279562.000,44425,4,EM,1,100,RB
1752172674.072875,279613.000,44425,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172674.123876,279664.000,44425,4,EM,1,100,PS
1752172674.174126,279714.250,44458,4,EM,1,100,RS
1752172674.224376,279764.500,44458,4,EM,1,100,RB
1752172674.274627,279814.750,44458,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172674.324877,279865.000,44458,4,EM,1,100,PS
1752172674.375128,279915.250,44493,4,EM,1,100,RS
1752172674.425378,279965.500,44493,4,EM,1,100,RB
1752172674.475629,280015.750,44493,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172674.525879,280066.000,44493,4,EM,1,100,PS
1752172674.576129,280116.250,44527,4,EM,1,100,RS
1752172674.626380,280166.500,44527,4,EM,1,100,RB
1752172674.676630,280216.750,44527,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172674.726881,280267.000,44527,4,EM,1,100,PS
1752172674.777131,280317.250,44562,4,EM,1,100,RS
1752172674.827381,280367.500,44562,4,EM,1,100,RB
1752172674.877632,280417.750,44562,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172674.927882,280468.000,44562,4,EM,1,100,PS
1752172674.978133,280518.250,44596,4,EM,1,100,RS
1752172675.028383,280568.500,44596,4,EM,1,100,RB
1752172675.078633,280618.750,44596,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172675.128884,280669.000,44596,4,EM,1,100,PS
1752172675.179134,280719.250,44631,4,EM,1,100,RS
1752172675.229385,280769.500,44631,4,EM,1,100,RB
1752172675.279635,280819.750,44631,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172675.329885,280870.000,44631,4,EM,1,100,PS
1752172675.380136,280920.250,44665,4,EM,1,100,RS
1752172675.430386,280970.500,44665,4,EM,1,100,RB
1752172675.480637,281020.750,44665,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172675.530887,281071.000,44665,4,EM,1,100,PS
1752172675.581137,281121.250,44698,4,EM,1,100,RS
1752172675.631388,281171.500,44698,4,EM,1,100,RB
1752172675.681638,281221.750,44698,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172675.731889,281272.000,44698,4,EM,1,100,PS
1752172675.782139,281322.250,44734,4,EM,1,100,RS
1752172675.832390,281372.500,44734,4,EM,1,100,RB
1752172675.882640,281422.750,44734,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172675.932890,281473.000,44734,4,EM,1,100,PS
1752172675.983641,281523.750,44766,4,EM,1,100,RS
1752172676.034391,281574.500,44766,4,EM,1,100,RB
1752172676.085142,281625.250,44766,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172676.135892,281676.000,44766,4,EM,1,100,PS
1752172676.186142,281726.250,44801,4,EM,1,100,RS
1752172676.236393,281776.500,44801,4,EM,1,100,RB
1752172676.286643,281826.750,44801,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172676.336894,281877.000,44801,4,EM,1,100,PS
1752172676.386894,281927.000,44835,4,EM,1,100,RS
1752172676.436894,281977.000,44835,4,EM,1,100,RB
1752172676.486895,282027.000,44835,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172676.536895,282077.000,44835,4,EM,1,100,PS
1752172676.587146,282127.250,44868,4,EM,1,100,RS
1752172676.637396,282177.500,44868,4,EM,1,100,RB
1752172676.687646,282227.750,44868,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172676.737897,282278.000,44868,4,EM,1,100,PS
1752172676.788147,282328.250,44902,4,EM,1,100,RS
1752172676.838398,282378.500,44902,4,EM,1,100,RB
1752172676.888648,282428.750,44902,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172676.938899,282479.000,44902,4,EM,1,100,PS
1752172676.989149,282529.250,44938,4,EM,1,100,RS
1752172677.039399,282579.500,44938,4,EM,1,100,RB
1752172677.089650,282629.750,44938,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172677.139900,282680.000,44938,4,EM,1,100,PS
1752172677.190151,282730.250,44971,4,EM,1,100,RS
1752172677.240401,282780.500,44971,4,EM,1,100,RB
1752172677.290651,282830.750,44971,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172677.340902,282881.000,44971,4,EM,1,100,PS
1752172677.391152,282931.250,45005,4,EM,1,100,RS
1752172677.441403,282981.500,45005,4,EM,1,100,RB
1752172677.491653,283031.750,45005,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172677.541903,283082.000,45005,4,EM,1,100,PS
1752172677.614154,283154.250,45041,4,EM,1,100,RS
1752172677.686405,283226.500,45041,4,EM,1,100,RB
1752172677.758655,283298.750,45041,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172677.830906,283371.000,45041,4,EM,1,100,PS
1752172677.881156,283421.250,45078,4,EM,1,100,RS
1752172677.931407,283471.500,45078,4,EM,1,100,RB
1752172677.981657,283521.750,45078,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172678.031907,283572.000,45078,4,EM,1,100,PS
1752172678.082158,283622.250,45114,4,EM,1,100,RS
1752172678.132408,283672.500,45114,4,EM,1,100,RB
1752172678.182659,283722.750,45114,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172678.232909,283773.000,45114,4,EM,1,100,PS
1752172678.283159,283823.250,45147,4,EM,1,100,RS
1752172678.333410,283873.500,45147,4,EM,1,100,RB
1752172678.383660,283923.750,45147,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172678.433911,283974.000,45147,4,EM,1,100,PS
1752172678.484161,284024.250,45183,4,EM,1,100,RS
1752172678.534412,284074.500,45183,4,EM,1,100,RB
1752172678.584662,284124.750,45183,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172678.634912,284175.000,45183,4,EM,1,100,PS
1752172678.685163,284225.250,45217,4,EM,1,100,RS
1752172678.735413,284275.500,45217,4,EM,1,100,RB
1752172678.785664,284325.750,45217,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172678.835914,284376.000,45217,4,EM,1,100,PS
1752172678.886164,284426.250,45250,4,EM,1,100,RS
1752172678.936415,284476.500,45250,4,EM,1,100,RB
1752172678.986665,284526.750,45250,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172679.036916,284577.000,45250,4,EM,1,100,PS
1752172679.087166,284627.250,45286,4,EM,1,100,RS
1752172679.137416,284677.500,45286,4,EM,1,100,RB
1752172679.187667,284727.750,45286,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172679.237917,284778.000,45286,4,EM,1,100,PS
1752172679.288168,284828.250,45319,4,EM,1,100,RS
1752172679.338418,284878.500,45319,4,EM,1,100,RB
1752172679.388668,284928.750,45319,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172679.438919,284979.000,45319,4,EM,1,100,PS
1752172679.489919,285030.000,45355,4,EM,1,100,RS
1752172679.540920,285081.000,45355,4,EM,1,100,RB
1752172679.591920,285132.000,45355,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172679.642921,285183.000,45355,4,EM,1,100,PS
1752172679.693171,285233.250,45391,4,EM,1,100,RS
1752172679.743421,285283.500,45391,4,EM,1,100,RB
1752172679.793672,285333.750,45391,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172679.843922,285384.000,45391,4,EM,1,100,PS
1752172679.893923,285434.000,45422,4,EM,1,100,RS
1752172679.943923,285484.000,45422,4,EM,1,100,RB
1752172679.993923,285534.000,45422,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172680.043924,285584.000,45422,4,EM,1,100,PS
1752172680.094174,285634.250,45458,4,EM,1,100,RS
1752172680.144425,285684.500,45458,4,EM,1,100,RB
1752172680.194675,285734.750,45458,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172680.244925,285785.000,45458,4,EM,1,100,PS
1752172680.295176,285835.250,45490,4,EM,1,100,RS
1752172680.345426,285885.500,45490,4,EM,1,100,RB
1752172680.395677,285935.750,45490,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172680.445927,285986.000,45490,4,EM,1,100,PS
1752172680.497177,286037.250,45525,4,EM,1,100,RS
1752172680.548428,286088.500,45525,4,EM,1,100,RB
1752172680.599678,286139.750,45525,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172680.650929,286191.000,45525,4,EM,1,100,PS
1752172680.701179,286241.250,45561,4,EM,1,100,RS
1752172680.751430,286291.500,45561,4,EM,1,100,RB
1752172680.801680,286341.750,45561,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172680.851930,286392.000,45561,4,EM,1,100,PS
1752172680.902181,286442.250,45592,4,EM,1,100,RS
1752172680.952431,286492.500,45592,4,EM,1,100,RB
1752172681.002682,286542.750,45592,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172681.052932,286593.000,45592,4,EM,1,100,PS
1752172681.103932,286644.000,45626,4,EM,1,100,RS
1752172681.154933,286695.000,45626,4,EM,1,100,RB
1752172681.205933,286746.000,45626,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172681.256934,286797.000,45626,4,EM,1,100,PS
1752172681.307184,286847.250,45664,4,EM,1,100,RS
1752172681.357434,286897.500,45664,4,EM,1,100,RB
1752172681.407685,286947.750,45664,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172681.457935,286998.000,45664,4,EM,1,100,PS
1752172681.508186,287048.250,45699,4,EM,1,100,RS
1752172681.558436,287098.500,45699,4,EM,1,100,RB
1752172681.608687,287148.750,45699,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172681.658937,287199.000,45699,4,EM,1,100,PS
1752172681.709187,287249.250,45733,4,EM,1,100,RS
1752172681.759438,287299.500,45733,4,EM,1,100,RB
1752172681.809688,287349.750,45733,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172681.859939,287400.000,45733,4,EM,1,100,PS
1752172681.910189,287450.250,45766,4,EM,1,100,RS
1752172681.960439,287500.500,45766,4,EM,1,100,RB
1752172682.010690,287550.750,45766,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172682.060940,287601.000,45766,4,EM,1,100,PS
1752172682.111191,287651.250,45800,4,EM,1,100,RS
1752172682.161441,287701.500,45800,4,EM,1,100,RB
1752172682.211691,287751.750,45800,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172682.261942,287802.000,45800,4,EM,1,100,PS
1752172682.312192,287852.250,45836,4,EM,1,100,RS
1752172682.362443,287902.500,45836,4,EM,1,100,RB
1752172682.412693,287952.750,45836,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172682.462943,288003.000,45836,4,EM,1,100,PS
1752172682.513194,288053.250,45869,4,EM,1,100,RS
1752172682.563444,288103.500,45869,4,EM,1,100,RB
1752172682.613695,288153.750,45869,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172682.663945,288204.000,45869,4,EM,1,100,PS
1752172682.732696,288272.750,45908,4,EM,1,100,RS
1752172682.801446,288341.500,45908,4,EM,1,100,RB
1752172682.870197,288410.250,45908,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172682.938947,288479.000,45908,4,EM,1,100,PS
1752172682.989198,288529.250,45946,4,EM,1,100,RS
1752172683.039448,288579.500,45946,4,EM,1,100,RB
1752172683.089699,288629.750,45946,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172683.139949,288680.000,45946,4,EM,1,100,PS
1752172683.190199,288730.250,45977,4,EM,1,100,RS
1752172683.240450,288780.500,45977,4,EM,1,100,RB
1752172683.290700,288830.750,45977,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172683.340951,288881.000,45977,4,EM,1,100,PS
1752172683.391201,288931.250,46011,4,EM,1,100,RS
1752172683.441451,288981.500,46011,4,EM,1,100,RB
1752172683.491702,289031.750,46011,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172683.541952,289082.000,46011,4,EM,1,100,PS
1752172683.592203,289132.250,46046,4,EM,1,100,RS
1752172683.642453,289182.500,46046,4,EM,1,100,RB
1752172683.692703,289232.750,46046,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172683.742954,289283.000,46046,4,EM,1,100,PS
1752172683.793204,289333.250,46080,4,EM,1,100,RS
1752172683.843455,289383.500,46080,4,EM,1,100,RB
1752172683.893705,289433.750,46080,4,EM,1,100,2025-07-10_14-37-42-966335.csv
1752172683.943956,289484.000,46080,4,EM,1,100,PS
