LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752172663.910793,269451,42729,1,HR,1,100,107.57
1752172664.470797,270011,42813,1,HR,1,100,107.47
1752172665.083802,270624,42913,1,HR,1,100,105.81
1752172665.643807,271184,43014,1,HR,1,100,106.11
1752172666.203811,271744,43099,1,HR,1,100,106.34
1752172666.763816,272304,43200,1,HR,1,100,106.52
1752172667.323820,272864,43283,1,HR,1,100,106.66
1752172667.923825,273464,43389,1,HR,1,100,105.18
1752172668.443829,273984,43474,1,HR,1,100,107.45
1752172669.003834,274544,43557,1,HR,1,100,107.38
1752172669.576839,275117,43660,1,HR,1,100,107.33
1752172670.096843,275637,43748,1,HR,1,100,109.12
1752172670.656847,276197,43854,1,HR,1,100,108.68
1752172671.216852,276757,43941,1,HR,1,100,108.34
1752172671.816857,277357,44048,1,HR,1,100,106.48
1752172672.296861,277837,44134,1,HR,1,100,110.60
1752172672.896866,278437,44224,1,HR,1,100,108.24
1752172673.496871,279037,44323,1,HR,1,100,106.41
1752172674.029875,279570,44406,1,HR,1,100,108.41
1752172674.549879,280090,44511,1,HR,1,100,109.96
1752172675.069883,280610,44598,1,HR,1,100,111.16
1752172675.629888,281170,44681,1,HR,1,100,110.27
1752172676.189892,281730,44784,1,HR,1,100,109.57
1752172676.749897,282290,44870,1,HR,1,100,109.03
1752172677.269901,282810,44956,1,HR,1,100,110.45
1752172677.828906,283369,45043,1,HR,1,100,109.71
1752172678.402910,283943,45149,1,HR,1,100,109.14
1752172678.962915,284503,45252,1,HR,1,100,108.70
1752172679.522920,285063,45340,1,HR,1,100,108.35
1752172680.082924,285623,45441,1,HR,1,100,108.08
1752172680.682929,286223,45543,1,HR,1,100,106.29
1752172681.242934,286783,45628,1,HR,1,100,106.48
1752172681.761938,287302,45715,1,HR,1,100,108.46
1752172682.361943,287902,45818,1,HR,1,100,106.58
1752172682.935947,288476,45910,1,HR,1,100,106.70
1752172683.535952,289076,46013,1,HR,1,100,105.21
1752172684.135957,289676,46116,1,HR,1,100,104.05
1752172684.695962,290236,46218,1,HR,1,100,104.74
1752172685.294967,290835,46321,1,HR,1,100,103.69
1752172685.894971,291435,46424,1,HR,1,100,102.87
1752172686.534977,292075,46529,1,HR,1,100,100.84
1752172687.134981,292675,46636,1,HR,1,100,100.65
1752172687.747986,293288,46741,1,HR,1,100,100.51
1752172688.388992,293929,46849,1,HR,1,100,99.01
1752172689.027997,294568,46953,1,HR,1,100,97.84
1752172689.668002,295208,47058,1,HR,1,100,96.93
1752172690.228007,295768,47161,1,HR,1,100,99.20
1752172690.828012,296368,47264,1,HR,1,100,99.38
1752172691.428016,296968,47369,1,HR,1,100,99.52
1752172692.041021,297581,47473,1,HR,1,100,99.62
1752172692.601026,298141,47561,1,HR,1,100,101.29
1752172693.161030,298701,47655,1,HR,1,100,102.59
1752172693.761035,299301,47756,1,HR,1,100,102.02
1752172694.361040,299901,47860,1,HR,1,100,101.57
1752172694.961045,300501,47963,1,HR,1,100,101.22
1752172695.601050,301141,48066,1,HR,1,100,99.56
1752172696.161055,301701,48169,1,HR,1,100,101.25
1752172696.814060,302354,48274,1,HR,1,100,99.58
1752172697.414065,302954,48376,1,HR,1,100,99.67
1752172698.054070,303594,48479,1,HR,1,100,98.36
1752172698.654075,304194,48591,1,HR,1,100,98.72
1752172699.214080,304754,48675,1,HR,1,100,100.59
1752172699.814085,305354,48778,1,HR,1,100,100.46
1752172700.414089,305954,48880,1,HR,1,100,100.36
1752172701.027094,306567,48985,1,HR,1,100,100.28
1752172701.627099,307167,49088,1,HR,1,100,100.22
1752172702.187104,307727,49193,1,HR,1,100,101.76
1752172702.827109,308367,49293,1,HR,1,100,99.98
1752172703.467114,309007,49402,1,HR,1,100,98.59
1752172704.107120,309647,49506,1,HR,1,100,97.52
1752172704.707124,310247,49611,1,HR,1,100,98.07
1752172705.267129,310807,49714,1,HR,1,100,100.09
1752172705.960135,311500,49817,1,HR,1,100,97.45
1752172706.600140,312140,49939,1,HR,1,100,96.63
1752172707.200145,312740,50040,1,HR,1,100,97.38
1752172707.800150,313340,50141,1,HR,1,100,97.96
1752172708.440155,313980,50249,1,HR,1,100,97.03
1752172709.080160,314620,50354,1,HR,1,100,96.30
1752172709.720165,315260,50454,1,HR,1,100,95.73
1752172710.293170,315833,50559,1,HR,1,100,98.27
1752172710.933175,316473,50660,1,HR,1,100,97.26
1752172711.573180,317113,50769,1,HR,1,100,96.48
1752172712.213185,317753,50888,1,HR,1,100,95.88
1752172712.813190,318353,50989,1,HR,1,100,96.79
1752172713.373195,318913,51077,1,HR,1,100,99.09
1752172714.013200,319553,51183,1,HR,1,100,97.91
1752172714.586205,320126,51288,1,HR,1,100,99.96
1752172715.226210,320766,51391,1,HR,1,100,98.58
1752172715.786215,321326,51474,1,HR,1,100,100.48
1752172716.386219,321926,51579,1,HR,1,100,100.37
1752172717.026225,322566,51701,1,HR,1,100,98.90
1752172717.666230,323206,51806,1,HR,1,100,97.76
1752172718.345235,323885,51925,1,HR,1,100,95.64
1752172718.905240,324445,52017,1,HR,1,100,98.20
1752172719.599246,325139,52138,1,HR,1,100,95.98
1752172720.199250,325739,52241,1,HR,1,100,96.88
1752172720.879256,326419,52344,1,HR,1,100,94.96
1752172721.478261,327018,52451,1,HR,1,100,96.08
1752172722.078266,327618,52553,1,HR,1,100,96.95
1752172722.638270,328178,52657,1,HR,1,100,99.21
1752172723.278275,328818,52759,1,HR,1,100,98.00
1752172723.891280,329431,52851,1,HR,1,100,98.44
1752172724.491285,330031,52952,1,HR,1,100,98.79
1752172725.012290,330552,53037,1,HR,1,100,102.48
1752172725.651295,331191,53157,1,HR,1,100,100.54
1752172726.291300,331831,53258,1,HR,1,100,99.03
1752172726.931305,332471,53365,1,HR,1,100,97.86
1752172727.531310,333071,53470,1,HR,1,100,98.33
1752172728.144315,333684,53573,1,HR,1,100,98.70
1752172728.824321,334364,53691,1,HR,1,100,96.38
1752172729.424325,334964,53783,1,HR,1,100,97.18
1752172730.104331,335644,53900,1,HR,1,100,95.19
1752172730.704336,336244,54003,1,HR,1,100,96.26
1752172731.224340,336764,54086,1,HR,1,100,100.51
1752172731.864345,337404,54207,1,HR,1,100,99.01
1752172732.504351,338044,54310,1,HR,1,100,97.84
1752172733.077355,338617,54413,1,HR,1,100,99.91
1752172733.597359,339137,54497,1,HR,1,100,103.35
1752172734.237365,339777,54590,1,HR,1,100,101.21
1752172734.877370,340417,54708,1,HR,1,100,99.56
1752172735.517375,341057,54813,1,HR,1,100,98.27
1752172736.117380,341657,54914,1,HR,1,100,98.65
1752172736.717385,342257,55020,1,HR,1,100,98.95
1752172737.330390,342870,55119,1,HR,1,100,99.18
1752172737.930395,343470,55222,1,HR,1,100,99.37
1752172738.490399,344030,55306,1,HR,1,100,101.09
1752172739.010403,344550,55406,1,HR,1,100,104.27
1752172739.730409,345270,55510,1,HR,1,100,99.62
1752172740.410415,345950,55629,1,HR,1,100,97.09
1752172741.010420,346550,55727,1,HR,1,100,97.73
1752172741.663425,347203,55830,1,HR,1,100,96.85
1752172742.343431,347883,55945,1,HR,1,100,94.93
1752172742.943435,348483,56046,1,HR,1,100,96.06
1752172743.623441,349163,56145,1,HR,1,100,94.32
1752172744.183445,349723,56246,1,HR,1,100,97.17
1752172744.743450,350283,56336,1,HR,1,100,99.39
1752172745.303455,350843,56436,1,HR,1,100,101.11
1752172745.823459,351363,56519,1,HR,1,100,104.28
1752172746.436464,351976,56622,1,HR,1,100,103.33
1752172747.116469,352656,56720,1,HR,1,100,99.98
1752172747.796475,353336,56839,1,HR,1,100,97.37
1752172748.436480,353976,56937,1,HR,1,100,96.56
1752172749.116486,354656,57055,1,HR,1,100,94.71
1752172749.756491,355296,57159,1,HR,1,100,94.50
1752172750.396496,355936,57259,1,HR,1,100,94.33
1752172751.009501,356549,57360,1,HR,1,100,95.59
1752172751.609506,357149,57461,1,HR,1,100,96.57
1752172752.249511,357789,57578,1,HR,1,100,95.94
1752172752.769515,358309,57661,1,HR,1,100,100.26
1752172753.369520,358909,57698,1,HR,1,100,100.21
1752172753.889524,359429,57782,1,HR,1,100,103.58
1752172754.489529,360029,57888,1,HR,1,100,102.78
1752172755.128535,360668,57989,1,HR,1,100,100.78
1752172755.742540,361282,58090,1,HR,1,100,100.60
1752172756.302544,361842,58172,1,HR,1,100,102.06
1752172756.902549,362442,58275,1,HR,1,100,101.60
1752172757.462554,363002,58376,1,HR,1,100,102.83
1752172758.021558,363561,58457,1,HR,1,100,103.79
1752172758.541562,364081,58542,1,HR,1,100,106.37
1752172759.101567,364641,58643,1,HR,1,100,106.54
1752172759.661571,365201,58730,1,HR,1,100,106.67
1752172760.315577,365855,58829,1,HR,1,100,103.80
1752172760.955582,366495,58946,1,HR,1,100,101.57
1752172761.595587,367135,59047,1,HR,1,100,99.83
1752172762.154592,367694,59150,1,HR,1,100,101.46
1752172762.754597,368294,59234,1,HR,1,100,101.13
1752172763.274601,368814,59333,1,HR,1,100,104.30
1752172763.874606,369414,59417,1,HR,1,100,103.34
1752172764.447610,369987,59518,1,HR,1,100,104.19
1752172764.968615,370508,59609,1,HR,1,100,106.68
1752172765.487619,371027,59693,1,HR,1,100,108.61
1752172766.007623,371547,59775,1,HR,1,100,110.12
1752172766.567628,372107,59878,1,HR,1,100,109.46
1752172767.087632,372627,59962,1,HR,1,100,110.77
1752172767.727637,373267,60060,1,HR,1,100,106.99
1752172768.287642,373827,60161,1,HR,1,100,107.02
1752172768.900647,374440,60262,1,HR,1,100,105.46
1752172769.460651,375000,60349,1,HR,1,100,105.84
1752172770.100656,375640,60459,1,HR,1,100,103.15
1752172770.620661,376160,60542,1,HR,1,100,105.87
1752172771.220665,376760,60643,1,HR,1,100,104.56
1752172771.740670,377280,60727,1,HR,1,100,106.97
1752172772.300674,377840,60828,1,HR,1,100,107.01
1752172772.940679,378480,60927,1,HR,1,100,104.06
1752172773.513684,379053,61028,1,HR,1,100,104.75
1752172774.153689,379693,61129,1,HR,1,100,102.30
1752172774.793694,380333,61228,1,HR,1,100,100.40
1752172775.433700,380973,61334,1,HR,1,100,98.92
1752172776.033705,381573,61436,1,HR,1,100,99.16
1752172776.673710,382213,61537,1,HR,1,100,97.96
1752172777.313715,382853,61655,1,HR,1,100,97.02
1752172777.966720,383506,61757,1,HR,1,100,96.30
