LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752172663.790792,269331.000,42707,1,PR,1,100,63869
1752172663.830792,269371.000,42712,2,PR,1,100,63866
1752172663.870792,269411.000,42712,2,PR,1,100,63864
1752172663.910793,269451.000,42731,3,PR,1,100,63863
1752172663.950793,269491.000,42731,3,PR,1,100,63870
1752172663.990793,269531.000,42731,3,PR,1,100,63863
1752172664.030794,269571.000,42748,2,PR,1,100,63884
1752172664.070794,269611.000,42748,2,PR,1,100,63884
1752172664.110794,269651.000,42763,3,PR,1,100,63874
1752172664.150795,269691.000,42763,3,PR,1,100,63877
1752172664.190795,269731.000,42763,3,PR,1,100,63870
1752172664.230795,269771.000,42779,2,PR,1,100,63868
1752172664.270796,269811.000,42779,2,PR,1,100,63860
1752172664.310796,269851.000,42797,3,PR,1,100,63857
1752172664.350796,269891.000,42797,3,PR,1,100,63878
1752172664.390796,269931.000,42797,3,PR,1,100,63871
1752172664.430797,269971.000,42815,2,PR,1,100,63871
1752172664.470797,270011.000,42815,2,PR,1,100,63869
1752172664.510797,270051.000,42831,3,PR,1,100,63873
1752172664.550798,270091.000,42831,3,PR,1,100,63856
1752172664.590798,270131.000,42831,3,PR,1,100,63877
1752172664.637298,270177.500,42846,2,PR,1,100,63872
1752172664.683799,270224.000,42846,2,PR,1,100,63894
1752172664.723799,270264.000,42866,3,PR,1,100,63882
1752172664.763800,270304.000,42866,3,PR,1,100,63875
1752172664.803800,270344.000,42866,3,PR,1,100,63866
1752172664.843800,270384.000,42882,2,PR,1,100,63852
1752172664.883800,270424.000,42882,2,PR,1,100,63860
1752172664.923801,270464.000,42899,3,PR,1,100,63864
1752172664.963801,270504.000,42899,3,PR,1,100,63889
1752172665.003801,270544.000,42899,3,PR,1,100,63888
1752172665.043802,270584.000,42916,2,PR,1,100,63882
1752172665.083802,270624.000,42916,2,PR,1,100,63881
1752172665.123802,270664.000,42933,3,PR,1,100,63858
1752172665.163803,270704.000,42933,3,PR,1,100,63879
1752172665.203803,270744.000,42933,3,PR,1,100,63886
1752172665.243803,270784.000,42949,2,PR,1,100,63870
1752172665.283804,270824.000,42949,2,PR,1,100,63889
1752172665.323804,270864.000,42967,3,PR,1,100,63875
1752172665.363804,270904.000,42967,3,PR,1,100,63862
1752172665.403805,270944.000,42967,3,PR,1,100,63863
1752172665.443805,270984.000,42981,2,PR,1,100,63864
1752172665.483805,271024.000,42981,2,PR,1,100,63875
1752172665.523806,271064.000,42998,3,PR,1,100,63878
1752172665.563806,271104.000,42998,3,PR,1,100,63861
1752172665.603806,271144.000,42998,3,PR,1,100,63861
1752172665.643807,271184.000,43017,2,PR,1,100,63891
1752172665.683807,271224.000,43017,2,PR,1,100,63861
1752172665.723807,271264.000,43034,3,PR,1,100,63863
1752172665.763808,271304.000,43034,3,PR,1,100,63880
1752172665.803808,271344.000,43034,3,PR,1,100,63872
1752172665.843808,271384.000,43048,3,PR,1,100,63887
1752172665.883809,271424.000,43048,3,PR,1,100,63884
1752172665.923809,271464.000,43048,3,PR,1,100,63866
1752172665.963809,271504.000,43065,2,PR,1,100,63866
1752172666.003810,271544.000,43065,2,PR,1,100,63864
1752172666.043810,271584.000,43082,3,PR,1,100,63862
1752172666.083810,271624.000,43082,3,PR,1,100,63876
1752172666.123811,271664.000,43082,3,PR,1,100,63866
1752172666.163811,271704.000,43101,2,PR,1,100,63883
1752172666.203811,271744.000,43101,2,PR,1,100,63870
1752172666.243812,271784.000,43115,3,PR,1,100,63867
1752172666.283812,271824.000,43115,3,PR,1,100,63868
1752172666.323812,271864.000,43115,3,PR,1,100,63864
1752172666.363813,271904.000,43133,2,PR,1,100,63877
1752172666.403813,271944.000,43133,2,PR,1,100,63866
1752172666.443813,271984.000,43151,3,PR,1,100,63861
1752172666.483814,272024.000,43151,3,PR,1,100,63863
1752172666.523814,272064.000,43151,3,PR,1,100,63876
1752172666.563814,272104.000,43168,2,PR,1,100,63848
1752172666.603814,272144.000,43168,2,PR,1,100,63841
1752172666.643815,272184.000,43183,3,PR,1,100,63878
1752172666.683815,272224.000,43183,3,PR,1,100,63877
1752172666.723815,272264.000,43183,3,PR,1,100,63868
1752172666.763816,272304.000,43202,2,PR,1,100,63878
1752172666.803816,272344.000,43202,2,PR,1,100,63864
1752172666.843816,272384.000,43218,3,PR,1,100,63864
1752172666.883817,272424.000,43218,3,PR,1,100,63873
1752172666.923817,272464.000,43218,3,PR,1,100,63866
1752172666.963817,272504.000,43235,2,PR,1,100,63858
1752172667.003818,272544.000,43235,2,PR,1,100,63863
1752172667.043818,272584.000,43251,3,PR,1,100,63860
1752172667.083818,272624.000,43251,3,PR,1,100,63853
1752172667.123819,272664.000,43251,3,PR,1,100,63854
1752172667.163819,272704.000,43267,2,PR,1,100,63849
1752172667.203819,272744.000,43267,2,PR,1,100,63869
1752172667.243820,272784.000,43285,3,PR,1,100,63866
1752172667.283820,272824.000,43285,3,PR,1,100,63858
1752172667.323820,272864.000,43285,3,PR,1,100,63862
1752172667.363821,272904.000,43303,3,PR,1,100,63863
1752172667.403821,272944.000,43303,3,PR,1,100,63855
1752172667.443821,272984.000,43303,3,PR,1,100,63851
1752172667.483822,273024.000,43324,3,PR,1,100,63865
1752172667.523822,273064.000,43324,3,PR,1,100,63875
1752172667.563822,273104.000,43324,3,PR,1,100,63882
1752172667.603823,273144.000,43341,3,PR,1,100,63858
1752172667.643823,273184.000,43341,3,PR,1,100,63849
1752172667.683823,273224.000,43341,3,PR,1,100,63849
1752172667.723824,273264.000,43356,2,PR,1,100,63864
1752172667.763824,273304.000,43356,2,PR,1,100,63869
1752172667.803824,273344.000,43373,3,PR,1,100,63851
1752172667.843825,273384.000,43373,3,PR,1,100,63869
1752172667.883825,273424.000,43373,3,PR,1,100,63869
1752172667.923825,273464.000,43391,3,PR,1,100,63854
1752172667.963826,273504.000,43391,3,PR,1,100,63859
1752172668.003826,273544.000,43391,3,PR,1,100,63857
1752172668.043826,273584.000,43409,2,PR,1,100,63870
1752172668.083827,273624.000,43409,2,PR,1,100,63866
1752172668.123827,273664.000,43424,3,PR,1,100,63858
1752172668.163827,273704.000,43424,3,PR,1,100,63858
1752172668.203827,273744.000,43424,3,PR,1,100,63851
1752172668.243828,273784.000,43440,2,PR,1,100,63849
1752172668.283828,273824.000,43440,2,PR,1,100,63839
1752172668.323828,273864.000,43457,3,PR,1,100,63834
1752172668.363829,273904.000,43457,3,PR,1,100,63853
1752172668.403829,273944.000,43457,3,PR,1,100,63859
1752172668.443829,273984.000,43476,2,PR,1,100,63864
1752172668.483830,274024.000,43476,2,PR,1,100,63865
1752172668.523830,274064.000,43492,3,PR,1,100,63852
1752172668.563830,274104.000,43492,3,PR,1,100,63862
1752172668.603831,274144.000,43492,3,PR,1,100,63854
1752172668.643831,274184.000,43508,2,PR,1,100,63852
1752172668.683831,274224.000,43508,2,PR,1,100,63832
1752172668.723832,274264.000,43524,3,PR,1,100,63855
1752172668.763832,274304.000,43524,3,PR,1,100,63849
1752172668.803832,274344.000,43524,3,PR,1,100,63854
