LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752172664.242795,269783,42863,1,SA,1,100,0.041717
1752172668.842833,274383,43558,1,SA,1,100,0.000201
1752172669.175835,274716,43641,1,SA,1,100,0.000877
1752172669.575839,275116,43678,1,SA,1,100,0.000226
1752172669.775840,275316,43712,1,SA,1,100,0.000136
1752172669.975842,275516,43750,1,SA,1,100,0.000318
1752172670.175844,275716,43784,1,SA,1,100,0.000386
1752172670.375845,275916,43819,1,SA,1,100,0.000159
1752172670.575847,276116,43871,1,SA,1,100,0.000983
1752172670.908849,276449,43906,1,SA,1,100,0.001067
1752172671.108851,276649,43942,1,SA,1,100,0.000596
1752172671.308853,276849,44011,1,SA,1,100,0.001017
1752172671.775857,277316,44066,1,SA,1,100,0.005215
1752172673.708872,279249,44407,1,SA,1,100,0.000702
1752172674.042875,279583,44459,1,SA,1,100,0.001806
1752172674.508879,280049,44528,1,SA,1,100,0.001785
1752172674.775881,280316,44599,1,SA,1,100,0.001703
1752172675.307885,280848,44716,1,SA,1,100,0.002570
1752172676.775897,282316,44903,1,SA,1,100,0.000531
1752172677.574904,283115,45061,1,SA,1,100,0.000802
1752172677.974907,283515,45096,1,SA,1,100,0.000146
1752172678.174909,283715,45130,1,SA,1,100,0.000195
1752172678.507911,284048,45184,1,SA,1,100,0.000343
1752172678.840914,284381,45253,1,SA,1,100,0.000172
1752172679.040916,284581,45321,1,SA,1,100,0.002117
1752172679.507919,285048,45356,1,SA,1,100,0.000322
1752172680.240925,285781,45492,1,SA,1,100,0.000474
1752172680.774930,286315,45629,1,SA,1,100,0.000953
1752172681.307934,286848,45681,1,SA,1,100,0.000630
1752172681.774938,287315,45767,1,SA,1,100,0.000607
1752172682.240942,287781,45852,1,SA,1,100,0.000508
1752172682.574944,288115,45911,1,SA,1,100,0.000637
1752172683.040948,288581,46028,1,SA,1,100,0.001461
1752172683.707954,289248,46095,1,SA,1,100,0.000773
1752172684.107957,289648,46150,1,SA,1,100,0.000491
1752172684.374959,289915,46219,1,SA,1,100,0.000597
1752172684.907963,290448,46287,1,SA,1,100,0.000991
1752172685.640969,291181,46388,1,SA,1,100,0.000131
1752172685.840971,291381,46425,1,SA,1,100,0.000184
1752172686.040973,291581,46492,1,SA,1,100,0.000579
1752172686.373975,291914,46530,1,SA,1,100,0.000370
1752172686.640977,292181,46566,1,SA,1,100,0.000185
1752172686.840979,292381,46600,1,SA,1,100,0.000239
1752172687.173982,292714,46669,1,SA,1,100,0.000320
