LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752172664.042794,269583.000,42746,1,SF,1,100,103.4133
1752172664.375796,269916.000,42795,1,SF,1,100,102.2171
1752172664.775800,270316.000,42862,1,SF,1,100,101.0346
1752172665.108802,270649.000,42914,1,SF,1,100,101.9481
1752172665.375804,270916.000,42965,1,SF,1,100,100.7687
1752172665.708807,271249.000,43015,1,SF,1,100,99.6030
1752172666.108810,271649.000,43080,1,SF,1,100,98.4508
1752172666.375813,271916.000,43131,1,SF,1,100,97.3119
1752172666.708815,272249.000,43181,1,SF,1,100,96.1862
1752172667.108819,272649.000,43249,1,SF,1,100,95.0735
1752172667.442821,272983.000,43301,1,SF,1,100,93.9737
1752172667.775824,273316.000,43354,1,SF,1,100,92.8866
1752172668.042826,273583.000,43407,1,SF,1,100,91.8121
1752172668.375829,273916.000,43455,1,SF,1,100,90.7500
1752172668.708832,274249.000,43506,1,SF,1,100,89.7002
1752172669.108835,274649.000,43575,1,SF,1,100,90.7448
1752172669.375837,274916.000,43625,1,SF,1,100,89.6951
1752172669.708840,275249.000,43680,1,SF,1,100,92.8220
1752172670.108843,275649.000,43749,1,SF,1,100,93.8305
1752172670.375845,275916.000,43801,1,SF,1,100,96.9095
1752172670.708848,276249.000,43855,1,SF,1,100,97.8707
1752172671.041851,276582.000,43908,1,SF,1,100,100.9031
1752172671.441854,276982.000,43979,1,SF,1,100,101.8181
1752172671.708856,277249.000,44030,1,SF,1,100,102.7225
1752172672.041859,277582.000,44082,1,SF,1,100,103.6164
1752172672.441862,277982.000,44149,1,SF,1,100,102.4178
1752172672.708864,278249.000,44189,1,SF,1,100,101.2330
1752172673.108867,278649.000,44256,1,SF,1,100,100.0619
1752172673.374870,278915.000,44306,1,SF,1,100,98.9044
1752172673.708872,279249.000,44357,1,SF,1,100,97.7603
1752172674.108876,279649.000,44426,1,SF,1,100,98.7116
1752172674.374878,279915.000,44476,1,SF,1,100,99.6520
1752172674.707880,280248.000,44530,1,SF,1,100,100.5814
1752172675.041883,280582.000,44579,1,SF,1,100,99.4179
1752172675.441886,280982.000,44648,1,SF,1,100,100.3501
1752172675.707889,281248.000,44699,1,SF,1,100,99.1892
1752172676.041891,281582.000,44749,1,SF,1,100,100.1241
1752172676.441894,281982.000,44818,1,SF,1,100,98.9658
1752172676.707897,282248.000,44871,1,SF,1,100,97.8210
1752172677.041899,282582.000,44921,1,SF,1,100,98.7716
1752172677.374902,282915.000,44972,1,SF,1,100,97.6290
1752172677.774905,283315.000,45044,1,SF,1,100,96.4996
1752172678.107908,283648.000,45095,1,SF,1,100,97.4656
1752172678.441911,283982.000,45150,1,SF,1,100,100.5026
1752172678.707913,284248.000,45202,1,SF,1,100,101.4222
1752172679.040916,284581.000,45255,1,SF,1,100,102.3312
1752172679.440919,284981.000,45320,1,SF,1,100,101.1475
1752172679.707921,285248.000,45374,1,SF,1,100,104.1419
1752172680.040924,285581.000,45423,1,SF,1,100,102.9372
1752172680.440927,285981.000,45491,1,SF,1,100,101.7464
1752172680.774930,286315.000,45544,1,SF,1,100,102.6516
1752172681.040932,286581.000,45593,1,SF,1,100,101.4641
1752172681.373935,286914.000,45645,1,SF,1,100,102.3726
1752172681.774938,287315.000,45716,1,SF,1,100,103.2706
1752172682.040940,287581.000,45769,1,SF,1,100,104.1582
1752172682.373943,287914.000,45819,1,SF,1,100,102.9533
1752172682.773946,288314.000,45886,1,SF,1,100,103.8446
1752172683.040948,288581.000,45929,1,SF,1,100,104.7256
1752172683.440951,288981.000,45994,1,SF,1,100,103.5141
1752172683.707954,289248.000,46047,1,SF,1,100,104.3989
1752172684.040956,289581.000,46097,1,SF,1,100,105.2735
1752172684.440960,289981.000,46166,1,SF,1,100,106.1379
1752172684.707962,290248.000,46221,1,SF,1,100,106.9924
1752172685.040964,290581.000,46269,1,SF,1,100,105.7547
1752172685.373967,290914.000,46322,1,SF,1,100,106.6135
1752172685.773970,291314.000,46387,1,SF,1,100,105.3802
1752172686.040973,291581.000,46443,1,SF,1,100,108.3257
1752172686.373975,291914.000,46494,1,SF,1,100,109.1548
1752172686.773979,292314.000,46565,1,SF,1,100,109.9743
1752172687.040981,292581.000,46617,1,SF,1,100,112.8667
1752172687.373983,292914.000,46671,1,SF,1,100,113.6433
1752172687.706986,293247.000,46722,1,SF,1,100,114.4109
1752172688.039989,293580.000,46780,1,SF,1,100,115.1696
1752172688.439992,293980.000,46850,1,SF,1,100,115.9196
1752172688.773995,294314.000,46901,1,SF,1,100,116.6609
1752172689.039997,294580.000,46954,1,SF,1,100,117.3936
1752172689.374000,294914.000,47006,1,SF,1,100,120.2001
1752172689.774003,295314.000,47075,1,SF,1,100,120.8918
1752172690.040005,295580.000,47126,1,SF,1,100,119.4934
1752172690.374008,295914.000,47178,1,SF,1,100,120.1933
