LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752172664.242795,269783,42864,1,SR,1,100,0.466667
1752172668.842833,274383,43559,1,SR,1,100,0.066667
1752172669.175835,274716,43642,1,SR,1,100,0.266667
1752172669.575839,275116,43679,1,SR,1,100,0.066667
1752172669.775840,275316,43713,1,SR,1,100,0.066667
1752172669.975842,275516,43751,1,SR,1,100,0.066667
1752172670.175844,275716,43785,1,SR,1,100,0.066667
1752172670.375845,275916,43820,1,SR,1,100,0.066667
1752172670.575847,276116,43872,1,SR,1,100,0.200000
1752172670.908849,276449,43907,1,SR,1,100,0.066667
1752172671.108851,276649,43943,1,SR,1,100,0.066667
1752172671.308853,276849,44012,1,SR,1,100,0.200000
1752172671.775857,277316,44067,1,SR,1,100,0.066667
1752172673.708872,279249,44408,1,SR,1,100,0.200000
1752172674.042875,279583,44460,1,SR,1,100,0.200000
1752172674.508879,280049,44529,1,SR,1,100,0.133333
1752172674.775881,280316,44600,1,SR,1,100,0.266667
1752172675.307885,280848,44717,1,SR,1,100,0.400000
1752172676.775897,282316,44904,1,SR,1,100,0.133333
1752172677.574904,283115,45062,1,SR,1,100,0.266667
1752172677.974907,283515,45097,1,SR,1,100,0.066667
1752172678.174909,283715,45131,1,SR,1,100,0.066667
1752172678.507911,284048,45185,1,SR,1,100,0.066667
1752172678.840914,284381,45254,1,SR,1,100,0.066667
1752172679.040916,284581,45322,1,SR,1,100,0.333333
1752172679.507919,285048,45357,1,SR,1,100,0.066667
1752172680.240925,285781,45493,1,SR,1,100,0.133333
1752172680.774930,286315,45630,1,SR,1,100,0.400000
1752172681.307934,286848,45682,1,SR,1,100,0.200000
1752172681.774938,287315,45768,1,SR,1,100,0.200000
1752172682.240942,287781,45853,1,SR,1,100,0.200000
1752172682.574944,288115,45912,1,SR,1,100,0.200000
1752172683.040948,288581,46029,1,SR,1,100,0.533333
1752172683.707954,289248,46096,1,SR,1,100,0.266667
1752172684.107957,289648,46151,1,SR,1,100,0.133333
1752172684.374959,289915,46220,1,SR,1,100,0.266667
1752172684.907963,290448,46288,1,SR,1,100,0.200000
1752172685.640969,291181,46389,1,SR,1,100,0.066667
1752172685.840971,291381,46426,1,SR,1,100,0.066667
1752172686.040973,291581,46493,1,SR,1,100,0.200000
1752172686.373975,291914,46531,1,SR,1,100,0.133333
