LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1752172663.835792,269376.000,42716,1,T1,1,100,39.868
1752172663.968793,269509.000,42735,1,T1,1,100,39.836
1752172664.102794,269643.000,42767,1,T1,1,100,39.752
1752172664.235795,269776.000,42783,1,T1,1,100,39.786
1752172664.368796,269909.000,42801,1,T1,1,100,39.872
1752172664.502797,270043.000,42819,1,T1,1,100,39.803
1752172664.635798,270176.000,42850,1,T1,1,100,39.702
1752172664.768800,270309.000,42870,1,T1,1,100,39.836
1752172664.902801,270443.000,42886,1,T1,1,100,39.787
1752172665.035802,270576.000,42920,1,T1,1,100,39.801
1752172665.168803,270709.000,42937,1,T1,1,100,39.808
1752172665.302804,270843.000,42953,1,T1,1,100,39.846
1752172665.435805,270976.000,42985,1,T1,1,100,39.827
1752172665.568806,271109.000,43002,1,T1,1,100,39.854
1752172665.702807,271243.000,43021,1,T1,1,100,39.866
1752172665.835808,271376.000,43052,1,T1,1,100,39.800
1752172665.968809,271509.000,43069,1,T1,1,100,39.736
1752172666.102810,271643.000,43086,1,T1,1,100,39.744
1752172666.235811,271776.000,43119,1,T1,1,100,39.641
1752172666.368813,271909.000,43137,1,T1,1,100,39.703
1752172666.501814,272042.000,43155,1,T1,1,100,39.871
1752172666.635815,272176.000,43187,1,T1,1,100,39.803
1752172666.768816,272309.000,43206,1,T1,1,100,39.844
1752172666.902817,272443.000,43222,1,T1,1,100,39.826
1752172667.035818,272576.000,43239,1,T1,1,100,39.889
1752172667.168819,272709.000,43271,1,T1,1,100,39.846
1752172667.301820,272842.000,43289,1,T1,1,100,39.827
1752172667.435821,272976.000,43307,1,T1,1,100,39.783
1752172667.568822,273109.000,43328,1,T1,1,100,39.800
1752172667.702823,273243.000,43360,1,T1,1,100,39.842
1752172667.835824,273376.000,43377,1,T1,1,100,39.896
1752172667.968826,273509.000,43395,1,T1,1,100,39.813
1752172668.101827,273642.000,43413,1,T1,1,100,39.848
1752172668.235828,273776.000,43444,1,T1,1,100,39.757
1752172668.368829,273909.000,43461,1,T1,1,100,39.789
1752172668.501830,274042.000,43480,1,T1,1,100,39.802
1752172668.635831,274176.000,43512,1,T1,1,100,39.773
1752172668.768832,274309.000,43528,1,T1,1,100,39.831
1752172668.901833,274442.000,43545,1,T1,1,100,39.856
1752172669.035834,274576.000,43581,1,T1,1,100,39.760
1752172669.168835,274709.000,43597,1,T1,1,100,39.754
1752172669.301836,274842.000,43614,1,T1,1,100,39.894
1752172669.435838,274976.000,43648,1,T1,1,100,39.954
1752172669.568839,275109.000,43666,1,T1,1,100,39.909
1752172669.701840,275242.000,43686,1,T1,1,100,39.961
1752172669.835841,275376.000,43719,1,T1,1,100,39.912
1752172669.968842,275509.000,43735,1,T1,1,100,39.785
1752172670.101843,275642.000,43757,1,T1,1,100,39.765
1752172670.234844,275775.000,43773,1,T1,1,100,39.827
1752172670.368845,275909.000,43807,1,T1,1,100,39.819
1752172670.501846,276042.000,43826,1,T1,1,100,39.815
1752172670.634847,276175.000,43842,1,T1,1,100,39.885
1752172670.768848,276309.000,43878,1,T1,1,100,39.773
1752172670.901849,276442.000,43895,1,T1,1,100,39.760
1752172671.034851,276575.000,43914,1,T1,1,100,39.861
1752172671.168852,276709.000,43949,1,T1,1,100,39.833
1752172671.301853,276842.000,43966,1,T1,1,100,39.892
1752172671.434854,276975.000,43985,1,T1,1,100,39.812
1752172671.568855,277109.000,44018,1,T1,1,100,39.812
1752172671.701856,277242.000,44036,1,T1,1,100,39.848
1752172671.834857,277375.000,44054,1,T1,1,100,39.863
1752172671.968858,277509.000,44088,1,T1,1,100,39.834
1752172672.101859,277642.000,44105,1,T1,1,100,39.822
1752172672.234860,277775.000,44121,1,T1,1,100,39.888
1752172672.368861,277909.000,44155,1,T1,1,100,39.810
1752172672.501862,278042.000,44172,1,T1,1,100,39.918
1752172672.634864,278175.000,44195,1,T1,1,100,39.929
1752172672.768865,278309.000,44211,1,T1,1,100,39.934
1752172672.901866,278442.000,44230,1,T1,1,100,39.865
1752172673.034867,278575.000,44262,1,T1,1,100,39.906
1752172673.167868,278708.000,44278,1,T1,1,100,39.888
1752172673.301869,278842.000,44295,1,T1,1,100,39.952
1752172673.434870,278975.000,44329,1,T1,1,100,39.837
1752172673.568871,279109.000,44345,1,T1,1,100,39.823
1752172673.701872,279242.000,44363,1,T1,1,100,39.817
1752172673.834873,279375.000,44394,1,T1,1,100,39.850
1752172673.967874,279508.000,44414,1,T1,1,100,39.971
1752172674.101875,279642.000,44432,1,T1,1,100,39.916
1752172674.234877,279775.000,44448,1,T1,1,100,39.893
1752172674.367878,279908.000,44482,1,T1,1,100,39.883
1752172674.501879,280042.000,44499,1,T1,1,100,39.807
