LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752617377.229564,291839.000,45340,1,B%,1,100,26
1752617382.228546,296838.000,46154,1,B%,1,100,26
1752617387.228529,301838.000,46993,1,B%,1,100,26
1752617392.227511,306837.000,47822,1,B%,1,100,26
1752617397.227494,311837.000,48652,1,B%,1,100,26
1752617402.226476,316836.000,49475,1,B%,1,100,26
1752617407.226459,321836.000,50302,1,B%,1,100,25
1752617412.225441,326835.000,51121,1,B%,1,100,26
1752617417.225424,331835.000,51940,1,B%,1,100,26
1752617422.224406,336834.000,52756,1,B%,1,100,27
1752617427.224389,341834.000,53553,1,B%,1,100,26
1752617432.224371,346834.000,54368,1,B%,1,100,26
1752617437.223354,351833.000,55182,1,B%,1,100,27
1752617442.222336,356832.000,55993,1,B%,1,100,27
1752617447.222319,361832.000,56809,1,B%,1,100,27
1752617452.221301,366831.000,57619,1,B%,1,100,26
1752617457.221284,371831.000,58416,1,B%,1,100,27
1752617462.220266,376830.000,59226,1,B%,1,100,27
1752617467.220249,381830.000,60038,1,B%,1,100,27
1752617472.219232,386829.000,60829,1,B%,1,100,27
1752617477.219214,391829.000,61646,1,B%,1,100,27
1752617482.218197,396828.000,62458,1,B%,1,100,27
1752617487.218179,401828.000,63271,1,B%,1,100,27
1752617492.217162,406827.000,64072,1,B%,1,100,27
1752617497.217144,411827.000,64885,1,B%,1,100,27
1752617502.217127,416827.000,162,1,B%,1,100,26
1752617507.216109,421826.000,970,1,B%,1,100,27
1752617512.216092,426826.000,1779,1,B%,1,100,27
1752617517.215074,431825.000,2568,1,B%,1,100,27
1752617522.214057,436824.000,3393,1,B%,1,100,28
1752617527.214039,441824.000,4198,1,B%,1,100,28
1752617532.213022,446823.000,5007,1,B%,1,100,28
1752617537.213004,451823.000,5830,1,B%,1,100,28
1752617542.211987,456822.000,6637,1,B%,1,100,29
1752617547.211969,461822.000,7438,1,B%,1,100,29
1752617552.210952,466821.000,8265,1,B%,1,100,28
1752617557.210934,471821.000,8655,1,B%,1,100,28
1752617562.209917,476820.000,9461,1,B%,1,100,29
1752617567.209899,481820.000,10286,1,B%,1,100,29
1752617572.208882,486819.000,11090,1,B%,1,100,29
1752617577.208864,491819.000,11898,1,B%,1,100,29
1752617582.207847,496818.000,12722,1,B%,1,100,29
1752617587.207829,501818.000,13529,1,B%,1,100,29
1752617592.206812,506817.000,14333,1,B%,1,100,29
1752617597.206794,511817.000,15160,1,B%,1,100,29
1752617602.205777,516816.000,15970,1,B%,1,100,29
1752617607.205759,521816.000,16771,1,B%,1,100,29
1752617612.204742,526815.000,17584,1,B%,1,100,29
1752617617.204724,531815.000,18407,1,B%,1,100,30
1752617622.203707,536814.000,19208,1,B%,1,100,29
1752617627.203689,541814.000,20009,1,B%,1,100,29
1752617632.202672,546813.000,20832,1,B%,1,100,30
1752617637.202654,551813.000,21643,1,B%,1,100,29
1752617642.201637,556812.000,22444,1,B%,1,100,29
1752617647.201619,561812.000,23267,1,B%,1,100,29
1752617652.200602,566811.000,24072,1,B%,1,100,30
1752617657.200584,571811.000,24877,1,B%,1,100,30
1752617662.199567,576810.000,25703,1,B%,1,100,30
1752617667.199549,581810.000,26509,1,B%,1,100,30
1752617672.198532,586809.000,27314,1,B%,1,100,30
1752617677.198514,591809.000,28137,1,B%,1,100,30
1752617682.197497,596808.000,28938,1,B%,1,100,30
1752617687.197479,601808.000,29742,1,B%,1,100,30
1752617692.196462,606807.000,30544,1,B%,1,100,30
1752617697.196444,611807.000,31367,1,B%,1,100,30
1752617702.195427,616806.000,32171,1,B%,1,100,31
1752617707.195410,621806.000,32971,1,B%,1,100,30
1752617712.194392,626805.000,33790,1,B%,1,100,30
1752617717.194375,631805.000,34596,1,B%,1,100,31
1752617722.193357,636804.000,35400,1,B%,1,100,30
1752617727.193340,641804.000,36223,1,B%,1,100,30
1752617732.192322,646803.000,37025,1,B%,1,100,31
1752617737.192305,651803.000,37829,1,B%,1,100,31
1752617742.191287,656802.000,38651,1,B%,1,100,31
1752617747.191270,661802.000,39454,1,B%,1,100,31
1752617752.190252,666801.000,40260,1,B%,1,100,31
1752617757.190235,671801.000,41081,1,B%,1,100,31
1752617762.189217,676800.000,41889,1,B%,1,100,31
1752617767.189200,681800.000,42646,1,B%,1,100,31
1752617772.188182,686799.000,43453,1,B%,1,100,31
1752617777.188165,691799.000,44267,1,B%,1,100,31
1752617782.187147,696798.000,45073,1,B%,1,100,31
1752617787.187130,701798.000,45894,1,B%,1,100,32
1752617792.186112,706797.000,46700,1,B%,1,100,31
1752617797.186095,711797.000,47502,1,B%,1,100,31
1752617802.185077,716796.000,48323,1,B%,1,100,32
1752617807.185060,721796.000,49131,1,B%,1,100,31
1752617812.184042,726795.000,49933,1,B%,1,100,32
1752617817.184025,731795.000,50752,1,B%,1,100,32
1752617822.183007,736794.000,51558,1,B%,1,100,32
1752617827.182990,741794.000,52358,1,B%,1,100,31
1752617832.181972,746793.000,53177,1,B%,1,100,31
