LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1752617372.305581,286915.000,44509,1,PG,1,100,2685
1752617372.345581,286955.000,44530,3,PG,1,100,2683
1752617372.385581,286995.000,44530,3,PG,1,100,2685
1752617372.425581,287035.000,44530,3,PG,1,100,2697
1752617372.465580,287075.000,44547,2,PG,1,100,2689
1752617372.505580,287115.000,44547,2,PG,1,100,2693
1752617372.545580,287155.000,44564,3,PG,1,100,2687
1752617372.585580,287195.000,44564,3,PG,1,100,2693
1752617372.625580,287235.000,44564,3,PG,1,100,2689
1752617372.665580,287275.000,44581,2,PG,1,100,2680
1752617372.705580,287315.000,44581,2,PG,1,100,2684
1752617372.745579,287355.000,44597,3,PG,1,100,2680
1752617372.785579,287395.000,44597,3,PG,1,100,2671
1752617372.825579,287435.000,44597,3,PG,1,100,2698
1752617372.865579,287475.000,44613,2,PG,1,100,2707
1752617372.905579,287515.000,44613,2,PG,1,100,2684
1752617372.945579,287555.000,44629,3,PG,1,100,2681
1752617372.985579,287595.000,44629,3,PG,1,100,2692
1752617373.025579,287635.000,44629,3,PG,1,100,2696
1752617373.065578,287675.000,44646,2,PG,1,100,2688
1752617373.105578,287715.000,44646,2,PG,1,100,2691
1752617373.145578,287755.000,44662,3,PG,1,100,2687
1752617373.185578,287795.000,44662,3,PG,1,100,2692
1752617373.225578,287835.000,44662,3,PG,1,100,2683
1752617373.265578,287875.000,44678,3,PG,1,100,2683
1752617373.305578,287915.000,44678,3,PG,1,100,2687
1752617373.345577,287955.000,44678,3,PG,1,100,2696
1752617373.385577,287995.000,44694,2,PG,1,100,2696
1752617373.425577,288035.000,44694,2,PG,1,100,2684
1752617373.465577,288075.000,44711,3,PG,1,100,2687
1752617373.505577,288115.000,44711,3,PG,1,100,2676
1752617373.545577,288155.000,44711,3,PG,1,100,2695
1752617373.585577,288195.000,44728,2,PG,1,100,2679
1752617373.625576,288235.000,44728,2,PG,1,100,2689
1752617373.665576,288275.000,44743,3,PG,1,100,2712
1752617373.705576,288315.000,44743,3,PG,1,100,2690
1752617373.745576,288355.000,44743,3,PG,1,100,2685
1752617373.785576,288395.000,44761,2,PG,1,100,2683
1752617373.825576,288435.000,44761,2,PG,1,100,2682
1752617373.865576,288475.000,44779,3,PG,1,100,2686
1752617373.905575,288515.000,44779,3,PG,1,100,2686
1752617373.945575,288555.000,44779,3,PG,1,100,2683
1752617373.985575,288595.000,44795,2,PG,1,100,2697
1752617374.025575,288635.000,44795,2,PG,1,100,2688
1752617374.069908,288679.333,44810,3,PG,1,100,2683
1752617374.114241,288723.667,44810,3,PG,1,100,2702
1752617374.158575,288768.000,44810,3,PG,1,100,2684
1752617374.198574,288808.000,44826,2,PG,1,100,2684
1752617374.238574,288848.000,44826,2,PG,1,100,2691
1752617374.278574,288888.000,44844,3,PG,1,100,2690
1752617374.318574,288928.000,44844,3,PG,1,100,2685
1752617374.358574,288968.000,44844,3,PG,1,100,2682
1752617374.398574,289008.000,44860,2,PG,1,100,2682
1752617374.438574,289048.000,44860,2,PG,1,100,2692
1752617374.478573,289088.000,44878,3,PG,1,100,2697
1752617374.518573,289128.000,44878,3,PG,1,100,2677
1752617374.558573,289168.000,44878,3,PG,1,100,2692
1752617374.598573,289208.000,44894,2,PG,1,100,2689
1752617374.638573,289248.000,44894,2,PG,1,100,2680
1752617374.678573,289288.000,44911,3,PG,1,100,2681
1752617374.718573,289328.000,44911,3,PG,1,100,2677
1752617374.758572,289368.000,44911,3,PG,1,100,2691
1752617374.798572,289408.000,44927,2,PG,1,100,2694
1752617374.838572,289448.000,44927,2,PG,1,100,2685
1752617374.878572,289488.000,44945,3,PG,1,100,2691
1752617374.918572,289528.000,44945,3,PG,1,100,2671
1752617374.958572,289568.000,44945,3,PG,1,100,2682
1752617374.998572,289608.000,44959,2,PG,1,100,2694
1752617375.038571,289648.000,44959,2,PG,1,100,2694
1752617375.078571,289688.000,44978,3,PG,1,100,2684
1752617375.118571,289728.000,44978,3,PG,1,100,2701
1752617375.158571,289768.000,44978,3,PG,1,100,2691
1752617375.198571,289808.000,44995,2,PG,1,100,2684
1752617375.238571,289848.000,44995,2,PG,1,100,2680
1752617375.278571,289888.000,45012,3,PG,1,100,2676
1752617375.318570,289928.000,45012,3,PG,1,100,2687
1752617375.358570,289968.000,45012,3,PG,1,100,2689
1752617375.398570,290008.000,45026,2,PG,1,100,2681
1752617375.438570,290048.000,45026,2,PG,1,100,2693
1752617375.478570,290088.000,45043,3,PG,1,100,2688
1752617375.518570,290128.000,45043,3,PG,1,100,2680
1752617375.558570,290168.000,45043,3,PG,1,100,2689
1752617375.598570,290208.000,45060,3,PG,1,100,2667
1752617375.638569,290248.000,45060,3,PG,1,100,2703
1752617375.678569,290288.000,45060,3,PG,1,100,2703
1752617375.718569,290328.000,45077,2,PG,1,100,2701
1752617375.758569,290368.000,45077,2,PG,1,100,2688
1752617375.798569,290408.000,45091,3,PG,1,100,2686
1752617375.838569,290448.000,45091,3,PG,1,100,2690
1752617375.878569,290488.000,45091,3,PG,1,100,2696
1752617375.918568,290528.000,45109,2,PG,1,100,2679
1752617375.958568,290568.000,45109,2,PG,1,100,2676
1752617375.998568,290608.000,45125,3,PG,1,100,2691
1752617376.038568,290648.000,45125,3,PG,1,100,2684
1752617376.078568,290688.000,45125,3,PG,1,100,2685
1752617376.118568,290728.000,45142,2,PG,1,100,2683
1752617376.158568,290768.000,45142,2,PG,1,100,2686
1752617376.198567,290808.000,45159,3,PG,1,100,2689
1752617376.238567,290848.000,45159,3,PG,1,100,2689
1752617376.278567,290888.000,45159,3,PG,1,100,2691
1752617376.318567,290928.000,45176,2,PG,1,100,2680
1752617376.358567,290968.000,45176,2,PG,1,100,2679
1752617376.398567,291008.000,45192,3,PG,1,100,2680
1752617376.438567,291048.000,45192,3,PG,1,100,2677
1752617376.478566,291088.000,45192,3,PG,1,100,2695
1752617376.518566,291128.000,45209,2,PG,1,100,2669
1752617376.558566,291168.000,45209,2,PG,1,100,2697
1752617376.598566,291208.000,45225,3,PG,1,100,2668
1752617376.638566,291248.000,45225,3,PG,1,100,2678
1752617376.678566,291288.000,45225,3,PG,1,100,2673
1752617376.718566,291328.000,45241,2,PG,1,100,2693
1752617376.758565,291368.000,45241,2,PG,1,100,2680
1752617376.798565,291408.000,45259,3,PG,1,100,2691
1752617376.838565,291448.000,45259,3,PG,1,100,2694
1752617376.878565,291488.000,45259,3,PG,1,100,2695
1752617376.918565,291528.000,45277,2,PG,1,100,2693
1752617376.958565,291568.000,45277,2,PG,1,100,2676
1752617376.998565,291608.000,45292,3,PG,1,100,2678
1752617377.038564,291648.000,45292,3,PG,1,100,2690
1752617377.078564,291688.000,45292,3,PG,1,100,2686
1752617377.118564,291728.000,45308,3,PG,1,100,2681
1752617377.158564,291768.000,45308,3,PG,1,100,2683
1752617377.198564,291808.000,45308,3,PG,1,100,2672
1752617377.238564,291848.000,45325,2,PG,1,100,2671
1752617377.278564,291888.000,45325,2,PG,1,100,2696
1752617377.318564,291928.000,45344,3,PG,1,100,2663
1752617377.358563,291968.000,45344,3,PG,1,100,2681
1752617377.398563,292008.000,45344,3,PG,1,100,2692
1752617377.438313,292047.750,45366,4,PG,1,100,2687
1752617377.478063,292087.500,45366,4,PG,1,100,2686
1752617377.517813,292127.250,45366,4,PG,1,100,2675
1752617377.557563,292167.000,45366,4,PG,1,100,2689
1752617377.598063,292207.500,45383,2,PG,1,100,2679
1752617377.638562,292248.000,45383,2,PG,1,100,2678
1752617377.678562,292288.000,45400,3,PG,1,100,2691
1752617377.718562,292328.000,45400,3,PG,1,100,2696
1752617377.758562,292368.000,45400,3,PG,1,100,2686
1752617377.798562,292408.000,45414,2,PG,1,100,2677
1752617377.838562,292448.000,45414,2,PG,1,100,2686
1752617377.878562,292488.000,45432,3,PG,1,100,2682
1752617377.918561,292528.000,45432,3,PG,1,100,2689
1752617377.958561,292568.000,45432,3,PG,1,100,2689
1752617377.998061,292607.500,45448,2,PG,1,100,2696
1752617378.037561,292647.000,45448,2,PG,1,100,2692
1752617378.077561,292687.000,45467,3,PG,1,100,2681
1752617378.117561,292727.000,45467,3,PG,1,100,2683
1752617378.157561,292767.000,45467,3,PG,1,100,2687
1752617378.197894,292807.333,45482,3,PG,1,100,2684
1752617378.238227,292847.667,45482,3,PG,1,100,2681
1752617378.278560,292888.000,45482,3,PG,1,100,2701
1752617378.318060,292927.500,45499,2,PG,1,100,2692
1752617378.357560,292967.000,45499,2,PG,1,100,2689
1752617378.397560,293007.000,45515,3,PG,1,100,2696
1752617378.437560,293047.000,45515,3,PG,1,100,2696
1752617378.477559,293087.000,45515,3,PG,1,100,2687
1752617378.518059,293127.500,45534,2,PG,1,100,2703
1752617378.558559,293168.000,45534,2,PG,1,100,2704
1752617378.598059,293207.500,45551,2,PG,1,100,2702
1752617378.637559,293247.000,45551,2,PG,1,100,2693
1752617378.682225,293291.667,45568,3,PG,1,100,2709
1752617378.726892,293336.333,45568,3,PG,1,100,2703
1752617378.771558,293381.000,45568,3,PG,1,100,2696
1752617378.811558,293421.000,45584,2,PG,1,100,2709
1752617378.851558,293461.000,45584,2,PG,1,100,2718
1752617378.891558,293501.000,45602,3,PG,1,100,2706
1752617378.931558,293541.000,45602,3,PG,1,100,2701
1752617378.971558,293581.000,45602,3,PG,1,100,2704
1752617379.011558,293621.000,45618,2,PG,1,100,2699
1752617379.051557,293661.000,45618,2,PG,1,100,2716
1752617379.091557,293701.000,45635,3,PG,1,100,2699
1752617379.131557,293741.000,45635,3,PG,1,100,2715
1752617379.171557,293781.000,45635,3,PG,1,100,2713
1752617379.211557,293821.000,45652,3,PG,1,100,2691
1752617379.251557,293861.000,45652,3,PG,1,100,2700
1752617379.291557,293901.000,45652,3,PG,1,100,2699
1752617379.331556,293941.000,45669,2,PG,1,100,2715
1752617379.371556,293981.000,45669,2,PG,1,100,2710
1752617379.411556,294021.000,45684,3,PG,1,100,2725
1752617379.451556,294061.000,45684,3,PG,1,100,2718
1752617379.491556,294101.000,45684,3,PG,1,100,2707
1752617379.531556,294141.000,45701,2,PG,1,100,2709
1752617379.571556,294181.000,45701,2,PG,1,100,2717
1752617379.611555,294221.000,45717,3,PG,1,100,2703
1752617379.651555,294261.000,45717,3,PG,1,100,2711
1752617379.691555,294301.000,45717,3,PG,1,100,2708
1752617379.731555,294341.000,45734,2,PG,1,100,2704
1752617379.771555,294381.000,45734,2,PG,1,100,2704
1752617379.811555,294421.000,45752,3,PG,1,100,2704
1752617379.851555,294461.000,45752,3,PG,1,100,2709
1752617379.891554,294501.000,45752,3,PG,1,100,2711
1752617379.931554,294541.000,45768,2,PG,1,100,2699
1752617379.971554,294581.000,45768,2,PG,1,100,2710
1752617380.011554,294621.000,45784,3,PG,1,100,2717
1752617380.051554,294661.000,45784,3,PG,1,100,2697
1752617380.091554,294701.000,45784,3,PG,1,100,2703
1752617380.131554,294741.000,45801,2,PG,1,100,2704
1752617380.171554,294781.000,45801,2,PG,1,100,2695
1752617380.211553,294821.000,45818,3,PG,1,100,2699
1752617380.251553,294861.000,45818,3,PG,1,100,2700
1752617380.291553,294901.000,45818,3,PG,1,100,2709
1752617380.331553,294941.000,45835,2,PG,1,100,2698
1752617380.371553,294981.000,45835,2,PG,1,100,2687
1752617380.411553,295021.000,45851,3,PG,1,100,2697
1752617380.451553,295061.000,45851,3,PG,1,100,2705
1752617380.491552,295101.000,45851,3,PG,1,100,2687
1752617380.531552,295141.000,45869,3,PG,1,100,2695
1752617380.571552,295181.000,45869,3,PG,1,100,2707
1752617380.611552,295221.000,45869,3,PG,1,100,2693
1752617380.651552,295261.000,45885,2,PG,1,100,2696
1752617380.691552,295301.000,45885,2,PG,1,100,2681
1752617380.731552,295341.000,45900,3,PG,1,100,2683
1752617380.771551,295381.000,45900,3,PG,1,100,2701
1752617380.811551,295421.000,45900,3,PG,1,100,2697
1752617380.851551,295461.000,45916,2,PG,1,100,2692
1752617380.891551,295501.000,45916,2,PG,1,100,2691
1752617380.931551,295541.000,45936,3,PG,1,100,2692
1752617380.971551,295581.000,45936,3,PG,1,100,2677
1752617381.011551,295621.000,45936,3,PG,1,100,2675
1752617381.051550,295661.000,45952,2,PG,1,100,2698
1752617381.091550,295701.000,45952,2,PG,1,100,2691
1752617381.131550,295741.000,45967,3,PG,1,100,2689
1752617381.171550,295781.000,45967,3,PG,1,100,2695
1752617381.211550,295821.000,45967,3,PG,1,100,2684
1752617381.251550,295861.000,45984,2,PG,1,100,2685
1752617381.291550,295901.000,45984,2,PG,1,100,2674
1752617381.331216,295940.667,46003,3,PG,1,100,2690
1752617381.370883,295980.333,46003,3,PG,1,100,2675
1752617381.410549,296020.000,46003,3,PG,1,100,2682
1752617381.450549,296060.000,46019,2,PG,1,100,2694
1752617381.490549,296100.000,46019,2,PG,1,100,2682
1752617381.530882,296140.333,46038,3,PG,1,100,2681
1752617381.571215,296180.667,46038,3,PG,1,100,2683
