LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752617371.730583,286340,44526,1,SA,1,100,0.077015
1752617373.330577,287940,44757,1,SA,1,100,0.054680
1752617376.663566,291273,45255,1,SA,1,100,0.000805
1752617377.930561,292540,45463,1,SA,1,100,0.001237
1752617378.330560,292940,45546,1,SA,1,100,0.001495
1752617378.797558,293407,45614,1,SA,1,100,0.001842
1752617379.397556,294007,45748,1,SA,1,100,0.003470
1752617380.196553,294806,45831,1,SA,1,100,0.000941
1752617380.596552,295206,45931,1,SA,1,100,0.002158
1752617381.130550,295740,45999,1,SA,1,100,0.001566
1752617381.463549,296073,46033,1,SA,1,100,0.000875
1752617381.662548,296272,46118,1,SA,1,100,0.006134
1752617382.463546,297073,46226,1,SA,1,100,0.042555
1752617384.129540,298739,46510,1,SA,1,100,0.001099
1752617384.529538,299139,46579,1,SA,1,100,0.001748
1752617385.063536,299673,46631,1,SA,1,100,0.002040
1752617385.263536,299873,46682,1,SA,1,100,0.003175
1752617385.929533,300539,46784,1,SA,1,100,0.000094
1752617386.129533,300739,46801,1,SA,1,100,0.000661
1752617386.462532,301072,46869,1,SA,1,100,0.003508
1752617386.862530,301472,46938,1,SA,1,100,0.001335
1752617387.129529,301739,46973,1,SA,1,100,0.000478
1752617387.329528,301939,47009,1,SA,1,100,0.000479
1752617387.529528,302139,47069,1,SA,1,100,0.001735
1752617387.995526,302605,47155,1,SA,1,100,0.002722
1752617388.928523,303538,47318,1,SA,1,100,0.002165
1752617389.728520,304338,47439,1,SA,1,100,0.009277
1752617390.462518,305072,47589,1,SA,1,100,0.074698
1752617393.062508,307672,48009,1,SA,1,100,0.003408
1752617393.995505,308605,48110,1,SA,1,100,0.000942
1752617394.328504,308938,48160,1,SA,1,100,0.000843
1752617395.061501,309671,48294,1,SA,1,100,0.001600
1752617395.461500,310071,48363,1,SA,1,100,0.000644
1752617396.061498,310671,48465,1,SA,1,100,0.000758
1752617396.928495,311538,48601,1,SA,1,100,0.000876
1752617397.528493,312138,48721,1,SA,1,100,0.001438
1752617397.995491,312605,48791,1,SA,1,100,0.001112
1752617398.261490,312871,48829,1,SA,1,100,0.000669
1752617398.595489,313205,48896,1,SA,1,100,0.000897
1752617398.861488,313471,48931,1,SA,1,100,0.000788
1752617399.061487,313671,48965,1,SA,1,100,0.001016
1752617399.461486,314071,49033,1,SA,1,100,0.001247
1752617399.861485,314471,49118,1,SA,1,100,0.002169
1752617400.394483,315004,49185,1,SA,1,100,0.000574
1752617400.728482,315338,49236,1,SA,1,100,0.000346
1752617400.928481,315538,49272,1,SA,1,100,0.000578
1752617401.128480,315738,49305,1,SA,1,100,0.000463
1752617401.328480,315938,49373,1,SA,1,100,0.001978
1752617401.994477,316604,49440,1,SA,1,100,0.000587
1752617402.327476,316937,49574,1,SA,1,100,0.003545
1752617403.061473,317671,49631,1,SA,1,100,0.000953
1752617403.594472,318204,49716,1,SA,1,100,0.001080
1752617404.128470,318738,49815,1,SA,1,100,0.001087
1752617404.660468,319270,49884,1,SA,1,100,0.000364
1752617406.193462,320803,50132,1,SA,1,100,0.000371
1752617406.993460,321603,50268,1,SA,1,100,0.000374
1752617407.661457,322271,50386,1,SA,1,100,0.000882
1752617407.927456,322537,50438,1,SA,1,100,0.001138
1752617408.393455,323003,50528,1,SA,1,100,0.001909
1752617408.926453,323536,50626,1,SA,1,100,0.034962
1752617412.659440,327269,51204,1,SA,1,100,0.001069
1752617412.926439,327536,51239,1,SA,1,100,0.000537
1752617413.327438,327937,51312,1,SA,1,100,0.000540
1752617536.714006,451324,5743,1,SA,1,100,0.000667
1752617987.400429,902012,12795,1,SA,1,100,0.019654
1752617989.000424,903612,13031,1,SA,1,100,0.074580
1752618006.131364,920743,15847,1,SA,1,100,0.603807
1752618007.131360,921743,15997,1,SA,1,100,0.312447
1752618016.797326,931409,17512,1,SA,1,100,0.020352
1752618028.396286,943008,19185,1,SA,1,100,0.318949
1752618028.996284,943608,19188,1,SA,1,100,0.216778
