LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752617372.597580,287207.000,44561,1,SF,1,100,72.1710
1752617372.930579,287540.000,44610,1,SF,1,100,71.3361
1752617373.330577,287940.000,44675,1,SF,1,100,70.5109
1752617373.597577,288207.000,44725,1,SF,1,100,69.6952
1752617373.930575,288540.000,44776,1,SF,1,100,70.9712
1752617374.330574,288940.000,44841,1,SF,1,100,70.1502
1752617374.663573,289273.000,44891,1,SF,1,100,69.3387
1752617374.930572,289540.000,44942,1,SF,1,100,68.5366
1752617375.263571,289873.000,44992,1,SF,1,100,67.7438
1752617375.663569,290273.000,45057,1,SF,1,100,66.9601
1752617375.930568,290540.000,45106,1,SF,1,100,66.1855
1752617376.263567,290873.000,45156,1,SF,1,100,65.4199
1752617376.663566,291273.000,45222,1,SF,1,100,64.6631
1752617376.930565,291540.000,45274,1,SF,1,100,65.9973
1752617377.263564,291873.000,45322,1,SF,1,100,65.2339
1752617377.663562,292273.000,45380,1,SF,1,100,64.4792
1752617377.930561,292540.000,45429,1,SF,1,100,63.7333
1752617378.263560,292873.000,45479,1,SF,1,100,65.0783
1752617378.663559,293273.000,45548,1,SF,1,100,66.4077
1752617378.929558,293539.000,45599,1,SF,1,100,65.6395
1752617379.263557,293873.000,45649,1,SF,1,100,66.9624
1752617379.596556,294206.000,45698,1,SF,1,100,66.1878
1752617379.996554,294606.000,45765,1,SF,1,100,67.5044
1752617380.263553,294873.000,45815,1,SF,1,100,66.7235
1752617380.596552,295206.000,45866,1,SF,1,100,68.0339
1752617380.996551,295606.000,45933,1,SF,1,100,69.3291
1752617381.263550,295873.000,45981,1,SF,1,100,68.5271
1752617381.596549,296206.000,46035,1,SF,1,100,71.8989
1752617381.929547,296539.000,46084,1,SF,1,100,71.0672
1752617382.329546,296939.000,46155,1,SF,1,100,72.3273
1752617382.662545,297272.000,46209,1,SF,1,100,71.4906
1752617382.996544,297606.000,46263,1,SF,1,100,72.7459
1752617383.262543,297872.000,46312,1,SF,1,100,71.9043
1752617383.596542,298206.000,46363,1,SF,1,100,71.0725
1752617383.929540,298539.000,46413,1,SF,1,100,70.2504
1752617384.329539,298939.000,46478,1,SF,1,100,69.4377
1752617384.596538,299206.000,46528,1,SF,1,100,70.7167
1752617384.929537,299539.000,46581,1,SF,1,100,71.9809
1752617385.329535,299939.000,46648,1,SF,1,100,73.2305
1752617385.595535,300205.000,46700,1,SF,1,100,74.4656
1752617385.929533,300539.000,46749,1,SF,1,100,73.6042
1752617386.262532,300872.000,46803,1,SF,1,100,76.9172
1752617386.662531,301272.000,46868,1,SF,1,100,76.0274
1752617386.929530,301539.000,46923,1,SF,1,100,77.2302
1752617387.262529,301872.000,46975,1,SF,1,100,80.5013
1752617387.662527,302272.000,47046,1,SF,1,100,81.6523
1752617387.929526,302539.000,47087,1,SF,1,100,82.7900
1752617388.328525,302938.000,47154,1,SF,1,100,81.8323
1752617388.595524,303205.000,47205,1,SF,1,100,82.9679
1752617388.928523,303538.000,47253,1,SF,1,100,82.0081
1752617389.328521,303938.000,47320,1,SF,1,100,83.1417
1752617389.595521,304205.000,47373,1,SF,1,100,82.1799
1752617389.928519,304538.000,47421,1,SF,1,100,81.2292
1752617390.262518,304872.000,47472,1,SF,1,100,82.3718
1752617390.662517,305272.000,47539,1,SF,1,100,81.4189
1752617390.928516,305538.000,47591,1,SF,1,100,82.5593
1752617391.262515,305872.000,47640,1,SF,1,100,81.6043
1752617391.661513,306271.000,47705,1,SF,1,100,80.6603
1752617391.928512,306538.000,47753,1,SF,1,100,79.7272
1752617392.261511,306871.000,47805,1,SF,1,100,78.8049
1752617392.595510,307205.000,47856,1,SF,1,100,77.8933
1752617392.928509,307538.000,47910,1,SF,1,100,76.9922
1752617393.328507,307938.000,47975,1,SF,1,100,76.1016
1752617393.595507,308205.000,48027,1,SF,1,100,77.3035
1752617393.928505,308538.000,48076,1,SF,1,100,76.4092
1752617394.261504,308871.000,48126,1,SF,1,100,77.6076
1752617394.661503,309271.000,48195,1,SF,1,100,78.7921
1752617394.928502,309538.000,48246,1,SF,1,100,77.8806
1752617395.261501,309871.000,48296,1,SF,1,100,79.0619
1752617395.661499,310271.000,48365,1,SF,1,100,80.2296
1752617395.928498,310538.000,48414,1,SF,1,100,79.3015
1752617396.261497,310871.000,48467,1,SF,1,100,80.4664
1752617396.594496,311204.000,48517,1,SF,1,100,79.5355
1752617396.994495,311604.000,48584,1,SF,1,100,78.6154
1752617397.261494,311871.000,48634,1,SF,1,100,79.7883
1752617397.594493,312204.000,48687,1,SF,1,100,78.8653
1752617398.061491,312671.000,48759,1,SF,1,100,80.0352
1752617398.261490,312871.000,48793,1,SF,1,100,81.1916
1752617398.661489,313271.000,48862,1,SF,1,100,82.3346
1752617398.927488,313537.000,48914,1,SF,1,100,83.4644
1752617399.261487,313871.000,48967,1,SF,1,100,86.6634
1752617399.594486,314204.000,49015,1,SF,1,100,85.6609
1752617399.994484,314604.000,49084,1,SF,1,100,86.7522
1752617400.261483,314871.000,49137,1,SF,1,100,87.8309
1752617400.594482,315204.000,49187,1,SF,1,100,88.8971
1752617400.994481,315604.000,49254,1,SF,1,100,89.9510
1752617401.261480,315871.000,49307,1,SF,1,100,93.0750
1752617401.594479,316204.000,49355,1,SF,1,100,91.9983
1752617401.994477,316604.000,49423,1,SF,1,100,93.0163
1752617402.327476,316937.000,49477,1,SF,1,100,94.0225
1752617402.594475,317204.000,49525,1,SF,1,100,92.9348
1752617402.927474,317537.000,49576,1,SF,1,100,93.9420
1752617403.260473,317870.000,49633,1,SF,1,100,94.9375
1752617403.660471,318270.000,49698,1,SF,1,100,93.8393
1752617403.994470,318604.000,49749,1,SF,1,100,94.8360
1752617404.260469,318870.000,49799,1,SF,1,100,93.7389
1752617404.594468,319204.000,49850,1,SF,1,100,94.7368
1752617404.994467,319604.000,49919,1,SF,1,100,95.7231
1752617405.260466,319870.000,49967,1,SF,1,100,94.6158
1752617405.593465,320203.000,50017,1,SF,1,100,93.5213
1752617405.927463,320537.000,50066,1,SF,1,100,92.4394
1752617406.327462,320937.000,50131,1,SF,1,100,91.3701
1752617406.593461,321203.000,50184,1,SF,1,100,92.3954
1752617406.927460,321537.000,50232,1,SF,1,100,91.3265
1752617407.327459,321937.000,50303,1,SF,1,100,92.3523
1752617407.593458,322203.000,50354,1,SF,1,100,91.2840
1752617407.927456,322537.000,50404,1,SF,1,100,92.3102
1752617408.260455,322870.000,50460,1,SF,1,100,93.3247
1752617408.593454,323203.000,50510,1,SF,1,100,92.2451
1752617408.926453,323536.000,50561,1,SF,1,100,93.2602
1752617409.326452,323936.000,50628,1,SF,1,100,94.2636
1752617409.593451,324203.000,50678,1,SF,1,100,93.1732
1752617409.926449,324536.000,50727,1,SF,1,100,92.0953
1752617410.326448,324936.000,50792,1,SF,1,100,91.0300
1752617410.593447,325203.000,50840,1,SF,1,100,89.9769
1752617410.926446,325536.000,50892,1,SF,1,100,88.9361
1752617411.260445,325870.000,50941,1,SF,1,100,87.9073
1752617411.659443,326269.000,51006,1,SF,1,100,86.8903
1752617411.926442,326536.000,51055,1,SF,1,100,85.8852
1752617412.259441,326869.000,51103,1,SF,1,100,84.8917
1752617412.659440,327269.000,51170,1,SF,1,100,83.9096
1752617412.926439,327536.000,51223,1,SF,1,100,85.0212
1752617413.259438,327869.000,51273,1,SF,1,100,86.1199
1752617413.593437,328203.000,51331,1,SF,1,100,87.2060
1752617413.926435,328536.000,51379,1,SF,1,100,86.1972
1752617414.326434,328936.000,51444,1,SF,1,100,85.2000
1752617414.593433,329203.000,51493,1,SF,1,100,84.2144
1752617414.926432,329536.000,51542,1,SF,1,100,83.2402
1752617415.259431,329869.000,51594,1,SF,1,100,82.2773
1752617415.659429,330269.000,51659,1,SF,1,100,81.3255
1752617415.926428,330536.000,51709,1,SF,1,100,80.3847
1752617416.259427,330869.000,51758,1,SF,1,100,79.4548
1752617416.659426,331269.000,51823,1,SF,1,100,78.5357
1752617416.926425,331536.000,51873,1,SF,1,100,77.6272
1752617417.259424,331869.000,51922,1,SF,1,100,76.7292
1752617417.592423,332202.000,51974,1,SF,1,100,75.8416
1752617417.992421,332602.000,52039,1,SF,1,100,74.9642
1752617418.259420,332869.000,52092,1,SF,1,100,74.0970
1752617418.592419,333202.000,52145,1,SF,1,100,73.2399
1752617418.925418,333535.000,52196,1,SF,1,100,72.3926
