LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752617371.730583,286340,44527,1,SR,1,100,0.533333
1752617373.330577,287940,44758,1,SR,1,100,0.400000
1752617376.663566,291273,45256,1,SR,1,100,0.066667
1752617377.930561,292540,45464,1,SR,1,100,0.133333
1752617378.330560,292940,45547,1,SR,1,100,0.200000
1752617378.797558,293407,45615,1,SR,1,100,0.200000
1752617379.397556,294007,45749,1,SR,1,100,0.400000
1752617380.196553,294806,45832,1,SR,1,100,0.133333
1752617380.596552,295206,45932,1,SR,1,100,0.266667
1752617381.130550,295740,46000,1,SR,1,100,0.200000
1752617381.463549,296073,46034,1,SR,1,100,0.066667
1752617381.662548,296272,46119,1,SR,1,100,0.400000
1752617382.463546,297073,46227,1,SR,1,100,0.266667
1752617384.129540,298739,46511,1,SR,1,100,0.266667
1752617384.529538,299139,46580,1,SR,1,100,0.266667
1752617385.063536,299673,46632,1,SR,1,100,0.066667
1752617385.263536,299873,46683,1,SR,1,100,0.133333
1752617385.929533,300539,46785,1,SR,1,100,0.066667
1752617386.129533,300739,46802,1,SR,1,100,0.066667
1752617386.462532,301072,46870,1,SR,1,100,0.133333
1752617386.862530,301472,46939,1,SR,1,100,0.133333
1752617387.129529,301739,46974,1,SR,1,100,0.066667
1752617387.329528,301939,47010,1,SR,1,100,0.066667
1752617387.529528,302139,47070,1,SR,1,100,0.200000
1752617387.995526,302605,47156,1,SR,1,100,0.266667
1752617388.928523,303538,47319,1,SR,1,100,0.266667
1752617389.728520,304338,47440,1,SR,1,100,0.200000
1752617390.462518,305072,47590,1,SR,1,100,0.400000
1752617393.062508,307672,48010,1,SR,1,100,0.400000
1752617393.995505,308605,48111,1,SR,1,100,0.066667
1752617394.328504,308938,48161,1,SR,1,100,0.066667
1752617395.061501,309671,48295,1,SR,1,100,0.133333
1752617395.461500,310071,48364,1,SR,1,100,0.066667
1752617396.061498,310671,48466,1,SR,1,100,0.066667
1752617396.928495,311538,48602,1,SR,1,100,0.066667
1752617397.528493,312138,48722,1,SR,1,100,0.200000
1752617397.995491,312605,48792,1,SR,1,100,0.133333
1752617398.261490,312871,48830,1,SR,1,100,0.066667
1752617398.595489,313205,48897,1,SR,1,100,0.133333
1752617398.861488,313471,48932,1,SR,1,100,0.066667
1752617399.061487,313671,48966,1,SR,1,100,0.133333
1752617399.461486,314071,49034,1,SR,1,100,0.133333
1752617399.861485,314471,49119,1,SR,1,100,0.266667
1752617400.394483,315004,49186,1,SR,1,100,0.066667
1752617400.728482,315338,49237,1,SR,1,100,0.066667
1752617400.928481,315538,49273,1,SR,1,100,0.066667
1752617401.128480,315738,49306,1,SR,1,100,0.066667
1752617401.328480,315938,49374,1,SR,1,100,0.266667
1752617401.994477,316604,49441,1,SR,1,100,0.066667
1752617402.327476,316937,49575,1,SR,1,100,0.466667
1752617403.061473,317671,49632,1,SR,1,100,0.133333
1752617403.594472,318204,49717,1,SR,1,100,0.133333
1752617404.128470,318738,49816,1,SR,1,100,0.133333
1752617404.660468,319270,49885,1,SR,1,100,0.066667
1752617406.193462,320803,50133,1,SR,1,100,0.066667
1752617406.993460,321603,50269,1,SR,1,100,0.066667
1752617407.661457,322271,50387,1,SR,1,100,0.133333
1752617407.927456,322537,50439,1,SR,1,100,0.133333
1752617408.393455,323003,50529,1,SR,1,100,0.200000
1752617408.926453,323536,50627,1,SR,1,100,0.266667
1752617412.659440,327269,51205,1,SR,1,100,0.133333
1752617412.926439,327536,51240,1,SR,1,100,0.066667
1752617413.327438,327937,51313,1,SR,1,100,0.066667
1752617536.714006,451324,5744,1,SR,1,100,0.066667
1752617987.400429,902012,12796,1,SR,1,100,0.133333
1752617989.000424,903612,13032,1,SR,1,100,0.266667
1752618006.131364,920743,15848,1,SR,1,100,0.400000
1752618007.131360,921743,15998,1,SR,1,100,0.333333
1752618016.797326,931409,17513,1,SR,1,100,0.066667
1752618028.396286,943008,19186,1,SR,1,100,0.466667
1752618028.996284,943608,19189,1,SR,1,100,0.400000
