LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752617372.338581,286948.000,44534,1,TH,1,100,36.878
1752617372.471580,287081.000,44551,1,TH,1,100,36.878
1752617372.605580,287215.000,44568,1,TH,1,100,36.860
1752617372.738580,287348.000,44585,1,TH,1,100,36.860
1752617372.871579,287481.000,44617,1,TH,1,100,36.802
1752617373.005579,287615.000,44633,1,TH,1,100,36.802
1752617373.138578,287748.000,44650,1,TH,1,100,36.809
1752617373.271578,287881.000,44682,1,TH,1,100,36.816
1752617373.405577,288015.000,44698,1,TH,1,100,36.870
1752617373.538577,288148.000,44715,1,TH,1,100,36.870
1752617373.671576,288281.000,44747,1,TH,1,100,36.804
1752617373.805576,288415.000,44765,1,TH,1,100,36.804
1752617373.938575,288548.000,44783,1,TH,1,100,36.901
1752617374.071575,288681.000,44814,1,TH,1,100,36.908
1752617374.205574,288815.000,44830,1,TH,1,100,36.991
1752617374.338574,288948.000,44848,1,TH,1,100,36.991
1752617374.471573,289081.000,44881,1,TH,1,100,36.942
1752617374.605573,289215.000,44898,1,TH,1,100,36.942
1752617374.738573,289348.000,44915,1,TH,1,100,36.867
1752617374.871572,289481.000,44931,1,TH,1,100,36.867
1752617375.004572,289614.000,44963,1,TH,1,100,36.886
1752617375.138571,289748.000,44982,1,TH,1,100,36.886
1752617375.271571,289881.000,44999,1,TH,1,100,36.947
1752617375.405570,290015.000,45030,1,TH,1,100,36.954
1752617375.538570,290148.000,45047,1,TH,1,100,36.910
1752617375.671569,290281.000,45064,1,TH,1,100,36.910
1752617375.804569,290414.000,45095,1,TH,1,100,36.856
1752617375.938568,290548.000,45113,1,TH,1,100,36.857
1752617376.071568,290681.000,45129,1,TH,1,100,36.820
1752617376.204567,290814.000,45163,1,TH,1,100,36.827
1752617376.338567,290948.000,45180,1,TH,1,100,36.883
1752617376.471566,291081.000,45196,1,TH,1,100,36.883
1752617376.604566,291214.000,45228,1,TH,1,100,36.917
1752617376.738566,291348.000,45245,1,TH,1,100,36.917
1752617376.871565,291481.000,45263,1,TH,1,100,37.004
1752617377.004565,291614.000,45295,1,TH,1,100,37.004
1752617377.138564,291748.000,45312,1,TH,1,100,36.953
1752617377.271564,291881.000,45329,1,TH,1,100,36.960
1752617377.404563,292014.000,45348,1,TH,1,100,36.875
1752617377.537563,292147.000,45370,1,TH,1,100,36.875
1752617377.671562,292281.000,45387,1,TH,1,100,36.946
1752617377.804562,292414.000,45418,1,TH,1,100,36.946
1752617377.938561,292548.000,45436,1,TH,1,100,36.936
1752617378.071561,292681.000,45452,1,TH,1,100,36.943
1752617378.204560,292814.000,45486,1,TH,1,100,36.940
1752617378.337560,292947.000,45503,1,TH,1,100,36.940
1752617378.471559,293081.000,45519,1,TH,1,100,36.921
1752617378.604559,293214.000,45555,1,TH,1,100,36.921
1752617378.737559,293347.000,45572,1,TH,1,100,36.955
1752617378.871558,293481.000,45588,1,TH,1,100,36.955
1752617379.004558,293614.000,45622,1,TH,1,100,36.918
1752617379.137557,293747.000,45639,1,TH,1,100,36.926
1752617379.271557,293881.000,45656,1,TH,1,100,37.037
1752617379.404556,294014.000,45687,1,TH,1,100,37.037
1752617379.537556,294147.000,45705,1,TH,1,100,36.989
1752617379.671555,294281.000,45721,1,TH,1,100,36.989
1752617379.804555,294414.000,45738,1,TH,1,100,36.957
1752617379.937554,294547.000,45772,1,TH,1,100,36.957
1752617380.071554,294681.000,45788,1,TH,1,100,36.918
1752617380.204553,294814.000,45805,1,TH,1,100,36.925
1752617380.337553,294947.000,45839,1,TH,1,100,36.969
