LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1752701120.315207,396904.000,63658,1,MX,1,100,-97
1752701120.354707,396943.500,63676,2,MX,1,100,-97
1752701120.394207,396983.000,63676,2,MX,1,100,-97
1752701120.434541,397023.333,63693,3,MX,1,100,-97
1752701120.474874,397063.667,63693,3,MX,1,100,-96
1752701120.515208,397104.000,63693,3,MX,1,100,-96
1752701120.554708,397143.500,63710,2,MX,1,100,-98
1752701120.594208,397183.000,63710,2,MX,1,100,-97
1752701120.634208,397223.000,63727,3,MX,1,100,-96
1752701120.674208,397263.000,63727,3,MX,1,100,-97
1752701120.714208,397303.000,63727,3,MX,1,100,-97
1752701120.754208,397343.000,63743,2,MX,1,100,-96
1752701120.794208,397383.000,63743,2,MX,1,100,-96
1752701120.834208,397423.000,63759,3,MX,1,100,-97
1752701120.874208,397463.000,63759,3,MX,1,100,-97
1752701120.914208,397503.000,63759,3,MX,1,100,-96
1752701120.954208,397543.000,63777,3,MX,1,100,-97
1752701120.994209,397583.000,63777,3,MX,1,100,-98
1752701121.034209,397623.000,63777,3,MX,1,100,-96
1752701121.074209,397663.000,63794,2,MX,1,100,-97
1752701121.114209,397703.000,63794,2,MX,1,100,-98
1752701121.154209,397743.000,63811,3,MX,1,100,-98
1752701121.194209,397783.000,63811,3,MX,1,100,-99
1752701121.234209,397823.000,63811,3,MX,1,100,-98
1752701121.274209,397863.000,63827,2,MX,1,100,-99
1752701121.314209,397903.000,63827,2,MX,1,100,-98
1752701121.354209,397943.000,63842,3,MX,1,100,-97
1752701121.394209,397983.000,63842,3,MX,1,100,-98
1752701121.434209,398023.000,63842,3,MX,1,100,-98
1752701121.474210,398063.000,63859,2,MX,1,100,-100
1752701121.514210,398103.000,63859,2,MX,1,100,-98
1752701121.554210,398143.000,63876,3,MX,1,100,-99
1752701121.594210,398183.000,63876,3,MX,1,100,-99
1752701121.634210,398223.000,63876,3,MX,1,100,-98
1752701121.674210,398263.000,63895,2,MX,1,100,-99
1752701121.714210,398303.000,63895,2,MX,1,100,-98
1752701121.754210,398343.000,63909,3,MX,1,100,-99
1752701121.794210,398383.000,63909,3,MX,1,100,-99
1752701121.834210,398423.000,63909,3,MX,1,100,-99
1752701121.874210,398463.000,63927,3,MX,1,100,-99
1752701121.914210,398503.000,63927,3,MX,1,100,-98
1752701121.954211,398543.000,63927,3,MX,1,100,-98
1752701121.994211,398583.000,63943,2,MX,1,100,-98
