LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752701119.940206,396529,63681,1,SR,1,100,0.466667
1752701123.474214,400063,64196,1,SR,1,100,0.133333
1752701124.007215,400596,64323,1,SR,1,100,0.266667
1752701124.674216,401263,64406,1,SR,1,100,0.133333
1752701125.207217,401796,64478,1,SR,1,100,0.066667
1752701125.407218,401996,64531,1,SR,1,100,0.133333
1752701125.940219,402529,64614,1,SR,1,100,0.066667
1752701126.540220,403129,64732,1,SR,1,100,0.266667
1752701126.940221,403529,64770,1,SR,1,100,0.066667
1752701127.407222,403996,64855,1,SR,1,100,0.066667
1752701127.607222,404196,64906,1,SR,1,100,0.200000
1752701127.940223,404529,64976,1,SR,1,100,0.266667
1752701128.340224,404929,65009,1,SR,1,100,0.066667
1752701128.807225,405396,65101,1,SR,1,100,0.133333
1752701129.206225,405795,65152,1,SR,1,100,0.066667
1752701129.540226,406129,65237,1,SR,1,100,0.200000
1752701129.873227,406462,65325,1,SR,1,100,0.400000
1752701130.673228,407262,65443,1,SR,1,100,0.333333
1752701131.407230,407996,108,1,SR,1,100,0.733333
1752701132.940233,409529,277,1,SR,1,100,0.266667
1752701133.472234,410061,330,1,SR,1,100,0.066667
1752701133.672234,410261,363,1,SR,1,100,0.066667
1752701134.272236,410861,505,1,SR,1,100,0.266667
1752701134.806237,411395,573,1,SR,1,100,0.066667
1752701135.273238,411862,659,1,SR,1,100,0.133333
1752701135.673239,412262,728,1,SR,1,100,0.133333
1752701135.939239,412528,764,1,SR,1,100,0.133333
1752701136.206240,412795,798,1,SR,1,100,0.066667
1752701136.673241,413262,900,1,SR,1,100,0.133333
1752701136.939241,413528,937,1,SR,1,100,0.133333
1752701137.205242,413794,1005,1,SR,1,100,0.266667
1752701137.606243,414195,1041,1,SR,1,100,0.066667
1752701137.939243,414528,1125,1,SR,1,100,0.200000
1752701138.272244,414861,1161,1,SR,1,100,0.066667
1752701138.606245,415195,1228,1,SR,1,100,0.200000
1752701138.939245,415528,1336,1,SR,1,100,0.400000
1752701139.606247,416195,1388,1,SR,1,100,0.066667
1752701140.072248,416661,1455,1,SR,1,100,0.066667
1752701140.672249,417261,1560,1,SR,1,100,0.066667
1752701140.872249,417461,1596,1,SR,1,100,0.066667
1752701141.072250,417661,1649,1,SR,1,100,0.133333
1752701141.472250,418061,1701,1,SR,1,100,0.066667
1752701141.805251,418394,1768,1,SR,1,100,0.066667
1752701142.805253,419394,1953,1,SR,1,100,0.266667
1752701143.605255,420194,2072,1,SR,1,100,0.133333
1752701143.872255,420461,2125,1,SR,1,100,0.200000
1752701144.205256,420794,2214,1,SR,1,100,0.333333
1752701144.805257,421394,2283,1,SR,1,100,0.133333
1752701145.338258,421927,2354,1,SR,1,100,0.066667
1752701145.538259,422127,2421,1,SR,1,100,0.266667
1752701145.938260,422527,2457,1,SR,1,100,0.066667
1752701146.271260,422860,2525,1,SR,1,100,0.133333
1752701146.538261,423127,2579,1,SR,1,100,0.133333
1752701147.071262,423660,2665,1,SR,1,100,0.133333
1752701147.471263,424060,2716,1,SR,1,100,0.066667
1752701148.071264,424660,2884,1,SR,1,100,0.466667
