LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752701123.717214,400306.000,64213,1,TL,1,100,2025-07-16_17-25-18-707238
1752701123.729214,400318.000,64216,1,TL,1,100,2025-07-16_17-25-23-725380
1752701128.837225,405426.000,65075,1,TL,1,100,2025-07-16_17-25-23-866018
1752701128.897225,405486.000,65078,1,TL,1,100,2025-07-16_17-25-28-843965
1752701133.961235,410550.000,397,1,TL,1,100,2025-07-16_17-25-28-973609
1752701133.975235,410564.000,400,1,TL,1,100,2025-07-16_17-25-33-971762
1752701139.069246,415658.000,1263,1,TL,1,100,2025-07-16_17-25-34-040525
1752701139.083246,415672.000,1266,1,TL,1,100,2025-07-16_17-25-39-076920
1752701144.211256,420800.000,2142,1,TL,1,100,2025-07-16_17-25-39-113366
1752701144.220256,420809.000,2145,1,TL,1,100,2025-07-16_17-25-44-216588
1752701149.319266,425908.000,3004,1,TL,1,100,2025-07-16_17-25-44-291425
1752701149.328267,425917.000,3007,1,TL,1,100,2025-07-16_17-25-49-323761
1752701154.453277,431042.000,3887,1,TL,1,100,2025-07-16_17-25-49-365684
1752701154.461277,431050.000,3890,1,TL,1,100,2025-07-16_17-25-54-457777
1752701159.561287,436150.000,4757,1,TL,1,100,2025-07-16_17-25-54-540492
1752701159.574287,436163.000,4760,1,TL,1,100,2025-07-16_17-25-59-569439
1752701164.689298,441278.000,5637,1,TL,1,100,2025-07-16_17-25-59-600659
1752701164.711298,441300.000,5640,1,TL,1,100,2025-07-16_17-26-04-702643
1752701169.797308,446386.000,6488,1,TL,1,100,2025-07-16_17-26-04-774182
1752701169.808308,446397.000,6491,1,TL,1,100,2025-07-16_17-26-09-804763
1752701174.933319,451522.000,7370,1,TL,1,100,2025-07-16_17-26-09-863395
1752701174.950319,451539.000,7373,1,TL,1,100,2025-07-16_17-26-14-943687
1752701180.043329,456632.000,8230,1,TL,1,100,2025-07-16_17-26-15-011710
1752701180.074329,456663.000,8233,1,TL,1,100,2025-07-16_17-26-20-050616
1752701185.150340,461739.000,9097,1,TL,1,100,2025-07-16_17-26-20-093154
1752701185.212340,461801.000,9100,1,TL,1,100,2025-07-16_17-26-25-156649
1752701190.257350,466846.000,9976,1,TL,1,100,2025-07-16_17-26-25-239468
1752701190.277350,466866.000,9979,1,TL,1,100,2025-07-16_17-26-30-269433
1752701195.396361,471985.000,10870,1,TL,1,100,2025-07-16_17-26-30-309910
1752701195.407361,471996.000,10873,1,TL,1,100,2025-07-16_17-26-35-404270
1752701200.504371,477093.000,11734,1,TL,1,100,2025-07-16_17-26-35-488671
1752701200.517371,477106.000,11737,1,TL,1,100,2025-07-16_17-26-40-513482
1752701205.616382,482205.000,12599,1,TL,1,100,2025-07-16_17-26-40-571740
1752701205.636382,482225.000,12602,1,TL,1,100,2025-07-16_17-26-45-632770
1752701210.748392,487337.000,13487,1,TL,1,100,2025-07-16_17-26-45-659667
1752701210.800392,487389.000,13490,1,TL,1,100,2025-07-16_17-26-50-757203
1752701215.881403,492470.000,14313,1,TL,1,100,2025-07-16_17-26-50-830683
1752701215.893403,492482.000,14316,1,TL,1,100,2025-07-16_17-26-55-886822
1752701220.989413,497578.000,15179,1,TL,1,100,2025-07-16_17-26-55-951059
1752701226.114423,502703.000,16036,1,TL,1,100,2025-07-16_17-27-00-996276
1752701226.120424,502709.000,16038,1,TL,1,100,2025-07-16_17-27-01-132125
1752701226.132424,502721.000,16041,1,TL,1,100,2025-07-16_17-27-06-127093
1752701231.224434,507813.000,16904,1,TL,1,100,2025-07-16_17-27-06-200600
1752701231.233434,507822.000,16907,1,TL,1,100,2025-07-16_17-27-11-229781
1752701236.332444,512921.000,17774,1,TL,1,100,2025-07-16_17-27-11-276820
1752701236.390445,512979.000,17777,1,TL,1,100,2025-07-16_17-27-16-339459
1752701241.440455,518029.000,18642,1,TL,1,100,2025-07-16_17-27-16-430190
1752701246.562465,523151.000,19491,1,TL,1,100,2025-07-16_17-27-21-448493
1752701246.564465,523153.000,19493,1,TL,1,100,2025-07-16_17-27-21-578792
1752701246.579465,523168.000,19496,1,TL,1,100,2025-07-16_17-27-26-576410
1752701251.670476,528259.000,20364,1,TL,1,100,2025-07-16_17-27-26-645362
1752701251.680476,528269.000,20367,1,TL,1,100,2025-07-16_17-27-31-676565
1752701256.778486,533367.000,21217,1,TL,1,100,2025-07-16_17-27-31-726651
1752701256.837486,533426.000,21220,1,TL,1,100,2025-07-16_17-27-36-790238
1752701261.889497,538478.000,22070,1,TL,1,100,2025-07-16_17-27-36-873401
1752701267.031507,543620.000,22928,1,TL,1,100,2025-07-16_17-27-41-911644
1752701267.037507,543626.000,22930,1,TL,1,100,2025-07-16_17-27-42-032070
1752701267.048507,543637.000,22933,1,TL,1,100,2025-07-16_17-27-47-043736
1752701272.142518,548731.000,23782,1,TL,1,100,2025-07-16_17-27-47-102607
1752701272.157518,548746.000,23785,1,TL,1,100,2025-07-16_17-27-52-150722
1752701277.277528,553866.000,24652,1,TL,1,100,2025-07-16_17-27-52-184988
1752701277.288528,553877.000,24655,1,TL,1,100,2025-07-16_17-27-57-282926
1752701282.385539,558974.000,25511,1,TL,1,100,2025-07-16_17-27-57-361509
1752701282.423539,559012.000,25514,1,TL,1,100,2025-07-16_17-28-02-394599
1752701287.493549,564082.000,26364,1,TL,1,100,2025-07-16_17-28-02-446003
1752701287.504549,564093.000,26367,1,TL,1,100,2025-07-16_17-28-07-501125
1752701292.622559,569211.000,27228,1,TL,1,100,2025-07-16_17-28-07-525377
1752701292.634560,569223.000,27231,1,TL,1,100,2025-07-16_17-28-12-630597
1752701297.734570,574323.000,28074,1,TL,1,100,2025-07-16_17-28-12-709885
1752701297.746570,574335.000,28077,1,TL,1,100,2025-07-16_17-28-17-743742
1752701302.845580,579434.000,28919,1,TL,1,100,2025-07-16_17-28-17-786220
1752701302.875580,579464.000,28922,1,TL,1,100,2025-07-16_17-28-22-853941
1752701307.993591,584582.000,29775,1,TL,1,100,2025-07-16_17-28-22-907287
1752701308.017591,584606.000,29778,1,TL,1,100,2025-07-16_17-28-28-003405
1752701313.102601,589691.000,30622,1,TL,1,100,2025-07-16_17-28-28-073187
1752701313.152601,589741.000,30625,1,TL,1,100,2025-07-16_17-28-33-112543
1752701318.210612,594799.000,31467,1,TL,1,100,2025-07-16_17-28-33-179925
1752701318.222612,594811.000,31470,1,TL,1,100,2025-07-16_17-28-38-218511
1752701323.352622,599941.000,32325,1,TL,1,100,2025-07-16_17-28-38-249065
1752701323.363622,599952.000,32328,1,TL,1,100,2025-07-16_17-28-43-358055
1752701328.460633,605049.000,33163,1,TL,1,100,2025-07-16_17-28-43-428996
1752701328.472633,605061.000,33166,1,TL,1,100,2025-07-16_17-28-48-465689
1752701333.569643,610158.000,34007,1,TL,1,100,2025-07-16_17-28-48-593381
1752701333.581643,610170.000,34010,1,TL,1,100,2025-07-16_17-28-53-578050
1752701338.684654,615273.000,34847,1,TL,1,100,2025-07-16_17-28-53-704042
1752701338.695654,615284.000,34850,1,TL,1,100,2025-07-16_17-28-58-690071
1752701343.797664,620386.000,35684,1,TL,1,100,2025-07-16_17-28-58-822253
1752701343.810664,620399.000,35687,1,TL,1,100,2025-07-16_17-29-03-806708
1752701348.948675,625537.000,36524,1,TL,1,100,2025-07-16_17-29-03-939263
1752701348.961675,625550.000,36527,1,TL,1,100,2025-07-16_17-29-08-954819
1752701354.069685,630658.000,37361,1,TL,1,100,2025-07-16_17-29-09-088404
1752701354.079685,630668.000,37364,1,TL,1,100,2025-07-16_17-29-14-076002
1752701359.188696,635777.000,38204,1,TL,1,100,2025-07-16_17-29-14-202055
1752701359.208696,635797.000,38207,1,TL,1,100,2025-07-16_17-29-19-204961
1752701364.319706,640908.000,39046,1,TL,1,100,2025-07-16_17-29-19-340348
1752701364.328706,640917.000,39049,1,TL,1,100,2025-07-16_17-29-24-324715
1752701369.439717,646028.000,39889,1,TL,1,100,2025-07-16_17-29-24-453457
1752701369.466717,646055.000,39892,1,TL,1,100,2025-07-16_17-29-29-447006
1752701374.574727,651163.000,40729,1,TL,1,100,2025-07-16_17-29-29-571145
1752701374.585727,651174.000,40732,1,TL,1,100,2025-07-16_17-29-34-580470
1752701379.703738,656292.000,41568,1,TL,1,100,2025-07-16_17-29-34-709093
