LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752784449.936899,335250,52384,1,HR,1,100,96.01
1752784450.656906,335970,52503,1,HR,1,100,93.19
1752784451.309911,336623,52605,1,HR,1,100,93.32
1752784451.909917,337223,52712,1,HR,1,100,94.80
1752784452.509922,337823,52800,1,HR,1,100,95.96
1752784453.109927,338423,52901,1,HR,1,100,96.85
1752784453.709932,339023,53004,1,HR,1,100,97.55
1752784454.309938,339623,53106,1,HR,1,100,98.10
1752784454.909943,340223,53208,1,HR,1,100,98.52
1752784455.549949,340863,53310,1,HR,1,100,97.46
1752784456.149954,341463,53411,1,HR,1,100,98.02
1752784456.762959,342076,53516,1,HR,1,100,98.46
1752784457.402965,342716,53639,1,HR,1,100,97.42
1752784458.042970,343356,53742,1,HR,1,100,96.60
1752784458.682976,343996,53843,1,HR,1,100,95.97
1752784459.362982,344676,53958,1,HR,1,100,94.25
1752784459.962987,345276,54047,1,HR,1,100,95.53
1752784460.562993,345876,54145,1,HR,1,100,96.52
1752784461.202998,346516,54267,1,HR,1,100,95.91
1752784461.816004,347129,54369,1,HR,1,100,96.82
1752784462.376008,347689,54454,1,HR,1,100,99.11
1752784463.016014,348329,54561,1,HR,1,100,97.92
1752784463.616019,348929,54663,1,HR,1,100,98.38
1752784464.256025,349569,54763,1,HR,1,100,97.35
1752784464.896031,350209,54880,1,HR,1,100,96.55
1752784465.496036,350809,54964,1,HR,1,100,97.32
1752784466.096041,351409,55067,1,HR,1,100,97.91
1752784466.696046,352009,55168,1,HR,1,100,98.38
1752784467.229051,352542,55271,1,HR,1,100,102.16
1752784467.909057,353222,55379,1,HR,1,100,99.06
1752784468.429062,353742,55464,1,HR,1,100,102.69
1752784469.069067,354382,55565,1,HR,1,100,100.70
1752784469.669072,354982,55668,1,HR,1,100,100.55
1752784470.229077,355542,55769,1,HR,1,100,102.01
1752784470.869083,356182,55869,1,HR,1,100,100.18
1752784471.388088,356701,55958,1,HR,1,100,103.56
