LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752784449.642897,334956,52402,1,SA,1,100,0.005768
1752784450.841907,336155,52553,1,SA,1,100,0.000301
1752784451.308911,336622,52622,1,SA,1,100,0.000506
1752784451.508913,336822,52691,1,SA,1,100,0.001190
1752784452.241920,337555,52801,1,SA,1,100,0.000387
1752784453.042927,338356,52967,1,SA,1,100,0.002694
1752784453.975935,339289,53070,1,SA,1,100,0.000404
1752784454.175936,339489,53107,1,SA,1,100,0.000323
1752784454.641941,339955,53257,1,SA,1,100,0.004038
1752784455.775951,341089,53377,1,SA,1,100,0.000397
1752784455.975952,341289,53412,1,SA,1,100,0.000799
1752784456.441956,341755,53533,1,SA,1,100,0.000873
1752784457.574966,342888,53705,1,SA,1,100,0.002036
1752784458.708976,344022,53959,1,SA,1,100,0.003676
1752784459.641984,344955,54026,1,SA,1,100,0.000494
1752784460.175989,345489,54163,1,SA,1,100,0.002212
1752784460.774994,346088,54247,1,SA,1,100,0.003665
1752784461.308999,346622,54350,1,SA,1,100,0.010337
1752784462.309008,347622,54493,1,SA,1,100,0.005376
1752784462.975014,348288,54594,1,SA,1,100,0.003975
1752784464.441027,349754,54845,1,SA,1,100,0.001556
1752784465.508036,350821,55030,1,SA,1,100,0.001045
1752784466.574045,351887,55203,1,SA,1,100,0.000776
1752784467.374052,352687,55303,1,SA,1,100,0.000170
1752784467.841056,353154,55396,1,SA,1,100,0.000333
1752784468.108059,353421,55514,1,SA,1,100,0.001482
1752784469.041067,354354,55600,1,SA,1,100,0.000369
1752784469.574072,354887,55685,1,SA,1,100,0.000335
1752784470.241077,355554,55870,1,SA,1,100,0.001274
1752784470.907083,356220,55938,1,SA,1,100,0.000935
1752784471.307087,356620,56009,1,SA,1,100,0.000886
1752784472.107094,357420,56145,1,SA,1,100,0.000752
1752784472.640099,357953,56237,1,SA,1,100,0.001018
1752784473.108103,358421,56320,1,SA,1,100,0.001088
1752784473.974110,359287,56441,1,SA,1,100,0.000567
1752784474.574116,359887,56591,1,SA,1,100,0.001645
1752784475.373123,360686,56661,1,SA,1,100,0.000395
1752784475.773126,361086,56747,1,SA,1,100,0.000545
1752784476.241130,361554,56900,1,SA,1,100,0.002052
1752784477.574142,362887,57020,1,SA,1,100,0.000184
1752784478.173147,363486,57111,1,SA,1,100,0.000186
1752784478.640151,363953,57195,1,SA,1,100,0.000177
1752784479.373158,364686,57381,1,SA,1,100,0.001178
1752784479.973163,365286,57533,1,SA,1,100,0.005141
1752784481.373175,366686,57652,1,SA,1,100,0.001455
1752784481.706178,367019,57705,1,SA,1,100,0.000650
1752784482.039181,367352,57858,1,SA,1,100,0.002209
1752784482.839188,368152,57950,1,SA,1,100,0.000977
1752784483.306192,368619,57983,1,SA,1,100,0.000372
1752784483.706196,369019,58053,1,SA,1,100,0.000181
1752784483.906197,369219,58088,1,SA,1,100,0.000182
1752784484.106199,369419,58125,1,SA,1,100,0.000426
1752784484.373202,369686,58159,1,SA,1,100,0.000208
1752784485.239209,370552,58312,1,SA,1,100,0.000198
1752784485.573212,370886,58379,1,SA,1,100,0.000399
1752784486.106217,371419,58481,1,SA,1,100,0.000528
1752784486.439220,371752,58537,1,SA,1,100,0.000532
1752784486.772223,372085,58571,1,SA,1,100,0.000203
1752784486.972224,372285,58608,1,SA,1,100,0.000179
1752784487.306227,372619,58676,1,SA,1,100,0.000513
1752784487.639230,372952,58711,1,SA,1,100,0.000206
1752784487.839232,373152,58833,1,SA,1,100,0.001742
1752784488.706240,374019,58920,1,SA,1,100,0.000565
1752784489.039242,374352,58953,1,SA,1,100,0.000172
1752784489.505247,374818,59039,1,SA,1,100,0.000399
1752784489.906250,375219,59142,1,SA,1,100,0.000899
1752784490.639257,375952,59228,1,SA,1,100,0.000380
1752784491.172261,376485,59350,1,SA,1,100,0.000890
1752784491.639265,376952,59384,1,SA,1,100,0.000179
1752784491.838267,377151,59436,1,SA,1,100,0.000373
1752784492.772275,378085,59573,1,SA,1,100,0.000182
1752784493.239279,378552,59663,1,SA,1,100,0.000367
1752784493.505282,378818,59730,1,SA,1,100,0.000710
1752784494.038286,379351,59851,1,SA,1,100,0.001349
1752784494.905294,380218,59970,1,SA,1,100,0.000712
1752784495.571300,380884,60070,1,SA,1,100,0.000558
1752784495.905303,381218,60106,1,SA,1,100,0.000192
1752784496.105305,381418,60142,1,SA,1,100,0.000400
1752784496.639309,381952,60278,1,SA,1,100,0.000957
1752784497.105313,382418,60314,1,SA,1,100,0.000226
1752784497.838320,383151,60432,1,SA,1,100,0.000198
1752784498.038321,383351,60469,1,SA,1,100,0.000214
1752784498.238323,383551,60508,1,SA,1,100,0.000444
1752784498.505326,383818,60560,1,SA,1,100,0.000710
1752784498.904329,384217,60583,1,SA,1,100,0.004715
1752784499.638336,384951,60607,1,SA,1,100,0.000547
1752784499.905338,385218,60610,1,SA,1,100,0.003208
1752784500.371342,385684,60614,1,SA,1,100,0.001534
1752784500.971347,386284,60639,1,SA,1,100,0.001632
1752784501.571352,386884,60642,1,SA,1,100,0.000678
1752784501.905355,387218,60664,1,SA,1,100,0.000568
1752784502.171358,387484,60733,1,SA,1,100,0.001209
1752784503.105366,388418,60923,1,SA,1,100,0.001824
1752784504.105375,389418,61026,1,SA,1,100,0.000622
1752784504.437378,389750,61061,1,SA,1,100,0.000186
1752784504.770381,390083,61115,1,SA,1,100,0.000238
1752784505.371386,390684,61249,1,SA,1,100,0.000600
1752784505.704389,391017,61283,1,SA,1,100,0.000413
1752784505.970391,391283,61352,1,SA,1,100,0.000571
1752784506.304394,391617,61387,1,SA,1,100,0.000400
1752784506.970400,392283,61506,1,SA,1,100,0.000421
1752784507.237402,392550,61576,1,SA,1,100,0.001006
1752784507.837407,393150,61645,1,SA,1,100,0.000409
1752784508.103410,393416,61698,1,SA,1,100,0.000339
1752784508.637415,393950,61821,1,SA,1,100,0.000973
1752784509.237420,394550,61890,1,SA,1,100,0.000581
1752784509.570423,394883,61926,1,SA,1,100,0.000164
1752784510.037427,395350,62011,1,SA,1,100,0.000202
1752784510.237429,395550,62045,1,SA,1,100,0.000184
1752784510.437430,395750,62100,1,SA,1,100,0.000591
1752784510.771433,396084,62150,1,SA,1,100,0.000557
1752784511.103436,396416,62186,1,SA,1,100,0.000187
1752784511.303438,396616,62221,1,SA,1,100,0.000168
1752784511.503440,396816,62257,1,SA,1,100,0.000225
1752784511.703441,397016,62359,1,SA,1,100,0.001359
1752784512.636450,397949,62446,1,SA,1,100,0.000267
1752784512.836451,398149,62480,1,SA,1,100,0.000249
1752784513.436457,398749,62621,1,SA,1,100,0.000832
1752784513.970461,399283,62672,1,SA,1,100,0.000273
1752784514.170463,399483,62710,1,SA,1,100,0.000293
1752784515.303473,400616,62927,1,SA,1,100,0.000735
1752784515.836478,401149,62994,1,SA,1,100,0.000440
1752784516.369482,401682,63081,1,SA,1,100,0.000181
1752784516.569484,401882,63117,1,SA,1,100,0.000141
1752784516.903487,402216,63218,1,SA,1,100,0.000935
1752784517.503492,402816,63287,1,SA,1,100,0.000594
1752784517.836495,403149,63357,1,SA,1,100,0.000494
1752784518.303499,403616,63426,1,SA,1,100,0.000663
1752784518.636502,403949,63483,1,SA,1,100,0.000458
1752784519.569510,404882,63618,1,SA,1,100,0.000358
1752784520.103515,405416,63721,1,SA,1,100,0.000467
1752784520.769521,406082,63838,1,SA,1,100,0.000664
1752784521.369526,406682,63926,1,SA,1,100,0.000194
1752784521.569528,406882,63945,1,SA,1,100,0.000238
1752784521.769530,407082,64014,1,SA,1,100,0.000543
1752784522.102533,407415,64048,1,SA,1,100,0.000196
1752784522.302534,407615,64085,1,SA,1,100,0.000240
1752784522.636537,407949,64136,1,SA,1,100,0.000197
1752784522.969540,408282,64188,1,SA,1,100,0.000198
1752784523.169542,408482,64256,1,SA,1,100,0.000774
1752784523.702547,409015,64347,1,SA,1,100,0.000601
1752784524.168551,409481,64433,1,SA,1,100,0.000829
1752784524.568554,409881,64468,1,SA,1,100,0.000270
1752784524.768556,410081,64521,1,SA,1,100,0.000881
1752784525.302561,410615,64588,1,SA,1,100,0.000227
1752784525.902566,411215,64741,1,SA,1,100,0.002390
1752784527.635581,412948,64978,1,SA,1,100,0.000234
1752784527.835583,413148,65014,1,SA,1,100,0.000258
1752784528.035585,413348,65049,1,SA,1,100,0.000259
1752784528.235587,413548,65083,1,SA,1,100,0.000378
1752784529.168595,414481,65258,1,SA,1,100,0.000692
1752784529.568598,414881,65325,1,SA,1,100,0.000528
1752784529.901601,415214,65363,1,SA,1,100,0.000168
1752784530.101603,415414,65414,1,SA,1,100,0.000652
1752784530.568607,415881,65466,1,SA,1,100,0.000170
1752784530.768609,416081,33,1,SA,1,100,0.001170
1752784531.434615,416747,86,1,SA,1,100,0.000368
1752784531.834618,417147,188,1,SA,1,100,0.000716
1752784532.234622,417547,240,1,SA,1,100,0.000595
1752784532.568625,417881,276,1,SA,1,100,0.000323
1752784533.034629,418347,394,1,SA,1,100,0.001003
1752784533.902636,419215,511,1,SA,1,100,0.000607
1752784534.901645,420214,670,1,SA,1,100,0.000179
1752784535.101647,420414,788,1,SA,1,100,0.001619
1752784535.835653,421148,823,1,SA,1,100,0.000129
1752784536.435659,421748,1046,1,SA,1,100,0.002036
1752784537.301666,422614,1113,1,SA,1,100,0.000895
1752784537.834671,423147,1165,1,SA,1,100,0.000423
1752784538.100673,423413,1218,1,SA,1,100,0.000371
1752784538.500677,423813,1270,1,SA,1,100,0.000160
1752784538.700678,424013,1303,1,SA,1,100,0.000187
1752784539.034681,424347,1372,1,SA,1,100,0.000241
1752784539.234683,424547,1413,1,SA,1,100,0.000430
1752784539.634687,424947,1514,1,SA,1,100,0.001028
1752784540.234692,425547,1601,1,SA,1,100,0.000735
1752784540.901698,426214,1703,1,SA,1,100,0.000659
1752784542.167709,427480,1907,1,SA,1,100,0.000306
1752784542.701714,428014,1992,1,SA,1,100,0.000168
1752784542.901715,428214,2077,1,SA,1,100,0.001095
1752784543.567721,428880,2161,1,SA,1,100,0.000764
1752784543.967725,429280,2198,1,SA,1,100,0.000142
1752784544.167726,429480,2249,1,SA,1,100,0.000313
1752784544.434729,429747,2323,1,SA,1,100,0.000828
1752784544.834732,430147,2392,1,SA,1,100,0.000803
1752784545.367737,430680,2478,1,SA,1,100,0.000808
1752784545.900742,431213,2529,1,SA,1,100,0.000232
1752784546.367746,431680,2634,1,SA,1,100,0.000584
1752784546.833750,432146,2703,1,SA,1,100,0.000411
1752784547.100752,432413,2737,1,SA,1,100,0.000236
1752784547.433755,432746,2822,1,SA,1,100,0.000739
1752784547.766758,433079,2858,1,SA,1,100,0.000237
1752784547.966760,433279,2893,1,SA,1,100,0.000178
1752784548.166761,433479,2929,1,SA,1,100,0.000418
1752784548.433764,433746,2963,1,SA,1,100,0.000269
1752784549.166770,434479,3099,1,SA,1,100,0.000423
1752784550.100778,435413,3256,1,SA,1,100,0.000427
1752784550.633783,435946,3358,1,SA,1,100,0.000368
1752784551.299789,436612,3459,1,SA,1,100,0.000370
1752784551.699792,437012,3530,1,SA,1,100,0.000186
1752784551.899794,437212,3584,1,SA,1,100,0.000590
1752784552.233797,437546,3618,1,SA,1,100,0.000187
1752784552.433799,437746,3654,1,SA,1,100,0.000250
1752784552.632801,437945,3689,1,SA,1,100,0.000251
1752784552.832802,438145,3725,1,SA,1,100,0.000251
1752784553.032804,438345,3759,1,SA,1,100,0.000472
1752784554.232815,439545,3979,1,SA,1,100,0.000542
1752784554.566818,439879,4035,1,SA,1,100,0.000608
1752784554.899821,440212,4089,1,SA,1,100,0.000417
1752784555.299824,440612,4190,1,SA,1,100,0.001227
1752784555.965830,441278,4259,1,SA,1,100,0.000422
1752784556.232832,441545,4311,1,SA,1,100,0.000358
1752784556.499835,441812,4382,1,SA,1,100,0.001543
1752784558.232850,443545,4683,1,SA,1,100,0.001466
1752784558.765855,444078,4753,1,SA,1,100,0.000872
1752784559.966865,445279,4945,1,SA,1,100,0.000611
1752784560.298868,445611,4978,1,SA,1,100,0.000273
1752784560.766872,446079,5081,1,SA,1,100,0.000582
1752784561.631880,446944,5236,1,SA,1,100,0.000621
1752784561.965883,447278,5269,1,SA,1,100,0.000416
1752784562.231885,447544,5307,1,SA,1,100,0.000208
1752784562.565888,447878,5374,1,SA,1,100,0.000487
1752784562.831890,448144,5475,1,SA,1,100,0.001189
1752784563.631897,448944,5545,1,SA,1,100,0.000176
1752784563.832899,449145,5580,1,SA,1,100,0.000141
1752784564.165902,449478,5649,1,SA,1,100,0.000389
1752784564.432904,449745,5687,1,SA,1,100,0.000213
1752784564.764907,450077,5776,1,SA,1,100,0.000999
1752784565.364912,450677,5827,1,SA,1,100,0.000287
1752784565.698915,451011,5913,1,SA,1,100,0.000792
1752784566.098919,451411,5949,1,SA,1,100,0.000180
1752784566.298921,451611,5984,1,SA,1,100,0.000181
1752784566.498922,451811,6055,1,SA,1,100,0.000580
1752784566.831925,452144,6091,1,SA,1,100,0.000473
1752784567.098928,452411,6125,1,SA,1,100,0.000219
1752784567.298929,452611,6162,1,SA,1,100,0.000219
1752784567.765934,453078,6249,1,SA,1,100,0.000183
1752784568.364939,453677,6349,1,SA,1,100,0.000185
1752784568.564941,453877,6401,1,SA,1,100,0.000592
1752784569.164946,454477,6486,1,SA,1,100,0.000409
1752784569.564949,454877,6589,1,SA,1,100,0.000785
1752784569.964953,455277,6632,1,SA,1,100,0.000150
1752784570.164955,455477,6701,1,SA,1,100,0.001204
1752784570.897961,456210,6820,1,SA,1,100,0.000683
1752784571.964970,457277,6990,1,SA,1,100,0.000766
1752784572.497975,457810,7058,1,SA,1,100,0.000192
1752784572.697977,458010,7112,1,SA,1,100,0.001003
1752784573.097980,458410,7146,1,SA,1,100,0.000232
1752784573.564984,458877,7248,1,SA,1,100,0.000661
1752784574.164990,459477,7334,1,SA,1,100,0.000313
1752784574.364991,459677,7387,1,SA,1,100,0.000509
1752784574.697994,460010,7421,1,SA,1,100,0.000235
1752784575.164998,460477,7564,1,SA,1,100,0.001028
1752784575.831004,461143,7614,1,SA,1,100,0.000238
1752784576.031006,461343,7683,1,SA,1,100,0.000557
1752784576.364009,461676,7718,1,SA,1,100,0.000240
1752784576.564011,461876,7756,1,SA,1,100,0.000280
1752784576.764012,462076,7790,1,SA,1,100,0.000320
1752784576.964014,462276,7825,1,SA,1,100,0.000241
1752784577.164016,462476,7878,1,SA,1,100,0.000563
1752784577.498019,462810,7947,1,SA,1,100,0.000727
1752784578.031024,463343,8015,1,SA,1,100,0.000934
1752784578.497028,463809,8117,1,SA,1,100,0.003143
1752784578.897031,464209,8153,1,SA,1,100,0.002050
1752784580.365044,465677,8393,1,SA,1,100,0.000166
1752784580.831048,466143,8511,1,SA,1,100,0.001002
1752784581.297052,466609,8548,1,SA,1,100,0.000167
1752784581.497054,466809,8584,1,SA,1,100,0.000168
1752784581.830057,467142,8653,1,SA,1,100,0.000379
1752784582.230060,467542,8721,1,SA,1,100,0.000381
1752784582.630064,467942,8791,1,SA,1,100,0.000424
1752784583.030067,468342,8861,1,SA,1,100,0.000426
1752784583.564072,468876,8979,1,SA,1,100,0.001329
1752784584.030076,469342,9012,1,SA,1,100,0.000215
1752784584.230078,469542,9083,1,SA,1,100,0.000862
1752784585.163086,470475,9273,1,SA,1,100,0.001307
1752784586.097094,471409,9374,1,SA,1,100,0.000219
1752784586.297096,471609,9409,1,SA,1,100,0.000264
1752784586.897101,472209,9531,1,SA,1,100,0.000530
1752784587.230104,472542,9567,1,SA,1,100,0.000177
1752784587.430106,472742,9636,1,SA,1,100,0.001022
1752784587.896110,473208,9704,1,SA,1,100,0.000803
1752784588.564116,473876,9805,1,SA,1,100,0.000718
1752784588.896119,474208,9858,1,SA,1,100,0.000539
1752784589.497124,474809,9959,1,SA,1,100,0.000633
1752784589.830127,475142,10026,1,SA,1,100,0.000544
1752784590.163130,475475,10064,1,SA,1,100,0.000273
1752784590.630134,475942,10136,1,SA,1,100,0.000137
1752784590.830136,476142,10172,1,SA,1,100,0.000183
1752784591.163139,476475,10240,1,SA,1,100,0.000229
1752784591.497142,476809,10312,1,SA,1,100,0.000598
1752784591.963146,477275,10413,1,SA,1,100,0.000832
1752784592.430150,477742,10464,1,SA,1,100,0.000417
1752784592.830154,478142,10533,1,SA,1,100,0.000559
1752784593.163156,478475,10569,1,SA,1,100,0.000233
1752784593.496159,478808,10654,1,SA,1,100,0.000749
1752784594.096165,479408,10755,1,SA,1,100,0.000753
1752784594.629169,479941,10842,1,SA,1,100,0.000663
1752784595.096173,480408,10894,1,SA,1,100,0.000190
1752784595.296175,480608,10966,1,SA,1,100,0.000666
1752784596.096182,481408,11088,1,SA,1,100,0.000287
1752784596.363185,481675,11124,1,SA,1,100,0.000528
1752784596.629187,481941,11159,1,SA,1,100,0.000193
1752784596.962190,482274,11245,1,SA,1,100,0.000627
1752784597.562195,482874,11363,1,SA,1,100,0.000874
1752784597.962199,483274,11396,1,SA,1,100,0.000195
1752784598.562204,483874,11499,1,SA,1,100,0.000342
1752784598.962207,484274,11551,1,SA,1,100,0.000393
1752784599.295210,484607,11654,1,SA,1,100,0.000788
1752784599.695214,485007,11687,1,SA,1,100,0.000198
1752784600.029217,485341,11757,1,SA,1,100,0.000347
1752784600.295219,485607,11792,1,SA,1,100,0.000347
1752784600.495221,485807,11827,1,SA,1,100,0.000249
1752784601.095226,486407,11934,1,SA,1,100,0.000600
1752784601.495230,486807,12022,1,SA,1,100,0.000602
1752784601.962234,487274,12074,1,SA,1,100,0.000252
1752784602.162235,487474,12110,1,SA,1,100,0.000151
1752784602.495238,487807,12163,1,SA,1,100,0.000253
1752784602.695240,488007,12196,1,SA,1,100,0.000253
1752784603.028243,488340,12282,1,SA,1,100,0.000610
1752784603.496247,488808,12349,1,SA,1,100,0.000459
1752784603.762249,489074,12387,1,SA,1,100,0.000204
1752784604.095252,489407,12454,1,SA,1,100,0.000359
1752784604.361255,489673,12490,1,SA,1,100,0.000462
1752784604.761258,490073,12557,1,SA,1,100,0.000206
1752784604.961260,490273,12612,1,SA,1,100,0.000672
1752784605.428264,490740,12662,1,SA,1,100,0.000207
1752784605.761267,491073,12720,1,SA,1,100,0.000208
1752784605.961269,491273,12755,1,SA,1,100,0.000208
1752784606.161271,491473,12789,1,SA,1,100,0.000209
1752784607.029278,492341,12961,1,SA,1,100,0.000421
1752784608.095288,493407,13145,1,SA,1,100,0.000689
1752784608.694293,494006,13212,1,SA,1,100,0.000053
1752784608.895295,494207,13283,1,SA,1,100,0.000854
1752784609.561300,494873,13368,1,SA,1,100,0.000161
1752784609.761302,495073,13404,1,SA,1,100,0.000268
1752784611.028313,496340,13627,1,SA,1,100,0.001734
1752784612.361325,497673,13864,1,SA,1,100,0.000549
1752784612.694328,498006,13934,1,SA,1,100,0.003249
1752784613.627336,498939,14053,1,SA,1,100,0.000555
1752784614.161341,499473,14139,1,SA,1,100,0.000167
1752784617.827373,503139,14764,1,SA,1,100,0.000630
1752784618.160376,503472,14786,1,SA,1,100,0.000517
1752784660.223745,545535,21293,1,SA,1,100,0.006561
1752784661.556757,546868,21513,1,SA,1,100,0.000551
1752784695.553055,580864,27138,1,SA,1,100,0.001866
1752784696.620065,581931,27325,1,SA,1,100,0.003335
