RD,TS_received,TS_sent,AK,RoundTrip,
337625,337643,2025-07-17_16-34-12-315111,337644,18,
342733,342744,2025-07-17_16-34-17-423982,342745,11,
347858,347865,2025-07-17_16-34-22-548510,347867,7,
352978,352991,2025-07-17_16-34-27-674961,352995,13,
358091,358107,2025-07-17_16-34-32-790081,358108,16,
363212,363251,2025-07-17_16-34-37-902596,363252,39,
368330,368342,2025-07-17_16-34-43-022308,368343,12,
373449,373456,2025-07-17_16-34-48-139557,373457,7,
378573,378582,2025-07-17_16-34-53-266314,378583,9,
383689,383702,2025-07-17_16-34-58-384013,383703,13,
388798,388840,2025-07-17_16-35-03-489589,388841,42,
393918,393926,2025-07-17_16-35-08-609008,393927,8,
399039,399059,2025-07-17_16-35-13-739778,399060,20,
404167,404177,2025-07-17_16-35-18-858461,404178,10,
409292,409303,2025-07-17_16-35-23-986892,409305,11,
414408,414419,2025-07-17_16-35-29-102080,414421,11,
419530,419537,2025-07-17_16-35-34-221587,419538,7,
424638,424646,2025-07-17_16-35-39-330176,424647,8,
429767,429788,2025-07-17_16-35-44-469606,429790,21,
434875,434895,2025-07-17_16-35-49-568077,434896,20,
440010,440034,2025-07-17_16-35-54-706331,440035,24,
445122,445134,2025-07-17_16-35-59-815358,445135,12,
450229,455341,2025-07-17_16-36-04-935794,455342,5112,
455347,455359,2025-07-17_16-36-10-039153,455360,12,
460454,460467,2025-07-17_16-36-15-149325,460468,13,
465587,465598,2025-07-17_16-36-20-279769,465599,11,
470693,470700,2025-07-17_16-36-25-384671,470701,7,
475828,475844,2025-07-17_16-36-30-528410,475845,16,
480936,480949,2025-07-17_16-36-35-634040,480950,13,
486089,486110,2025-07-17_16-36-40-795234,486111,21,
491190,491209,2025-07-17_16-36-45-890726,491210,19,
496297,496304,2025-07-17_16-36-50-989413,496305,7,
501417,501428,2025-07-17_16-36-56-112203,501430,11,
506595,506628,2025-07-17_16-37-01-289618,506629,33,
511719,511740,2025-07-17_16-37-06-416495,511741,21,
516826,516860,2025-07-17_16-37-11-519642,516861,34,
521935,527053,2025-07-17_16-37-16-629337,527054,5118,
527060,527079,2025-07-17_16-37-21-752884,527080,19,
532167,532218,2025-07-17_16-37-26-860507,532219,51,
537274,537288,2025-07-17_16-37-31-972091,537289,14,
542403,542412,2025-07-17_16-37-37-095420,542413,9,
547512,547529,2025-07-17_16-37-42-204650,547530,17,
552648,552669,2025-07-17_16-37-47-342828,552670,21,
557754,557764,2025-07-17_16-37-52-446390,557765,10,
562863,562870,2025-07-17_16-37-57-554997,562871,7,
567984,567993,2025-07-17_16-38-02-679133,567994,9,
573094,573101,2025-07-17_16-38-07-786885,573103,7,
578235,578254,2025-07-17_16-38-12-927027,578255,19,
583343,583355,2025-07-17_16-38-18-039900,583359,12,
588468,588479,2025-07-17_16-38-23-160531,588480,11,
593577,593590,2025-07-17_16-38-28-275247,593591,13,
598684,598711,2025-07-17_16-38-33-387956,598712,27,
603816,603851,2025-07-17_16-38-38-510520,603852,35,
608923,608934,2025-07-17_16-38-43-619018,608935,11,
614031,614039,2025-07-17_16-38-48-724709,614041,8,
619162,619170,2025-07-17_16-38-53-855106,619171,8,
624285,624302,2025-07-17_16-38-58-979238,624303,17,
629398,629441,2025-07-17_16-39-04-096005,629442,43,
634524,634548,2025-07-17_16-39-09-233932,634550,24,
639655,639662,2025-07-17_16-39-14-347649,639663,7,
644782,644795,2025-07-17_16-39-19-481511,644797,13,
649895,649906,2025-07-17_16-39-24-592109,649907,11,
655014,655022,2025-07-17_16-39-29-707682,655023,8,
660128,660139,2025-07-17_16-39-34-822840,660140,11,
665245,665303,2025-07-17_16-39-39-943044,665304,58,
670374,670384,2025-07-17_16-39-45-070160,670385,10,
675499,675511,2025-07-17_16-39-50-193840,675512,12,
680625,680644,2025-07-17_16-39-55-325978,680645,19,
685741,685751,2025-07-17_16-40-00-433706,685752,10,
690869,690891,2025-07-17_16-40-05-571513,690892,22,
695988,696001,2025-07-17_16-40-10-682236,696002,13,
701115,701122,2025-07-17_16-40-15-808901,701123,7,
706236,706244,2025-07-17_16-40-20-930850,706245,8,
711446,711458,2025-07-17_16-40-26-144132,711460,12,
716554,716564,2025-07-17_16-40-31-248627,716566,10,
721675,721688,2025-07-17_16-40-36-374855,721692,13,
726800,726812,2025-07-17_16-40-41-496207,726814,12,
731927,737053,2025-07-17_16-40-46-623657,737054,5126,
737057,737064,2025-07-17_16-40-51-750573,737065,7,
742177,742186,2025-07-17_16-40-56-871469,742191,9,
747299,747317,2025-07-17_16-41-01-999018,747318,18,
752411,752442,2025-07-17_16-41-07-105232,752443,31,
