LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752621170.141158,74020.000,10123,2,AK,1,100,9353
1752621170.141158,74020.000,10123,2,AK,1,100,RD
1752621170.146658,74025.500,10126,2,AK,1,100,10124
1752621170.152158,74031.000,10126,2,AK,1,100,RD
1752621172.700680,76579.500,10975,2,AK,1,100,10124
1752621175.249202,79128.000,10975,2,AK,1,100,RD
1752621177.806223,81685.000,11828,2,AK,1,100,10976
1752621180.363245,84242.000,11828,2,AK,1,100,RD
1752621180.364745,84243.500,11830,2,AK,1,100,10976
1752621180.366245,84245.000,11830,2,AK,1,100,RD
1752621180.375245,84254.000,11833,2,AK,1,100,11831
1752621180.384245,84263.000,11833,2,AK,1,100,RD
1752621182.927767,86806.500,12688,2,AK,1,100,11831
1752621185.471288,89350.000,12688,2,AK,1,100,RD
1752621185.498288,89377.000,12691,2,AK,1,100,12689
1752621185.525289,89404.000,12691,2,AK,1,100,RD
1752621188.051810,91930.500,13551,2,AK,1,100,12689
1752621190.578331,94457.000,13551,2,AK,1,100,RD
1752621190.584832,94463.500,13554,2,AK,1,100,13552
1752621190.591332,94470.000,13554,2,AK,1,100,RD
1752621193.138853,97017.500,14406,2,AK,1,100,13552
1752621195.686375,99565.000,14406,2,AK,1,100,RD
1752621195.694875,99573.500,14409,2,AK,1,100,14407
1752621195.703375,99582.000,14409,2,AK,1,100,RD
1752621198.258897,102137.500,15288,2,AK,1,100,14407
1752621200.814418,104693.000,15288,2,AK,1,100,RD
1752621200.828918,104707.500,15291,2,AK,1,100,15289
1752621200.843418,104722.000,15291,2,AK,1,100,RD
1752621203.382940,107261.500,16154,2,AK,1,100,15289
1752621205.922461,109801.000,16154,2,AK,1,100,RD
1752621205.929962,109808.500,16157,2,AK,1,100,16155
1752621205.937462,109816.000,16157,2,AK,1,100,RD
1752621208.502983,112381.500,17030,2,AK,1,100,16155
1752621211.068505,114947.000,17030,2,AK,1,100,RD
1752621211.091005,114969.500,17033,2,AK,1,100,17031
1752621211.113505,114992.000,17033,2,AK,1,100,RD
1752621213.644527,117523.000,17897,2,AK,1,100,17031
1752621216.175548,120054.000,17897,2,AK,1,100,RD
1752621218.737070,122615.500,18760,2,AK,1,100,17898
1752621221.298592,125177.000,18760,2,AK,1,100,RD
1752621221.299592,125178.000,18762,2,AK,1,100,17898
1752621221.300592,125179.000,18762,2,AK,1,100,RD
1752621221.307092,125185.500,18765,2,AK,1,100,18763
1752621221.313592,125192.000,18765,2,AK,1,100,RD
1752621223.860113,127738.500,19626,2,AK,1,100,18763
1752621226.406635,130285.000,19626,2,AK,1,100,RD
1752621226.417135,130295.500,19629,2,AK,1,100,19627
1752621226.427635,130306.000,19629,2,AK,1,100,RD
