LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752621172.981182,76860.000,10620,1,B%,1,100,55
1752621177.981225,81860.000,11435,1,B%,1,100,55
1752621182.980267,86859.000,12297,1,B%,1,100,55
1752621187.980309,91859.000,13140,1,B%,1,100,55
1752621192.979352,96858.000,13982,1,B%,1,100,54
1752621197.979394,101858.000,14825,1,B%,1,100,55
1752621202.978437,106857.000,15670,1,B%,1,100,55
1752621207.978479,111857.000,16519,1,B%,1,100,55
1752621212.978521,116857.000,17379,1,B%,1,100,55
1752621217.977564,121856.000,18211,1,B%,1,100,54
1752621222.976606,126855.000,19061,1,B%,1,100,55
1752621227.976648,131855.000,19929,1,B%,1,100,55
1752621232.975691,136854.000,20773,1,B%,1,100,55
1752621237.975733,141854.000,21615,1,B%,1,100,54
1752621242.974775,146853.000,22471,1,B%,1,100,55
1752621247.974818,151853.000,23335,1,B%,1,100,55
1752621252.973860,156852.000,24180,1,B%,1,100,55
1752621257.973902,161852.000,25007,1,B%,1,100,55
1752621262.972945,166851.000,25658,1,B%,1,100,55
1752621267.972987,171851.000,26509,1,B%,1,100,55
1752621272.972029,176850.000,27344,1,B%,1,100,55
1752621277.972072,181850.000,28193,1,B%,1,100,55
1752621282.972114,186850.000,29055,1,B%,1,100,55
1752621287.971156,191849.000,29905,1,B%,1,100,55
1752621292.971199,196849.000,30746,1,B%,1,100,55
1752621297.970241,201848.000,31592,1,B%,1,100,55
1752621302.969283,206847.000,32451,1,B%,1,100,55
1752621307.969326,211847.000,33299,1,B%,1,100,55
1752621312.968368,216846.000,34141,1,B%,1,100,55
1752621317.968410,221846.000,34976,1,B%,1,100,56
1752621322.967453,226845.000,35829,1,B%,1,100,56
1752621327.967495,231845.000,36676,1,B%,1,100,55
1752621332.967537,236845.000,37520,1,B%,1,100,55
1752621337.966580,241844.000,38375,1,B%,1,100,55
1752621342.965622,246843.000,39204,1,B%,1,100,55
1752621347.965664,251843.000,40045,1,B%,1,100,56
1752621352.964707,256842.000,40884,1,B%,1,100,55
1752621357.964749,261842.000,41716,1,B%,1,100,55
1752621362.963791,266841.000,42533,1,B%,1,100,56
1752621367.963834,271841.000,43356,1,B%,1,100,55
1752621372.962876,276840.000,44183,1,B%,1,100,56
1752621377.962919,281840.000,45006,1,B%,1,100,56
1752621382.962961,286840.000,45830,1,B%,1,100,56
1752621387.962003,291839.000,46635,1,B%,1,100,56
1752621392.961046,296838.000,47460,1,B%,1,100,56
1752621397.961088,301838.000,48284,1,B%,1,100,56
1752621402.960130,306837.000,49107,1,B%,1,100,56
1752621407.960173,311837.000,49929,1,B%,1,100,56
1752621412.959215,316836.000,50749,1,B%,1,100,56
1752621417.959257,321836.000,51557,1,B%,1,100,56
1752621422.958300,326835.000,52378,1,B%,1,100,56
1752621427.958342,331835.000,53204,1,B%,1,100,56
1752621432.957384,336834.000,54024,1,B%,1,100,56
1752621437.957427,341834.000,54849,1,B%,1,100,56
1752621442.956469,346833.000,55654,1,B%,1,100,56
1752621447.956511,351833.000,56477,1,B%,1,100,56
1752621452.955554,356832.000,57301,1,B%,1,100,56
1752621457.955596,361832.000,58125,1,B%,1,100,56
1752621462.954638,366831.000,58946,1,B%,1,100,56
1752621467.954681,371831.000,59753,1,B%,1,100,56
1752621472.953723,376830.000,60576,1,B%,1,100,56
1752621477.953765,381830.000,61305,1,B%,1,100,56
1752621482.953808,386830.000,62003,1,B%,1,100,56
1752621487.952850,391829.000,62827,1,B%,1,100,56
1752621492.951892,396828.000,63650,1,B%,1,100,56
1752621497.951935,401828.000,64467,1,B%,1,100,56
1752621502.950977,406827.000,65274,1,B%,1,100,56
1752621507.951019,411827.000,559,1,B%,1,100,57
1752621512.950062,416826.000,1399,1,B%,1,100,56
1752621517.950104,421826.000,2221,1,B%,1,100,56
1752621522.949146,426825.000,3043,1,B%,1,100,56
1752621527.949189,431825.000,3881,1,B%,1,100,57
1752621532.948231,436824.000,4686,1,B%,1,100,56
1752621537.948273,441824.000,5528,1,B%,1,100,57
