LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1752621168.151142,72030.000,9788,1,PR,1,100,74645
1752621168.190642,72069.500,9804,2,PR,1,100,74640
1752621168.230142,72109.000,9804,2,PR,1,100,74640
1752621168.270143,72149.000,9822,3,PR,1,100,74635
1752621168.310143,72189.000,9822,3,PR,1,100,74629
1752621168.350143,72229.000,9822,3,PR,1,100,74643
1752621168.390144,72269.000,9840,2,PR,1,100,74635
1752621168.430144,72309.000,9840,2,PR,1,100,74634
1752621168.470478,72349.333,9857,3,PR,1,100,74652
1752621168.510811,72389.667,9857,3,PR,1,100,74645
1752621168.551145,72430.000,9857,3,PR,1,100,74648
1752621168.591145,72470.000,9873,2,PR,1,100,74639
1752621168.631146,72510.000,9873,2,PR,1,100,74641
1752621168.670813,72549.667,9889,3,PR,1,100,74645
1752621168.710480,72589.333,9889,3,PR,1,100,74641
1752621168.750147,72629.000,9889,3,PR,1,100,74621
1752621168.790147,72669.000,9905,2,PR,1,100,74637
1752621168.830147,72709.000,9905,2,PR,1,100,74624
1752621168.870148,72749.000,9922,3,PR,1,100,74629
1752621168.910148,72789.000,9922,3,PR,1,100,74622
1752621168.950148,72829.000,9922,3,PR,1,100,74618
1752621168.997149,72876.000,9939,2,PR,1,100,74632
1752621169.044149,72923.000,9939,2,PR,1,100,74634
1752621169.084149,72963.000,9956,3,PR,1,100,74648
1752621169.124150,73003.000,9956,3,PR,1,100,74628
1752621169.164150,73043.000,9956,3,PR,1,100,74629
1752621169.204150,73083.000,9972,2,PR,1,100,74629
1752621169.244151,73123.000,9972,2,PR,1,100,74630
1752621169.284151,73163.000,9990,3,PR,1,100,74651
1752621169.324151,73203.000,9990,3,PR,1,100,74641
1752621169.364152,73243.000,9990,3,PR,1,100,74628
1752621169.404152,73283.000,10006,2,PR,1,100,74656
1752621169.444152,73323.000,10006,2,PR,1,100,74627
1752621169.484153,73363.000,10021,3,PR,1,100,74632
1752621169.524153,73403.000,10021,3,PR,1,100,74634
1752621169.564154,73443.000,10021,3,PR,1,100,74632
1752621169.604154,73483.000,10037,2,PR,1,100,74619
1752621169.644154,73523.000,10037,2,PR,1,100,74614
1752621169.684155,73563.000,10055,3,PR,1,100,74624
1752621169.724155,73603.000,10055,3,PR,1,100,74627
1752621169.764155,73643.000,10055,3,PR,1,100,74627
1752621169.804156,73683.000,10073,2,PR,1,100,74638
1752621169.844156,73723.000,10073,2,PR,1,100,74638
1752621169.884156,73763.000,10091,3,PR,1,100,74629
