LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752621167.883139,71762,9785,1,SA,1,100,0.000695
1752621168.216142,72095,9818,1,SA,1,100,0.000273
1752621168.549145,72428,10070,1,SA,1,100,0.015844
1752621170.149158,74028,10176,1,SA,1,100,0.010655
1752621171.749172,75628,10462,1,SA,1,100,0.003237
1752621172.216176,76095,10499,1,SA,1,100,0.002386
1752621172.416178,76295,10549,1,SA,1,100,0.005161
1752621173.482187,77361,10921,1,SA,1,100,0.005348
1752621175.015200,78894,10955,1,SA,1,100,0.000281
1752621175.482204,79361,11047,1,SA,1,100,0.000643
1752621175.948208,79827,11147,1,SA,1,100,0.000946
1752621176.348211,80227,11183,1,SA,1,100,0.000267
1752621177.482221,81361,11366,1,SA,1,100,0.000418
1752621178.281227,82160,11503,1,SA,1,100,0.000432
1752621178.548230,82427,11557,1,SA,1,100,0.000410
1752621179.081234,82960,11691,1,SA,1,100,0.001173
1752621179.749240,83628,11758,1,SA,1,100,0.000397
1752621180.281244,84160,11866,1,SA,1,100,0.000767
1752621180.681248,84560,11904,1,SA,1,100,0.000240
1752621180.881249,84760,11937,1,SA,1,100,0.000250
1752621181.081251,84960,11990,1,SA,1,100,0.000362
1752621181.614256,85493,12075,1,SA,1,100,0.000334
1752621182.014259,85893,12177,1,SA,1,100,0.001026
1752621182.614264,86493,12263,1,SA,1,100,0.000735
1752621183.682273,87561,12483,1,SA,1,100,0.001515
1752621184.748282,88627,12584,1,SA,1,100,0.000101
1752621185.347287,89226,12692,1,SA,1,100,0.000163
1752621185.681290,89560,12745,1,SA,1,100,0.000237
1752621186.148294,90027,12864,1,SA,1,100,0.000715
1752621186.681298,90560,12915,1,SA,1,100,0.000258
1752621186.881300,90760,12952,1,SA,1,100,0.000212
1752621187.214303,91093,13002,1,SA,1,100,0.000192
1752621187.414305,91293,13071,1,SA,1,100,0.000526
1752621187.747308,91626,13141,1,SA,1,100,0.000948
1752621188.481314,92360,13227,1,SA,1,100,0.000412
1752621188.747316,92626,13277,1,SA,1,100,0.000426
1752621189.014318,92893,13313,1,SA,1,100,0.000145
1752621189.747324,93626,13464,1,SA,1,100,0.000510
1752621190.080327,93959,13500,1,SA,1,100,0.000171
1752621190.547331,94426,13574,1,SA,1,100,0.000167
1752621190.748333,94627,13624,1,SA,1,100,0.000521
1752621191.214337,95093,13727,1,SA,1,100,0.000925
1752621191.813342,95692,13828,1,SA,1,100,0.000700
1752621192.213345,96092,13864,1,SA,1,100,0.000490
1752621192.880351,96759,14067,1,SA,1,100,0.002004
1752621193.947360,97826,14204,1,SA,1,100,0.001137
1752621194.746367,98625,14323,1,SA,1,100,0.001005
1752621195.880376,99759,14478,1,SA,1,100,0.000187
1752621196.080378,99959,14513,1,SA,1,100,0.000208
1752621196.280380,100159,14551,1,SA,1,100,0.000345
1752621196.680383,100559,14618,1,SA,1,100,0.000368
1752621197.080387,100959,14671,1,SA,1,100,0.000139
1752621197.280388,101159,14772,1,SA,1,100,0.001436
1752621198.280397,102159,14893,1,SA,1,100,0.000381
1752621198.680400,102559,14960,1,SA,1,100,0.000308
1752621198.946402,102825,14996,1,SA,1,100,0.000461
1752621199.346406,103225,15080,1,SA,1,100,0.000590
1752621199.813410,103692,15132,1,SA,1,100,0.000287
1752621200.146413,104025,15199,1,SA,1,100,0.000176
1752621200.346414,104225,15237,1,SA,1,100,0.000219
1752621200.680417,104559,15309,1,SA,1,100,0.000505
1752621200.946419,104825,15329,1,SA,1,100,0.000186
1752621201.146421,105025,15364,1,SA,1,100,0.000244
1752621201.346423,105225,15431,1,SA,1,100,0.000519
1752621201.679426,105558,15534,1,SA,1,100,0.001201
1752621202.546433,106425,15635,1,SA,1,100,0.000517
1752621203.013437,106892,15740,1,SA,1,100,0.000999
1752621203.479441,107358,15758,1,SA,1,100,0.000263
1752621203.812444,107691,15859,1,SA,1,100,0.001097
1752621204.279448,108158,15897,1,SA,1,100,0.000137
1752621204.612450,108491,15997,1,SA,1,100,0.000960
1752621205.079454,108958,16033,1,SA,1,100,0.000201
1752621205.412457,109291,16119,1,SA,1,100,0.000616
1752621205.879461,109758,16174,1,SA,1,100,0.000228
1752621206.079463,109958,16225,1,SA,1,100,0.000616
1752621206.412466,110291,16263,1,SA,1,100,0.000190
1752621206.745468,110624,16364,1,SA,1,100,0.000680
1752621207.145472,111024,16399,1,SA,1,100,0.000451
1752621207.679476,111558,16485,1,SA,1,100,0.000203
1752621207.879478,111758,16520,1,SA,1,100,0.000139
1752621208.345482,112224,16655,1,SA,1,100,0.001277
