LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752621168.157142,72036.000,9793,1,TH,1,100,34.621
1752621168.291143,72170.000,9827,1,TH,1,100,34.628
1752621168.424144,72303.000,9845,1,TH,1,100,34.710
1752621168.557145,72436.000,9862,1,TH,1,100,34.710
1752621168.691146,72570.000,9894,1,TH,1,100,34.687
1752621168.824147,72703.000,9910,1,TH,1,100,34.695
1752621168.957148,72836.000,9927,1,TH,1,100,34.769
1752621169.090150,72969.000,9961,1,TH,1,100,34.769
1752621169.224151,73103.000,9977,1,TH,1,100,34.734
1752621169.357152,73236.000,9995,1,TH,1,100,34.742
1752621169.491153,73370.000,10026,1,TH,1,100,34.719
1752621169.624154,73503.000,10042,1,TH,1,100,34.719
1752621169.757155,73636.000,10060,1,TH,1,100,34.669
1752621169.890156,73769.000,10095,1,TH,1,100,34.676
1752621170.024157,73903.000,10112,1,TH,1,100,34.778
1752621170.157159,74036.000,10134,1,TH,1,100,34.778
1752621170.290160,74169.000,10150,1,TH,1,100,34.740
1752621170.424161,74303.000,10184,1,TH,1,100,34.747
1752621170.557162,74436.000,10203,1,TH,1,100,34.725
1752621170.690163,74569.000,10220,1,TH,1,100,34.725
1752621170.824164,74703.000,10251,1,TH,1,100,34.737
1752621170.957165,74836.000,10270,1,TH,1,100,34.737
1752621171.090166,74969.000,10287,1,TH,1,100,34.796
1752621171.224168,75103.000,10318,1,TH,1,100,34.803
1752621171.357169,75236.000,10336,1,TH,1,100,34.762
1752621171.490170,75369.000,10352,1,TH,1,100,34.769
1752621171.624171,75503.000,10384,1,TH,1,100,34.862
1752621171.757172,75636.000,10403,1,TH,1,100,34.862
1752621171.890173,75769.000,10419,1,TH,1,100,34.795
1752621172.023174,75902.000,10451,1,TH,1,100,34.795
1752621172.157175,76036.000,10470,1,TH,1,100,34.859
1752621172.290177,76169.000,10488,1,TH,1,100,34.867
1752621172.423178,76302.000,10522,1,TH,1,100,34.877
1752621172.557179,76436.000,10539,1,TH,1,100,34.877
1752621172.690180,76569.000,10558,1,TH,1,100,34.814
1752621172.823181,76702.000,10575,1,TH,1,100,34.821
1752621172.957182,76836.000,10609,1,TH,1,100,34.838
1752621173.090183,76969.000,10627,1,TH,1,100,34.838
1752621173.223185,77102.000,10644,1,TH,1,100,34.826
1752621173.357186,77236.000,10676,1,TH,1,100,34.833
1752621173.490187,77369.000,10694,1,TH,1,100,34.831
1752621173.623188,77502.000,10711,1,TH,1,100,34.831
1752621173.757189,77636.000,10743,1,TH,1,100,34.897
1752621173.890190,77769.000,10759,1,TH,1,100,34.897
1752621174.023191,77902.000,10777,1,TH,1,100,34.897
1752621174.157192,78036.000,10810,1,TH,1,100,34.904
1752621174.290194,78169.000,10826,1,TH,1,100,34.795
1752621174.423195,78302.000,10844,1,TH,1,100,34.795
1752621174.557196,78436.000,10877,1,TH,1,100,34.938
1752621174.690197,78569.000,10894,1,TH,1,100,34.946
1752621174.823198,78702.000,10911,1,TH,1,100,34.844
1752621174.957199,78836.000,10929,1,TH,1,100,34.844
1752621175.090200,78969.000,10963,1,TH,1,100,34.814
1752621175.223701,79102.500,10986,2,TH,1,100,34.821
1752621175.357203,79236.000,10986,2,TH,1,100,34.900
1752621175.490204,79369.000,11017,1,TH,1,100,34.900
1752621175.623205,79502.000,11034,1,TH,1,100,34.912
1752621175.756206,79635.000,11055,1,TH,1,100,34.920
1752621175.890207,79769.000,11086,1,TH,1,100,34.934
1752621176.023208,79902.000,11104,1,TH,1,100,34.934
1752621176.156209,80035.000,11120,1,TH,1,100,34.944
1752621176.290210,80169.000,11156,1,TH,1,100,34.952
1752621176.423212,80302.000,11173,1,TH,1,100,34.919
1752621176.556213,80435.000,11191,1,TH,1,100,34.919
1752621176.690214,80569.000,11223,1,TH,1,100,34.959
1752621176.823215,80702.000,11240,1,TH,1,100,34.959
1752621176.956216,80835.000,11256,1,TH,1,100,34.971
1752621177.090217,80969.000,11290,1,TH,1,100,34.978
1752621177.223218,81102.000,11307,1,TH,1,100,34.945
1752621177.356220,81235.000,11324,1,TH,1,100,34.945
1752621177.490221,81369.000,11341,1,TH,1,100,34.906
1752621177.623222,81502.000,11375,1,TH,1,100,34.913
1752621177.756223,81635.000,11391,1,TH,1,100,34.960
1752621177.890224,81769.000,11410,1,TH,1,100,34.960
1752621178.023225,81902.000,11444,1,TH,1,100,34.895
1752621178.156226,82035.000,11460,1,TH,1,100,34.902
1752621178.290227,82169.000,11477,1,TH,1,100,34.967
1752621178.423229,82302.000,11511,1,TH,1,100,34.967
1752621178.556230,82435.000,11529,1,TH,1,100,35.023
1752621178.689231,82568.000,11547,1,TH,1,100,35.023
1752621178.823232,82702.000,11580,1,TH,1,100,35.080
1752621178.956233,82835.000,11596,1,TH,1,100,35.087
1752621179.089234,82968.000,11614,1,TH,1,100,34.948
