RD,TS_received,TS_sent,AK,RoundTrip,
74022,74030,2025-07-15_19-12-50-146249,74031,8,
79129,84238,2025-07-15_19-12-55-263685,84242,5109,
84245,84262,2025-07-15_19-13-00-370364,84263,17,
89350,89403,2025-07-15_19-13-05-480163,89404,53,
94457,94469,2025-07-15_19-13-10-583099,94470,12,
99566,99580,2025-07-15_19-13-15-692449,99582,14,
104694,104721,2025-07-15_19-13-20-819251,104722,27,
109801,109815,2025-07-15_19-13-25-931710,109816,14,
114948,114991,2025-07-15_19-13-31-073216,114992,43,
120055,125175,2025-07-15_19-13-36-181627,125177,5120,
125180,125190,2025-07-15_19-13-41-305064,125192,10,
130286,130304,2025-07-15_19-13-46-418925,130306,18,
135427,135451,2025-07-15_19-13-51-553183,135452,24,
140536,140545,2025-07-15_19-13-56-660650,140546,9,
145679,145693,2025-07-15_19-14-01-810463,145694,14,
150786,150798,2025-07-15_19-14-06-914223,150801,12,
155902,155915,2025-07-15_19-14-12-027956,155916,13,
161002,161036,2025-07-15_19-14-17-138523,161037,34,
166110,171229,2025-07-15_19-14-22-237042,171230,5119,
171237,171247,2025-07-15_19-14-27-362395,171248,10,
176334,176341,2025-07-15_19-14-32-459525,176343,7,
181442,181451,2025-07-15_19-14-37-568888,181452,9,
186565,186573,2025-07-15_19-14-42-690604,186574,8,
191666,191675,2025-07-15_19-14-47-792078,191676,9,
196774,196794,2025-07-15_19-14-52-913381,196798,20,
201914,201937,2025-07-15_19-14-58-039472,201938,23,
207022,207033,2025-07-15_19-15-03-149587,207035,11,
212159,0,,212222,-212159,
217278,217300,2025-07-15_19-15-13-417836,217302,22,
222412,222428,2025-07-15_19-15-18-541123,222429,16,
227535,227541,2025-07-15_19-15-23-660201,227542,6,
232655,232664,2025-07-15_19-15-28-781630,232668,9,
237777,237796,2025-07-15_19-15-33-903103,237800,19,
242889,242935,2025-07-15_19-15-39-019525,242936,46,
248013,248026,2025-07-15_19-15-44-141947,248027,13,
253138,258270,2025-07-15_19-15-49-264741,258271,5132,
258274,258293,2025-07-15_19-15-54-406833,258294,19,
