LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752789134.729002,101848.000,14611,1,B%,1,100,86
1752789139.728018,106847.000,15447,1,B%,1,100,86
1752789144.728033,111847.000,16303,1,B%,1,100,86
1752789149.727049,116846.000,17143,1,B%,1,100,86
1752789154.727064,121846.000,17959,1,B%,1,100,86
1752789159.726080,126845.000,18823,1,B%,1,100,86
1752789164.726095,131845.000,19669,1,B%,1,100,86
1752789169.725111,136844.000,20511,1,B%,1,100,86
1752789174.725127,141844.000,21357,1,B%,1,100,86
1752789179.724142,146843.000,22219,1,B%,1,100,86
1752789184.724158,151843.000,23064,1,B%,1,100,87
1752789189.723173,156842.000,23914,1,B%,1,100,87
1752789194.723189,161842.000,24762,1,B%,1,100,87
1752789199.722205,166841.000,25620,1,B%,1,100,87
1752789204.722220,171841.000,26472,1,B%,1,100,87
1752789209.721236,176840.000,27317,1,B%,1,100,87
1752789214.721251,181840.000,28152,1,B%,1,100,88
1752789219.720267,186839.000,28991,1,B%,1,100,88
1752789224.720283,191839.000,29830,1,B%,1,100,88
1752789229.719298,196838.000,30654,1,B%,1,100,88
1752789234.719314,201838.000,31524,1,B%,1,100,88
1752789239.718329,206837.000,32369,1,B%,1,100,88
1752789244.718345,211837.000,33206,1,B%,1,100,87
1752789249.717361,216836.000,34058,1,B%,1,100,88
1752789254.717376,221836.000,34906,1,B%,1,100,88
1752789259.716392,226835.000,35749,1,B%,1,100,88
1752789264.716407,231835.000,36584,1,B%,1,100,89
1752789269.715423,236834.000,37428,1,B%,1,100,88
1752789274.715438,241834.000,38278,1,B%,1,100,89
1752789279.714454,246833.000,39124,1,B%,1,100,89
1752789284.714470,251833.000,39975,1,B%,1,100,88
1752789289.713485,256832.000,40829,1,B%,1,100,89
1752789294.713501,261832.000,41666,1,B%,1,100,89
1752789299.712516,266831.000,42513,1,B%,1,100,89
1752789304.712532,271831.000,43366,1,B%,1,100,89
1752789309.711548,276830.000,44217,1,B%,1,100,89
1752789314.711563,281830.000,45065,1,B%,1,100,89
1752789319.710579,286829.000,45914,1,B%,1,100,89
1752789324.710594,291829.000,46749,1,B%,1,100,89
1752789329.709610,296828.000,47599,1,B%,1,100,89
1752789334.709626,301828.000,48449,1,B%,1,100,89
1752789339.708641,306827.000,49295,1,B%,1,100,90
1752789344.708657,311827.000,50148,1,B%,1,100,90
1752789349.707672,316826.000,50784,1,B%,1,100,89
1752789354.707688,321826.000,51635,1,B%,1,100,90
1752789359.706703,326825.000,52467,1,B%,1,100,90
1752789364.706719,331825.000,53313,1,B%,1,100,90
1752789369.705735,336824.000,54137,1,B%,1,100,90
1752789374.705750,341824.000,54991,1,B%,1,100,90
1752789379.704766,346823.000,55845,1,B%,1,100,90
1752789384.704781,351823.000,56691,1,B%,1,100,90
1752789389.703797,356822.000,57539,1,B%,1,100,90
1752789394.703813,361822.000,58361,1,B%,1,100,90
1752789399.702828,366821.000,59208,1,B%,1,100,91
1752789404.702844,371821.000,60057,1,B%,1,100,91
1752789409.701859,376820.000,60902,1,B%,1,100,90
1752789414.701875,381820.000,61752,1,B%,1,100,91
1752789419.700891,386819.000,62587,1,B%,1,100,91
1752789424.700906,391819.000,63421,1,B%,1,100,91
1752789429.699922,396818.000,64259,1,B%,1,100,91
1752789434.699937,401818.000,65086,1,B%,1,100,91
1752789439.698953,406817.000,371,1,B%,1,100,91
1752789444.698968,411817.000,1201,1,B%,1,100,92
1752789449.697984,416816.000,2049,1,B%,1,100,92
1752789454.698000,421816.000,2873,1,B%,1,100,91
1752789459.697015,426815.000,3703,1,B%,1,100,92
1752789464.696031,431814.000,4197,1,B%,1,100,92
1752789469.696046,436814.000,4922,1,B%,1,100,92
1752789474.696062,441814.000,5746,1,B%,1,100,92
1752789479.695078,446813.000,6568,1,B%,1,100,92
1752789484.695093,451813.000,7410,1,B%,1,100,92
1752789489.694109,456812.000,8232,1,B%,1,100,93
1752789494.694124,461812.000,9056,1,B%,1,100,93
1752789499.693140,466811.000,9896,1,B%,1,100,93
1752789504.693156,471811.000,10720,1,B%,1,100,93
1752789509.692171,476810.000,11543,1,B%,1,100,93
1752789514.692187,481810.000,12372,1,B%,1,100,93
1752789519.691202,486809.000,13194,1,B%,1,100,93
1752789524.691218,491809.000,14019,1,B%,1,100,94
1752789529.690234,496808.000,14843,1,B%,1,100,93
1752789534.690249,501808.000,15667,1,B%,1,100,93
1752789539.689265,506807.000,16511,1,B%,1,100,93
1752789544.689280,511807.000,17335,1,B%,1,100,94
1752789549.688296,516806.000,18160,1,B%,1,100,94
1752789554.688311,521806.000,18983,1,B%,1,100,94
1752789559.687327,526805.000,19808,1,B%,1,100,94
1752789564.687343,531805.000,20648,1,B%,1,100,94
1752789569.686358,536804.000,21470,1,B%,1,100,94
1752789574.686374,541804.000,22293,1,B%,1,100,94
1752789579.685389,546803.000,23120,1,B%,1,100,94
1752789584.685405,551803.000,23944,1,B%,1,100,94
1752789589.684421,556802.000,24769,1,B%,1,100,94
1752789594.684436,561802.000,25588,1,B%,1,100,94
1752789599.683452,566801.000,26430,1,B%,1,100,95
1752789604.683467,571801.000,27239,1,B%,1,100,94
1752789609.682483,576800.000,28063,1,B%,1,100,95
1752789614.682499,581800.000,28887,1,B%,1,100,95
1752789619.681514,586799.000,29729,1,B%,1,100,96
1752789624.681530,591799.000,30555,1,B%,1,100,95
1752789629.680545,596798.000,31378,1,B%,1,100,96
1752789634.680561,601798.000,32199,1,B%,1,100,95
1752789639.679576,606797.000,33023,1,B%,1,100,95
1752789644.679592,611797.000,33848,1,B%,1,100,96
1752789649.678608,616796.000,34671,1,B%,1,100,96
1752789654.678623,621796.000,35491,1,B%,1,100,96
1752789659.677639,626795.000,36314,1,B%,1,100,96
1752789664.677654,631795.000,37138,1,B%,1,100,96
1752789669.676670,636794.000,37945,1,B%,1,100,96
1752789674.676686,641794.000,38565,1,B%,1,100,96
1752789679.675701,646793.000,39391,1,B%,1,100,97
1752789684.675717,651793.000,40217,1,B%,1,100,96
1752789689.674732,656792.000,41042,1,B%,1,100,97
1752789694.674748,661792.000,41865,1,B%,1,100,97
1752789699.673764,666791.000,42676,1,B%,1,100,97
1752789704.673779,671791.000,43501,1,B%,1,100,97
1752789709.672795,676790.000,44324,1,B%,1,100,97
1752789714.672810,681790.000,45156,1,B%,1,100,97
1752789719.671826,686789.000,45977,1,B%,1,100,97
1752789724.671841,691789.000,46789,1,B%,1,100,97
1752789729.670857,696788.000,47615,1,B%,1,100,97
1752789734.670873,701788.000,48441,1,B%,1,100,97
1752789739.669888,706787.000,49265,1,B%,1,100,97
1752789744.669904,711787.000,50090,1,B%,1,100,97
1752789749.668919,716786.000,50897,1,B%,1,100,98
1752789754.668935,721786.000,51721,1,B%,1,100,98
1752789759.667951,726785.000,52553,1,B%,1,100,98
1752789764.667966,731785.000,53381,1,B%,1,100,98
1752789769.666982,736784.000,54203,1,B%,1,100,98
1752789774.666997,741784.000,55029,1,B%,1,100,98
1752789779.666013,746783.000,55836,1,B%,1,100,98
1752789784.666029,751783.000,56658,1,B%,1,100,98
1752789789.665044,756782.000,57482,1,B%,1,100,99
1752789794.665060,761782.000,58304,1,B%,1,100,99
1752789799.664075,766781.000,59124,1,B%,1,100,99
1752789804.664091,771781.000,59949,1,B%,1,100,99
1752789809.663107,776780.000,60754,1,B%,1,100,99
1752789814.663122,781780.000,61577,1,B%,1,100,99
1752789819.662138,786779.000,62402,1,B%,1,100,100
1752789824.662153,791779.000,63228,1,B%,1,100,99
1752789829.661169,796778.000,64051,1,B%,1,100,99
1752789834.661184,801778.000,64860,1,B%,1,100,99
1752789839.660200,806777.000,148,1,B%,1,100,99
1752789844.660216,811777.000,971,1,B%,1,100,100
1752789849.659231,816776.000,1809,1,B%,1,100,100
1752789854.659247,821776.000,2633,1,B%,1,100,100
1752789859.658262,826775.000,3456,1,B%,1,100,100
1752789864.658278,831775.000,4277,1,B%,1,100,100
1752789869.657294,836774.000,5110,1,B%,1,100,100
1752789874.657309,841774.000,5935,1,B%,1,100,100
1752789879.656325,846773.000,6757,1,B%,1,100,100
1752789884.656340,851773.000,7374,1,B%,1,100,100
1752789889.655356,856772.000,8216,1,B%,1,100,100
1752789894.655372,861772.000,9040,1,B%,1,100,100
1752789899.654387,866771.000,9862,1,B%,1,100,100
1752789904.654403,871771.000,10704,1,B%,1,100,100
1752789909.653418,876770.000,11526,1,B%,1,100,100
1752789914.653434,881770.000,12351,1,B%,1,100,100
1752789919.652449,886769.000,13172,1,B%,1,100,100
1752789924.652465,891769.000,13993,1,B%,1,100,100
1752789929.651481,896768.000,14818,1,B%,1,100,100
1752789934.651496,901768.000,15659,1,B%,1,100,100
1752789939.650512,906767.000,16484,1,B%,1,100,100
1752789944.650527,911767.000,17308,1,B%,1,100,100
1752789949.649543,916766.000,18130,1,B%,1,100,100
1752789954.649559,921766.000,18970,1,B%,1,100,100
1752789959.648574,926765.000,19775,1,B%,1,100,100
1752789964.648590,931765.000,20597,1,B%,1,100,100
1752789969.647605,936764.000,21419,1,B%,1,100,100
1752789974.647621,941764.000,22245,1,B%,1,100,100
1752789979.646637,946763.000,23053,1,B%,1,100,100
1752789984.646652,951763.000,23895,1,B%,1,100,100
1752789989.645668,956762.000,24719,1,B%,1,100,100
1752789994.645683,961762.000,25544,1,B%,1,100,100
1752789999.644699,966761.000,26365,1,B%,1,100,100
1752790004.644715,971761.000,27205,1,B%,1,100,100
1752790009.643730,976760.000,28030,1,B%,1,100,100
1752790014.643746,981760.000,28852,1,B%,1,100,100
1752790019.642761,986759.000,29678,1,B%,1,100,100
1752790024.642777,991759.000,30520,1,B%,1,100,100
1752790029.641792,996758.000,31342,1,B%,1,100,100
1752790034.641808,1001758.000,32164,1,B%,1,100,100
1752790039.640824,1006757.000,32990,1,B%,1,100,100
1752790044.640839,1011757.000,33818,1,B%,1,100,100
1752790049.639855,1016756.000,34643,1,B%,1,100,100
