LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1752789131.803993,98923,14098,1,HR,1,100,97.29
1752789132.443995,99563,14201,1,HR,1,100,96.50
1752789133.083997,100203,14325,1,HR,1,100,95.89
1752789133.763999,100883,14424,1,HR,1,100,94.19
1752789134.324001,101443,14525,1,HR,1,100,97.07
1752789134.924003,102043,14628,1,HR,1,100,97.72
1752789135.617005,102736,14748,1,HR,1,100,95.61
1752789136.177006,103296,14832,1,HR,1,100,98.17
1752789136.777008,103896,14932,1,HR,1,100,98.58
1752789137.457010,104576,15050,1,HR,1,100,96.28
1752789138.017012,105136,15141,1,HR,1,100,98.70
1752789138.577014,105696,15242,1,HR,1,100,100.57
1752789139.177016,106296,15343,1,HR,1,100,100.45
1752789139.697017,106816,15429,1,HR,1,100,103.77
1752789140.430020,107549,15549,1,HR,1,100,99.22
1752789141.070022,108189,15653,1,HR,1,100,98.01
1752789141.710024,108829,15769,1,HR,1,100,97.06
1752789142.230025,109349,15857,1,HR,1,100,101.13
1752789142.910027,110029,15981,1,HR,1,100,98.27
1752789143.430029,110549,16065,1,HR,1,100,102.07
1752789143.950031,111069,16152,1,HR,1,100,105.03
1752789144.670033,111789,16267,1,HR,1,100,100.21
1752789145.283035,112402,16372,1,HR,1,100,100.16
1752789145.843037,112962,16475,1,HR,1,100,101.71
1752789146.443038,113562,16576,1,HR,1,100,101.33
1752789146.963040,114082,16662,1,HR,1,100,104.46
1752789147.603042,114722,16764,1,HR,1,100,102.08
1752789148.123044,115242,16853,1,HR,1,100,105.03
1752789148.683045,115802,16954,1,HR,1,100,105.50
1752789149.282047,116401,17055,1,HR,1,100,104.28
1752789149.762049,116881,17124,1,HR,1,100,108.88
1752789150.416051,117535,17244,1,HR,1,100,105.52
1752789150.976053,118095,17330,1,HR,1,100,105.88
1752789151.536054,118655,17431,1,HR,1,100,106.16
1752789152.056056,119175,17515,1,HR,1,100,108.21
1752789152.655058,119774,17619,1,HR,1,100,106.39
1752789153.215060,120334,17691,1,HR,1,100,106.55
1752789153.735061,120854,17793,1,HR,1,100,108.52
1752789154.295063,121414,17878,1,HR,1,100,108.21
1752789154.829065,121948,17961,1,HR,1,100,109.81
1752789155.429066,122548,18064,1,HR,1,100,107.63
1752789155.989068,123108,18164,1,HR,1,100,107.52
1752789156.508070,123627,18248,1,HR,1,100,109.27
1752789157.028071,124147,18335,1,HR,1,100,110.63
1752789157.548073,124667,18422,1,HR,1,100,111.68
1752789158.028075,125147,18507,1,HR,1,100,114.64
1752789158.548076,125667,18602,1,HR,1,100,114.81
1752789159.148078,126267,18704,1,HR,1,100,111.52
1752789159.588079,126707,18771,1,HR,1,100,117.04
1752789160.161081,127280,18878,1,HR,1,100,114.84
1752789160.681083,127800,18960,1,HR,1,100,114.96
1752789161.201084,128320,19048,1,HR,1,100,115.05
1752789161.641086,128760,19133,1,HR,1,100,119.79
1752789162.161087,129280,19220,1,HR,1,100,118.81
1752789162.721089,129840,19307,1,HR,1,100,116.22
1752789163.361091,130480,19411,1,HR,1,100,111.23
1752789163.921093,131040,19516,1,HR,1,100,110.32
1752789164.574095,131693,19617,1,HR,1,100,106.64
1752789165.134097,132253,19719,1,HR,1,100,106.75
1752789165.694099,132813,19808,1,HR,1,100,106.84
1752789166.254100,133373,19909,1,HR,1,100,106.90
1752789166.814102,133933,20010,1,HR,1,100,106.96
1752789167.334104,134453,20095,1,HR,1,100,108.83
1752789167.894105,135013,20179,1,HR,1,100,108.46
1752789168.454107,135573,20288,1,HR,1,100,108.16
1752789169.094109,136213,20390,1,HR,1,100,104.96
1752789169.667111,136786,20493,1,HR,1,100,105.45
1752789170.267113,137386,20598,1,HR,1,100,104.24
1752789170.827115,137946,20684,1,HR,1,100,104.88
1752789171.427116,138546,20784,1,HR,1,100,103.80
1752789172.027118,139146,20885,1,HR,1,100,102.95
1752789172.667120,139786,20986,1,HR,1,100,100.91
1752789173.227122,140346,21091,1,HR,1,100,102.29
1752789173.827124,140946,21199,1,HR,1,100,101.78
1752789174.320125,141439,21271,1,HR,1,100,106.94
1752789174.880127,141999,21377,1,HR,1,100,106.99
1752789175.400129,142519,21463,1,HR,1,100,108.85
1752789176.000131,143119,21566,1,HR,1,100,106.89
1752789176.520132,143639,21652,1,HR,1,100,108.77
1752789177.120134,144239,21756,1,HR,1,100,106.82
1752789177.640136,144759,21843,1,HR,1,100,108.73
1752789178.240138,145359,21944,1,HR,1,100,106.79
1752789178.799139,145918,22052,1,HR,1,100,106.87
1752789179.373141,146492,22135,1,HR,1,100,106.93
1752789179.973143,147092,22240,1,HR,1,100,105.39
1752789180.453145,147572,22324,1,HR,1,100,109.75
1752789181.133147,148252,22442,1,HR,1,100,104.97
1752789181.653148,148772,22528,1,HR,1,100,107.28
1752789182.172150,149291,22614,1,HR,1,100,109.08
1752789182.652151,149771,22681,1,HR,1,100,112.62
1752789183.172153,150291,22784,1,HR,1,100,113.23
1752789183.733155,150852,22875,1,HR,1,100,111.88
1752789184.306157,151425,22978,1,HR,1,100,110.83
1752789184.866158,151985,23066,1,HR,1,100,110.01
1752789185.466160,152585,23166,1,HR,1,100,107.78
1752789185.985162,153104,23253,1,HR,1,100,109.47
1752789186.585164,153704,23360,1,HR,1,100,107.37
1752789187.185166,154304,23461,1,HR,1,100,105.73
1752789187.785167,154904,23563,1,HR,1,100,104.46
1752789188.305169,155424,23649,1,HR,1,100,106.89
1752789188.825171,155944,23738,1,HR,1,100,108.77
1752789189.398172,156517,23845,1,HR,1,100,108.41
