LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752789131.828993,98948.000,14101,1,SF,1,100,51.2577
1752789132.095994,99215.000,14151,1,SF,1,100,52.7470
1752789132.428995,99548.000,14202,1,SF,1,100,52.1368
1752789132.828996,99948.000,14272,1,SF,1,100,51.5337
1752789133.095997,100215.000,14326,1,SF,1,100,53.0198
1752789133.428998,100548.000,14375,1,SF,1,100,52.4065
1752789133.762999,100882.000,14425,1,SF,1,100,51.8002
1752789134.163000,101282.000,14490,1,SF,1,100,51.2010
1752789134.429001,101548.000,14543,1,SF,1,100,50.6087
1752789134.763002,101882.000,14593,1,SF,1,100,52.1055
1752789135.163003,102282.000,14662,1,SF,1,100,51.5027
1752789135.429004,102548.000,14711,1,SF,1,100,50.9070
1752789135.762005,102881.000,14764,1,SF,1,100,52.4003
1752789136.096006,103215.000,14814,1,SF,1,100,51.7941
1752789136.496007,103615.000,14883,1,SF,1,100,53.2772
1752789136.762008,103881.000,14933,1,SF,1,100,52.6609
1752789137.096009,104215.000,14984,1,SF,1,100,54.1340
1752789137.496011,104615.000,15051,1,SF,1,100,53.5078
1752789137.762011,104881.000,15106,1,SF,1,100,52.8888
1752789138.096012,105215.000,15159,1,SF,1,100,54.3592
1752789138.429013,105548.000,15207,1,SF,1,100,53.7304
1752789138.829015,105948.000,15274,1,SF,1,100,53.1088
1752789139.095016,106214.000,15327,1,SF,1,100,54.5767
1752789139.429017,106548.000,15377,1,SF,1,100,53.9454
1752789139.829018,106948.000,15448,1,SF,1,100,55.4036
1752789140.095019,107214.000,15499,1,SF,1,100,56.8449
1752789140.429020,107548.000,15552,1,SF,1,100,58.2696
1752789140.762021,107881.000,15602,1,SF,1,100,57.5955
1752789141.162022,108281.000,15671,1,SF,1,100,59.0115
1752789141.429023,108548.000,15719,1,SF,1,100,58.3289
1752789141.762024,108881.000,15772,1,SF,1,100,59.7364
1752789142.162025,109281.000,15837,1,SF,1,100,59.0453
1752789142.428026,109547.000,15893,1,SF,1,100,62.5268
1752789142.762027,109881.000,15947,1,SF,1,100,61.8035
1752789143.095028,110214.000,15999,1,SF,1,100,63.1708
1752789143.495029,110614.000,16066,1,SF,1,100,62.4400
1752789143.762030,110881.000,16117,1,SF,1,100,61.7177
1752789144.095031,111214.000,16169,1,SF,1,100,63.0860
1752789144.495032,111614.000,16234,1,SF,1,100,62.3562
1752789144.762033,111881.000,16285,1,SF,1,100,61.6349
1752789145.095034,112214.000,16337,1,SF,1,100,63.0041
1752789145.495036,112614.000,16405,1,SF,1,100,62.2753
1752789145.828037,112947.000,16457,1,SF,1,100,63.6372
1752789146.095037,113214.000,16507,1,SF,1,100,62.9010
1752789146.428038,113547.000,16558,1,SF,1,100,64.2556
1752789146.828040,113947.000,16627,1,SF,1,100,65.5945
1752789147.095041,114214.000,16679,1,SF,1,100,64.8357
1752789147.428042,114547.000,16730,1,SF,1,100,66.1680
1752789147.828043,114947.000,16797,1,SF,1,100,65.4025
1752789148.161044,115280.000,16854,1,SF,1,100,66.7282
1752789148.428045,115547.000,16905,1,SF,1,100,65.9563
1752789148.761046,115880.000,16955,1,SF,1,100,65.1933
1752789149.161047,116280.000,17022,1,SF,1,100,66.5214
1752789149.428048,116547.000,17073,1,SF,1,100,65.7519
1752789149.761049,116880.000,17125,1,SF,1,100,67.0735
1752789150.161050,117280.000,17193,1,SF,1,100,66.2976
1752789150.428051,117547.000,17245,1,SF,1,100,65.5307
1752789150.761052,117880.000,17295,1,SF,1,100,66.8548
1752789151.094053,118213.000,17348,1,SF,1,100,68.1637
1752789151.494054,118613.000,17413,1,SF,1,100,67.3752
1752789151.761055,118880.000,17465,1,SF,1,100,66.5958
1752789152.094056,119213.000,17518,1,SF,1,100,67.9077
1752789152.494057,119613.000,17585,1,SF,1,100,69.2043
1752789152.761058,119880.000,17635,1,SF,1,100,68.4038
1752789153.094059,120213.000,17673,1,SF,1,100,67.6125
1752789153.494060,120613.000,17740,1,SF,1,100,66.8303
1752789153.761061,120880.000,17794,1,SF,1,100,68.1395
1752789154.094062,121213.000,17843,1,SF,1,100,67.3512
1752789154.427063,121546.000,17893,1,SF,1,100,66.5721
1752789154.827065,121946.000,17962,1,SF,1,100,65.8020
1752789155.094065,122213.000,18015,1,SF,1,100,67.1231
1752789155.427066,122546.000,18065,1,SF,1,100,66.3466
1752789155.827068,122946.000,18130,1,SF,1,100,65.5791
1752789156.094069,123213.000,18181,1,SF,1,100,64.8205
1752789156.427070,123546.000,18230,1,SF,1,100,64.0706
1752789156.760071,123879.000,18284,1,SF,1,100,65.4117
1752789157.160072,124279.000,18355,1,SF,1,100,68.8195
1752789157.427073,124546.000,18403,1,SF,1,100,68.0234
1752789157.760074,124879.000,18456,1,SF,1,100,69.3188
1752789158.160075,125279.000,18532,1,SF,1,100,70.5991
1752789158.427076,125546.000,18584,1,SF,1,100,71.8647
1752789158.760077,125879.000,18635,1,SF,1,100,71.0333
1752789159.093078,126212.000,18685,1,SF,1,100,72.2939
1752789159.493079,126612.000,18752,1,SF,1,100,71.4576
1752789159.760080,126879.000,18807,1,SF,1,100,72.7132
1752789160.093081,127212.000,18859,1,SF,1,100,73.9543
1752789160.493082,127612.000,18926,1,SF,1,100,73.0988
