LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1752789132.518995,99638.000,14219,1,TL,1,100,2025-07-17_17-52-07-443802
1752789132.530995,99650.000,14222,1,TL,1,100,2025-07-17_17-52-12-525999
1752789137.659011,104778.000,15084,1,TL,1,100,2025-07-17_17-52-12-562033
1752789137.672011,104791.000,15087,1,TL,1,100,2025-07-17_17-52-17-663942
1752789142.765027,109884.000,15942,1,TL,1,100,2025-07-17_17-52-17-736550
1752789142.778027,109897.000,15945,1,TL,1,100,2025-07-17_17-52-22-774076
1752789147.899043,115018.000,16814,1,TL,1,100,2025-07-17_17-52-22-807824
1752789147.951043,115070.000,16817,1,TL,1,100,2025-07-17_17-52-27-904195
1752789153.008059,120127.000,17669,1,TL,1,100,2025-07-17_17-52-27-981977
1752789158.129075,125248.000,18524,1,TL,1,100,2025-07-17_17-52-33-020629
1752789158.131075,125250.000,18526,1,TL,1,100,2025-07-17_17-52-33-140613
1752789158.144075,125263.000,18529,1,TL,1,100,2025-07-17_17-52-38-140827
1752789163.237091,130356.000,19391,1,TL,1,100,2025-07-17_17-52-38-202956
1752789163.249091,130368.000,19394,1,TL,1,100,2025-07-17_17-52-43-245252
1752789168.371107,135490.000,20262,1,TL,1,100,2025-07-17_17-52-43-278692
1752789168.402107,135521.000,20265,1,TL,1,100,2025-07-17_17-52-48-381195
1752789173.481123,140600.000,21125,1,TL,1,100,2025-07-17_17-52-48-448855
1752789173.495123,140614.000,21128,1,TL,1,100,2025-07-17_17-52-53-487887
1752789178.621139,145740.000,22009,1,TL,1,100,2025-07-17_17-52-53-529414
1752789178.636139,145755.000,22012,1,TL,1,100,2025-07-17_17-52-58-628684
1752789183.728155,150847.000,22869,1,TL,1,100,2025-07-17_17-52-58-705419
1752789183.747155,150866.000,22872,1,TL,1,100,2025-07-17_17-53-03-744150
1752789188.840171,155959.000,23732,1,TL,1,100,2025-07-17_17-53-03-787184
1752789188.853171,155972.000,23735,1,TL,1,100,2025-07-17_17-53-08-848319
1752789193.960187,161079.000,24616,1,TL,1,100,2025-07-17_17-53-08-874325
1752789193.988187,161107.000,24619,1,TL,1,100,2025-07-17_17-53-13-977070
1752789199.068203,166187.000,25479,1,TL,1,100,2025-07-17_17-53-14-044163
1752789199.079203,166198.000,25482,1,TL,1,100,2025-07-17_17-53-19-073463
1752789204.214219,171333.000,26363,1,TL,1,100,2025-07-17_17-53-19-118373
1752789204.226219,171345.000,26366,1,TL,1,100,2025-07-17_17-53-24-221948
1752789209.322235,176441.000,27225,1,TL,1,100,2025-07-17_17-53-24-290221
1752789209.332235,176451.000,27228,1,TL,1,100,2025-07-17_17-53-29-327652
1752789214.468251,181587.000,28093,1,TL,1,100,2025-07-17_17-53-29-365258
1752789214.483251,181602.000,28096,1,TL,1,100,2025-07-17_17-53-34-480070
1752789219.575267,186694.000,28950,1,TL,1,100,2025-07-17_17-53-34-544551
1752789224.690282,191809.000,29804,1,TL,1,100,2025-07-17_17-53-39-588910
1752789224.693282,191812.000,29806,1,TL,1,100,2025-07-17_17-53-39-714304
1752789224.716283,191835.000,29809,1,TL,1,100,2025-07-17_17-53-44-701490
1752789229.798298,196917.000,30656,1,TL,1,100,2025-07-17_17-53-44-785165
1752789229.809298,196928.000,30659,1,TL,1,100,2025-07-17_17-53-49-804426
1752789234.936314,202055.000,31542,1,TL,1,100,2025-07-17_17-53-49-852797
1752789234.956314,202075.000,31545,1,TL,1,100,2025-07-17_17-53-54-949800
1752789240.043330,207162.000,32405,1,TL,1,100,2025-07-17_17-53-55-023339
1752789245.176346,212295.000,33277,1,TL,1,100,2025-07-17_17-54-00-054238
1752789245.182346,212301.000,33279,1,TL,1,100,2025-07-17_17-54-00-180051
1752789245.193346,212312.000,33282,1,TL,1,100,2025-07-17_17-54-05-186834
1752789250.301362,217420.000,34144,1,TL,1,100,2025-07-17_17-54-05-321949
1752789250.314362,217433.000,34147,1,TL,1,100,2025-07-17_17-54-10-307527
1752789255.420378,222539.000,35009,1,TL,1,100,2025-07-17_17-54-10-439195
1752789255.447378,222566.000,35012,1,TL,1,100,2025-07-17_17-54-15-430402
1752789260.556394,227675.000,35871,1,TL,1,100,2025-07-17_17-54-15-564089
1752789260.585394,227704.000,35874,1,TL,1,100,2025-07-17_17-54-20-565062
1752789265.664410,232783.000,36738,1,TL,1,100,2025-07-17_17-54-20-688595
1752789265.674410,232793.000,36741,1,TL,1,100,2025-07-17_17-54-25-670205
1752789270.782426,237901.000,37599,1,TL,1,100,2025-07-17_17-54-25-802856
1752789270.793426,237912.000,37602,1,TL,1,100,2025-07-17_17-54-30-788597
1752789275.901442,243020.000,38465,1,TL,1,100,2025-07-17_17-54-30-922164
1752789275.911442,243030.000,38468,1,TL,1,100,2025-07-17_17-54-35-906301
1752789281.018458,248137.000,39328,1,TL,1,100,2025-07-17_17-54-36-026912
1752789281.031458,248150.000,39331,1,TL,1,100,2025-07-17_17-54-41-022914
1752789286.141474,253260.000,40204,1,TL,1,100,2025-07-17_17-54-41-154753
1752789286.172474,253291.000,40207,1,TL,1,100,2025-07-17_17-54-46-157111
1752789291.260490,258379.000,41071,1,TL,1,100,2025-07-17_17-54-46-268952
1752789291.271490,258390.000,41074,1,TL,1,100,2025-07-17_17-54-51-267074
1752789296.369506,263488.000,41940,1,TL,1,100,2025-07-17_17-54-51-390878
1752789296.378506,263497.000,41943,1,TL,1,100,2025-07-17_17-54-56-375006
