LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1752172667.492822,273033.000,43320,2,RD,1,100,TL
1752172667.492822,273033.000,43320,2,RD,1,100,TU
1752172670.049843,275590.000,44185,2,RD,1,100,TL
1752172672.606863,278147.000,44185,2,RD,1,100,TU
1752172675.166384,280706.500,45038,2,RD,1,100,TL
1752172677.725905,283266.000,45038,2,RD,1,100,TU
1752172680.281926,285822.000,45905,2,RD,1,100,TL
1752172682.837947,288378.000,45905,2,RD,1,100,TU
1752172685.398467,290938.500,46776,2,RD,1,100,TL
1752172687.958988,293499.000,46776,2,RD,1,100,TU
1752172690.523509,296063.500,47650,2,RD,1,100,TL
1752172693.088030,298628.000,47650,2,RD,1,100,TU
1752172695.642551,301182.500,48517,2,RD,1,100,TL
1752172698.197071,303737.000,48517,2,RD,1,100,TU
1752172700.756592,306296.500,49380,2,RD,1,100,TL
1752172703.316113,308856.000,49380,2,RD,1,100,TU
1752172705.869634,311409.500,50244,2,RD,1,100,TL
1752172708.423155,313963.000,50244,2,RD,1,100,TU
1752172710.986175,316526.000,51111,2,RD,1,100,TL
1752172713.549196,319089.000,51111,2,RD,1,100,TU
1752172716.109217,321649.000,51978,2,RD,1,100,TL
1752172718.669238,324209.000,51978,2,RD,1,100,TU
1752172721.229259,326769.000,52846,2,RD,1,100,TL
1752172723.789280,329329.000,52846,2,RD,1,100,TU
1752172726.348800,331888.500,53711,2,RD,1,100,TL
1752172728.908321,334448.000,53711,2,RD,1,100,TU
1752172731.470342,337010.000,54568,2,RD,1,100,TL
1752172734.032363,339572.000,54568,2,RD,1,100,TU
1752172736.590384,342130.000,55426,2,RD,1,100,TL
1752172739.148405,344688.000,55426,2,RD,1,100,TU
1752172741.712925,347252.500,56266,2,RD,1,100,TL
1752172744.277446,349817.000,56266,2,RD,1,100,TU
1752172746.833467,352373.000,57105,2,RD,1,100,TL
1752172749.389488,354929.000,57105,2,RD,1,100,TU
1752172751.943509,357483.000,57884,2,RD,1,100,TL
1752172754.497529,360037.000,57884,2,RD,1,100,TU
1752172757.055050,362594.500,58727,2,RD,1,100,TL
1752172759.612571,365152.000,58727,2,RD,1,100,TU
1752172762.167592,367707.000,59570,2,RD,1,100,TL
1752172764.722613,370262.000,59570,2,RD,1,100,TU
1752172767.283633,372823.000,60420,2,RD,1,100,TL
1752172769.844654,375384.000,60420,2,RD,1,100,TU
1752172772.401175,377940.500,61263,2,RD,1,100,TL
1752172774.957696,380497.000,61263,2,RD,1,100,TU
1752172777.511717,383051.000,62112,2,RD,1,100,TL
1752172780.065737,385605.000,62112,2,RD,1,100,TU
1752172782.623758,388163.000,62960,2,RD,1,100,TL
1752172785.181779,390721.000,62960,2,RD,1,100,TU
1752172787.741800,393281.000,63800,2,RD,1,100,TL
1752172790.301821,395841.000,63800,2,RD,1,100,TU
1752172792.861841,398401.000,64640,2,RD,1,100,TL
1752172795.421862,400961.000,64640,2,RD,1,100,TU
1752172797.982883,403522.000,65483,2,RD,1,100,TL
1752172800.543904,406083.000,65483,2,RD,1,100,TU
1752172803.099425,408638.500,792,2,RD,1,100,TL
1752172805.654946,411194.000,792,2,RD,1,100,TU
1752172808.209966,413749.000,1633,2,RD,1,100,TL
1752172810.764987,416304.000,1633,2,RD,1,100,TU
1752172813.320008,418859.000,2476,2,RD,1,100,TL
1752172815.875029,421414.000,2476,2,RD,1,100,TU
1752172818.429549,423968.500,3315,2,RD,1,100,TL
1752172820.984070,426523.000,3315,2,RD,1,100,TU
1752172823.537591,429076.500,4156,2,RD,1,100,TL
1752172826.091112,431630.000,4156,2,RD,1,100,TU
1752172828.661633,434200.500,5014,2,RD,1,100,TL
1752172831.232154,436771.000,5014,2,RD,1,100,TU
1752172833.785174,439324.000,5856,2,RD,1,100,TL
1752172836.338195,441877.000,5856,2,RD,1,100,TU
1752172838.907216,444446.000,6716,2,RD,1,100,TL
1752172841.476237,447015.000,6716,2,RD,1,100,TU
