LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1752617372.278581,286888.000,44510,1,AX,1,100,0.941
1752617372.318248,286927.667,44535,3,AX,1,100,0.938
1752617372.357914,286967.333,44535,3,AX,1,100,0.942
1752617372.397581,287007.000,44535,3,AX,1,100,0.936
1752617372.437914,287047.333,44552,3,AX,1,100,0.948
1752617372.478247,287087.667,44552,3,AX,1,100,0.938
1752617372.518580,287128.000,44552,3,AX,1,100,0.939
1752617372.558247,287167.667,44569,3,AX,1,100,0.947
1752617372.597913,287207.333,44569,3,AX,1,100,0.945
1752617372.637580,287247.000,44569,3,AX,1,100,0.935
1752617372.677580,287287.000,44586,2,AX,1,100,0.944
1752617372.717580,287327.000,44586,2,AX,1,100,0.946
1752617372.757579,287367.000,44600,3,AX,1,100,0.936
1752617372.797579,287407.000,44600,3,AX,1,100,0.944
1752617372.837579,287447.000,44600,3,AX,1,100,0.943
1752617372.877579,287487.000,44618,2,AX,1,100,0.945
1752617372.917579,287527.000,44618,2,AX,1,100,0.939
1752617372.957579,287567.000,44634,3,AX,1,100,0.939
1752617372.997579,287607.000,44634,3,AX,1,100,0.938
1752617373.037578,287647.000,44634,3,AX,1,100,0.932
1752617373.077578,287687.000,44651,2,AX,1,100,0.939
1752617373.117578,287727.000,44651,2,AX,1,100,0.934
1752617373.157911,287767.333,44665,3,AX,1,100,0.941
1752617373.198245,287807.667,44665,3,AX,1,100,0.943
1752617373.238578,287848.000,44665,3,AX,1,100,0.937
1752617373.278078,287887.500,44683,2,AX,1,100,0.946
1752617373.317577,287927.000,44683,2,AX,1,100,0.933
1752617373.357577,287967.000,44699,3,AX,1,100,0.936
1752617373.397577,288007.000,44699,3,AX,1,100,0.940
1752617373.437577,288047.000,44699,3,AX,1,100,0.931
1752617373.477577,288087.000,44716,2,AX,1,100,0.934
1752617373.517577,288127.000,44716,2,AX,1,100,0.948
1752617373.557577,288167.000,44731,3,AX,1,100,0.935
1752617373.597577,288207.000,44731,3,AX,1,100,0.943
1752617373.637576,288247.000,44731,3,AX,1,100,0.935
1752617373.677576,288287.000,44748,2,AX,1,100,0.940
1752617373.717576,288327.000,44748,2,AX,1,100,0.945
1752617373.757576,288367.000,44766,3,AX,1,100,0.946
1752617373.797576,288407.000,44766,3,AX,1,100,0.949
1752617373.837576,288447.000,44766,3,AX,1,100,0.957
1752617373.877576,288487.000,44784,2,AX,1,100,0.949
1752617373.917575,288527.000,44784,2,AX,1,100,0.952
1752617373.957575,288567.000,44798,3,AX,1,100,0.955
1752617373.997575,288607.000,44798,3,AX,1,100,0.932
1752617374.037575,288647.000,44798,3,AX,1,100,0.934
1752617374.077908,288687.333,44815,3,AX,1,100,0.939
1752617374.118241,288727.667,44815,3,AX,1,100,0.934
1752617374.158575,288768.000,44815,3,AX,1,100,0.942
1752617374.198574,288808.000,44831,2,AX,1,100,0.943
1752617374.238574,288848.000,44831,2,AX,1,100,0.937
1752617374.278574,288888.000,44849,3,AX,1,100,0.949
1752617374.318574,288928.000,44849,3,AX,1,100,0.941
1752617374.358574,288968.000,44849,3,AX,1,100,0.931
1752617374.398574,289008.000,44864,2,AX,1,100,0.937
1752617374.438574,289048.000,44864,2,AX,1,100,0.933
1752617374.478573,289088.000,44882,3,AX,1,100,0.940
1752617374.518573,289128.000,44882,3,AX,1,100,0.947
1752617374.558573,289168.000,44882,3,AX,1,100,0.943
1752617374.598573,289208.000,44899,2,AX,1,100,0.946
1752617374.638573,289248.000,44899,2,AX,1,100,0.945
1752617374.678573,289288.000,44916,3,AX,1,100,0.939
1752617374.718573,289328.000,44916,3,AX,1,100,0.942
1752617374.758572,289368.000,44916,3,AX,1,100,0.943
1752617374.798572,289408.000,44932,2,AX,1,100,0.937
1752617374.838572,289448.000,44932,2,AX,1,100,0.939
1752617374.878572,289488.000,44948,3,AX,1,100,0.941
1752617374.918572,289528.000,44948,3,AX,1,100,0.946
1752617374.958572,289568.000,44948,3,AX,1,100,0.953
1752617374.998572,289608.000,44964,2,AX,1,100,0.938
1752617375.038571,289648.000,44964,2,AX,1,100,0.930
1752617375.078571,289688.000,44983,3,AX,1,100,0.941
1752617375.118571,289728.000,44983,3,AX,1,100,0.937
1752617375.158571,289768.000,44983,3,AX,1,100,0.936
1752617375.198571,289808.000,45000,2,AX,1,100,0.951
1752617375.238571,289848.000,45000,2,AX,1,100,0.940
1752617375.278571,289888.000,45015,3,AX,1,100,0.945
1752617375.318570,289928.000,45015,3,AX,1,100,0.936
1752617375.358570,289968.000,45015,3,AX,1,100,0.939
1752617375.398570,290008.000,45031,3,AX,1,100,0.945
1752617375.438570,290048.000,45031,3,AX,1,100,0.940
1752617375.478570,290088.000,45031,3,AX,1,100,0.939
1752617375.518570,290128.000,45048,2,AX,1,100,0.946
1752617375.558570,290168.000,45048,2,AX,1,100,0.943
1752617375.598570,290208.000,45065,3,AX,1,100,0.941
1752617375.638569,290248.000,45065,3,AX,1,100,0.941
1752617375.678569,290288.000,45065,3,AX,1,100,0.935
1752617375.718569,290328.000,45080,2,AX,1,100,0.943
1752617375.758569,290368.000,45080,2,AX,1,100,0.941
1752617375.793902,290403.333,45096,3,AX,1,100,0.944
1752617375.829235,290438.667,45096,3,AX,1,100,0.942
1752617375.864569,290474.000,45096,3,AX,1,100,0.948
1752617375.904568,290514.000,45114,3,AX,1,100,0.940
1752617375.944568,290554.000,45114,3,AX,1,100,0.937
1752617375.984568,290594.000,45114,3,AX,1,100,0.943
1752617376.024568,290634.000,45130,2,AX,1,100,0.943
1752617376.064568,290674.000,45130,2,AX,1,100,0.937
1752617376.104568,290714.000,45145,3,AX,1,100,0.943
1752617376.144568,290754.000,45145,3,AX,1,100,0.940
1752617376.184567,290794.000,45145,3,AX,1,100,0.949
1752617376.224567,290834.000,45164,2,AX,1,100,0.943
1752617376.264567,290874.000,45164,2,AX,1,100,0.937
1752617376.304567,290914.000,45181,3,AX,1,100,0.942
1752617376.344567,290954.000,45181,3,AX,1,100,0.940
1752617376.384567,290994.000,45181,3,AX,1,100,0.940
1752617376.424567,291034.000,45197,2,AX,1,100,0.947
1752617376.464566,291074.000,45197,2,AX,1,100,0.940
1752617376.504566,291114.000,45213,3,AX,1,100,0.944
1752617376.544566,291154.000,45213,3,AX,1,100,0.944
1752617376.584566,291194.000,45213,3,AX,1,100,0.934
1752617376.624566,291234.000,45229,2,AX,1,100,0.946
1752617376.664566,291274.000,45229,2,AX,1,100,0.939
1752617376.704566,291314.000,45246,3,AX,1,100,0.943
1752617376.744566,291354.000,45246,3,AX,1,100,0.938
1752617376.784565,291394.000,45246,3,AX,1,100,0.940
1752617376.824565,291434.000,45264,2,AX,1,100,0.943
1752617376.864565,291474.000,45264,2,AX,1,100,0.943
1752617376.904565,291514.000,45281,3,AX,1,100,0.946
1752617376.944565,291554.000,45281,3,AX,1,100,0.947
1752617376.984565,291594.000,45281,3,AX,1,100,0.943
1752617377.024565,291634.000,45296,2,AX,1,100,0.941
1752617377.064564,291674.000,45296,2,AX,1,100,0.943
1752617377.104564,291714.000,45313,3,AX,1,100,0.941
1752617377.144564,291754.000,45313,3,AX,1,100,0.940
1752617377.184564,291794.000,45313,3,AX,1,100,0.947
1752617377.224564,291834.000,45330,2,AX,1,100,0.942
1752617377.264564,291874.000,45330,2,AX,1,100,0.941
1752617377.304564,291914.000,45349,3,AX,1,100,0.946
1752617377.344563,291954.000,45349,3,AX,1,100,0.943
1752617377.384563,291994.000,45349,3,AX,1,100,0.934
1752617377.424563,292034.000,45371,4,AX,1,100,0.949
1752617377.464563,292074.000,45371,4,AX,1,100,0.957
1752617377.504563,292114.000,45371,4,AX,1,100,0.944
1752617377.544563,292154.000,45371,4,AX,1,100,0.938
1752617377.584563,292194.000,45388,3,AX,1,100,0.945
1752617377.624562,292234.000,45388,3,AX,1,100,0.940
1752617377.664562,292274.000,45388,3,AX,1,100,0.937
1752617377.704562,292314.000,45403,2,AX,1,100,0.940
1752617377.744562,292354.000,45403,2,AX,1,100,0.946
1752617377.784562,292394.000,45419,3,AX,1,100,0.944
1752617377.824562,292434.000,45419,3,AX,1,100,0.944
1752617377.864562,292474.000,45419,3,AX,1,100,0.942
1752617377.904561,292514.000,45437,2,AX,1,100,0.946
1752617377.944561,292554.000,45437,2,AX,1,100,0.940
1752617377.984561,292594.000,45453,3,AX,1,100,0.936
1752617378.024561,292634.000,45453,3,AX,1,100,0.944
1752617378.064561,292674.000,45453,3,AX,1,100,0.951
1752617378.104561,292714.000,45470,2,AX,1,100,0.935
1752617378.144561,292754.000,45470,2,AX,1,100,0.945
1752617378.184560,292794.000,45487,3,AX,1,100,0.941
1752617378.224560,292834.000,45487,3,AX,1,100,0.947
1752617378.264560,292874.000,45487,3,AX,1,100,0.945
1752617378.304560,292914.000,45504,2,AX,1,100,0.935
1752617378.344560,292954.000,45504,2,AX,1,100,0.941
1752617378.384560,292994.000,45520,3,AX,1,100,0.941
1752617378.424560,293034.000,45520,3,AX,1,100,0.939
1752617378.464559,293074.000,45520,3,AX,1,100,0.942
1752617378.504059,293113.500,45537,2,AX,1,100,0.937
1752617378.543559,293153.000,45537,2,AX,1,100,0.942
1752617378.583559,293193.000,45556,3,AX,1,100,0.948
1752617378.623559,293233.000,45556,3,AX,1,100,0.948
1752617378.663559,293273.000,45556,3,AX,1,100,0.947
1752617378.703892,293313.333,45573,3,AX,1,100,0.946
1752617378.744225,293353.667,45573,3,AX,1,100,0.939
1752617378.784558,293394.000,45573,3,AX,1,100,0.949
1752617378.824558,293434.000,45589,2,AX,1,100,0.929
1752617378.864558,293474.000,45589,2,AX,1,100,0.942
1752617378.904225,293513.667,45605,3,AX,1,100,0.940
1752617378.943891,293553.333,45605,3,AX,1,100,0.942
1752617378.983558,293593.000,45605,3,AX,1,100,0.945
1752617379.023558,293633.000,45623,2,AX,1,100,0.942
1752617379.063557,293673.000,45623,2,AX,1,100,0.944
1752617379.103557,293713.000,45640,3,AX,1,100,0.944
1752617379.143557,293753.000,45640,3,AX,1,100,0.945
1752617379.183557,293793.000,45640,3,AX,1,100,0.943
1752617379.223557,293833.000,45657,2,AX,1,100,0.944
1752617379.263557,293873.000,45657,2,AX,1,100,0.941
1752617379.303557,293913.000,45673,3,AX,1,100,0.945
1752617379.343556,293953.000,45673,3,AX,1,100,0.947
1752617379.383556,293993.000,45673,3,AX,1,100,0.947
1752617379.423556,294033.000,45688,2,AX,1,100,0.949
1752617379.463556,294073.000,45688,2,AX,1,100,0.941
1752617379.499556,294109.000,45706,3,AX,1,100,0.930
1752617379.535556,294145.000,45706,3,AX,1,100,0.938
1752617379.571556,294181.000,45706,3,AX,1,100,0.942
1752617379.611555,294221.000,45722,3,AX,1,100,0.939
1752617379.651555,294261.000,45722,3,AX,1,100,0.948
1752617379.691555,294301.000,45722,3,AX,1,100,0.944
1752617379.731555,294341.000,45739,2,AX,1,100,0.945
1752617379.771555,294381.000,45739,2,AX,1,100,0.944
1752617379.811555,294421.000,45755,3,AX,1,100,0.942
1752617379.851555,294461.000,45755,3,AX,1,100,0.941
1752617379.891554,294501.000,45755,3,AX,1,100,0.943
1752617379.931554,294541.000,45773,2,AX,1,100,0.948
1752617379.971554,294581.000,45773,2,AX,1,100,0.947
1752617380.011554,294621.000,45789,3,AX,1,100,0.942
1752617380.051554,294661.000,45789,3,AX,1,100,0.944
1752617380.091554,294701.000,45789,3,AX,1,100,0.946
1752617380.131554,294741.000,45806,2,AX,1,100,0.939
1752617380.171554,294781.000,45806,2,AX,1,100,0.940
1752617380.211553,294821.000,45821,3,AX,1,100,0.946
1752617380.251553,294861.000,45821,3,AX,1,100,0.945
1752617380.291553,294901.000,45821,3,AX,1,100,0.947
1752617380.331553,294941.000,45840,3,AX,1,100,0.944
1752617380.371553,294981.000,45840,3,AX,1,100,0.940
1752617380.411553,295021.000,45840,3,AX,1,100,0.944
1752617380.451553,295061.000,45856,2,AX,1,100,0.939
1752617380.491552,295101.000,45856,2,AX,1,100,0.940
1752617380.531552,295141.000,45874,3,AX,1,100,0.945
1752617380.571552,295181.000,45874,3,AX,1,100,0.941
1752617380.611552,295221.000,45874,3,AX,1,100,0.944
1752617380.651552,295261.000,45888,2,AX,1,100,0.945
1752617380.691552,295301.000,45888,2,AX,1,100,0.944
1752617380.731552,295341.000,45905,3,AX,1,100,0.946
1752617380.771551,295381.000,45905,3,AX,1,100,0.948
1752617380.811551,295421.000,45905,3,AX,1,100,0.947
1752617380.851551,295461.000,45921,2,AX,1,100,0.941
1752617380.891551,295501.000,45921,2,AX,1,100,0.938
1752617380.931551,295541.000,45941,3,AX,1,100,0.946
1752617380.971551,295581.000,45941,3,AX,1,100,0.947
1752617381.011551,295621.000,45941,3,AX,1,100,0.946
1752617381.051550,295661.000,45955,2,AX,1,100,0.937
1752617381.091550,295701.000,45955,2,AX,1,100,0.944
1752617381.131550,295741.000,45972,3,AX,1,100,0.944
1752617381.171550,295781.000,45972,3,AX,1,100,0.941
1752617381.211550,295821.000,45972,3,AX,1,100,0.945
1752617381.251550,295861.000,45989,2,AX,1,100,0.939
1752617381.291550,295901.000,45989,2,AX,1,100,0.942
1752617381.331216,295940.667,46008,3,AX,1,100,0.944
1752617381.370883,295980.333,46008,3,AX,1,100,0.941
1752617381.410549,296020.000,46008,3,AX,1,100,0.942
1752617381.451049,296060.500,46023,2,AX,1,100,0.944
1752617381.491549,296101.000,46023,2,AX,1,100,0.941
1752617381.531549,296141.000,46042,3,AX,1,100,0.944
1752617381.571549,296181.000,46042,3,AX,1,100,0.947
1752617381.611548,296221.000,46042,3,AX,1,100,0.944
1752617381.651048,296260.500,46058,2,AX,1,100,0.943
1752617381.690548,296300.000,46058,2,AX,1,100,0.946
1752617381.730548,296340.000,46075,3,AX,1,100,0.938
1752617381.770548,296380.000,46075,3,AX,1,100,0.943
1752617381.810548,296420.000,46075,3,AX,1,100,0.941
1752617381.850548,296460.000,46092,3,AX,1,100,0.949
1752617381.890548,296500.000,46092,3,AX,1,100,0.935
1752617381.930547,296540.000,46092,3,AX,1,100,0.941
1752617381.970547,296580.000,46109,2,AX,1,100,0.948
1752617382.010547,296620.000,46109,2,AX,1,100,0.946
1752617382.050547,296660.000,46127,3,AX,1,100,0.947
1752617382.090547,296700.000,46127,3,AX,1,100,0.949
1752617382.130547,296740.000,46127,3,AX,1,100,0.943
1752617382.170547,296780.000,46144,2,AX,1,100,0.952
1752617382.210546,296820.000,46144,2,AX,1,100,0.956
1752617382.250546,296860.000,46163,3,AX,1,100,0.955
1752617382.290546,296900.000,46163,3,AX,1,100,0.940
1752617382.330546,296940.000,46163,3,AX,1,100,0.936
1752617382.370546,296980.000,46178,2,AX,1,100,0.940
1752617382.410546,297020.000,46178,2,AX,1,100,0.937
1752617382.450546,297060.000,46194,3,AX,1,100,0.931
1752617382.490545,297100.000,46194,3,AX,1,100,0.944
1752617382.530545,297140.000,46194,3,AX,1,100,0.933
1752617382.570545,297180.000,46217,4,AX,1,100,0.951
1752617382.610545,297220.000,46217,4,AX,1,100,0.938
1752617382.650545,297260.000,46217,4,AX,1,100,0.944
1752617382.690545,297300.000,46217,4,AX,1,100,0.945
1752617382.730545,297340.000,46235,3,AX,1,100,0.947
1752617382.770544,297380.000,46235,3,AX,1,100,0.929
1752617382.810544,297420.000,46235,3,AX,1,100,0.941
1752617382.850544,297460.000,46254,2,AX,1,100,0.944
1752617382.890544,297500.000,46254,2,AX,1,100,0.959
1752617382.930544,297540.000,46271,3,AX,1,100,0.952
1752617382.970544,297580.000,46271,3,AX,1,100,0.942
1752617383.010544,297620.000,46271,3,AX,1,100,0.945
1752617383.050543,297660.000,46287,2,AX,1,100,0.951
1752617383.090543,297700.000,46287,2,AX,1,100,0.937
1752617383.130543,297740.000,46302,3,AX,1,100,0.933
1752617383.170543,297780.000,46302,3,AX,1,100,0.942
1752617383.210543,297820.000,46302,3,AX,1,100,0.938
1752617383.251043,297860.500,46320,2,AX,1,100,0.938
1752617383.291543,297901.000,46320,2,AX,1,100,0.948
1752617383.331209,297940.667,46336,3,AX,1,100,0.952
1752617383.370876,297980.333,46336,3,AX,1,100,0.947
1752617383.410542,298020.000,46336,3,AX,1,100,0.939
1752617383.450542,298060.000,46352,2,AX,1,100,0.941
1752617383.490542,298100.000,46352,2,AX,1,100,0.935
1752617383.530542,298140.000,46370,3,AX,1,100,0.946
1752617383.570542,298180.000,46370,3,AX,1,100,0.938
1752617383.610541,298220.000,46370,3,AX,1,100,0.931
1752617383.645875,298255.333,46387,3,AX,1,100,0.941
1752617383.681208,298290.667,46387,3,AX,1,100,0.942
1752617383.716541,298326.000,46387,3,AX,1,100,0.946
1752617383.756541,298366.000,46403,2,AX,1,100,0.953
1752617383.796541,298406.000,46403,2,AX,1,100,0.935
1752617383.836541,298446.000,46421,3,AX,1,100,0.946
1752617383.876541,298486.000,46421,3,AX,1,100,0.945
1752617383.916540,298526.000,46421,3,AX,1,100,0.939
1752617383.956540,298566.000,46435,2,AX,1,100,0.948
1752617383.996540,298606.000,46435,2,AX,1,100,0.943
1752617384.036540,298646.000,46452,3,AX,1,100,0.950
1752617384.076540,298686.000,46452,3,AX,1,100,0.940
1752617384.116540,298726.000,46452,3,AX,1,100,0.939
1752617384.156540,298766.000,46468,3,AX,1,100,0.935
1752617384.196539,298806.000,46468,3,AX,1,100,0.948
1752617384.236539,298846.000,46468,3,AX,1,100,0.942
1752617384.276539,298886.000,46486,2,AX,1,100,0.944
1752617384.316539,298926.000,46486,2,AX,1,100,0.949
1752617384.356539,298966.000,46500,3,AX,1,100,0.935
1752617384.396539,299006.000,46500,3,AX,1,100,0.933
1752617384.436539,299046.000,46500,3,AX,1,100,0.950
1752617384.476538,299086.000,46519,2,AX,1,100,0.944
1752617384.516538,299126.000,46519,2,AX,1,100,0.951
1752617384.556538,299166.000,46536,3,AX,1,100,0.943
1752617384.596538,299206.000,46536,3,AX,1,100,0.943
1752617384.636538,299246.000,46536,3,AX,1,100,0.946
1752617384.676538,299286.000,46555,2,AX,1,100,0.941
1752617384.716538,299326.000,46555,2,AX,1,100,0.943
