LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752621168.349143,72228.000,9820,1,SF,1,100,71.2312
1752621168.749147,72628.000,9887,1,SF,1,100,70.4072
1752621169.016149,72895.000,9937,1,SF,1,100,69.5927
1752621169.349152,73228.000,9988,1,SF,1,100,68.7877
1752621169.749155,73628.000,10053,1,SF,1,100,67.9919
1752621170.016157,73895.000,10105,1,SF,1,100,69.2877
1752621170.349160,74228.000,10161,1,SF,1,100,68.4861
1752621170.682163,74561.000,10213,1,SF,1,100,69.7761
1752621171.082166,74961.000,10280,1,SF,1,100,68.9690
1752621171.349169,75228.000,10329,1,SF,1,100,68.1711
1752621171.682171,75561.000,10377,1,SF,1,100,67.3825
1752621172.082175,75961.000,10445,1,SF,1,100,66.6030
1752621172.349177,76228.000,10501,1,SF,1,100,69.9971
1752621172.682180,76561.000,10551,1,SF,1,100,71.2696
1752621173.015183,76894.000,10602,1,SF,1,100,70.4451
1752621173.415186,77294.000,10669,1,SF,1,100,69.6302
1752621173.682188,77561.000,10721,1,SF,1,100,68.8247
1752621174.015191,77894.000,10770,1,SF,1,100,68.0286
1752621174.415195,78294.000,10837,1,SF,1,100,67.2416
1752621174.748197,78627.000,10887,1,SF,1,100,66.4638
1752621175.015200,78894.000,10940,1,SF,1,100,67.7771
1752621175.348203,79227.000,10979,1,SF,1,100,69.0753
1752621175.748206,79627.000,11046,1,SF,1,100,68.2763
1752621176.015208,79894.000,11097,1,SF,1,100,69.5687
1752621176.348211,80227.000,11149,1,SF,1,100,70.8462
1752621176.748214,80627.000,11216,1,SF,1,100,72.1089
1752621177.015217,80894.000,11267,1,SF,1,100,71.2747
1752621177.348219,81227.000,11317,1,SF,1,100,70.4502
1752621177.682222,81561.000,11368,1,SF,1,100,71.7175
1752621178.082226,81961.000,11437,1,SF,1,100,70.8879
1752621178.348228,82227.000,11487,1,SF,1,100,70.0678
1752621178.681231,82560.000,11540,1,SF,1,100,71.3395
1752621179.081234,82960.000,11607,1,SF,1,100,72.5965
1752621179.348236,83227.000,11657,1,SF,1,100,71.7567
1752621179.681239,83560.000,11709,1,SF,1,100,73.0089
1752621180.015242,83894.000,11760,1,SF,1,100,74.2466
1752621180.415245,84294.000,11834,1,SF,1,100,73.3877
1752621180.681248,84560.000,11885,1,SF,1,100,74.6210
1752621181.015250,84894.000,11939,1,SF,1,100,77.9223
1752621181.414254,85293.000,12006,1,SF,1,100,79.1031
1752621181.681256,85560.000,12059,1,SF,1,100,78.1880
1752621182.014259,85893.000,12109,1,SF,1,100,79.3658
1752621182.348262,86227.000,12160,1,SF,1,100,78.4477
1752621182.748265,86627.000,12229,1,SF,1,100,79.6225
1752621183.014267,86893.000,12281,1,SF,1,100,80.7836
1752621183.348270,87227.000,12334,1,SF,1,100,79.8491
1752621183.748274,87627.000,12399,1,SF,1,100,78.9254
1752621184.081276,87960.000,12449,1,SF,1,100,78.0124
1752621184.348279,88227.000,12502,1,SF,1,100,79.1922
1752621184.681282,88560.000,12552,1,SF,1,100,78.2761
1752621185.081285,88960.000,12619,1,SF,1,100,79.4529
1752621185.347287,89226.000,12670,1,SF,1,100,78.5337
1752621185.681290,89560.000,12727,1,SF,1,100,79.7075
1752621186.014293,89893.000,12780,1,SF,1,100,80.8677
1752621186.414296,90293.000,12847,1,SF,1,100,79.9322
1752621186.681298,90560.000,12897,1,SF,1,100,81.0898
1752621187.014301,90893.000,12954,1,SF,1,100,84.3163
1752621187.347304,91226.000,13004,1,SF,1,100,85.4231
1752621187.747308,91626.000,13073,1,SF,1,100,86.5172
1752621188.014310,91893.000,13122,1,SF,1,100,85.5164
