LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1752006548.657378,106554,15607,1,SA,1,100,0.001054
1752006551.190377,109087,16025,1,SA,1,100,0.030861
1752006552.789376,110686,16274,1,SA,1,100,0.001759
1752006556.056375,113953,16813,1,SA,1,100,0.000103
1752006558.656374,116553,17266,1,SA,1,100,0.001236
1752006559.389373,117286,17358,1,SA,1,100,0.000208
1752006560.322373,118219,17524,1,SA,1,100,0.000524
1752006560.789373,118686,17627,1,SA,1,100,0.002111
1752006561.255373,119152,17677,1,SA,1,100,0.001908
1752006561.655372,119552,17746,1,SA,1,100,0.000320
1752006562.589372,120486,17914,1,SA,1,100,0.000861
1752006562.989372,120886,18001,1,SA,1,100,0.001407
1752006563.655372,121552,18068,1,SA,1,100,0.000327
1752006571.054368,128951,19311,1,SA,1,100,0.000704
1752006583.120363,141017,21320,1,SA,1,100,0.003974
1752006588.852361,146749,22268,1,SA,1,100,0.001950
1752006589.319360,147216,22302,1,SA,1,100,0.000560
1752006592.185359,150082,22783,1,SA,1,100,0.017021
1752006592.519359,150416,22834,1,SA,1,100,0.014007
1752006593.785358,151682,23036,1,SA,1,100,0.001608
1752006603.185354,161082,24647,1,SA,1,100,0.178938
1752006610.984351,168881,25876,1,SA,1,100,0.034353
1752006689.842317,247739,38835,1,SA,1,100,0.012853
1752006692.642315,250539,39321,1,SA,1,100,0.036592
1752006709.640308,267537,42069,1,SA,1,100,0.022693
1752006714.574306,272471,42890,1,SA,1,100,0.161315
1752006751.170290,309067,48865,1,SA,1,100,0.028259
1752006753.769289,311666,49251,1,SA,1,100,0.007091
1752006761.902285,319799,50621,1,SA,1,100,0.028382
