LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1752006548.590378,106487.000,15550,1,SF,1,100,70.3510
1752006548.923378,106820.000,15609,1,SF,1,100,71.6194
1752006549.256378,107153.000,15660,1,SF,1,100,70.7909
1752006549.656378,107553.000,15725,1,SF,1,100,69.9720
1752006549.923378,107820.000,15776,1,SF,1,100,69.1625
1752006550.256377,108153.000,15824,1,SF,1,100,68.3624
1752006550.656377,108553.000,15891,1,SF,1,100,67.5716
1752006550.923377,108820.000,15942,1,SF,1,100,66.7900
1752006551.256377,109153.000,15992,1,SF,1,100,66.0173
1752006551.589377,109486.000,16043,1,SF,1,100,67.3359
1752006551.989377,109886.000,16110,1,SF,1,100,66.5569
1752006552.256377,110153.000,16160,1,SF,1,100,65.7870
1752006552.589376,110486.000,16209,1,SF,1,100,65.0260
1752006552.989376,110886.000,16276,1,SF,1,100,66.3560
1752006553.256376,111153.000,16324,1,SF,1,100,65.5884
1752006553.589376,111486.000,16376,1,SF,1,100,64.8297
1752006553.923376,111820.000,16425,1,SF,1,100,64.0797
1752006554.323376,112220.000,16499,1,SF,1,100,63.3384
1752006554.589376,112486.000,16548,1,SF,1,100,62.6057
1752006554.923375,112820.000,16596,1,SF,1,100,61.8815
1752006555.322375,113219.000,16663,1,SF,1,100,61.1656
1752006555.589375,113486.000,16714,1,SF,1,100,60.4581
1752006555.922375,113819.000,16764,1,SF,1,100,59.7587
1752006556.256375,114153.000,16815,1,SF,1,100,61.1497
1752006556.656375,114553.000,16882,1,SF,1,100,60.4423
1752006556.922375,114819.000,16932,1,SF,1,100,59.7431
1752006557.256374,115153.000,16983,1,SF,1,100,59.0520
1752006557.656374,115553.000,17048,1,SF,1,100,58.3688
1752006557.989374,115886.000,17098,1,SF,1,100,57.6936
1752006558.256374,116153.000,17149,1,SF,1,100,57.0262
1752006558.589374,116486.000,17199,1,SF,1,100,56.3665
1752006558.989374,116886.000,17268,1,SF,1,100,57.7967
1752006559.322373,117219.000,17324,1,SF,1,100,57.1281
1752006559.589373,117486.000,17376,1,SF,1,100,58.5495
1752006559.922373,117819.000,17425,1,SF,1,100,57.8722
1752006560.322373,118219.000,17492,1,SF,1,100,57.2028
1752006560.589373,118486.000,17542,1,SF,1,100,58.6233
1752006560.922373,118819.000,17594,1,SF,1,100,57.9451
1752006561.255373,119152.000,17645,1,SF,1,100,59.3571
1752006561.655372,119552.000,17714,1,SF,1,100,60.7527
1752006561.922372,119819.000,17765,1,SF,1,100,62.1321
1752006562.255372,120152.000,17813,1,SF,1,100,61.4134
1752006562.655372,120552.000,17880,1,SF,1,100,60.7029
1752006562.922372,120819.000,17933,1,SF,1,100,62.0830
1752006563.255372,121152.000,17983,1,SF,1,100,61.3648
1752006563.588372,121485.000,18034,1,SF,1,100,62.7372
1752006563.988371,121885.000,18105,1,SF,1,100,64.0937
1752006564.255371,122152.000,18160,1,SF,1,100,63.3522
1752006564.588371,122485.000,18211,1,SF,1,100,62.6194
1752006564.988371,122885.000,18276,1,SF,1,100,61.8950
