LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1752006548.316378,106213.000,15508,1,T1,1,100,34.272
1752006548.450378,106347.000,15539,1,T1,1,100,34.153
1752006548.583378,106480.000,15556,1,T1,1,100,34.173
1752006548.716378,106613.000,15573,1,T1,1,100,34.146
1752006548.850378,106747.000,15589,1,T1,1,100,34.276
1752006548.983378,106880.000,15632,1,T1,1,100,34.261
1752006549.116378,107013.000,15649,1,T1,1,100,34.184
1752006549.250378,107147.000,15666,1,T1,1,100,34.186
1752006549.383378,107280.000,15697,1,T1,1,100,34.151
1752006549.516378,107413.000,15714,1,T1,1,100,34.243
1752006549.650378,107547.000,15731,1,T1,1,100,34.211
1752006549.783378,107680.000,15764,1,T1,1,100,34.127
1752006549.916378,107813.000,15782,1,T1,1,100,34.232
1752006550.049378,107946.000,15798,1,T1,1,100,34.278
1752006550.183377,108080.000,15830,1,T1,1,100,34.227
1752006550.316377,108213.000,15847,1,T1,1,100,34.240
1752006550.449377,108346.000,15865,1,T1,1,100,34.352
1752006550.583377,108480.000,15897,1,T1,1,100,34.223
1752006550.716377,108613.000,15914,1,T1,1,100,34.238
1752006550.849377,108746.000,15930,1,T1,1,100,34.280
1752006550.983377,108880.000,15948,1,T1,1,100,34.228
1752006551.116377,109013.000,15981,1,T1,1,100,34.240
1752006551.249377,109146.000,15998,1,T1,1,100,34.317
1752006551.383377,109280.000,16015,1,T1,1,100,34.279
1752006551.516377,109413.000,16049,1,T1,1,100,34.192
1752006551.649377,109546.000,16065,1,T1,1,100,34.260
1752006551.783377,109680.000,16082,1,T1,1,100,34.254
1752006551.916377,109813.000,16116,1,T1,1,100,34.358
1752006552.049377,109946.000,16132,1,T1,1,100,34.261
1752006552.183377,110080.000,16149,1,T1,1,100,34.219
1752006552.316377,110213.000,16181,1,T1,1,100,34.166
1752006552.449376,110346.000,16197,1,T1,1,100,34.285
1752006552.583376,110480.000,16215,1,T1,1,100,34.194
1752006552.716376,110613.000,16246,1,T1,1,100,34.226
1752006552.849376,110746.000,16262,1,T1,1,100,34.346
1752006552.983376,110880.000,16282,1,T1,1,100,34.256
1752006553.116376,111013.000,16313,1,T1,1,100,34.324
1752006553.249376,111146.000,16330,1,T1,1,100,34.388
1752006553.383376,111280.000,16347,1,T1,1,100,34.310
1752006553.516376,111413.000,16365,1,T1,1,100,34.276
1752006553.649376,111546.000,16397,1,T1,1,100,34.190
1752006553.783376,111680.000,16414,1,T1,1,100,34.295
1752006553.916376,111813.000,16431,1,T1,1,100,34.270
1752006554.049376,111946.000,16471,1,T1,1,100,34.365
1752006554.183376,112080.000,16488,1,T1,1,100,34.335
1752006554.316376,112213.000,16505,1,T1,1,100,34.393
1752006554.449376,112346.000,16536,1,T1,1,100,34.383
1752006554.582376,112479.000,16554,1,T1,1,100,34.449
1752006554.716375,112613.000,16570,1,T1,1,100,34.336
1752006554.849375,112746.000,16602,1,T1,1,100,34.252
1752006554.982375,112879.000,16619,1,T1,1,100,34.251
1752006555.116375,113013.000,16635,1,T1,1,100,34.286
1752006555.249375,113146.000,16669,1,T1,1,100,34.301
1752006555.382375,113279.000,16686,1,T1,1,100,34.343
1752006555.516375,113413.000,16702,1,T1,1,100,34.290
1752006555.649375,113546.000,16720,1,T1,1,100,34.267
1752006555.782375,113679.000,16751,1,T1,1,100,34.258
1752006555.916375,113813.000,16770,1,T1,1,100,34.324
1752006556.049375,113946.000,16787,1,T1,1,100,34.388
1752006556.182375,114079.000,16821,1,T1,1,100,34.345
1752006556.316375,114213.000,16837,1,T1,1,100,34.327
1752006556.449375,114346.000,16856,1,T1,1,100,34.354
1752006556.582375,114479.000,16888,1,T1,1,100,34.366
1752006556.716375,114613.000,16904,1,T1,1,100,34.300
1752006556.849375,114746.000,16921,1,T1,1,100,34.378
1752006556.982374,114879.000,16953,1,T1,1,100,34.376
1752006557.115374,115012.000,16971,1,T1,1,100,34.376
1752006557.249374,115146.000,16989,1,T1,1,100,34.375
1752006557.382374,115279.000,17005,1,T1,1,100,34.411
1752006557.515374,115412.000,17036,1,T1,1,100,34.390
1752006557.649374,115546.000,17054,1,T1,1,100,34.311
1752006557.782374,115679.000,17072,1,T1,1,100,34.418
1752006557.915374,115812.000,17104,1,T1,1,100,34.394
