LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1752619991.000332,496772.000,13236,1,B%,1,100,44
1752619996.000374,501772.000,14090,1,B%,1,100,43
1752620000.999416,506771.000,14924,1,B%,1,100,43
1752620005.999458,511771.000,15765,1,B%,1,100,43
1752620010.998500,516770.000,16608,1,B%,1,100,43
1752620015.998542,521770.000,17476,1,B%,1,100,43
1752620020.997583,526769.000,18327,1,B%,1,100,43
1752620025.997625,531769.000,19172,1,B%,1,100,43
1752620030.996667,536768.000,20034,1,B%,1,100,43
1752620035.996709,541768.000,20388,1,B%,1,100,42
1752620040.995751,546767.000,21256,1,B%,1,100,43
1752620045.995793,551767.000,22112,1,B%,1,100,43
1752620050.994835,556766.000,22960,1,B%,1,100,43
1752620055.994877,561766.000,23814,1,B%,1,100,43
1752620060.993918,566765.000,24646,1,B%,1,100,43
1752620065.993960,571765.000,25467,1,B%,1,100,44
1752620070.993002,576764.000,26283,1,B%,1,100,43
1752620075.993044,581764.000,27107,1,B%,1,100,44
1752620080.992086,586763.000,27930,1,B%,1,100,44
1752620085.992128,591763.000,28752,1,B%,1,100,44
1752620090.991170,596762.000,29575,1,B%,1,100,43
1752620095.991212,601762.000,30398,1,B%,1,100,43
1752620100.990254,606761.000,31220,1,B%,1,100,44
1752620105.990295,611761.000,32045,1,B%,1,100,43
1752620110.989337,616760.000,32866,1,B%,1,100,44
1752620115.989379,621760.000,33690,1,B%,1,100,43
1752620120.988421,626759.000,34502,1,B%,1,100,43
1752620125.988463,631759.000,35326,1,B%,1,100,43
1752620130.987505,636758.000,36133,1,B%,1,100,45
1752620135.987547,641758.000,36953,1,B%,1,100,44
1752620140.986589,646757.000,37779,1,B%,1,100,44
1752620145.986630,651757.000,38603,1,B%,1,100,43
1752620150.985672,656756.000,39425,1,B%,1,100,44
1752620155.985714,661756.000,40247,1,B%,1,100,45
1752620160.984756,666755.000,41054,1,B%,1,100,44
1752620165.984798,671755.000,41877,1,B%,1,100,44
1752620170.983840,676754.000,42702,1,B%,1,100,44
1752620175.983882,681754.000,43524,1,B%,1,100,44
1752620180.982924,686753.000,44346,1,B%,1,100,45
1752620185.982965,691753.000,45151,1,B%,1,100,44
1752620190.982007,696752.000,45974,1,B%,1,100,44
1752620195.982049,701752.000,46799,1,B%,1,100,45
1752620200.981091,706751.000,47618,1,B%,1,100,44
1752620205.981133,711751.000,48440,1,B%,1,100,45
1752620210.980175,716750.000,49247,1,B%,1,100,45
1752620215.980217,721750.000,50069,1,B%,1,100,45
1752620220.979259,726749.000,50891,1,B%,1,100,45
1752620225.979301,731749.000,51713,1,B%,1,100,44
1752620230.978342,736748.000,52535,1,B%,1,100,45
1752620235.978384,741748.000,53358,1,B%,1,100,45
1752620240.977426,746747.000,54162,1,B%,1,100,45
1752620245.977468,751747.000,54982,1,B%,1,100,44
1752620250.976510,756746.000,55805,1,B%,1,100,45
1752620255.976552,761746.000,56629,1,B%,1,100,45
1752620260.975594,766745.000,57389,1,B%,1,100,45
1752620265.975636,771745.000,58210,1,B%,1,100,45
1752620270.974677,776744.000,59034,1,B%,1,100,46
1752620275.974719,781744.000,59836,1,B%,1,100,45
1752620280.973761,786743.000,60676,1,B%,1,100,45
1752620285.973803,791743.000,61493,1,B%,1,100,45
1752620290.972845,796742.000,62298,1,B%,1,100,46
1752620295.972887,801742.000,63119,1,B%,1,100,45
1752620300.971929,806741.000,63944,1,B%,1,100,46
1752620305.971971,811741.000,64767,1,B%,1,100,46
1752620310.971012,816740.000,51,1,B%,1,100,46
1752620315.971054,821740.000,872,1,B%,1,100,45
1752620320.970096,826739.000,1694,1,B%,1,100,45
1752620325.970138,831739.000,2517,1,B%,1,100,45
1752620330.969180,836738.000,3336,1,B%,1,100,45
1752620335.969222,841738.000,4174,1,B%,1,100,45
1752620340.968264,846737.000,4997,1,B%,1,100,45
1752620345.968306,851737.000,5819,1,B%,1,100,46
1752620350.967347,856736.000,6638,1,B%,1,100,46
1752620355.967389,861736.000,7461,1,B%,1,100,46
1752620360.966431,866735.000,8285,1,B%,1,100,46
1752620365.966473,871735.000,9108,1,B%,1,100,46
1752620370.965515,876734.000,9931,1,B%,1,100,46
1752620375.965557,881734.000,10769,1,B%,1,100,45
1752620380.964599,886733.000,11590,1,B%,1,100,46
1752620385.964641,891733.000,12395,1,B%,1,100,46
1752620390.963683,896732.000,13235,1,B%,1,100,46
1752620395.963724,901732.000,14060,1,B%,1,100,46
1752620400.962766,906731.000,14879,1,B%,1,100,46
1752620405.962808,911731.000,15700,1,B%,1,100,46
1752620410.961850,916730.000,16540,1,B%,1,100,47
1752620415.961892,921730.000,17362,1,B%,1,100,46
1752620420.960934,926729.000,18183,1,B%,1,100,47
1752620425.960976,931729.000,19002,1,B%,1,100,46
1752620430.960018,936728.000,19825,1,B%,1,100,46
1752620435.960059,941728.000,20663,1,B%,1,100,47
1752620440.959101,946727.000,21483,1,B%,1,100,47
1752620445.959143,951727.000,22303,1,B%,1,100,47
1752620450.958185,956726.000,23144,1,B%,1,100,47
1752620455.958227,961726.000,23965,1,B%,1,100,47
1752620460.957269,966725.000,24772,1,B%,1,100,47
1752620465.957311,971725.000,25531,1,B%,1,100,47
1752620470.956353,976724.000,26355,1,B%,1,100,47
1752620475.956394,981724.000,27193,1,B%,1,100,48
1752620480.955436,986723.000,28016,1,B%,1,100,47
1752620485.955478,991723.000,28836,1,B%,1,100,47
1752620490.954520,996722.000,29653,1,B%,1,100,47
1752620495.954562,1001722.000,30493,1,B%,1,100,47
1752620500.953604,1006721.000,31315,1,B%,1,100,47
1752620505.953646,1011721.000,32136,1,B%,1,100,48
1752620510.952688,1016720.000,32959,1,B%,1,100,48
1752620515.952730,1021720.000,33783,1,B%,1,100,47
1752620520.951771,1026719.000,34592,1,B%,1,100,48
1752620525.951813,1031719.000,35416,1,B%,1,100,47
1752620530.950855,1036718.000,36239,1,B%,1,100,47
1752620535.950897,1041718.000,37063,1,B%,1,100,48
1752620540.949939,1046717.000,37866,1,B%,1,100,48
1752620545.949981,1051717.000,38689,1,B%,1,100,48
1752620550.949023,1056716.000,39511,1,B%,1,100,48
1752620555.949065,1061716.000,40334,1,B%,1,100,48
1752620560.948106,1066715.000,41156,1,B%,1,100,47
1752620565.948148,1071715.000,41978,1,B%,1,100,48
1752620570.947190,1076714.000,42783,1,B%,1,100,47
1752620575.947232,1081714.000,43606,1,B%,1,100,48
1752620580.946274,1086713.000,44429,1,B%,1,100,48
1752620585.946316,1091713.000,45251,1,B%,1,100,48
