LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1752619988.560312,494332.000,12811,4,EM,1,100,RS
1752619988.560312,494332.000,12811,4,EM,1,100,RB
1752619988.560312,494332.000,12811,4,EM,1,100,2025-07-15_18-53-07-705441.csv
1752619988.560312,494332.000,12811,4,EM,1,100,PS
1752619988.610312,494382.000,12842,4,EM,1,100,RS
1752619988.660313,494432.000,12842,4,EM,1,100,RB
1752619988.710313,494482.000,12842,4,EM,1,100,2025-07-15_18-53-07-705441.csv
1752619988.760313,494532.000,12842,4,EM,1,100,PS
1752619988.810564,494582.250,12876,4,EM,1,100,RS
1752619988.860814,494632.500,12876,4,EM,1,100,RB
1752619988.911065,494682.750,12876,4,EM,1,100,2025-07-15_18-53-07-705441.csv
1752619988.961315,494733.000,12876,4,EM,1,100,PS
1752619989.011565,494783.250,12912,4,EM,1,100,RS
1752619989.061816,494833.500,12912,4,EM,1,100,RB
1752619989.112066,494883.750,12912,4,EM,1,100,2025-07-15_18-53-07-705441.csv
1752619989.162317,494934.000,12912,4,EM,1,100,PS
1752619989.212567,494984.250,12947,4,EM,1,100,RS
1752619989.262818,495034.500,12947,4,EM,1,100,RB
1752619989.313068,495084.750,12947,4,EM,1,100,2025-07-15_18-53-07-705441.csv
1752619989.363318,495135.000,12947,4,EM,1,100,PS
1752619989.413569,495185.250,12979,4,EM,1,100,RS
1752619989.463819,495235.500,12979,4,EM,1,100,RB
1752619989.514070,495285.750,12979,4,EM,1,100,2025-07-15_18-53-07-705441.csv
1752619989.564320,495336.000,12979,4,EM,1,100,PS
1752619989.614571,495386.250,13014,4,EM,1,100,RS
1752619989.664821,495436.500,13014,4,EM,1,100,RB
1752619989.715071,495486.750,13014,4,EM,1,100,2025-07-15_18-53-07-705441.csv
1752619989.765322,495537.000,13014,4,EM,1,100,PS
1752619989.815572,495587.250,13046,4,EM,1,100,RS
1752619989.865823,495637.500,13046,4,EM,1,100,RB
1752619989.916073,495687.750,13046,4,EM,1,100,2025-07-15_18-53-07-705441.csv
1752619989.966323,495738.000,13046,4,EM,1,100,PS
