LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1752619988.649312,494421.000,12827,3,PI,1,100,150340
1752619988.649312,494421.000,12827,3,PI,1,100,150335
1752619988.649312,494421.000,12827,3,PI,1,100,150318
1752619988.689313,494461.000,12844,3,PI,1,100,150308
1752619988.729313,494501.000,12844,3,PI,1,100,150320
1752619988.769313,494541.000,12844,3,PI,1,100,150331
1752619988.809314,494581.000,12860,2,PI,1,100,150338
1752619988.849314,494621.000,12860,2,PI,1,100,150357
1752619988.889314,494661.000,12881,3,PI,1,100,150387
1752619988.929315,494701.000,12881,3,PI,1,100,150398
1752619988.969315,494741.000,12881,3,PI,1,100,150399
1752619989.009315,494781.000,12898,2,PI,1,100,150414
1752619989.049316,494821.000,12898,2,PI,1,100,150422
1752619989.089316,494861.000,12915,3,PI,1,100,150391
1752619989.129316,494901.000,12915,3,PI,1,100,150355
1752619989.169317,494941.000,12915,3,PI,1,100,150320
1752619989.209317,494981.000,12931,2,PI,1,100,150314
1752619989.249317,495021.000,12931,2,PI,1,100,150309
1752619989.289318,495061.000,12949,3,PI,1,100,150294
1752619989.329318,495101.000,12949,3,PI,1,100,150305
1752619989.369318,495141.000,12949,3,PI,1,100,150306
1752619989.409319,495181.000,12965,2,PI,1,100,150335
1752619989.449319,495221.000,12965,2,PI,1,100,150348
1752619989.489319,495261.000,12982,3,PI,1,100,150382
1752619989.529320,495301.000,12982,3,PI,1,100,150363
1752619989.569320,495341.000,12982,3,PI,1,100,150378
1752619989.609320,495381.000,12998,3,PI,1,100,150394
1752619989.649321,495421.000,12998,3,PI,1,100,150392
1752619989.689321,495461.000,12998,3,PI,1,100,150336
1752619989.729321,495501.000,13016,2,PI,1,100,150296
1752619989.769322,495541.000,13016,2,PI,1,100,150272
1752619989.809322,495581.000,13032,3,PI,1,100,150264
1752619989.849323,495621.000,13032,3,PI,1,100,150266
1752619989.889323,495661.000,13032,3,PI,1,100,150275
1752619989.929323,495701.000,13047,2,PI,1,100,150288
1752619989.969324,495741.000,13047,2,PI,1,100,150296
1752619990.009324,495781.000,13068,3,PI,1,100,150301
1752619990.049324,495821.000,13068,3,PI,1,100,150312
1752619990.089325,495861.000,13068,3,PI,1,100,150343
1752619990.129325,495901.000,13085,2,PI,1,100,150357
1752619990.169325,495941.000,13085,2,PI,1,100,150373
1752619990.209326,495981.000,13101,3,PI,1,100,150389
1752619990.249326,496021.000,13101,3,PI,1,100,150391
1752619990.289326,496061.000,13101,3,PI,1,100,150368
1752619990.329327,496101.000,13118,2,PI,1,100,150315
1752619990.369327,496141.000,13118,2,PI,1,100,150267
1752619990.409327,496181.000,13133,3,PI,1,100,150257
1752619990.449328,496221.000,13133,3,PI,1,100,150230
1752619990.489328,496261.000,13133,3,PI,1,100,150247
1752619990.529328,496301.000,13150,2,PI,1,100,150263
1752619990.569329,496341.000,13150,2,PI,1,100,150248
1752619990.609329,496381.000,13171,3,PI,1,100,150269
1752619990.649329,496421.000,13171,3,PI,1,100,150293
1752619990.689330,496461.000,13171,3,PI,1,100,150304
1752619990.729330,496501.000,13188,2,PI,1,100,150326
1752619990.769330,496541.000,13188,2,PI,1,100,150328
1752619990.809331,496581.000,13202,3,PI,1,100,150359
1752619990.849331,496621.000,13202,3,PI,1,100,150385
1752619990.889331,496661.000,13202,3,PI,1,100,150372
1752619990.929332,496701.000,13219,2,PI,1,100,150330
1752619990.969332,496741.000,13219,2,PI,1,100,150293
1752619991.009332,496781.000,13240,3,PI,1,100,150270
1752619991.049333,496821.000,13240,3,PI,1,100,150238
1752619991.089333,496861.000,13240,3,PI,1,100,150232
1752619991.129333,496901.000,13257,3,PI,1,100,150228
1752619991.169334,496941.000,13257,3,PI,1,100,150242
1752619991.209334,496981.000,13257,3,PI,1,100,150236
1752619991.249334,497021.000,13271,2,PI,1,100,150244
1752619991.289335,497061.000,13271,2,PI,1,100,150271
1752619991.329335,497101.000,13291,2,PI,1,100,150289
1752619991.369335,497141.000,13291,2,PI,1,100,150314
1752619991.413669,497185.333,13307,3,PI,1,100,150315
1752619991.458003,497229.667,13307,3,PI,1,100,150332
1752619991.502336,497274.000,13307,3,PI,1,100,150388
1752619991.542337,497314.000,13324,2,PI,1,100,150401
1752619991.582337,497354.000,13324,2,PI,1,100,150349
1752619991.622337,497394.000,13339,3,PI,1,100,150299
1752619991.662338,497434.000,13339,3,PI,1,100,150299
1752619991.702338,497474.000,13339,3,PI,1,100,150269
1752619991.742338,497514.000,13356,3,PI,1,100,150265
1752619991.782339,497554.000,13356,3,PI,1,100,150278
1752619991.822339,497594.000,13356,3,PI,1,100,150297
1752619991.862339,497634.000,13372,2,PI,1,100,150301
1752619991.902340,497674.000,13372,2,PI,1,100,150292
1752619991.942340,497714.000,13391,3,PI,1,100,150309
1752619991.982340,497754.000,13391,3,PI,1,100,150335
1752619992.022341,497794.000,13391,3,PI,1,100,150355
1752619992.062341,497834.000,13406,2,PI,1,100,150366
1752619992.102341,497874.000,13406,2,PI,1,100,150371
1752619992.142342,497914.000,13423,3,PI,1,100,150393
1752619992.182342,497954.000,13423,3,PI,1,100,150358
1752619992.222342,497994.000,13423,3,PI,1,100,150298
1752619992.262343,498034.000,13441,2,PI,1,100,150291
1752619992.302343,498074.000,13441,2,PI,1,100,150297
1752619992.342343,498114.000,13459,3,PI,1,100,150296
1752619992.382344,498154.000,13459,3,PI,1,100,150291
1752619992.422344,498194.000,13459,3,PI,1,100,150299
1752619992.462344,498234.000,13474,2,PI,1,100,150286
1752619992.502345,498274.000,13474,2,PI,1,100,150314
1752619992.542345,498314.000,13492,3,PI,1,100,150332
1752619992.582345,498354.000,13492,3,PI,1,100,150339
1752619992.622346,498394.000,13492,3,PI,1,100,150365
1752619992.662346,498434.000,13509,2,PI,1,100,150378
1752619992.702346,498474.000,13509,2,PI,1,100,150395
1752619992.742347,498514.000,13526,3,PI,1,100,150413
1752619992.782347,498554.000,13526,3,PI,1,100,150373
1752619992.822347,498594.000,13526,3,PI,1,100,150350
1752619992.862348,498634.000,13542,2,PI,1,100,150312
1752619992.902348,498674.000,13542,2,PI,1,100,150274
1752619992.942348,498714.000,13558,3,PI,1,100,150276
1752619992.982349,498754.000,13558,3,PI,1,100,150302
1752619993.022349,498794.000,13558,3,PI,1,100,150304
1752619993.062349,498834.000,13576,2,PI,1,100,150306
1752619993.102350,498874.000,13576,2,PI,1,100,150312
1752619993.142350,498914.000,13595,3,PI,1,100,150343
1752619993.182350,498954.000,13595,3,PI,1,100,150353
