LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1752619988.768313,494540,12880,1,SR,1,100,0.133333
1752619989.034316,494806,12914,1,SR,1,100,0.066667
1752619989.702321,495474,13066,1,SR,1,100,0.266667
1752619990.368327,496140,13169,1,SR,1,100,0.200000
1752619990.835331,496607,13238,1,SR,1,100,0.133333
1752619991.635337,497407,13440,1,SR,1,100,0.533333
1752619992.301343,498073,13575,1,SR,1,100,0.733333
1752619993.301351,499073,13661,1,SR,1,100,0.200000
1752619993.901356,499673,13767,1,SR,1,100,0.200000
1752619994.368360,500140,13886,1,SR,1,100,0.533333
1752619995.567370,501339,14071,1,SR,1,100,0.400000
1752619996.234376,502006,14176,1,SR,1,100,0.333333
1752619997.567387,503339,14378,1,SR,1,100,0.200000
1752619997.900390,503672,14428,1,SR,1,100,0.200000
1752619998.767397,504539,14551,1,SR,1,100,0.066667
1752619998.967399,504739,14637,1,SR,1,100,0.400000
1752619999.500403,505272,14757,1,SR,1,100,0.533333
1752620000.300410,506072,14840,1,SR,1,100,0.266667
1752620001.500420,507272,15010,1,SR,1,100,0.066667
1752620002.033425,507805,15128,1,SR,1,100,0.266667
1752620002.833431,508605,15265,1,SR,1,100,0.266667
1752620003.633438,509405,15384,1,SR,1,100,0.133333
1752620004.033441,509805,15458,1,SR,1,100,0.200000
1752620004.499445,510271,15525,1,SR,1,100,0.066667
1752620004.699447,510471,15594,1,SR,1,100,0.266667
1752620005.099450,510871,15628,1,SR,1,100,0.066667
1752620005.433453,511205,15697,1,SR,1,100,0.133333
1752620005.966458,511738,15802,1,SR,1,100,0.266667
1752620006.367461,512139,15853,1,SR,1,100,0.200000
1752620007.099467,512871,15956,1,SR,1,100,0.066667
1752620007.433470,513205,16057,1,SR,1,100,0.333333
1752620008.032475,513804,16125,1,SR,1,100,0.066667
1752620008.232476,514004,16162,1,SR,1,100,0.133333
1752620008.632480,514404,16245,1,SR,1,100,0.200000
1752620009.100484,514872,16319,1,SR,1,100,0.133333
1752620009.500487,515272,16388,1,SR,1,100,0.133333
1752620010.565496,516337,16555,1,SR,1,100,0.066667
1752620010.765498,516537,16590,1,SR,1,100,0.066667
1752620010.965499,516737,16645,1,SR,1,100,0.200000
1752620011.299502,517071,16681,1,SR,1,100,0.133333
1752620011.699506,517471,16782,1,SR,1,100,0.333333
1752620012.299511,518071,16851,1,SR,1,100,0.133333
1752620012.565513,518337,16918,1,SR,1,100,0.266667
1752620013.099517,518871,16988,1,SR,1,100,0.066667
1752620013.299519,519071,17058,1,SR,1,100,0.333333
1752620013.766523,519538,17108,1,SR,1,100,0.200000
1752620014.232527,520004,17182,1,SR,1,100,0.066667
1752620014.832532,520604,17284,1,SR,1,100,0.066667
1752620015.032533,520804,17319,1,SR,1,100,0.066667
1752620015.232535,521004,17356,1,SR,1,100,0.133333
1752620015.632538,521404,17424,1,SR,1,100,0.133333
1752620015.899541,521671,17495,1,SR,1,100,0.266667
1752620016.565546,522337,17580,1,SR,1,100,0.133333
1752620017.231552,523003,17682,1,SR,1,100,0.066667
1752620017.565555,523337,17749,1,SR,1,100,0.066667
1752620017.765556,523537,17786,1,SR,1,100,0.066667
1752620017.965558,523737,17821,1,SR,1,100,0.133333
1752620018.365561,524137,17871,1,SR,1,100,0.066667
1752620018.565563,524337,17908,1,SR,1,100,0.066667
1752620018.765565,524537,17942,1,SR,1,100,0.066667
1752620019.365570,525137,18050,1,SR,1,100,0.066667
1752620019.698573,525470,18119,1,SR,1,100,0.066667
1752620019.898574,525670,18153,1,SR,1,100,0.066667
