LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1752619988.576312,494348.000,12832,1,TH,1,100,37.160
1752619988.709313,494481.000,12850,1,TH,1,100,37.160
1752619988.842314,494614.000,12866,1,TH,1,100,37.179
1752619988.976315,494748.000,12887,1,TH,1,100,37.179
1752619989.109316,494881.000,12921,1,TH,1,100,37.227
1752619989.242317,495014.000,12937,1,TH,1,100,37.234
1752619989.376319,495148.000,12955,1,TH,1,100,37.166
1752619989.509320,495281.000,12988,1,TH,1,100,37.166
1752619989.642321,495414.000,13004,1,TH,1,100,37.229
1752619989.776322,495548.000,13022,1,TH,1,100,37.229
1752619989.909323,495681.000,13053,1,TH,1,100,37.222
1752619990.042324,495814.000,13074,1,TH,1,100,37.230
1752619990.176325,495948.000,13091,1,TH,1,100,37.241
1752619990.309326,496081.000,13123,1,TH,1,100,37.241
1752619990.442327,496214.000,13139,1,TH,1,100,37.190
1752619990.576329,496348.000,13156,1,TH,1,100,37.190
1752619990.709330,496481.000,13177,1,TH,1,100,37.246
1752619990.842331,496614.000,13208,1,TH,1,100,37.246
1752619990.975332,496747.000,13225,1,TH,1,100,37.156
1752619991.109333,496881.000,13246,1,TH,1,100,37.156
1752619991.242334,497014.000,13277,1,TH,1,100,37.309
1752619991.375335,497147.000,13297,1,TH,1,100,37.316
1752619991.509336,497281.000,13313,1,TH,1,100,37.209
1752619991.642338,497414.000,13345,1,TH,1,100,37.209
1752619991.775339,497547.000,13362,1,TH,1,100,37.164
1752619991.909340,497681.000,13378,1,TH,1,100,37.164
1752619992.042341,497814.000,13412,1,TH,1,100,37.175
1752619992.175342,497947.000,13429,1,TH,1,100,37.183
1752619992.309343,498081.000,13447,1,TH,1,100,37.209
1752619992.442344,498214.000,13479,1,TH,1,100,37.209
1752619992.575345,498347.000,13498,1,TH,1,100,37.258
1752619992.709346,498481.000,13515,1,TH,1,100,37.258
1752619992.842348,498614.000,13532,1,TH,1,100,37.224
1752619992.975349,498747.000,13564,1,TH,1,100,37.224
1752619993.109350,498881.000,13582,1,TH,1,100,37.272
1752619993.242351,499014.000,13601,1,TH,1,100,37.279
1752619993.375352,499147.000,13633,1,TH,1,100,37.338
1752619993.509353,499281.000,13649,1,TH,1,100,37.338
1752619993.642354,499414.000,13668,1,TH,1,100,37.308
1752619993.775355,499547.000,13707,1,TH,1,100,37.308
1752619993.908357,499680.000,13723,1,TH,1,100,37.199
1752619994.042358,499814.000,13741,1,TH,1,100,37.206
1752619994.175359,499947.000,13774,1,TH,1,100,37.255
1752619994.308360,500080.000,13790,1,TH,1,100,37.255
1752619994.442361,500214.000,13808,1,TH,1,100,37.252
1752619994.575362,500347.000,13841,1,TH,1,100,37.252
1752619994.708363,500480.000,13858,1,TH,1,100,37.288
1752619994.842364,500614.000,13875,1,TH,1,100,37.288
1752619994.975365,500747.000,13893,1,TH,1,100,37.206
1752619995.108367,500880.000,13925,1,TH,1,100,37.206
1752619995.242368,501014.000,13944,1,TH,1,100,37.271
1752619995.375369,501147.000,13961,1,TH,1,100,37.278
1752619995.508370,501280.000,13992,1,TH,1,100,37.288
1752619995.642371,501414.000,14009,1,TH,1,100,37.288
1752619995.775372,501547.000,14026,1,TH,1,100,37.257
1752619995.908373,501680.000,14059,1,TH,1,100,37.257
1752619996.042374,501814.000,14079,1,TH,1,100,37.303
1752619996.175375,501947.000,14097,1,TH,1,100,37.303
1752619996.308377,502080.000,14129,1,TH,1,100,37.242
1752619996.442378,502214.000,14146,1,TH,1,100,37.249
1752619996.575379,502347.000,14162,1,TH,1,100,37.334
1752619996.708380,502480.000,14198,1,TH,1,100,37.334
1752619996.842381,502614.000,14215,1,TH,1,100,37.346
1752619996.975382,502747.000,14231,1,TH,1,100,37.346
1752619997.108383,502880.000,14249,1,TH,1,100,37.268
1752619997.242384,503014.000,14282,1,TH,1,100,37.268
1752619997.375386,503147.000,14299,1,TH,1,100,37.290
1752619997.508387,503280.000,14316,1,TH,1,100,37.297
1752619997.641388,503413.000,14348,1,TH,1,100,37.331
1752619997.775389,503547.000,14364,1,TH,1,100,37.331
1752619997.908390,503680.000,14385,1,TH,1,100,37.273
1752619998.041391,503813.000,14417,1,TH,1,100,37.273
1752619998.175392,503947.000,14435,1,TH,1,100,37.338
1752619998.308393,504080.000,14452,1,TH,1,100,37.338
1752619998.441394,504213.000,14486,1,TH,1,100,37.333
1752619998.575396,504347.000,14502,1,TH,1,100,37.341
1752619998.708397,504480.000,14520,1,TH,1,100,37.360
1752619998.841398,504613.000,14558,1,TH,1,100,37.360
1752619998.975399,504747.000,14574,1,TH,1,100,37.309
1752619999.108400,504880.000,14592,1,TH,1,100,37.309
1752619999.241401,505013.000,14625,1,TH,1,100,37.348
1752619999.375402,505147.000,14644,1,TH,1,100,37.348
1752619999.508403,505280.000,14661,1,TH,1,100,37.350
1752619999.641405,505413.000,14677,1,TH,1,100,37.357
1752619999.775406,505547.000,14711,1,TH,1,100,37.399
1752619999.908407,505680.000,14728,1,TH,1,100,37.399
1752620000.041408,505813.000,14745,1,TH,1,100,37.313
1752620000.175409,505947.000,14778,1,TH,1,100,37.313
1752620000.308410,506080.000,14795,1,TH,1,100,37.364
1752620000.441411,506213.000,14812,1,TH,1,100,37.364
1752620000.575412,506347.000,14847,1,TH,1,100,37.345
1752620000.708413,506480.000,14865,1,TH,1,100,37.352
1752620000.841415,506613.000,14881,1,TH,1,100,37.459
1752620000.975416,506747.000,14913,1,TH,1,100,37.459
1752620001.108417,506880.000,14932,1,TH,1,100,37.349
1752620001.241418,507013.000,14950,1,TH,1,100,37.349
1752620001.374419,507146.000,14982,1,TH,1,100,37.349
1752620001.508420,507280.000,14999,1,TH,1,100,37.349
1752620001.641421,507413.000,15017,1,TH,1,100,37.422
1752620001.774422,507546.000,15051,1,TH,1,100,37.429
1752620001.908424,507680.000,15068,1,TH,1,100,37.424
1752620002.041425,507813.000,15085,1,TH,1,100,37.424
1752620002.174426,507946.000,15102,1,TH,1,100,37.310
1752620002.308427,508080.000,15136,1,TH,1,100,37.310
1752620002.441428,508213.000,15152,1,TH,1,100,37.354
1752620002.574429,508346.000,15171,1,TH,1,100,37.354
1752620002.708430,508480.000,15203,1,TH,1,100,37.427
1752620002.841431,508613.000,15219,1,TH,1,100,37.434
1752620002.974432,508746.000,15236,1,TH,1,100,37.369
1752620003.108434,508880.000,15272,1,TH,1,100,37.369
1752620003.241435,509013.000,15288,1,TH,1,100,37.426
1752620003.374436,509146.000,15306,1,TH,1,100,37.426
1752620003.508437,509280.000,15337,1,TH,1,100,37.376
1752620003.641438,509413.000,15355,1,TH,1,100,37.376
1752620003.774439,509546.000,15373,1,TH,1,100,37.451
1752620003.907440,509679.000,15411,1,TH,1,100,37.458
1752620004.041441,509813.000,15428,1,TH,1,100,37.385
1752620004.174443,509946.000,15445,1,TH,1,100,37.385
