RD,TS_received,TS_sent,AK,RoundTrip,
494362,494372,2025-07-15_18-53-08-595596,494373,10,
499504,499516,2025-07-15_18-53-13-735673,499517,12,
504648,504662,2025-07-15_18-53-18-884543,504663,14,
509756,509767,2025-07-15_18-53-23-989472,509769,11,
514886,514900,2025-07-15_18-53-29-122200,514901,14,
519987,520019,2025-07-15_18-53-34-225543,520021,32,
525128,525159,2025-07-15_18-53-39-363235,525160,31,
530236,530246,2025-07-15_18-53-44-470014,530248,10,
535367,535378,2025-07-15_18-53-49-601670,535380,11,
541089,541106,2025-07-15_18-53-55-329209,541110,17,
546197,546217,2025-07-15_18-54-00-442112,546218,20,
551303,551310,2025-07-15_18-54-05-535289,551311,7,
556422,556430,2025-07-15_18-54-10-654409,556431,8,
561530,561544,2025-07-15_18-54-15-764238,561548,14,
566659,566683,2025-07-15_18-54-20-891707,566684,24,
571767,571776,2025-07-15_18-54-26-000535,571777,9,
576881,581991,2025-07-15_18-54-31-114725,581992,5110,
581995,582004,2025-07-15_18-54-36-229381,582005,9,
587101,587133,2025-07-15_18-54-41-336522,587135,32,
592212,592268,2025-07-15_18-54-46-449951,592269,56,
597319,597328,2025-07-15_18-54-51-552359,597332,9,
602426,602458,2025-07-15_18-54-56-681803,602459,32,
607539,607548,2025-07-15_18-55-01-771772,607549,9,
612669,612719,2025-07-15_18-55-06-902184,612720,50,
617776,622919,2025-07-15_18-55-12-011138,622920,5143,
622923,622931,2025-07-15_18-55-17-157438,622933,8,
628084,628091,2025-07-15_18-55-22-316775,628092,7,
633209,633217,2025-07-15_18-55-27-443189,633221,8,
638327,638336,2025-07-15_18-55-32-561338,638337,9,
643443,643453,2025-07-15_18-55-37-679944,643455,10,
648559,648568,2025-07-15_18-55-42-792473,648570,9,
653680,653692,2025-07-15_18-55-47-914764,653693,12,
658797,658807,2025-07-15_18-55-53-029955,658808,10,
663918,663927,2025-07-15_18-55-58-151576,663928,9,
669034,669050,2025-07-15_18-56-03-270219,669051,16,
674146,674192,2025-07-15_18-56-08-384441,674193,46,
679276,679284,2025-07-15_18-56-13-509049,679285,8,
684397,684407,2025-07-15_18-56-18-631880,684408,10,
689518,689531,2025-07-15_18-56-23-755402,689535,13,
694636,699755,2025-07-15_18-56-28-979449,699756,5119,
699763,699775,2025-07-15_18-56-33-997387,699777,12,
704884,704922,2025-07-15_18-56-39-120807,704923,38,
710007,710015,2025-07-15_18-56-44-241409,710017,8,
715133,715143,2025-07-15_18-56-49-367082,715147,10,
720248,720258,2025-07-15_18-56-54-484095,720259,10,
725365,725377,2025-07-15_18-56-59-599500,725378,12,
730484,730519,2025-07-15_18-57-04-719228,730520,35,
735591,735645,2025-07-15_18-57-09-835433,735646,54,
740700,740719,2025-07-15_18-57-14-945134,740720,19,
745826,745837,2025-07-15_18-57-20-059915,745838,11,
750948,750959,2025-07-15_18-57-25-185245,750961,11,
756068,756095,2025-07-15_18-57-30-302923,756096,27,
761175,761182,2025-07-15_18-57-35-409845,761183,7,
766283,766293,2025-07-15_18-57-40-518622,766294,10,
771396,771409,2025-07-15_18-57-45-631000,771410,13,
776530,776543,2025-07-15_18-57-50-765744,776545,13,
