LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1752622326.717524,138664.000,20578,2,AK,1,100,19827
1752622326.717524,138664.000,20578,2,AK,1,100,RD
1752622326.724024,138670.500,20581,2,AK,1,100,20579
1752622326.730525,138677.000,20581,2,AK,1,100,RD
1752622329.279544,141226.000,21433,2,AK,1,100,20579
1752622331.828564,143775.000,21433,2,AK,1,100,RD
1752622331.846565,143793.000,21436,2,AK,1,100,21434
1752622331.864565,143811.000,21436,2,AK,1,100,RD
1752622334.400084,146346.500,22294,2,AK,1,100,21434
1752622336.935604,148882.000,22294,2,AK,1,100,RD
1752622336.942604,148889.000,22297,2,AK,1,100,22295
1752622336.949604,148896.000,22297,2,AK,1,100,RD
1752622339.504624,151451.000,23172,2,AK,1,100,22295
1752622342.059644,154006.000,23172,2,AK,1,100,RD
1752622342.064144,154010.500,23175,2,AK,1,100,23173
1752622342.068644,154015.000,23175,2,AK,1,100,RD
1752622344.617664,156564.000,24032,2,AK,1,100,23173
1752622347.166684,159113.000,24032,2,AK,1,100,RD
1752622347.172684,159119.000,24035,2,AK,1,100,24033
1752622347.178684,159125.000,24035,2,AK,1,100,RD
1752622349.744704,161691.000,24904,2,AK,1,100,24033
1752622352.310725,164257.000,24904,2,AK,1,100,RD
1752622352.322225,164268.500,24907,2,AK,1,100,24905
1752622352.333725,164280.000,24907,2,AK,1,100,RD
1752622354.876245,166822.500,25764,2,AK,1,100,24905
1752622357.418764,169365.000,25764,2,AK,1,100,RD
1752622357.455765,169402.000,25767,2,AK,1,100,25765
1752622357.492765,169439.000,25767,2,AK,1,100,RD
1752622360.009785,171956.000,26621,2,AK,1,100,25765
1752622362.526804,174473.000,26621,2,AK,1,100,RD
1752622362.532804,174479.000,26624,2,AK,1,100,26622
1752622362.538804,174485.000,26624,2,AK,1,100,RD
1752622365.088324,177034.500,27484,2,AK,1,100,26622
1752622367.637844,179584.000,27484,2,AK,1,100,RD
1752622367.644344,179590.500,27487,2,AK,1,100,27485
1752622367.650844,179597.000,27487,2,AK,1,100,RD
1752622370.207864,182154.000,28367,2,AK,1,100,27485
1752622372.764884,184711.000,28367,2,AK,1,100,RD
1752622372.771384,184717.500,28370,2,AK,1,100,28368
1752622372.777885,184724.000,28370,2,AK,1,100,RD
1752622375.325404,187271.500,29240,2,AK,1,100,28368
1752622377.872924,189819.000,29240,2,AK,1,100,RD
1752622377.887924,189834.000,29243,2,AK,1,100,29241
1752622377.902925,189849.000,29243,2,AK,1,100,RD
1752622380.458445,192404.500,30120,2,AK,1,100,29241
1752622383.013965,194960.000,30120,2,AK,1,100,RD
1752622383.026965,194973.000,30123,2,AK,1,100,30121
1752622383.039965,194986.000,30123,2,AK,1,100,RD
1752622385.580985,197527.000,30990,2,AK,1,100,30121
1752622388.122004,200068.000,30990,2,AK,1,100,RD
1752622388.128505,200074.500,30993,2,AK,1,100,30991
1752622388.135005,200081.000,30993,2,AK,1,100,RD
1752622390.700025,202646.000,31870,2,AK,1,100,30991
1752622393.265045,205211.000,31870,2,AK,1,100,RD
1752622393.291545,205237.500,31873,2,AK,1,100,31871
1752622393.318045,205264.000,31873,2,AK,1,100,RD
1752622395.845065,207791.000,32733,2,AK,1,100,31871
1752622398.372085,210318.000,32733,2,AK,1,100,RD
1752622398.377585,210323.500,32736,2,AK,1,100,32734
1752622398.383085,210329.000,32736,2,AK,1,100,RD
1752622400.955105,212901.000,33610,2,AK,1,100,32734
1752622403.527125,215473.000,33610,2,AK,1,100,RD
1752622403.532125,215478.000,33613,2,AK,1,100,33611
1752622403.537125,215483.000,33613,2,AK,1,100,RD
1752622406.095645,218041.500,34474,2,AK,1,100,33611
1752622408.654165,220600.000,34474,2,AK,1,100,RD
