LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752622329.845549,141792.000,21124,1,BV,1,100,3.85
1752622334.844588,146791.000,21966,1,BV,1,100,3.84
1752622339.844627,151791.000,22813,1,BV,1,100,3.85
1752622344.843666,156790.000,23652,1,BV,1,100,3.85
1752622349.843705,161790.000,24510,1,BV,1,100,3.84
1752622354.842744,166789.000,25353,1,BV,1,100,3.85
1752622359.842783,171789.000,26197,1,BV,1,100,3.85
1752622364.841822,176788.000,27035,1,BV,1,100,3.85
1752622369.841862,181788.000,27882,1,BV,1,100,3.85
1752622374.840901,186787.000,28731,1,BV,1,100,3.85
1752622379.840940,191787.000,29605,1,BV,1,100,3.85
1752622384.839979,196786.000,30452,1,BV,1,100,3.85
1752622389.840018,201786.000,31300,1,BV,1,100,3.85
1752622394.839057,206785.000,32148,1,BV,1,100,3.85
1752622399.839096,211785.000,33008,1,BV,1,100,3.85
1752622404.838135,216784.000,33839,1,BV,1,100,3.85
1752622409.838174,221784.000,34684,1,BV,1,100,3.85
1752622414.837213,226783.000,35524,1,BV,1,100,3.85
1752622419.837252,231783.000,36305,1,BV,1,100,3.85
1752622424.836291,236782.000,37156,1,BV,1,100,3.85
1752622429.836331,241782.000,38004,1,BV,1,100,3.85
1752622434.835370,246781.000,38837,1,BV,1,100,3.86
1752622439.835409,251781.000,39687,1,BV,1,100,3.85
1752622444.834448,256780.000,40533,1,BV,1,100,3.86
1752622449.834487,261780.000,41376,1,BV,1,100,3.86
1752622454.833526,266779.000,42195,1,BV,1,100,3.86
1752622459.833565,271779.000,43067,1,BV,1,100,3.86
1752622464.832604,276778.000,43900,1,BV,1,100,3.86
1752622469.832643,281778.000,44721,1,BV,1,100,3.86
1752622474.831682,286777.000,45566,1,BV,1,100,3.86
1752622479.831721,291777.000,46411,1,BV,1,100,3.86
1752622484.830760,296776.000,47258,1,BV,1,100,3.86
1752622489.830800,301776.000,48087,1,BV,1,100,3.86
1752622494.829839,306775.000,48939,1,BV,1,100,3.86
1752622499.829878,311775.000,49793,1,BV,1,100,3.86
1752622504.828917,316774.000,50632,1,BV,1,100,3.86
1752622509.828956,321774.000,51481,1,BV,1,100,3.86
1752622514.827995,326773.000,52304,1,BV,1,100,3.86
1752622519.828034,331773.000,53153,1,BV,1,100,3.87
1752622524.827073,336772.000,54000,1,BV,1,100,3.86
1752622529.827112,341772.000,54848,1,BV,1,100,3.86
1752622534.826151,346771.000,55693,1,BV,1,100,3.87
1752622539.826190,351771.000,56511,1,BV,1,100,3.86
1752622544.825229,356770.000,57345,1,BV,1,100,3.87
1752622549.825269,361770.000,58173,1,BV,1,100,3.87
1752622554.824308,366769.000,59001,1,BV,1,100,3.87
1752622559.824347,371769.000,59808,1,BV,1,100,3.87
1752622564.823386,376768.000,60633,1,BV,1,100,3.87
1752622569.823425,381768.000,61458,1,BV,1,100,3.87
1752622574.822464,386767.000,62278,1,BV,1,100,3.87
1752622579.822503,391767.000,63102,1,BV,1,100,3.87
1752622584.821542,396766.000,63933,1,BV,1,100,3.87
1752622589.821581,401766.000,64736,1,BV,1,100,3.87
1752622594.820620,406765.000,22,1,BV,1,100,3.87
1752622599.820659,411765.000,862,1,BV,1,100,3.87
1752622604.819698,416764.000,1683,1,BV,1,100,3.87
1752622609.819738,421764.000,2503,1,BV,1,100,3.87
1752622614.818777,426763.000,3325,1,BV,1,100,3.87
1752622619.818816,431763.000,4165,1,BV,1,100,3.87
1752622624.817855,436762.000,4987,1,BV,1,100,3.87
1752622629.817894,441762.000,5807,1,BV,1,100,3.87
1752622634.816933,446761.000,6647,1,BV,1,100,3.88
1752622639.816972,451761.000,7471,1,BV,1,100,3.87
1752622644.816011,456760.000,8291,1,BV,1,100,3.88
1752622649.816050,461760.000,9113,1,BV,1,100,3.88
1752622654.815089,466759.000,9934,1,BV,1,100,3.88
1752622659.815128,471759.000,10774,1,BV,1,100,3.88
1752622664.814167,476758.000,11595,1,BV,1,100,3.88
1752622669.814207,481758.000,12417,1,BV,1,100,3.88
1752622674.813246,486757.000,13234,1,BV,1,100,3.88
1752622679.813285,491757.000,14058,1,BV,1,100,3.88
1752622684.812324,496756.000,14879,1,BV,1,100,3.88
1752622689.812363,501756.000,15700,1,BV,1,100,3.88
1752622694.811402,506755.000,16540,1,BV,1,100,3.88
1752622699.811441,511755.000,17362,1,BV,1,100,3.88
1752622704.810480,516754.000,18184,1,BV,1,100,3.88
1752622709.810519,521754.000,19004,1,BV,1,100,3.88
1752622714.809558,526753.000,19623,1,BV,1,100,3.88
1752622719.809597,531753.000,20445,1,BV,1,100,3.88
1752622724.808637,536752.000,21269,1,BV,1,100,3.88
1752622729.808676,541752.000,22107,1,BV,1,100,3.88
1752622734.807715,546751.000,22927,1,BV,1,100,3.88
1752622739.807754,551751.000,23747,1,BV,1,100,3.89
1752622744.806793,556750.000,24571,1,BV,1,100,3.89
1752622749.806832,561750.000,25409,1,BV,1,100,3.89
1752622754.805871,566749.000,26230,1,BV,1,100,3.88
1752622759.805910,571749.000,27049,1,BV,1,100,3.89
1752622764.804949,576748.000,27890,1,BV,1,100,3.89
1752622769.804988,581748.000,28712,1,BV,1,100,3.89
1752622774.804027,586747.000,29532,1,BV,1,100,3.89
1752622779.804066,591747.000,30339,1,BV,1,100,3.89
1752622784.803106,596746.000,31179,1,BV,1,100,3.89
1752622789.803145,601746.000,32002,1,BV,1,100,3.89
1752622794.802184,606745.000,32825,1,BV,1,100,3.89
1752622799.802223,611745.000,33646,1,BV,1,100,3.89
1752622804.801262,616744.000,34453,1,BV,1,100,3.89
1752622809.801301,621744.000,35277,1,BV,1,100,3.89
1752622814.800340,626743.000,36102,1,BV,1,100,3.89
1752622819.800379,631743.000,36924,1,BV,1,100,3.89
1752622824.799418,636742.000,37747,1,BV,1,100,3.90
1752622829.799457,641742.000,38567,1,BV,1,100,3.89
1752622834.798496,646741.000,39372,1,BV,1,100,3.90
1752622839.798535,651741.000,40198,1,BV,1,100,3.90
1752622844.797575,656740.000,41018,1,BV,1,100,3.90
1752622849.796614,661739.000,41571,1,BV,1,100,3.90
1752622854.796653,666739.000,42177,1,BV,1,100,3.90
1752622859.796692,671739.000,43002,1,BV,1,100,3.90
1752622864.795731,676738.000,43823,1,BV,1,100,3.90
1752622869.795770,681738.000,44628,1,BV,1,100,3.90
1752622874.794809,686737.000,45450,1,BV,1,100,3.90
1752622879.794848,691737.000,46276,1,BV,1,100,3.90
1752622884.793887,696736.000,47095,1,BV,1,100,3.90
1752622889.793926,701736.000,47920,1,BV,1,100,3.90
1752622894.792965,706735.000,48725,1,BV,1,100,3.90
1752622899.793004,711735.000,49545,1,BV,1,100,3.90
1752622904.792044,716734.000,50369,1,BV,1,100,3.90
1752622909.792083,721734.000,51190,1,BV,1,100,3.90
1752622914.791122,726733.000,52013,1,BV,1,100,3.90
1752622919.791161,731733.000,52818,1,BV,1,100,3.91
1752622924.790200,736732.000,53640,1,BV,1,100,3.90
1752622929.790239,741732.000,54472,1,BV,1,100,3.90
1752622934.789278,746731.000,55294,1,BV,1,100,3.91
1752622939.789317,751731.000,56117,1,BV,1,100,3.90
1752622944.788356,756730.000,56920,1,BV,1,100,3.91
1752622949.788395,761730.000,57740,1,BV,1,100,3.91
1752622954.787434,766729.000,58568,1,BV,1,100,3.91
