LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1752622326.546523,138493.000,20549,2,EA,1,100,0.098686
1752622326.546523,138493.000,20549,2,EA,1,100,0.099088
1752622326.612524,138559.000,20566,1,EA,1,100,0.100539
1752622326.679524,138626.000,20585,2,EA,1,100,0.101975
1752622326.746525,138693.000,20585,2,EA,1,100,0.101177
1752622326.812525,138759.000,20606,1,EA,1,100,0.100283
1752622326.879526,138826.000,20623,2,EA,1,100,0.102153
1752622326.946526,138893.000,20623,2,EA,1,100,0.103682
1752622327.012527,138959.000,20640,1,EA,1,100,0.102970
1752622327.079527,139026.000,20656,2,EA,1,100,0.101753
1752622327.146528,139093.000,20656,2,EA,1,100,0.100623
1752622327.212528,139159.000,20674,1,EA,1,100,0.100113
1752622327.279529,139226.000,20690,2,EA,1,100,0.099522
1752622327.346529,139293.000,20690,2,EA,1,100,0.099640
1752622327.412530,139359.000,20707,1,EA,1,100,0.099867
1752622327.479530,139426.000,20722,2,EA,1,100,0.099992
1752622327.546531,139493.000,20722,2,EA,1,100,0.100061
1752622327.612531,139559.000,20741,1,EA,1,100,0.100262
1752622327.679032,139625.500,20757,2,EA,1,100,0.100455
1752622327.745532,139692.000,20757,2,EA,1,100,0.100610
1752622327.812533,139759.000,20774,1,EA,1,100,0.100830
1752622327.879034,139825.500,20790,2,EA,1,100,0.100988
1752622327.945534,139892.000,20790,2,EA,1,100,0.101182
1752622328.012535,139959.000,20806,1,EA,1,100,0.101398
1752622328.079035,140025.500,20822,2,EA,1,100,0.101535
1752622328.145536,140092.000,20822,2,EA,1,100,0.101738
1752622328.212536,140159.000,20842,1,EA,1,100,0.101981
1752622328.279037,140225.500,20857,2,EA,1,100,0.102123
1752622328.345537,140292.000,20857,2,EA,1,100,0.102261
1752622328.412538,140359.000,20873,2,EA,1,100,0.102472
1752622328.479538,140426.000,20873,2,EA,1,100,0.102632
1752622328.545539,140492.000,20890,1,EA,1,100,0.102786
1752622328.612539,140559.000,20907,2,EA,1,100,0.102975
1752622328.679540,140626.000,20907,2,EA,1,100,0.103127
1752622328.745540,140692.000,20923,1,EA,1,100,0.103280
1752622328.812541,140759.000,20941,2,EA,1,100,0.103438
1752622328.879541,140826.000,20941,2,EA,1,100,0.103567
1752622328.945542,140892.000,20957,1,EA,1,100,0.103705
1752622329.012542,140959.000,20974,2,EA,1,100,0.103923
1752622329.079543,141026.000,20974,2,EA,1,100,0.104074
1752622329.145543,141092.000,20992,1,EA,1,100,0.104178
1752622329.212544,141159.000,21008,2,EA,1,100,0.104297
1752622329.279544,141226.000,21008,2,EA,1,100,0.104423
1752622329.345545,141292.000,21026,1,EA,1,100,0.104579
1752622329.412545,141359.000,21045,2,EA,1,100,0.104810
1752622329.479546,141426.000,21045,2,EA,1,100,0.104891
1752622329.545547,141492.000,21062,1,EA,1,100,0.105000
1752622329.612547,141559.000,21077,2,EA,1,100,0.105096
1752622329.679548,141626.000,21077,2,EA,1,100,0.105230
1752622329.745548,141692.000,21093,1,EA,1,100,0.105378
1752622329.812549,141759.000,21111,2,EA,1,100,0.105539
1752622329.879549,141826.000,21111,2,EA,1,100,0.105659
1752622329.945550,141892.000,21129,1,EA,1,100,0.105791
1752622330.012550,141959.000,21148,2,EA,1,100,0.105942
1752622330.079551,142026.000,21148,2,EA,1,100,0.106068
1752622330.145551,142092.000,21164,1,EA,1,100,0.106172
1752622330.212552,142159.000,21182,2,EA,1,100,0.106297
1752622330.279552,142226.000,21182,2,EA,1,100,0.106427
1752622330.345553,142292.000,21198,1,EA,1,100,0.106581
1752622330.412053,142358.500,21214,2,EA,1,100,0.106740
1752622330.478554,142425.000,21214,2,EA,1,100,0.106881
1752622330.545554,142492.000,21230,1,EA,1,100,0.107045
1752622330.612555,142559.000,21251,2,EA,1,100,0.107129
1752622330.679555,142626.000,21251,2,EA,1,100,0.107311
1752622330.745556,142692.000,21267,1,EA,1,100,0.107475
1752622330.812056,142758.500,21284,2,EA,1,100,0.107654
1752622330.878557,142825.000,21284,2,EA,1,100,0.107798
1752622330.945557,142892.000,21299,2,EA,1,100,0.107966
1752622331.012558,142959.000,21299,2,EA,1,100,0.108087
1752622331.078559,143025.000,21318,1,EA,1,100,0.108220
1752622331.145559,143092.000,21335,2,EA,1,100,0.108358
1752622331.212560,143159.000,21335,2,EA,1,100,0.108522
1752622331.278560,143225.000,21356,1,EA,1,100,0.108637
1752622331.345561,143292.000,21370,2,EA,1,100,0.108749
1752622331.412561,143359.000,21370,2,EA,1,100,0.108861
1752622331.478562,143425.000,21387,1,EA,1,100,0.108989
1752622331.545562,143492.000,21404,2,EA,1,100,0.109172
1752622331.612563,143559.000,21404,2,EA,1,100,0.109347
1752622331.678563,143625.000,21421,1,EA,1,100,0.109505
1752622331.745564,143692.000,21442,2,EA,1,100,0.109610
1752622331.812564,143759.000,21442,2,EA,1,100,0.109698
1752622331.879065,143825.500,21462,2,EA,1,100,0.109866
1752622331.945565,143892.000,21462,2,EA,1,100,0.109974
1752622332.012566,143959.000,21478,1,EA,1,100,0.110108
1752622332.079066,144025.500,21495,2,EA,1,100,0.110254
1752622332.145567,144092.000,21495,2,EA,1,100,0.110375
1752622332.212567,144159.000,21512,1,EA,1,100,0.110529
1752622332.279068,144225.500,21528,2,EA,1,100,0.110696
1752622332.345568,144292.000,21528,2,EA,1,100,0.110844
1752622332.412569,144359.000,21543,1,EA,1,100,0.111044
1752622332.479069,144425.500,21565,2,EA,1,100,0.111157
1752622332.545570,144492.000,21565,2,EA,1,100,0.111258
1752622332.612571,144559.000,21581,1,EA,1,100,0.111383
1752622332.679071,144625.500,21597,2,EA,1,100,0.111385
1752622332.745572,144692.000,21597,2,EA,1,100,0.111467
1752622332.812072,144758.500,21613,2,EA,1,100,0.111690
1752622332.878573,144825.000,21613,2,EA,1,100,0.111841
1752622332.945573,144892.000,21630,1,EA,1,100,0.112005
1752622333.012074,144958.500,21646,2,EA,1,100,0.112178
1752622333.078574,145025.000,21646,2,EA,1,100,0.112308
1752622333.145575,145092.000,21663,1,EA,1,100,0.112435
1752622333.212075,145158.500,21682,2,EA,1,100,0.112577
1752622333.278576,145225.000,21682,2,EA,1,100,0.112694
1752622333.345576,145292.000,21699,1,EA,1,100,0.112816
1752622333.412077,145358.500,21715,2,EA,1,100,0.112918
1752622333.478577,145425.000,21715,2,EA,1,100,0.113069
1752622333.545578,145492.000,21733,1,EA,1,100,0.113245
1752622333.612078,145558.500,21747,2,EA,1,100,0.113421
1752622333.678579,145625.000,21747,2,EA,1,100,0.113533
1752622333.745579,145692.000,21764,1,EA,1,100,0.113671
1752622333.812080,145758.500,21785,2,EA,1,100,0.113793
1752622333.878580,145825.000,21785,2,EA,1,100,0.113868
1752622333.945581,145892.000,21802,1,EA,1,100,0.113998
1752622334.012081,145958.500,21816,2,EA,1,100,0.114198
1752622334.078582,146025.000,21816,2,EA,1,100,0.114292
1752622334.145582,146092.000,21833,1,EA,1,100,0.114405
1752622334.212083,146158.500,21850,2,EA,1,100,0.114495
1752622334.278584,146225.000,21850,2,EA,1,100,0.114638
1752622334.345584,146292.000,21867,1,EA,1,100,0.114791
1752622334.412085,146358.500,21885,2,EA,1,100,0.114909
1752622334.478585,146425.000,21885,2,EA,1,100,0.115006
1752622334.545586,146492.000,21903,1,EA,1,100,0.115131
1752622334.612086,146558.500,21919,2,EA,1,100,0.115245
1752622334.678587,146625.000,21919,2,EA,1,100,0.115408
1752622334.745587,146692.000,21936,1,EA,1,100,0.115540
1752622334.812088,146758.500,21954,2,EA,1,100,0.115670
1752622334.878588,146825.000,21954,2,EA,1,100,0.115749
1752622334.945589,146892.000,21972,1,EA,1,100,0.115890
1752622335.012089,146958.500,21988,2,EA,1,100,0.116106
