LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1752622326.547523,138494.000,20560,3,MY,1,100,141
1752622326.547523,138494.000,20560,3,MY,1,100,140
1752622326.547523,138494.000,20560,3,MY,1,100,140
1752622326.587523,138534.000,20575,2,MY,1,100,141
1752622326.627524,138574.000,20575,2,MY,1,100,140
1752622326.667524,138614.000,20596,3,MY,1,100,142
1752622326.707524,138654.000,20596,3,MY,1,100,141
1752622326.747525,138694.000,20596,3,MY,1,100,141
1752622326.787525,138734.000,20617,2,MY,1,100,141
1752622326.827525,138774.000,20617,2,MY,1,100,141
1752622326.867526,138814.000,20634,3,MY,1,100,141
1752622326.907526,138854.000,20634,3,MY,1,100,141
1752622326.947526,138894.000,20634,3,MY,1,100,143
1752622326.987527,138934.000,20649,2,MY,1,100,142
1752622327.027527,138974.000,20649,2,MY,1,100,142
1752622327.067527,139014.000,20667,3,MY,1,100,142
1752622327.107527,139054.000,20667,3,MY,1,100,141
1752622327.147528,139094.000,20667,3,MY,1,100,141
1752622327.187528,139134.000,20685,2,MY,1,100,141
1752622327.227528,139174.000,20685,2,MY,1,100,141
1752622327.262862,139209.333,20701,3,MY,1,100,140
1752622327.298196,139244.667,20701,3,MY,1,100,139
1752622327.333529,139280.000,20701,3,MY,1,100,139
1752622327.373530,139320.000,20716,3,MY,1,100,141
1752622327.413530,139360.000,20716,3,MY,1,100,139
1752622327.453530,139400.000,20716,3,MY,1,100,140
1752622327.493530,139440.000,20733,2,MY,1,100,139
1752622327.533531,139480.000,20733,2,MY,1,100,138
1752622327.573531,139520.000,20752,3,MY,1,100,139
1752622327.613531,139560.000,20752,3,MY,1,100,138
1752622327.653532,139600.000,20752,3,MY,1,100,138
1752622327.693532,139640.000,20768,3,MY,1,100,138
1752622327.733532,139680.000,20768,3,MY,1,100,137
1752622327.773533,139720.000,20768,3,MY,1,100,138
1752622327.813533,139760.000,20784,2,MY,1,100,137
1752622327.853533,139800.000,20784,2,MY,1,100,138
1752622327.893534,139840.000,20800,3,MY,1,100,138
1752622327.933534,139880.000,20800,3,MY,1,100,139
1752622327.973534,139920.000,20800,3,MY,1,100,138
1752622328.013535,139960.000,20817,2,MY,1,100,138
1752622328.053535,140000.000,20817,2,MY,1,100,139
1752622328.093535,140040.000,20833,3,MY,1,100,138
1752622328.133535,140080.000,20833,3,MY,1,100,139
1752622328.173536,140120.000,20833,3,MY,1,100,139
1752622328.213536,140160.000,20852,2,MY,1,100,139
1752622328.253536,140200.000,20852,2,MY,1,100,139
1752622328.293537,140240.000,20867,3,MY,1,100,139
1752622328.333537,140280.000,20867,3,MY,1,100,140
1752622328.373537,140320.000,20867,3,MY,1,100,139
1752622328.413538,140360.000,20884,2,MY,1,100,139
1752622328.453538,140400.000,20884,2,MY,1,100,139
1752622328.493538,140440.000,20901,3,MY,1,100,139
1752622328.533539,140480.000,20901,3,MY,1,100,141
1752622328.573539,140520.000,20901,3,MY,1,100,139
1752622328.613539,140560.000,20918,2,MY,1,100,139
1752622328.653540,140600.000,20918,2,MY,1,100,139
1752622328.693540,140640.000,20932,3,MY,1,100,139
1752622328.733540,140680.000,20932,3,MY,1,100,138
1752622328.773541,140720.000,20932,3,MY,1,100,139
1752622328.813541,140760.000,20952,2,MY,1,100,139
1752622328.853541,140800.000,20952,2,MY,1,100,139
1752622328.893541,140840.000,20968,3,MY,1,100,139
1752622328.933542,140880.000,20968,3,MY,1,100,138
1752622328.973542,140920.000,20968,3,MY,1,100,139
1752622329.013542,140960.000,20985,2,MY,1,100,139
1752622329.053543,141000.000,20985,2,MY,1,100,139
1752622329.093543,141040.000,21001,3,MY,1,100,139
1752622329.133543,141080.000,21001,3,MY,1,100,139
1752622329.173544,141120.000,21001,3,MY,1,100,139
1752622329.213544,141160.000,21019,3,MY,1,100,139
1752622329.253544,141200.000,21019,3,MY,1,100,139
1752622329.293545,141240.000,21019,3,MY,1,100,139
1752622329.333545,141280.000,21037,2,MY,1,100,139
1752622329.373545,141320.000,21037,2,MY,1,100,139
1752622329.413546,141360.000,21056,3,MY,1,100,140
1752622329.453546,141400.000,21056,3,MY,1,100,140
1752622329.493546,141440.000,21056,3,MY,1,100,139
1752622329.533546,141480.000,21071,2,MY,1,100,139
1752622329.573547,141520.000,21071,2,MY,1,100,141
1752622329.613547,141560.000,21088,3,MY,1,100,140
1752622329.653547,141600.000,21088,3,MY,1,100,140
1752622329.693548,141640.000,21088,3,MY,1,100,140
1752622329.733548,141680.000,21104,2,MY,1,100,139
1752622329.773548,141720.000,21104,2,MY,1,100,140
1752622329.813549,141760.000,21122,3,MY,1,100,141
1752622329.853549,141800.000,21122,3,MY,1,100,140
1752622329.893549,141840.000,21122,3,MY,1,100,141
1752622329.933550,141880.000,21138,2,MY,1,100,139
1752622329.973550,141920.000,21138,2,MY,1,100,140
1752622330.013550,141960.000,21159,3,MY,1,100,140
1752622330.053551,142000.000,21159,3,MY,1,100,139
1752622330.093551,142040.000,21159,3,MY,1,100,139
1752622330.133551,142080.000,21175,2,MY,1,100,140
1752622330.173551,142120.000,21175,2,MY,1,100,140
1752622330.213552,142160.000,21193,3,MY,1,100,139
1752622330.253552,142200.000,21193,3,MY,1,100,140
1752622330.293552,142240.000,21193,3,MY,1,100,139
1752622330.333553,142280.000,21208,2,MY,1,100,141
1752622330.373553,142320.000,21208,2,MY,1,100,139
1752622330.413553,142360.000,21224,3,MY,1,100,139
1752622330.453554,142400.000,21224,3,MY,1,100,139
1752622330.493554,142440.000,21224,3,MY,1,100,140
1752622330.533554,142480.000,21241,2,MY,1,100,139
1752622330.573555,142520.000,21241,2,MY,1,100,139
1752622330.613555,142560.000,21262,3,MY,1,100,139
1752622330.653555,142600.000,21262,3,MY,1,100,139
1752622330.693556,142640.000,21262,3,MY,1,100,139
1752622330.733056,142679.500,21277,2,MY,1,100,139
1752622330.772556,142719.000,21277,2,MY,1,100,139
1752622330.812890,142759.333,21294,3,MY,1,100,140
1752622330.853223,142799.667,21294,3,MY,1,100,139
1752622330.893557,142840.000,21294,3,MY,1,100,139
1752622330.929224,142875.667,21310,3,MY,1,100,139
1752622330.964891,142911.333,21310,3,MY,1,100,139
1752622331.000558,142947.000,21310,3,MY,1,100,139
1752622331.040558,142987.000,21329,2,MY,1,100,139
